Iteration,Time,AUC
1,58.37497,0.5008911
2,61.07364,0.5007449
3,63.96239,0.5030822
4,65.48238,0.5028111
5,68.02259,0.5037372
6,70.8055,0.5057607
7,72.49364,0.5076261
8,74.61739,0.5082354
9,76.5905,0.5082567
10,78.81364,0.5091648
11,81.71364,0.5099429
12,83.39926,0.5122923
13,86.10301,0.5125506
14,88.513,0.5127877
15,91.07051,0.5139022
16,92.57175,0.515745
17,95.76049,0.5167507
18,97.62362,0.5174314
19,99.823,0.5178597
20,101.6562,0.5188922
21,104.0311,0.5205077
22,106.4005,0.5203259
23,108.1892,0.5211431
24,110.2024,0.5215301
25,112.7149,0.5223774
26,115.1842,0.5269911
27,117.3399,0.5278946
28,119.9361,0.528513
29,121.4836,0.5290622
30,123.8424,0.5299574
31,126.2793,0.5304161
32,128.2624,0.5310718
33,131.0917,0.5327782
34,133.7743,0.532771
35,135.4317,0.5333586
36,137.5705,0.5340091
37,139.8086,0.5343624
38,141.8918,0.534479
39,144.4811,0.5354423
40,146.3899,0.5356975
41,148.903,0.5367265
42,150.4474,0.5373892
43,153.4049,0.5390294
44,155.498,0.5386733
45,157.7667,0.5392218
46,159.9211,0.5409585
47,162.4943,0.5413043
48,163.7174,0.5422529
49,166.4155,0.5428244
50,168.8386,0.5431767
51,170.3755,0.5437381
52,172.8374,0.5441044
53,175.1249,0.545803
54,177.6337,0.5463445
55,180.2474,0.5460912
56,182.6499,0.5463509
57,184.1236,0.5496752
58,186.5443,0.5506632
59,188.853,0.551413
60,191.2774,0.5517817
61,194.2899,0.5522566
62,195.8224,0.552088
63,197.6811,0.552994
64,199.8293,0.5532517
65,202.2017,0.5538805
66,204.6568,0.5561598
67,206.7199,0.556681
68,208.5786,0.5572249
69,211.1724,0.5581392
70,213.3255,0.5586601
71,215.353,0.5583639
72,217.5318,0.5588332
73,219.9855,0.5593336
74,222.033,0.5596711
75,224.4355,0.5603482
76,226.6868,0.5603471
77,229.3374,0.5604657
78,231.5167,0.5610059
79,233.9705,0.560996
80,236.0874,0.5667602
81,238.3099,0.5674457
82,240.2817,0.567388
83,242.9999,0.5672017
84,244.948,0.5675465
85,247.7005,0.567786
86,249.498,0.5680409
87,253.0111,0.5681201
88,255.0736,0.5681533
89,257.0011,0.5689752
90,259.153,0.5694529
91,261.2355,0.5697918
92,263.813,0.5713204
93,266.3386,0.5717501
94,268.5562,0.5722014
95,270.3399,0.5727499
96,272.153,0.5734006
97,275.1417,0.5732833
98,277.7905,0.5748422
99,279.7449,0.575147
100,281.7474,0.575899
101,283.6393,0.5758698
102,286.0292,0.5758288
103,288.6574,0.5759344
104,290.9349,0.5761066
105,293.2468,0.5766005
106,295.4049,0.5774515
107,296.8049,0.5774903
108,299.508,0.5778336
109,302.0768,0.5783221
110,303.8092,0.5788239
111,306.7318,0.5793596
112,307.9974,0.579838
113,310.4686,0.5802344
114,313.0905,0.5805137
115,315.3611,0.5808739
116,317.218,0.5813251
117,319.7767,0.5817339
118,321.6836,0.5841478
119,324.3093,0.5844326
120,327.0599,0.5850554
121,329.0324,0.5852226
122,330.6411,0.5854241
123,332.733,0.5855123
124,334.5555,0.5859883
125,337.4531,0.5862221
126,339.4955,0.5863747
127,341.1405,0.5870293
128,343.4149,0.5875122
129,345.5611,0.5879624
130,348.5437,0.5882955
131,350.8424,0.5886943
132,352.3911,0.5887282
133,354.9799,0.5888852
134,356.6667,0.5894861
135,359.1855,0.5899293
136,361.9043,0.5901794
137,364.0924,0.5904358
138,366.2111,0.5912539
139,368.7618,0.5915895
140,370.5886,0.5938177
141,372.978,0.5939482
142,375.4043,0.5939978
143,377.3674,0.5941854
144,379.6268,0.5946136
145,382.5243,0.5952069
146,384.4774,0.5959363
147,387.408,0.5962432
148,389.7605,0.5962596
149,391.7793,0.5966519
150,393.1199,0.5968903
151,396.263,0.5975043
152,398.6255,0.597954
153,400.8436,0.5980693
154,402.765,0.5981191
155,405.0861,0.59857
156,407.3868,0.5985864
157,409.1099,0.5986628
158,412.6218,0.5990363
159,413.9036,0.5989607
160,416.2036,0.6001463
161,419.1367,0.6005176
162,420.8436,0.600522
163,424.0168,0.6007103
164,425.2636,0.6006926
165,427.4611,0.6008927
166,429.7786,0.60121
167,431.7918,0.6012895
168,434.6843,0.6014339
169,437.7768,0.6016692
170,439.4636,0.6019624
171,441.2774,0.6022046
172,443.9661,0.6021513
173,446.0905,0.6027461
174,448.3405,0.6032648
175,450.748,0.6034712
176,453.7755,0.6036948
177,455.7636,0.6039991
178,458.3999,0.6041962
179,460.5236,0.6044289
180,462.9505,0.6047689
181,465.3086,0.6055465
