Iteration,Time,AUC
1,45.49304,0.5000589
2,46.94501,0.500827
3,49.76492,0.5007855
4,52.27366,0.5015367
5,54.44247,0.5022993
6,57.09745,0.5025128
7,58.58055,0.5038686
8,59.86243,0.5042542
9,62.37429,0.5061932
10,63.92179,0.506644
11,66.21868,0.5065325
12,68.82866,0.5071203
13,70.03491,0.5080281
14,71.93063,0.5080372
15,73.8143,0.5075139
16,76.30305,0.5103206
17,78.06621,0.5106347
18,80.36366,0.5107945
19,82.44054,0.511201
20,84.33556,0.5118839
21,86.86368,0.5125715
22,88.31618,0.5137183
23,90.31492,0.5149907
24,92.87431,0.5154147
25,94.75305,0.5172288
26,97.07743,0.5173286
27,98.30492,0.5174612
28,101.1718,0.5180938
29,102.3912,0.5190204
30,105.1624,0.5205245
31,107.7099,0.520415
32,109.7493,0.5218059
33,111.6712,0.5227849
34,114.1449,0.527407
35,117.2368,0.52779
36,118.7412,0.5284697
37,120.2649,0.5286755
38,122.3524,0.5290559
39,123.8993,0.5308899
40,125.5512,0.5318612
41,127.922,0.5320012
42,130.2206,0.5329321
43,132.6399,0.5327711
44,133.645,0.5337838
45,136.3443,0.5358436
46,137.8487,0.535499
47,139.8049,0.535441
48,142.1262,0.5358784
49,143.6737,0.5358367
50,145.6399,0.5365968
51,147.6255,0.5366342
52,149.5818,0.5372772
53,151.4605,0.5373491
54,153.2105,0.5374903
55,155.4112,0.5378224
56,157.7268,0.538507
57,159.2437,0.5390124
58,161.4999,0.5394949
59,163.2086,0.5402488
60,166.5013,0.5405626
61,168.4999,0.5406585
62,169.4305,0.5408187
63,171.5824,0.5420063
64,173.4618,0.542178
65,175.9999,0.5421696
66,178.833,0.5423969
67,180.688,0.5425133
68,183.0706,0.5430422
69,184.8337,0.5432116
70,187.048,0.544764
71,188.6749,0.5451952
72,190.9918,0.5460857
73,193.5206,0.546446
74,196.173,0.5471977
75,197.4906,0.5474439
76,199.1418,0.5474991
77,201.2262,0.5475863
78,203.3899,0.5478961
79,205.3168,0.5478919
80,207.4099,0.5501064
81,209.3437,0.550302
82,211.658,0.5502465
83,213.6712,0.550599
84,216.2543,0.5509517
85,217.5793,0.5511201
86,219.2874,0.5512573
87,221.7112,0.5520277
88,223.8905,0.55368
89,226.9093,0.5536041
90,228.2843,0.5537731
91,230.6618,0.5546115
92,231.7731,0.5549594
93,234.0062,0.5553049
94,236.0181,0.5574484
95,238.4137,0.5574485
96,240.6949,0.5575602
97,242.678,0.5575687
98,244.6143,0.5577786
99,247.2524,0.558212
100,249.0237,0.558684
101,251.2043,0.5585442
102,253.0068,0.5593695
103,255.4449,0.5601236
104,257.3987,0.5601315
105,259.4143,0.561592
106,261.1958,0.5619598
107,263.843,0.5621665
108,266.1418,0.5620674
109,268.1487,0.5625457
110,270.3668,0.5635211
111,271.8274,0.5635073
112,274.0368,0.5635444
113,276.223,0.5636514
114,278.4418,0.5696354
115,281.0774,0.5697115
116,282.7962,0.5704793
117,285.4912,0.5708496
118,287.773,0.5710365
119,289.9693,0.5711694
120,291.3793,0.57134
121,293.2043,0.5723317
122,294.7274,0.5727782
123,296.9455,0.5736344
124,298.4257,0.57474
125,300.8962,0.575023
126,303.8499,0.5753198
127,305.5381,0.5753803
128,307.5931,0.575589
129,308.5681,0.5758571
130,311.7818,0.5763189
131,313.8668,0.5771329
132,315.2718,0.5771045
133,317.5793,0.5772312
134,319.3587,0.5772866
135,322.1618,0.5773727
136,324.4218,0.5774738
137,326.3355,0.5777291
138,328.218,0.5780145
139,329.7687,0.5781415
140,331.1437,0.5782661
141,333.0181,0.5784222
142,335.3206,0.5788334
143,337.5793,0.5792892
144,338.6643,0.5792942
145,341.0674,0.5795217
146,343.2418,0.5796789
147,346.0318,0.5799296
148,348.0374,0.5799825
149,349.3149,0.5800355
150,351.038,0.5802411
151,353.1881,0.5806415
152,355.4074,0.5808975
153,357.1581,0.5811491
154,359.4843,0.5815345
155,361.5356,0.5820565
156,364.0855,0.5824195
157,365.9437,0.5827511
158,368.1599,0.5830867
159,370.2424,0.5833305
160,371.1806,0.5836325
161,373.6324,0.5835911
162,375.4088,0.584427
163,376.8949,0.5850586
164,378.4931,0.585117
165,380.8331,0.5852677
166,382.3343,0.5856944
167,383.5549,0.5857358
168,386.0374,0.5864071
169,388.1762,0.5865793
170,389.3312,0.5865954
171,391.1318,0.5867159
172,392.2193,0.5877275
173,393.9706,0.5883243
174,396.3524,0.5883527
175,398.0499,0.5894189
176,399.4862,0.5897606
177,401.6574,0.590153
178,403.5306,0.5902144
179,406.0537,0.5902217
180,407.9299,0.5907979
181,409.7574,0.5912265
182,412.0149,0.5914151
183,413.0024,0.5927133
184,415.4762,0.5929589
185,417.0624,0.5931561
186,418.4437,0.5935876
187,420.5312,0.593671
188,422.7199,0.593832
189,424.2993,0.5941917
190,426.5962,0.5946312
191,427.9055,0.5946172
192,429.3924,0.5949759
193,430.8199,0.5951369
194,433.5668,0.5953358
195,434.9543,0.595429
196,436.6156,0.5966943
197,439.8325,0.5969756
198,440.553,0.5971931
199,442.6793,0.5974308
200,444.5674,0.5975586
201,446.5643,0.597695
202,448.4055,0.5976424
203,449.7031,0.5977207
204,451.9286,0.5978805
205,452.9706,0.5982976
206,455.1952,0.5985676
207,457.3662,0.5985784
208,458.8774,0.5986861
209,460.428,0.5989345
210,462.6749,0.5995055
211,464.5618,0.5997493
212,466.3787,0.5997951
213,467.5799,0.5998205
214,469.0949,0.6000247
215,470.4543,0.5999623
216,472.8962,0.6000883
217,473.3043,0.6004189
218,475.8293,0.6003374
219,477.0337,0.6004382
220,479.1268,0.6005277
221,480.5643,0.6008002
222,482.9543,0.601172
223,484.9418,0.6011023
224,486.6624,0.6012154
225,488.1737,0.6012346
226,489.6618,0.6014336
227,491.6324,0.601526
228,492.6568,0.601655
229,494.5237,0.6016739
230,496.2837,0.6016678
231,498.2699,0.6018576
232,499.6762,0.6019499
233,501.953,0.6022686
234,502.7981,0.6022831
235,504.4056,0.6024616
236,506.6306,0.6027033
237,508.5968,0.602711
238,510.3043,0.602787
239,511.9749,0.6030474
240,513.5312,0.6032179
241,514.8005,0.6034984
242,516.5462,0.6036398
243,517.6005,0.6037391
244,519.3708,0.6039666
245,521.1437,0.6039472
246,522.6743,0.6042018
247,524.1762,0.6042743
248,525.5231,0.6043706
249,527.6937,0.6042733
250,528.5087,0.6042553
251,530.4693,0.6043085
252,533.3637,0.6044493
253,534.3743,0.6045515
254,535.7849,0.6044884
255,537.4112,0.604592
256,538.4768,0.6046567
257,540.0993,0.6047687
258,541.8986,0.6051237
259,542.6124,0.6053904
260,545.1618,0.6053541
261,546.273,0.605341
262,547.5237,0.6053586
263,549.3605,0.6053707
264,550.7055,0.6054487
265,552.0805,0.605603
266,553.7712,0.6056297
267,555.4756,0.6057246
268,557.4387,0.6059638
269,558.5943,0.6061402
270,560.3912,0.6061662
271,561.4084,0.6060499
272,563.1418,0.6063876
273,565.0974,0.6063783
274,566.6893,0.6066785
275,567.9224,0.6067395
276,570.1268,0.6069173
277,572.0174,0.6068487
278,572.9074,0.6068338
279,573.9293,0.6068837
280,576.0006,0.6071174
281,577.8668,0.6073249
282,579.413,0.6073193
283,580.9874,0.6072463
284,582.7662,0.6072062
285,584.4424,0.6074783
286,585.6937,0.6074855
287,587.1613,0.6077204
288,588.3143,0.6076692
289,590.6712,0.6074758
290,592.3524,0.6074812
291,593.1437,0.6073859
292,595.3155,0.6073339
293,596.9062,0.6074545
294,597.9112,0.6074041
295,599.1418,0.60776
296,600.6437,0.6078663
297,601.9293,0.6078266
298,603.8599,0.6078101
299,604.9749,0.6079427
300,606.9124,0.6079338
301,608.0218,0.6079137
302,609.8975,0.6079194
303,611.6295,0.6079011
304,612.8355,0.6080278
305,614.7368,0.6079681
306,616.1118,0.608046
307,617.6574,0.6080683
308,619.6287,0.6080655
309,620.7549,0.6080618
310,622.1399,0.6080342
311,623.5368,0.6079671
312,625.1293,0.6081894
313,626.7049,0.6082312
314,628.658,0.6082872
315,630.2968,0.6084468
316,631.813,0.608563
317,633.5187,0.6087624
318,635.1607,0.6089933
319,636.5068,0.608981
320,638.4731,0.6091636
321,639.5349,0.6092743
322,641.1557,0.6092054
323,642.8474,0.6091416
324,643.9837,0.6091298
325,645.6749,0.6092396
326,646.8361,0.6092378
327,648.8955,0.6092329
328,650.9118,0.6091846
329,651.758,0.6091779
330,653.0937,0.6092308
331,654.5787,0.6094111
332,656.9925,0.6094571
333,658.3037,0.6094441
334,659.4599,0.6095497
335,660.1574,0.6097423
336,661.468,0.6097601
337,662.9375,0.6097521
338,664.8943,0.6097566
339,666.5937,0.6097119
340,668.4243,0.609922
341,669.5955,0.6100321
342,670.4249,0.6106551
343,672.2899,0.6106601
344,674.2212,0.61072
345,675.2274,0.6106576
346,677.3781,0.610768
347,679.0037,0.6110672
348,679.8431,0.6112032
349,681.0787,0.6112041
350,683.4999,0.6115722
351,684.4062,0.6116018
352,686.2588,0.6116613
353,687.4437,0.6116774
354,689.3293,0.6118135
355,691.3168,0.6118622
356,692.5305,0.6118891
357,694.0618,0.6119541
358,695.3349,0.6121569
359,696.1786,0.6121754
360,697.7349,0.6123141
361,700.1018,0.6123151
362,701.438,0.6123102
363,703.1449,0.6123339
364,704.3656,0.6123836
365,706.4118,0.6124851
366,708.1618,0.6124674
367,708.5712,0.6124858
368,710.7831,0.6125131
369,712.4237,0.6126833
370,714.3905,0.6125625
371,715.7862,0.6127425
372,717.7362,0.612925
373,718.6806,0.613356
374,719.8162,0.6134847
375,721.7524,0.6135522
376,722.578,0.6135055
377,724.1024,0.6135429
378,725.8768,0.6135121
379,727.9062,0.6135257
380,729.0168,0.6135445
381,730.053,0.6135574
382,731.8312,0.6136047
383,733.2224,0.6135428
384,734.7743,0.613532
385,735.7807,0.6135657
386,738.1937,0.6135878
387,739.343,0.6137737
388,741.1168,0.6141989
389,742.5218,0.6144379
390,743.5962,0.6146216
391,745.0837,0.6146448
392,746.6643,0.6146879
393,748.2544,0.6146867
394,749.6793,0.6146308
395,750.8355,0.61467
396,752.5868,0.6147246
397,753.4249,0.6147025
398,755.3118,0.6147972
399,756.8143,0.6148863
400,757.7043,0.6148492
401,758.8799,0.6149078
402,760.5193,0.6149166
403,762.2037,0.6149168
404,764.0312,0.6148751
405,765.1243,0.6149382
406,767.3918,0.6148606
407,768.5669,0.6148763
408,769.6581,0.6149455
409,770.9899,0.6149092
410,772.1887,0.6149124
411,773.9712,0.6150303
412,775.5524,0.6151281
413,777.4074,0.6152014
414,778.0031,0.6152466
415,779.5824,0.6153531
416,780.598,0.6153215
417,782.0831,0.6153195
418,784.3349,0.6153788
419,785.6487,0.6158081
420,786.8787,0.6160023
421,788.5824,0.6159986
422,789.4774,0.6159934
423,790.9574,0.6159843
424,792.943,0.6160143
425,793.6424,0.6160138
426,795.288,0.6160402
427,795.9124,0.615959
428,797.7724,0.6158698
429,799.6712,0.6158921
430,800.7068,0.6160689
431,802.3324,0.6161919
432,803.5624,0.6160477
433,804.9137,0.6161097
434,806.0937,0.616048
435,807.1943,0.6160136
436,808.6649,0.6160283
437,809.9562,0.6159593
438,810.8212,0.6160009
439,812.6718,0.615935
440,814.6599,0.6158755
441,815.2224,0.6158976
442,816.8131,0.6158481
443,818.5537,0.6158961
444,819.2493,0.6157794
445,821.143,0.6158408
446,822.6924,0.6158154
447,823.6474,0.615786
448,825.3043,0.6157204
449,826.4843,0.6157435
450,827.3462,0.6156851
451,829.3312,0.6156787
452,830.3956,0.6156984
453,831.5712,0.6158015
454,833.1568,0.6158187
455,833.6468,0.6158964
456,835.3918,0.6158229
457,837.0074,0.615942
458,838.6737,0.6158614
459,840.5231,0.615821
460,841.8337,0.6158054
461,842.9756,0.6158865
462,843.9537,0.6159437
463,846.0537,0.6159437
464,846.9837,0.6158772
465,848.053,0.6158634
466,849.9843,0.6159394
467,850.9112,0.6159187
468,852.4418,0.6159134
469,854.0068,0.6159233
470,855.6468,0.6158172
471,856.6112,0.6156889
472,857.7224,0.6155645
473,858.8299,0.615567
474,860.7387,0.6156203
475,862.015,0.6155644
476,863.4381,0.6155412
477,864.4593,0.6154798
478,865.8437,0.6154717
479,866.648,0.6154118
480,868.3118,0.6154598
481,870.0524,0.6154427
482,870.7677,0.615462
483,872.7062,0.6154587
484,874.2493,0.6154478
485,875.5155,0.6156674
486,877.0649,0.6156015
487,878.7506,0.6156875
488,879.5531,0.6157222
489,880.9074,0.615726
490,882.8993,0.6157596
491,884.0518,0.6157957
492,885.7824,0.6158146
493,887.048,0.6161108
494,888.6649,0.6161929
495,890.0043,0.6162767
496,891.3956,0.6161474
497,892.0556,0.6161509
498,893.8818,0.6161363
499,894.7375,0.6161862
500,896.8174,0.6161404
501,898.3768,0.616165
502,899.703,0.6161565
503,901.453,0.616177
504,902.2699,0.6161783
505,903.6405,0.6162129
506,905.4568,0.6161731
507,906.1646,0.6162875
508,908.5821,0.6163049
509,910.4881,0.6162652
510,911.1637,0.6162473
511,913.258,0.6163419
512,914.7849,0.6163413
513,915.4456,0.6164446
514,917.5862,0.6163282
515,918.1574,0.6164042
516,920.188,0.6164471
517,921.2712,0.6165566
518,923.0643,0.616604
519,924.2099,0.6167783
520,926.0849,0.6167723
521,926.9262,0.6166936
522,928.5806,0.6166525
523,929.5556,0.6167185
524,931.2724,0.6167124
525,931.8774,0.6166009
526,934.4618,0.6164982
527,936.0393,0.6164723
528,937.8631,0.6166123
529,938.6487,0.616572
530,940.0793,0.6165839
531,941.1255,0.6166334
532,943.0655,0.616705
533,944.6462,0.6168267
534,945.3049,0.6168549
535,947.2824,0.616899
536,948.8974,0.6171709
537,950.0224,0.6171727
538,951.178,0.6173131
539,953.0518,0.6174163
540,954.0787,0.6176459
541,955.4606,0.6176983
542,956.9999,0.6176752
543,959.1918,0.6176782
544,959.868,0.6175899
545,961.5937,0.6175044
546,962.7855,0.6175232
547,964.3949,0.6175024
548,965.0843,0.6176088
549,966.5856,0.6175634
550,968.1555,0.6179005
551,969.3168,0.6177747
552,971.2037,0.6178784
553,972.5855,0.6179097
