Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree
'bosch','xgboost-lossguide','leaves',1,40,664.794982910156,0.712459216929,1995,2000,0.02,7,0,1,1,1
'bosch','xgboost-lossguide','leaves',2,40,797.068718994141,0.721185332723,1462,1500,0.02,15,0,1,1,1
'bosch','xgboost-lossguide','leaves',3,40,699.515474121094,0.723785790557,426,750,0.02,31,0,1,1,1
'bosch','xgboost-lossguide','leaves',4,40,861.531202880859,0.726102716238,405,500,0.02,63,0,1,1,1
'bosch','xgboost-lossguide','leaves',5,40,1303.638614257813,0.728068437439,314,400,0.02,127,0,1,1,1
'bosch','xgboost-lossguide','leaves',6,40,2239.843704833984,0.728706666015,316,350,0.02,255,0,1,1,1
'bosch','xgboost-lossguide','leaves',7,40,3947.873621337891,0.726142320225,324,325,0.02,511,0,1,1,1
'bosch','xgboost-lossguide','leaves',8,40,6846.524953613281,0.724379308734,300,300,0.02,1023,0,1,1,1
'bosch','xgboost-lossguide','leaves',9,40,7164.944965087891,0.709059997533,133,200,0.02,2047,0,1,1,1
'bosch','xgboost-lossguide','leaves',10,40,9747.121134765624,0.704370441753,125,200,0.02,4095,0,1,1,1
'bosch','xgboost-lossguide','depth',1,40,654.043796630859,0.714533349781,1920,2000,0.02,7,3,1,1,1
'bosch','xgboost-lossguide','depth',2,40,709.133659912109,0.719808083178,1425,1500,0.02,15,4,1,1,1
'bosch','xgboost-lossguide','depth',3,40,738.778631835938,0.721459230137,977,1000,0.02,31,5,1,1,1
'bosch','xgboost-lossguide','depth',4,40,856.681286132812,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-lossguide','depth',5,40,858.806804931641,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-lossguide','depth',6,40,1067.236834960938,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-lossguide','depth',7,40,1429.687459960938,0.724839818030,391,400,0.02,511,9,1,1,1
'bosch','xgboost-lossguide','depth',8,40,1796.173722167969,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-lossguide','depth',9,40,2395.784781250000,0.727256205470,343,400,0.02,2047,11,1,1,1
'bosch','xgboost-lossguide','depth',10,40,2771.934991943359,0.725654057671,338,400,0.02,4095,12,1,1,1
'bosch','xgboost-lossguide','hessian',1,40,1781.000515136719,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-lossguide','hessian',2,40,1136.322467041016,0.725059542169,325,400,0.02,1023,10,5,1,1
'bosch','xgboost-lossguide','hessian',3,40,727.097921142578,0.718156451878,308,400,0.02,1023,10,25,1,1
'bosch','xgboost-lossguide','hessian',4,40,473.809375976562,0.703630251594,282,400,0.02,1023,10,125,1,1
'bosch','xgboost-lossguide','sampling',1,40,684.646939208984,0.723430755617,684,750,0.04,63,6,1,1,1
'bosch','xgboost-lossguide','sampling',2,40,833.582208007812,0.722520767499,372,750,0.04,63,6,1,0.8,1
'bosch','xgboost-lossguide','sampling',3,40,829.579924072266,0.719379865882,297,750,0.04,63,6,1,0.6,1
'bosch','xgboost-lossguide','sampling',4,40,781.740695068359,0.720782556347,549,750,0.04,63,6,1,0.4,1
'bosch','xgboost-depthwise','depth',1,40,651.265022949219,0.713453373611,1999,2000,0.02,7,3,1,1,1
'bosch','xgboost-depthwise','depth',2,40,709.187489990234,0.719907258498,1402,1500,0.02,15,4,1,1,1
'bosch','xgboost-depthwise','depth',3,40,733.443073974609,0.719897626363,955,1000,0.02,31,5,1,1,1
'bosch','xgboost-depthwise','depth',4,40,838.436145019531,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-depthwise','depth',5,40,874.372472900391,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-depthwise','depth',6,40,1044.783693115234,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-depthwise','depth',7,40,1405.451195800781,0.724839818030,391,400,0.02,511,9,1,1,1
'bosch','xgboost-depthwise','depth',8,40,1813.579217285156,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-depthwise','depth',9,40,2298.466725097656,0.727256205470,343,400,0.02,2047,11,1,1,1
'bosch','xgboost-depthwise','depth',10,40,2790.149394775391,0.725654057671,338,400,0.02,4095,12,1,1,1
'bosch','xgboost-depthwise','hessian',1,40,1839.485628173828,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-depthwise','hessian',2,40,1222.405537841797,0.725059542169,325,400,0.02,1023,10,5,1,1
'bosch','xgboost-depthwise','hessian',3,40,752.459325195313,0.718156451878,308,400,0.02,1023,10,25,1,1
'bosch','xgboost-depthwise','hessian',4,40,488.574387695313,0.703630251594,282,400,0.02,1023,10,125,1,1
'bosch','xgboost-depthwise','sampling',1,40,691.585631835938,0.723430755617,684,750,0.04,63,6,1,1,1
'bosch','xgboost-depthwise','sampling',2,40,859.373042968750,0.722520767499,372,750,0.04,63,6,1,0.8,1
'bosch','xgboost-depthwise','sampling',3,40,851.839922119141,0.719379865882,297,750,0.04,63,6,1,0.6,1
'bosch','xgboost-depthwise','sampling',4,40,845.222464111328,0.720782556347,549,750,0.04,63,6,1,0.4,1
'bosch','xgboost-lossguide','leaves',1,20,613.686922119141,0.712459216929,1995,2000,0.02,7,0,1,1,1
'bosch','xgboost-lossguide','leaves',2,20,643.668109863281,0.721185332723,1462,1500,0.02,15,0,1,1,1
'bosch','xgboost-lossguide','leaves',3,20,516.271802001953,0.723785790557,426,750,0.02,31,0,1,1,1
'bosch','xgboost-lossguide','leaves',4,20,595.283674804688,0.726102716238,405,500,0.02,63,0,1,1,1
'bosch','xgboost-lossguide','leaves',5,20,863.932452148438,0.728068437439,314,400,0.02,127,0,1,1,1
'bosch','xgboost-lossguide','leaves',6,20,1356.660574951172,0.728706666015,316,350,0.02,255,0,1,1,1
'bosch','xgboost-lossguide','leaves',7,20,2824.231867187500,0.726142320225,324,325,0.02,511,0,1,1,1
'bosch','xgboost-lossguide','leaves',8,20,4167.707504882813,0.724379308734,300,300,0.02,1023,0,1,1,1
'bosch','xgboost-lossguide','leaves',9,20,4290.465052001953,0.709059997533,133,200,0.02,2047,0,1,1,1
'bosch','xgboost-lossguide','leaves',10,20,6358.805020263672,0.704370441753,125,200,0.02,4095,0,1,1,1
'bosch','xgboost-lossguide','depth',1,20,606.220575195312,0.714533349781,1920,2000,0.02,7,3,1,1,1
'bosch','xgboost-lossguide','depth',2,20,571.725556884766,0.719808083178,1425,1500,0.02,15,4,1,1,1
'bosch','xgboost-lossguide','depth',3,20,531.450571044922,0.721459230137,977,1000,0.02,31,5,1,1,1
'bosch','xgboost-lossguide','depth',4,20,596.442830810547,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-lossguide','depth',5,20,561.225586181641,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-lossguide','depth',6,20,660.723218994141,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-lossguide','depth',7,20,870.566911132812,0.724839818030,391,400,0.02,511,9,1,1,1
