Iteration,Time,AUC
1,25.4206,0.6556958
2,26.70186,0.655702
3,28.06123,0.676009
4,29.46748,0.6760101
5,30.80561,0.6762362
6,32.16498,0.6770059
7,33.43498,0.6768849
8,34.87686,0.6769104
9,36.23061,0.6777114
10,37.59435,0.6776443
11,38.98373,0.6776914
12,40.30624,0.6772643
13,41.68561,0.6780644
14,42.96686,0.6771928
15,44.37186,0.6780125
16,45.7356,0.677249
17,47.08936,0.6784197
18,48.53122,0.6786115
19,49.89061,0.6785893
20,51.21873,0.6786424
21,52.59374,0.6843722
22,53.87498,0.6838438
23,55.18186,0.6836457
24,56.62372,0.6841016
25,57.8581,0.6836245
26,59.3056,0.683506
27,60.83685,0.6823998
28,62.34559,0.6824093
29,63.79873,0.6814109
30,65.23061,0.681273
31,66.59436,0.681471
32,68.12561,0.6824584
33,69.55747,0.6835631
34,71.04622,0.6834521
35,72.50936,0.6834272
36,74.12311,0.6834381
37,75.66872,0.6835923
38,77.24686,0.6833427
39,78.82498,0.684159
40,80.35628,0.6843241
41,81.93874,0.6848167
42,83.51124,0.6848527
43,85.07373,0.6847525
44,86.73435,0.6845923
45,88.26561,0.6847473
46,89.78123,0.6848078
47,91.26561,0.6848543
48,92.8281,0.6848123
49,94.42186,0.6847679
50,95.96311,0.6847449
51,97.47872,0.6848526
52,99.13498,0.6849401
53,100.6819,0.6849533
54,102.2287,0.6848554
55,103.8425,0.6849111
56,105.4831,0.6849348
57,107.0556,0.6845859
58,108.6806,0.6846315
59,109.4237,0.6848942
60,111.0431,0.6845795
61,112.6994,0.6845123
62,114.2619,0.6844851
63,115.8712,0.6843184
64,117.6212,0.6842734
65,119.2775,0.6843267
66,120.8712,0.6844261
67,122.59,0.6844139
68,124.3869,0.6845444
69,126.019,0.6845694
70,127.6681,0.684692
71,129.3287,0.6847606
72,130.9537,0.6844841
73,132.6044,0.6846556
74,134.2962,0.6847171
75,136.0462,0.684704
76,137.7437,0.6847968
77,139.3731,0.6846912
78,141.1302,0.6847883
79,142.8731,0.6847325
80,144.6075,0.6847111
81,146.2625,0.6872292
82,148.0168,0.6871232
83,149.7612,0.6875086
84,151.4019,0.6879076
85,153.2143,0.6887909
86,154.8694,0.6886843
87,156.5412,0.6884822
88,158.3381,0.6884756
89,160.0412,0.688568
90,161.7756,0.6887104
91,163.51,0.6889699
92,165.2487,0.6893406
93,166.9519,0.6893182
94,168.8112,0.6897289
95,170.8231,0.6897245
96,172.6512,0.689855
97,174.37,0.6901009
98,176.2137,0.690205
99,177.9937,0.6900962
100,179.9356,0.6900176
101,181.67,0.6901236
102,183.4968,0.6902129
103,185.3918,0.6907098
104,187.2925,0.6907568
105,189.105,0.6908201
106,191.0737,0.690809
107,193.01,0.6909829
108,194.8693,0.6912141
109,196.915,0.6916273
110,198.8525,0.6919822
111,200.7787,0.6921561
112,202.6994,0.6919307
113,204.5743,0.6921883
114,206.485,0.6922843
