Iteration,Time,AUC
1,24.71496,0.6077123
2,25.98496,0.6077403
3,27.25494,0.6077345
4,28.64558,0.6077488
5,29.9112,0.6077482
6,31.28495,0.6091495
7,32.5293,0.6091486
8,33.88869,0.60915
9,35.24807,0.6091506
10,36.65881,0.60915
11,37.93532,0.6091489
12,39.19307,0.6091495
13,40.42182,0.6091381
14,41.67619,0.60914
15,42.89495,0.609143
16,44.08246,0.6100887
17,45.66056,0.6558074
18,46.89494,0.6558114
19,48.17058,0.6558112
20,49.38931,0.6558102
21,50.98741,0.6616118
22,52.25307,0.661615
23,53.47183,0.6616103
24,54.75182,0.661609
25,56.04307,0.6616085
26,57.27744,0.6616122
27,58.60557,0.6616116
28,60.09432,0.6628523
29,61.35995,0.6628462
30,62.8287,0.6628965
31,64.33307,0.6629934
32,65.81184,0.6630057
33,67.07743,0.6629722
34,68.3587,0.6629705
35,69.93682,0.6630903
36,71.42121,0.6630997
37,72.70244,0.6631007
38,74.22245,0.6631386
39,75.76931,0.67047
40,77.30057,0.6723995
41,78.76934,0.6724001
42,80.40995,0.6729598
43,82.09182,0.6771586
44,83.83058,0.6776508
45,85.33058,0.677686
46,86.87744,0.6779107
47,88.42432,0.6778857
48,89.87745,0.6803297
49,91.5337,0.6814266
50,93.14307,0.6821953
51,94.95558,0.6829573
52,96.62183,0.6836728
53,98.2937,0.6843659
54,99.93432,0.6843464
55,101.4812,0.6843323
56,103.0281,0.688712
57,104.7199,0.6887952
58,106.4118,0.6887772
59,108.2231,0.6880346
60,109.8637,0.6876009
61,111.5199,0.6882795
62,113.1862,0.6893482
63,114.9405,0.6896152
64,116.55,0.6901907
65,118.1381,0.690343
66,119.7474,0.6901859
67,121.3924,0.6902897
68,122.9706,0.6898933
69,124.6568,0.6908515
70,126.3743,0.6907352
71,128.1131,0.6915819
72,129.8418,0.6918012
73,131.4199,0.69267
74,133.0449,0.6940308
75,134.6387,0.6940106
76,136.2793,0.6939895
77,138.0493,0.6943699
78,139.6587,0.6938817
79,141.3874,0.6937968
80,143.0281,0.6937655
81,144.7156,0.6939958
82,146.3449,0.6940388
83,147.1932,0.6944442
84,149.0524,0.695438
85,150.7009,0.6965384
86,152.4899,0.6969952
