Iteration,Time,AUC
1,33.3699,0.7765541
2,42.01678,0.7853711
3,50.73365,0.7907268
4,59.59487,0.7947626
5,68.15864,0.798117
6,76.82303,0.8009472
7,84.99553,0.8034004
8,92.59741,0.8055968
9,101.3614,0.8077545
10,109.4374,0.8097803
11,117.1136,0.8112194
12,125.4399,0.8129088
13,130.6368,0.8138018
14,138.2699,0.8148948
15,145.948,0.8159908
16,153.5655,0.8170238
17,160.9793,0.8179874
18,167.9499,0.8188528
19,174.2218,0.8195101
20,179.738,0.8201017
21,184.6999,0.8205739
22,191.0474,0.8213608
23,197.7624,0.8218943
24,203.0968,0.8222987
25,207.9055,0.8226196
26,213.6999,0.823059
27,221.8274,0.8239905
28,229.0737,0.8244598
29,232.5043,0.824595
30,239.2306,0.8249574
31,246.8606,0.8254736
32,248.5199,0.825563
33,255.9881,0.8260444
34,263.753,0.8266092
35,266.8868,0.8267226
36,271.8561,0.8269512
37,275.8281,0.8270933
38,282.7361,0.8276191
39,291.1918,0.8281923
40,295.5018,0.8283709
41,298.9324,0.8285202
42,305.2793,0.8287908
43,310.5937,0.8289955
44,316.4805,0.8293652
45,321.0149,0.8295307
46,327.5268,0.8299504
47,333.1124,0.830162
48,339.4199,0.8304063
49,344.2355,0.830578
50,349.5299,0.8307732
51,352.8387,0.8307964
52,357.3887,0.8309615
53,364.2293,0.8311852
54,369.9411,0.8313552
55,374.983,0.8315677
56,380.2205,0.8316922
57,385.5349,0.8319518
58,390.223,0.8321186
59,397.5036,0.8323836
60,401.6705,0.8324917
61,407.1536,0.8326317
62,412.4055,0.8327868
63,415.9499,0.8328395
64,419.263,0.8328654
65,423.8574,0.8329844
66,429.3949,0.8332331
67,435.5662,0.8334804
68,438.7612,0.8335493
69,445.7492,0.8337257
70,451.5736,0.8338539
71,459.488,0.8341621
72,463.1517,0.834194
73,470.1836,0.8342758
74,473.7849,0.8343287
75,479.0424,0.8345078
76,483.003,0.8346829
77,485.6267,0.8347237
78,489.7505,0.8347965
79,497.4261,0.8350072
80,501.6293,0.8351225
81,508.4849,0.8353522
82,513.7924,0.8354571
83,520.8724,0.8356407
84,527.5662,0.835834
85,530.8161,0.8358724
86,533.8861,0.8358931
87,540.9037,0.8361527
88,547.2324,0.8363093
89,551.5187,0.8364148
90,557.8855,0.8365747
91,563.0437,0.8366822
92,570.3074,0.8368902
93,573.2793,0.8369274
94,579.0012,0.8370554
95,584.7518,0.837149
96,590.3249,0.8372439
97,596.1437,0.8374014
98,604.1887,0.8376164
99,608.5755,0.8377541
100,614.2624,0.8378524
101,617.6205,0.8378891
102,622.9674,0.8379945
103,629.8611,0.8381467
104,634.4712,0.8381951
105,639.7018,0.8382746
106,644.7318,0.8383516
107,649.8418,0.8384301
108,654.0337,0.8384875
109,658.0199,0.8385131
110,664.6043,0.8385904
111,672.808,0.8389252
112,677.5811,0.8390646
113,685.8318,0.8393712
114,689.5749,0.8393905
115,696.503,0.8395516
116,703.2168,0.8396654
117,706.7455,0.839702
118,713.6724,0.839844
119,720.123,0.8399875
120,726.0636,0.8400933
121,731.3937,0.8401488
122,736.2067,0.8402128
123,741.3918,0.8402742
124,743.5043,0.8402857
125,748.4205,0.840368
126,753.073,0.8404104
127,758.7624,0.8404761
128,764.6437,0.8405442
129,769.8243,0.840582
130,773.248,0.8406188
131,780.473,0.8407749
132,787.7304,0.8409026
133,791.158,0.8409372
134,795.2462,0.8409774
135,801.7187,0.8410883
136,805.4493,0.8411324
137,811.2137,0.8411922
138,814.4668,0.841207
139,821.8924,0.8413354
140,827.4255,0.8414273
141,833.9574,0.8414828
142,839.9336,0.8416093
143,847.3624,0.841736
144,851.7962,0.8417785
145,856.4186,0.8418456
146,862.5755,0.8419559
147,868.4686,0.8420673
148,875.8855,0.8421287
149,880.2499,0.8421466
150,888.123,0.842344
151,894.0955,0.8424003
152,898.4699,0.8424264
153,903.0812,0.8425034
154,910.7368,0.8426642
155,915.9999,0.8427123
156,921.188,0.8427938
157,926.828,0.8428893
158,934.4849,0.8430012
159,941.3293,0.8430891
160,945.828,0.8431201
161,953.4568,0.8431677
162,958.9674,0.8432334
163,966.1418,0.8433085
164,969.1205,0.8433107
165,973.7074,0.843314
166,977.2487,0.8433246
167,980.9874,0.8433413
168,988.2293,0.8434487
169,996.5799,0.8435741
170,1002.809,0.8436363
171,1010.519,0.8437482
172,1014.514,0.8437723
173,1021.406,0.8438439
174,1026.785,0.8438822
175,1032.435,0.8439254
176,1035.457,0.8439298
177,1039.464,0.8439286
178,1044.598,0.8439591
179,1048.31,0.8439654
180,1053.154,0.8439974
181,1060.466,0.8440866
182,1067.69,0.8441764
183,1072.473,0.8442241
184,1077.402,0.8443002
185,1081.495,0.8443158
186,1088.082,0.8443944
187,1094.047,0.8444354
188,1099.826,0.8444948
189,1105.513,0.8445408
190,1113.169,0.8446299
191,1117.013,0.8446496
192,1122.051,0.8446597
193,1130.094,0.844759
194,1134.91,0.8447845
195,1141.372,0.8448489
196,1148.215,0.844917
197,1152.562,0.844917
198,1157.795,0.8449837
199,1162.925,0.8450094
200,1167.876,0.8450181
