Iteration,Time,AUC
1,28.15616,0.7813642
2,35.65119,0.7906223
3,43.83745,0.7956816
4,50.80932,0.7996976
5,58.88993,0.8027805
6,66.23495,0.8054995
7,74.76114,0.8079028
8,81.36056,0.8101033
9,89.59057,0.8122191
10,97.12619,0.813762
11,104.1824,0.815184
12,111.2887,0.8166719
13,117.9349,0.8177651
14,124.5756,0.8188175
15,131.0449,0.8196993
16,137.5462,0.8207804
17,144.3449,0.8217208
18,149.5287,0.8220895
19,156.3087,0.8229314
20,162.8849,0.8236085
21,167.5312,0.8239859
22,171.9624,0.8244833
23,177.8081,0.8249549
24,184.0012,0.8255682
25,191.2787,0.8261735
26,196.2637,0.8265367
27,199.9149,0.8268641
28,205.1874,0.8271979
29,211.1837,0.8278394
30,219.028,0.8284874
31,224.1812,0.8288282
32,230.3055,0.8292943
33,235.7899,0.8296255
34,238.6024,0.8297555
35,243.6387,0.8299686
36,248.8412,0.8302348
37,252.6962,0.8303653
38,260.1549,0.8307904
39,265.2512,0.8311786
40,269.1812,0.8312044
41,274.9356,0.8314475
42,281.7106,0.8319413
43,288.8443,0.8325471
44,295.2612,0.8328713
45,300.088,0.8330621
46,305.7956,0.8332828
47,308.9462,0.8333401
48,314.7424,0.8335242
49,320.1418,0.8337919
50,326.0556,0.8339728
51,328.7311,0.834065
52,335.0093,0.8343528
53,339.2118,0.8344701
54,342.6337,0.834497
55,346.9337,0.8346251
56,353.0359,0.8348316
57,356.8543,0.8349263
58,362.3699,0.8350669
59,367.3606,0.8352858
60,371.5581,0.8353431
61,376.7118,0.8354691
62,382.1075,0.8356755
63,388.6956,0.8358909
64,394.6687,0.8360347
65,398.4386,0.8360779
66,402.7024,0.8361691
67,405.9524,0.836171
68,408.9024,0.8362336
69,413.188,0.8362853
70,416.4487,0.8363295
71,423.7262,0.8366886
72,430.5281,0.8368642
73,433.3124,0.8369467
74,437.4618,0.8369442
75,441.4068,0.8370095
76,445.0156,0.8370683
77,450.0318,0.837198
78,456.8431,0.8374099
79,462.6012,0.8375391
80,465.8099,0.8376028
81,469.0937,0.837619
82,474.4162,0.8376693
83,480.5462,0.8378379
84,488.2649,0.8380764
85,495.4187,0.8382787
86,498.1849,0.8383295
87,501.8393,0.8383655
88,509.0718,0.8385819
89,514.2574,0.8387589
90,520.0781,0.8388643
91,523.6568,0.8388941
92,532.3862,0.839332
93,537.9656,0.8394689
94,543.4456,0.8395259
95,548.9293,0.839664
96,551.7262,0.8397069
97,555.2324,0.8397182
98,561.7149,0.839894
99,567.8418,0.8399681
100,571.6706,0.8400557
101,577.5162,0.8401371
102,582.1368,0.8401877
103,588.9481,0.8405218
104,593.9018,0.8405689
105,599.6074,0.8407029
106,606.948,0.8409439
107,611.3674,0.8410023
108,614.8687,0.8410277
109,621.9637,0.8411769
110,628.3049,0.8413548
111,633.8606,0.8414898
112,640.6499,0.8416647
113,645.9149,0.8417247
114,649.4231,0.8417495
115,657.1081,0.8419066
116,662.4168,0.8419799
117,668.9499,0.8421556
118,674.4024,0.842211
119,680.7156,0.8423018
120,687.2737,0.8425095
121,693.5099,0.8426063
122,697.8074,0.8426879
123,701.5149,0.8427158
124,706.2749,0.8427753
125,711.9918,0.8429036
126,717.9962,0.8429906
127,723.6506,0.8430605
128,729.3243,0.8431488
129,734.1712,0.8431741
130,741.4299,0.8434031
131,748.0899,0.8435113
132,752.3224,0.843557
133,756.4018,0.8436052
134,762.7893,0.8436844
135,768.7737,0.8437133
136,774.8681,0.843807
137,780.2024,0.8438497
138,786.7637,0.8440075
139,792.1862,0.8440918
140,798.1553,0.8441329
141,804.2443,0.8442389
142,809.6056,0.8442731
143,816.2487,0.8443309
144,821.5318,0.8443578
145,826.9968,0.8443707
146,832.8568,0.8444728
147,839.3093,0.8445493
148,846.0281,0.8447311
149,851.1231,0.8447611
150,855.4931,0.8447894
151,860.1362,0.8448063
152,865.9524,0.8448583
153,872.0593,0.8449415
154,875.9499,0.8449734
155,880.9462,0.8450003
156,883.8269,0.8450453
157,886.9843,0.8450427
158,892.7037,0.8450762
159,897.6331,0.845143
160,900.3862,0.8451804
161,905.0937,0.8452119
162,909.4506,0.8452238
163,915.6824,0.8452827
164,921.6049,0.8453793
165,926.4537,0.8454349
166,932.6663,0.8454391
167,939.2481,0.8455124
168,944.8849,0.8455814
169,949.6824,0.8456236
170,952.3699,0.8456613
171,957.6231,0.845722
172,961.8284,0.8457524
173,965.0411,0.8457999
174,968.6081,0.8458072
175,972.5481,0.845826
176,979.6031,0.8459694
177,983.4359,0.8460081
178,989.8599,0.8461205
179,993.1193,0.8461322
180,996.1249,0.8461422
181,1001.808,0.8462114
182,1008.12,0.8462168
183,1013.952,0.8462738
184,1019.4,0.8462752
185,1023.56,0.8463284
186,1030.235,0.8463415
187,1036.576,0.8464237
188,1040.574,0.8464322
189,1044.606,0.8464473
190,1049.765,0.8464827
191,1054.342,0.8465417
192,1056.606,0.8465564
193,1060.539,0.8465475
194,1066.916,0.8465972
195,1069.906,0.8466065
196,1075.634,0.8466686
197,1080.103,0.8466528
198,1083.711,0.8466692
199,1090.53,0.8467225
200,1095.087,0.8467374
