Iteration,Time,AUC
1,20.0656,0.7407543
2,22.46622,0.7508045
3,24.87998,0.758168
4,27.10747,0.765272
5,29.51686,0.7703693
6,31.83375,0.7753591
7,34.19186,0.7788888
8,36.55119,0.7831102
9,38.9406,0.7859084
10,41.20056,0.788173
11,43.3456,0.7902069
12,45.67681,0.7921738
13,47.93687,0.7935633
14,50.14433,0.7947663
15,52.26373,0.7957547
16,54.43561,0.7970911
17,56.50249,0.7981078
18,58.66874,0.799062
19,60.8562,0.7999001
20,63.07501,0.800801
21,65.3281,0.8016448
22,67.52998,0.8020742
23,69.70625,0.8026563
24,71.34869,0.8030666
25,73.48936,0.8036817
26,75.25375,0.8039132
27,77.45429,0.80444
28,79.26682,0.8047948
29,81.70317,0.8056828
30,83.79682,0.8060839
31,85.90498,0.8065596
32,87.59248,0.8067817
33,89.40935,0.8072012
34,91.43807,0.8076157
35,93.73374,0.8080349
36,95.43998,0.808215
37,97.31498,0.8086631
38,99.20436,0.8088751
39,100.5469,0.80968
40,102.5625,0.8100483
41,104.8893,0.8102964
42,106.6225,0.8104663
43,108.83,0.8108893
44,110.8613,0.8111246
45,112.8612,0.8113726
46,114.8287,0.8115837
47,116.9269,0.81185
48,118.9269,0.812031
49,120.6287,0.812102
50,122.5593,0.8123716
51,124.7156,0.8127056
52,126.4431,0.8128571
53,128.4519,0.8131164
54,130.7531,0.8134897
55,132.3256,0.8135436
56,134.5118,0.8137326
57,136.235,0.8138676
58,138.5294,0.8140529
59,140.2018,0.8141442
60,142.1081,0.8144182
61,144.1125,0.8146547
62,146.2319,0.8149004
63,148.4494,0.8152172
64,150.4537,0.8154429
65,152.7506,0.8157468
66,154.6768,0.8159566
67,156.3331,0.8160528
68,158.3319,0.8161875
69,160.0037,0.8162969
70,161.5762,0.8163618
71,163.1543,0.816437
72,164.8606,0.8164861
73,166.5481,0.8165192
74,168.4119,0.8166429
75,170.3437,0.8168791
76,172.4675,0.8170359
77,174.6894,0.8173248
78,176.4393,0.8173795
79,178.1568,0.8174635
80,179.8331,0.8175521
81,182.1131,0.817905
82,183.8631,0.8179308
83,185.9356,0.818092
84,188.1376,0.8182915
85,189.1562,0.8185544
86,190.7018,0.8185966
87,192.8737,0.8188191
88,194.9081,0.8189557
89,196.8019,0.8190313
90,198.8487,0.8192906
91,200.8944,0.8194239
92,202.7849,0.8196374
93,204.5975,0.819676
94,206.0919,0.8197274
95,207.8294,0.8198101
96,209.9388,0.8199632
97,212.0981,0.8201004
98,214.0969,0.8202916
99,215.9237,0.8203492
100,217.9056,0.8204403
101,219.7325,0.8205284
102,221.5962,0.8206739
103,223.5025,0.8207773
104,225.4656,0.8208917
105,227.345,0.8210056
106,229.5637,0.8212462
107,231.5525,0.8213266
108,234.1068,0.8215617
109,235.9806,0.8216375
110,237.8018,0.8216608
111,239.7706,0.8217347
112,241.42,0.8217731
113,243.1375,0.8218364
114,244.8337,0.8218815
115,246.4887,0.8219021
116,248.4887,0.8219384
117,250.1237,0.8219644
118,252.4831,0.8221656
119,254.3268,0.822229
120,256.1581,0.8223546
121,258.205,0.8224706
122,260.3287,0.822595
123,262.0775,0.8226467
124,263.8887,0.8227205
125,266.0806,0.8229002
126,268.0181,0.8230284
127,270.0169,0.8231372
128,272.345,0.8233029
129,273.4843,0.8234081
130,275.5981,0.8235555
131,277.5769,0.823621
132,279.2162,0.8236518
133,281.1994,0.8237263
134,282.8131,0.8237197
135,285.0662,0.823808
136,287.3306,0.8239809
137,289.1531,0.8240367
138,291.0369,0.8241761
139,293.3437,0.8243595
140,295.3893,0.8244496
141,297.2844,0.8244969
142,299.5031,0.8246936
143,301.2351,0.8247355
144,303.4581,0.8249005
145,305.0462,0.824925
146,306.7337,0.8249785
147,308.9187,0.8250968
148,310.4856,0.8251825
149,312.595,0.8252373
150,314.9431,0.8253658
151,317.1125,0.825462
152,319.1725,0.8255119
153,320.8521,0.8255722
154,322.5675,0.825639
155,324.505,0.8256812
156,326.1144,0.8257178
157,328.3931,0.8258647
158,330.2212,0.8259591
159,332.075,0.8259752
160,333.9231,0.8260163
161,335.7556,0.8260408
162,337.6081,0.8261126
163,339.5144,0.8261724
164,341.3425,0.8262501
165,343.6693,0.826439
166,346.0475,0.8265695
167,348.1299,0.8266717
168,350.0662,0.8266964
169,352.1231,0.826754
170,354.0013,0.8267858
171,355.3181,0.8268781
172,357.2531,0.8269889
173,359.0644,0.8270719
