Iteration,Time,AUC
1,321.4049,0.5007907
2,341.685,0.500729
3,354.5112,0.5009249
4,367.7462,0.502239
5,379.6868,0.5030124
6,393.3293,0.5033136
7,405.1299,0.5051998
8,417.5806,0.5061291
9,430.6712,0.5069069
10,442.8256,0.5068752
11,455.2518,0.5078018
12,467.5756,0.5088494
13,479.1693,0.5093034
14,491.1125,0.5101729
15,504.2924,0.5121424
16,516.7549,0.5134625
17,528.0831,0.5142395
18,543.2337,0.5152587
19,556.1212,0.5160835
20,569.738,0.5170555
21,581.9199,0.5173527
22,595.9862,0.5183211
23,609.4387,0.519846
24,622.2381,0.5205602
25,635.3718,0.5211497
26,647.3237,0.5248814
27,660.0943,0.525563
28,672.2968,0.5273086
29,684.5031,0.5274615
30,697.7199,0.5280698
31,711.4655,0.5280963
32,725.0902,0.5285076
33,736.3418,0.5316454
34,748.2706,0.5316536
35,760.6737,0.5326976
36,771.8862,0.5325656
37,784.638,0.5326738
38,798.0043,0.532909
39,810.0018,0.5331307
40,821.9406,0.5333317
41,833.4174,0.5344041
42,844.5149,0.5345903
43,857.9231,0.5351347
44,869.4962,0.5353921
45,882.4799,0.5359768
46,894.4812,0.5356348
47,906.33,0.5380298
48,918.1074,0.5397977
49,930.7324,0.5404578
50,943.4037,0.5413541
51,953.8412,0.541708
52,966.5268,0.5419354
53,978.7306,0.5428852
54,990.3156,0.5434084
55,1002.596,0.5435149
56,1014.392,0.5440656
57,1028.159,0.544293
58,1041.214,0.5447308
59,1052.358,0.5450213
60,1063.894,0.545291
61,1076.876,0.5453866
62,1089.471,0.5458609
63,1101.81,0.5475135
64,1114.161,0.547587
65,1125.208,0.5488223
66,1137.542,0.5506598
67,1148.737,0.5517754
68,1161.891,0.5520142
69,1173.859,0.5532284
70,1184.786,0.5538547
71,1196.596,0.5555871
72,1209.656,0.5552575
73,1221.579,0.5560638
74,1233.176,0.5565929
75,1246.254,0.5568742
76,1258.751,0.5571585
77,1271.986,0.5574589
78,1285.608,0.5572971
79,1297.129,0.5575628
80,1310.987,0.5575374
81,1324.199,0.5580215
82,1336.578,0.5591333
83,1349.159,0.5595976
84,1360.974,0.5598137
85,1371.811,0.5603323
86,1383.029,0.5602933
87,1394.643,0.5602831
88,1408.765,0.5600535
89,1421.396,0.560391
90,1434.362,0.5607264
91,1446.907,0.5611226
92,1458.049,0.5613165
93,1469.136,0.5619045
94,1481.146,0.5674219
95,1493.091,0.5674717
96,1505.466,0.5682476
97,1516.876,0.5684326
98,1529.171,0.5688905
99,1540.294,0.5696254
100,1551.909,0.5698654
101,1564.494,0.5697465
102,1577.737,0.5711058
103,1591.45,0.571328
104,1603.582,0.5715058
105,1616.747,0.5716426
106,1630.189,0.5717248
107,1643.421,0.5720147
108,1656.622,0.572558
109,1668.981,0.5729519
110,1682.611,0.5732178
111,1695.378,0.5734414
112,1708.192,0.5736215
113,1720.452,0.5737744
114,1733.391,0.573797
115,1744.004,0.574264
116,1755.408,0.5746674
117,1767.201,0.5749985
118,1779.075,0.5756182
119,1791.626,0.5771777
120,1802.767,0.5776484
121,1817.047,0.5777577
122,1829.145,0.5777378
123,1841.839,0.5777261
124,1854.466,0.577678
125,1865.326,0.5781334
126,1878.876,0.578313
127,1892.797,0.5785215
128,1904.629,0.5787637
129,1917.735,0.5789719
130,1929.815,0.5791453
131,1940.926,0.5793275
132,1952.829,0.5792563
133,1964.918,0.5791041
134,1976.5,0.5796737
135,1989.627,0.5798335
136,2002.717,0.5801077
137,2015.02,0.5803909
138,2027.405,0.5806049
139,2040.262,0.5815135
140,2052.599,0.5814161
141,2064.621,0.5817592
142,2075.949,0.5825404
143,2089.002,0.5826947
144,2102.184,0.5828952
145,2113.872,0.5832142
146,2125.175,0.5833026
147,2137.406,0.5835839
148,2151.547,0.5835896
149,2164.952,0.5840548
150,2177.762,0.5841452
151,2190.255,0.5844192
152,2201.919,0.5865737
153,2213.207,0.5868789
154,2225.261,0.5871812
155,2237.298,0.5874889
156,2248.92,0.5875939
157,2261.702,0.5880027
158,2273.5,0.5881755
159,2285.544,0.5883467
160,2297.544,0.5886898
161,2309.314,0.588675
162,2321.887,0.5891231
163,2333.77,0.5892412
164,2346.042,0.5893067
165,2358.644,0.5895204
166,2369.529,0.5895529
167,2382.246,0.5897275
168,2392.997,0.5895929
169,2405.515,0.5898434
170,2417.574,0.5899696
171,2429.474,0.5901027
172,2441.578,0.5903856
173,2453.517,0.5904387
174,2466.671,0.5907683
175,2478.764,0.5907979
176,2490.872,0.5910628
177,2503.219,0.591559
178,2515.941,0.5917118
179,2529.559,0.5920715
180,2542.636,0.5923142
181,2554.441,0.5925378
182,2566.314,0.5929203
183,2579.08,0.5930098
184,2590.767,0.5932455
185,2601.126,0.5933764
186,2614.496,0.5934909
187,2627.549,0.5936223
188,2640.139,0.5939368
189,2650.036,0.5938751
190,2662.637,0.5943418
191,2674.48,0.594449
192,2686.94,0.5953439
193,2699.176,0.5953338
194,2712.424,0.5953017
195,2724.208,0.5955646
196,2737.981,0.5957932
197,2750.392,0.5958748
198,2762.641,0.5961476
199,2776.247,0.5962203
200,2789.047,0.5965145
201,2799.66,0.5967126
202,2811.551,0.5968261
203,2822.511,0.5966821
204,2833.844,0.5969511
205,2844.762,0.5971878
206,2857.967,0.597125
207,2870.316,0.5974339
208,2881.721,0.5973828
209,2893.112,0.5975567
210,2905.785,0.5976725
