Iteration,Time,AUC
1,10.78067,0.6023183
2,11.23567,0.6023179
3,11.73066,0.6024094
4,12.24931,0.6024096
5,11.74867,0.6067328
6,12.23254,0.6067283
7,12.66619,0.6067679
8,13.18629,0.6067665
9,13.59557,0.6067681
10,14.06505,0.6067693
11,14.48442,0.606779
12,15.0494,0.60678
13,15.48432,0.60678
14,15.94824,0.6067809
15,16.31191,0.6067811
16,15.89181,0.6067818
17,16.33811,0.6068057
18,16.76185,0.6067972
19,17.28127,0.607728
20,17.8256,0.607727
21,18.25067,0.6077307
22,18.78004,0.6077286
23,19.33943,0.6077299
24,19.77869,0.6077289
25,20.21373,0.6077289
26,19.60753,0.6077265
27,20.18629,0.6077249
28,20.67565,0.6091308
29,21.09492,0.6091301
30,21.47879,0.6091314
31,22.02816,0.6091316
32,22.48315,0.6091351
33,22.95693,0.6091353
34,23.40629,0.6100792
35,23.91942,0.6100932
36,24.32879,0.6100954
37,23.75371,0.6100909
38,24.25316,0.6100917
39,24.66817,0.6100931
40,25.0919,0.6100933
41,25.57253,0.6100937
42,26.13691,0.6100947
43,26.62628,0.6100994
44,27.24633,0.6100995
45,27.68566,0.6101
46,28.13504,0.6101007
47,27.68996,0.6101004
48,28.14061,0.6101017
49,28.56559,0.6101019
50,28.98061,0.610105
51,29.53065,0.6101041
52,30.02998,0.6101053
53,30.53498,0.6101053
54,31.07997,0.610107
55,31.59504,0.6101068
56,32.03441,0.6101085
57,31.51378,0.6100773
58,32.09317,0.6100769
59,32.63754,0.6100784
60,33.15252,0.6100789
61,33.63389,0.6100808
62,34.10378,0.6100816
63,34.68254,0.6100812
64,35.09185,0.610083
65,35.51691,0.6100846
66,35.91628,0.6100859
67,36.33124,0.6100862
68,36.76619,0.6100872
69,36.3263,0.6100893
70,36.82567,0.6100901
71,37.31504,0.6100913
72,37.81123,0.6508784
73,38.26186,0.65088
74,38.85929,0.6508792
75,39.28003,0.65088
76,39.8406,0.6508812
77,40.43744,0.6508817
78,40.90379,0.6508818
79,40.40998,0.6516444
80,40.8306,0.6530444
