Iteration,Time,AUC
1,293.7132,0.5007214
2,308.2982,0.5006027
3,326.2738,0.5009318
4,341.5431,0.5023489
5,356.9138,0.5035102
6,373.1557,0.5050033
7,388.4457,0.5073791
8,406.5775,0.5074132
9,423.2638,0.5077988
10,440.357,0.5091031
11,457.3845,0.5102588
12,473.4176,0.5097322
13,489.0138,0.5111304
14,505.8576,0.5123085
15,520.7769,0.5132499
16,535.2332,0.5142146
17,553.1238,0.5144545
18,571.2438,0.5160209
19,586.8895,0.5166808
20,603.7937,0.5176561
21,618.9295,0.5189433
22,633.0159,0.5198669
23,648.4451,0.5212891
24,664.197,0.5222229
25,680.6013,0.5232312
26,697.4201,0.5240257
27,712.4331,0.5272756
28,729.7938,0.5271563
29,744.542,0.5280084
30,760.0294,0.5280815
31,775.187,0.5305415
32,792.4207,0.5308988
33,808.6239,0.5304305
34,825.7588,0.5323105
35,842.7157,0.5321423
36,856.6382,0.5335166
37,872.6975,0.5338028
38,890.2488,0.5338739
39,905.7801,0.5351992
40,920.9051,0.5355062
41,935.4182,0.5356713
42,951.5856,0.5357038
43,968.3538,0.5356789
44,984.6325,0.5358125
45,1000.227,0.5371258
46,1015.688,0.5375634
47,1031.213,0.5380217
48,1046.571,0.538652
49,1061.758,0.540185
50,1078.469,0.5411326
51,1095.968,0.5419694
52,1112.494,0.5419155
53,1129.214,0.5435189
54,1145.869,0.544135
55,1164.248,0.5444194
56,1182.445,0.5450183
57,1196.338,0.5468891
58,1213.657,0.5486307
59,1228.884,0.5492901
60,1244.198,0.5501039
61,1259.922,0.5501532
62,1276.746,0.550869
63,1293.446,0.5542877
64,1309.119,0.554516
65,1324.043,0.5546998
66,1340.776,0.5549217
67,1354.539,0.555157
68,1368.434,0.5554836
69,1385.293,0.5559111
70,1400.634,0.5563305
71,1415.622,0.5577005
72,1431.055,0.5580892
73,1447.009,0.5582313
74,1462.747,0.5583005
75,1478.498,0.5596254
76,1494.449,0.560227
77,1510.154,0.560813
78,1527.669,0.561213
79,1543.385,0.5625233
80,1558.276,0.56257
81,1573.608,0.5630109
82,1589.048,0.5629197
83,1606.151,0.5693009
84,1621.683,0.5693934
85,1638.608,0.5702484
86,1655.102,0.570431
87,1671.996,0.570261
88,1687.742,0.5701688
89,1704.951,0.5706138
90,1721.485,0.570765
91,1737.951,0.5707818
92,1752.011,0.5706717
93,1767.936,0.5713188
94,1782.714,0.5712941
95,1798.526,0.5719549
96,1813.899,0.5725176
97,1830.264,0.5737111
98,1847.231,0.5740407
99,1862.655,0.5743199
100,1878.573,0.5747796
101,1896.091,0.5751988
102,1911.589,0.5753578
103,1927.626,0.5756504
104,1944.54,0.57594
105,1959.805,0.576177
106,1975.558,0.5772732
107,1992.008,0.5782825
108,2005.874,0.5785989
109,2022.356,0.5788318
110,2038.655,0.5792222
111,2053.094,0.5796042
112,2069.136,0.5799719
113,2085.766,0.5807962
114,2100.951,0.5810708
115,2117.996,0.5816573
116,2134.828,0.5821101
117,2150.228,0.5826506
118,2166.267,0.5850221
119,2181.736,0.5851268
120,2197.979,0.5852808
121,2211.325,0.5855028
122,2226.516,0.5856997
123,2242.87,0.5861076
124,2257.998,0.5863072
125,2273.515,0.5864475
126,2289.949,0.5868698
127,2304.372,0.5871148
128,2320.649,0.5875187
129,2336.5,0.5877729
130,2352.843,0.5877729
131,2370.681,0.5892795
132,2386.983,0.5899315
133,2401.751,0.5902935
134,2419.244,0.5906338
135,2432.345,0.5905116
136,2448.342,0.5906023
137,2460.508,0.5907078
138,2475.514,0.5914927
139,2490.337,0.5918773
140,2506.469,0.5922736
141,2520.452,0.5936586
142,2535.415,0.5942627
143,2551.594,0.5946397
144,2567.328,0.5950184
145,2582.591,0.595674
146,2600.17,0.5959827
147,2615.357,0.5970037
148,2629.883,0.5975037
149,2645.468,0.5976646
150,2659.167,0.5982823
151,2673.751,0.5983496
152,2690.389,0.5985385
153,2704.87,0.5987943
154,2722.43,0.5988761
155,2738.789,0.5989783
156,2756.046,0.5992509
157,2772.826,0.5994978
158,2786.448,0.5998595
159,2802.465,0.5999945
160,2818.369,0.6001757
161,2834.262,0.6001525
162,2850.683,0.6003557
163,2866.344,0.6006305
164,2882.137,0.6013457
165,2897.883,0.6017119
166,2911.861,0.6018592
167,2928.626,0.6021675
168,2945.516,0.6024978
169,2959.203,0.602559
170,2974.306,0.602878
171,2988.618,0.6034076
172,3004.464,0.6036277
173,3019.166,0.6037242
174,3035.358,0.603925
175,3051.529,0.6039069
176,3066.874,0.6039847
177,3078.533,0.6038713
178,3093.884,0.6040895
179,3109.254,0.603993
180,3125.653,0.6040389
181,3141.164,0.6043676
182,3152.903,0.6047694
183,3168.61,0.6049161
184,3182.792,0.6049837
185,3199.141,0.6049615
186,3216.236,0.6053124
187,3230.384,0.6054792
188,3245.783,0.6058671
189,3260.024,0.6059488
190,3275.81,0.6062825
191,3291.838,0.6069432
192,3305.932,0.6069152
193,3321.664,0.6070702
194,3337.494,0.6073239
195,3353.028,0.6075643
196,3370.296,0.6077153
197,3384.759,0.6080056
198,3401.024,0.608194
199,3415.814,0.6083991
200,3430.688,0.6084633
201,3447.403,0.6086573
202,3462.408,0.6086559
203,3477.481,0.6087939
204,3491.855,0.6091066
205,3507.461,0.6092677
206,3522.165,0.6093242
207,3537.187,0.6094329
208,3550.874,0.6094954
209,3567.182,0.6095794
210,3584.094,0.6101758
211,3600.764,0.6103316
212,3617.311,0.6103351
213,3629.139,0.6103576
214,3645.729,0.6106811
215,3661.531,0.6109997
216,3676.948,0.6110727
217,3692.704,0.6112897
218,3705.843,0.611267
219,3721.008,0.6115145
220,3735.806,0.6120256
221,3750.729,0.6125477
222,3768.311,0.6128058
223,3783.09,0.61325
224,3797.544,0.6132924
225,3813.828,0.6135451
226,3830.984,0.6135648
227,3845.743,0.6137491
228,3861.603,0.6134993
229,3878.854,0.6138614
230,3896.107,0.6141166
231,3910.011,0.6142381
232,3923.809,0.6144721
233,3937.981,0.6144638
234,3951.541,0.6146762
235,3967.903,0.6148216
236,3984.69,0.6150945
237,3998.712,0.6153662
238,4014.952,0.6158865
239,4029.654,0.6158343
240,4044.371,0.6158175
241,4059.306,0.6161326
242,4074.78,0.6163635
243,4091.234,0.6164583
244,4106.184,0.6164237
245,4123.264,0.6167013
246,4136.986,0.6168303
247,4151.216,0.6171444
248,4167.119,0.6171809
249,4180.513,0.6172438
250,4194.369,0.6171952
251,4210.653,0.6174717
252,4224.418,0.6176799
253,4239.151,0.617821
254,4253.091,0.6177442
255,4269.874,0.6181121
256,4286.119,0.6183618
257,4300.852,0.6184234
258,4316.454,0.6184981
259,4331.414,0.6185327
260,4348.094,0.6186177
261,4361.995,0.61876
262,4377.356,0.6188825
263,4390.044,0.6196938
264,4404.373,0.6197135
265,4419.342,0.6199839
266,4434.603,0.620905
267,4449.306,0.6209923
268,4465.436,0.6215287
269,4477.796,0.6216116
270,4489.358,0.6216934
271,4504.859,0.6218155
272,4519.703,0.6218535
273,4532.806,0.6218276
274,4544.939,0.6222528
275,4559.932,0.622491
276,4576.263,0.6229894
277,4591.149,0.6234023
278,4605.044,0.6234179
279,4620.499,0.6234449
280,4634.32,0.6236114
281,4650.279,0.6237784
282,4668.108,0.6239798
283,4683.016,0.6241994
284,4695.031,0.6243705
285,4708.856,0.624598
286,4725.829,0.6247688
287,4741.648,0.6250011
288,4756.044,0.6251283
289,4767.298,0.6250787
290,4781.609,0.624981
291,4796.015,0.6249197
292,4810.121,0.6248917
293,4824.289,0.624984
294,4839.12,0.6253395
295,4853.079,0.62557
296,4867.731,0.6261091
297,4883.539,0.6263076
298,4899.544,0.6263829
299,4914.352,0.6266561
300,4928.094,0.626627
301,4942.777,0.6265724
302,4956.327,0.6266567
303,4970.758,0.6269712
304,4985.891,0.6271419
305,5003.093,0.6272686
306,5015.164,0.627359
307,5030.651,0.6274041
308,5042.076,0.6275002
309,5057.838,0.6276979
310,5071.749,0.6279666
311,5085.839,0.628043
312,5101.449,0.6279295
313,5116.574,0.6280583
314,5126.809,0.6281563
315,5139.215,0.6281886
316,5155.406,0.6284325
317,5168.762,0.6287853
318,5182.204,0.6287547
319,5198.591,0.6288633
320,5212.041,0.6289326
321,5226.001,0.6290187
322,5242.633,0.6291519
323,5258.719,0.6291599
324,5272.702,0.6292951
325,5288.899,0.6294456
326,5303.822,0.6295951
327,5318.554,0.6295592
328,5332.088,0.6297063
329,5344.064,0.6297458
330,5355.996,0.6297258
331,5372.055,0.6297543
332,5385.563,0.6302224
333,5400.73,0.630275
334,5416.125,0.630332
335,5432.011,0.6304047
336,5446.851,0.6305009
337,5460.916,0.6305385
338,5476.528,0.630435
339,5488.783,0.6305681
340,5503.2,0.6306662
341,5518.806,0.6306996
342,5534.842,0.630948
343,5549.494,0.6311441
344,5563.906,0.6311884
345,5580.134,0.6313297
346,5594.262,0.6312265
347,5610.746,0.6314489
348,5624.907,0.6314807
349,5641.275,0.6314845
350,5656.311,0.6317139
351,5671.679,0.6318587
352,5683.477,0.6320007
353,5696.307,0.6320632
354,5712.337,0.6321661
355,5726.873,0.6323103
356,5740.063,0.632502
357,5755.172,0.6324938
358,5768.704,0.6324783
359,5782.328,0.6324823
360,5797.101,0.6324859
361,5812.664,0.6326073
362,5826.544,0.6326919
363,5843.274,0.632756
364,5857.634,0.6329722
365,5871.888,0.6330665
366,5886.733,0.6328745
367,5898.98,0.6329012
368,5911.215,0.6330251
369,5926.204,0.6332352
370,5941.07,0.6334832
371,5955.586,0.6334793
372,5971.789,0.6336231
373,5984.367,0.6334733
374,5999.761,0.6334595
375,6013.967,0.6334595
376,6025.376,0.6334497
377,6042.714,0.6333983
378,6051.966,0.6335507
379,6063.219,0.6336212
380,6075.277,0.633583
381,6089.888,0.6337247
382,6099.548,0.633735
383,6114.901,0.6337371
384,6126.842,0.6338633
385,6139.873,0.6338849
386,6155.683,0.6339343
387,6168.954,0.6339807
388,6182.438,0.634006
389,6198.977,0.6340773
390,6210.418,0.6341236
391,6225.903,0.6341819
392,6241.025,0.6345077
393,6256.935,0.6345945
394,6270.09,0.6348328
395,6284.73,0.6349401
396,6299.198,0.6348421
397,6309.903,0.6348165
398,6325.345,0.6348176
399,6337.759,0.6349377
400,6350.432,0.6349541
401,6363.84,0.6350181
402,6379.328,0.635271
403,6393.26,0.6352393
404,6408.5,0.6352154
405,6424.938,0.6352721
406,6439.524,0.6356406
407,6455.283,0.6356392
408,6470.467,0.6357106
409,6482.295,0.6357456
410,6497.133,0.6358901
411,6511.015,0.6358595
412,6524.571,0.6358963
413,6536.39,0.6360507
