Iteration,Time,AUC
1,311.6243,0.5001101
2,327.825,0.5010574
3,344.1793,0.5011993
4,358.8056,0.5021237
5,375.5543,0.503694
6,389.6324,0.5041047
7,405.8581,0.5053627
8,422.0062,0.5068948
9,438.7424,0.5091776
10,455.6937,0.5104054
11,471.6505,0.5108006
12,487.5156,0.5110528
13,505.4162,0.5129315
14,521.0256,0.5140957
15,537.6843,0.5138284
16,555.6662,0.5142552
17,571.2018,0.5158392
18,588.9781,0.5173789
19,602,0.5180076
20,616.9449,0.5179564
21,633.0143,0.5218698
22,650.9281,0.5229662
23,667.0313,0.5255236
24,682.7431,0.5278814
25,698.5769,0.5296144
26,714.3737,0.5304075
27,730.1012,0.53071
28,746.2943,0.5315851
29,763.6712,0.5315724
30,779.7299,0.5323712
31,795.5118,0.5320553
32,812.2637,0.5330079
33,828.4437,0.5332188
34,844.6649,0.533162
35,861.6349,0.5336256
36,878.4843,0.534442
37,896.4356,0.5345054
38,911.5062,0.5344407
39,927.2968,0.5357273
40,942.0738,0.5372145
41,958.1406,0.5371961
42,973.3987,0.5374943
43,991.6556,0.5379614
44,1006.606,0.5380334
45,1022.637,0.5381307
46,1040.444,0.5417986
47,1056.607,0.5418065
48,1071.421,0.5425241
49,1087.819,0.5428857
50,1102.415,0.5437465
51,1118.419,0.5438553
52,1134.359,0.5458648
53,1149.26,0.5463534
54,1166.703,0.5466765
55,1182.977,0.5470067
56,1199.148,0.5473038
57,1215.855,0.5479154
58,1231.404,0.5488282
59,1248.531,0.5490402
60,1265.075,0.549213
61,1281.576,0.5493534
62,1298.873,0.549692
63,1315.053,0.5498991
64,1329.499,0.5503063
65,1345.294,0.5506727
66,1359.389,0.5506487
67,1375.979,0.5509988
68,1392.057,0.5521058
69,1409.969,0.5528936
70,1426.123,0.5533294
71,1443.039,0.5542073
72,1458.619,0.5547163
73,1474.406,0.5548569
74,1490.819,0.5554209
75,1506.527,0.5558898
76,1523.576,0.5561795
77,1541.621,0.5566017
78,1557.652,0.5574615
79,1573.479,0.5574518
80,1588.434,0.5577414
81,1603.917,0.5579994
82,1620.421,0.560478
83,1636.497,0.5613684
84,1652.312,0.5619712
85,1668.181,0.5620981
86,1685.147,0.5628603
87,1700.069,0.5632136
88,1715.275,0.5643174
89,1731.296,0.564381
90,1746.617,0.5647971
91,1761.805,0.5652101
92,1776.85,0.5656279
93,1792.477,0.5658731
94,1808.618,0.5659607
95,1824.214,0.5676408
96,1840.51,0.5681319
97,1856.179,0.5683247
98,1872.275,0.5689388
99,1887.213,0.5692833
100,1903.216,0.5697851
101,1920.245,0.5699434
102,1935.836,0.5720063
103,1950.606,0.5724224
104,1966.397,0.57275
105,1983.072,0.5729741
106,1998.919,0.5728113
