Iteration,Time,AUC
1,49.09555,0.6572857
2,91.52179,0.6572745
3,134.3643,0.6572723
4,177.613,0.663523
5,220.5449,0.675387
6,264.7012,0.6753869
7,307.5605,0.6766709
8,350.6162,0.6769096
9,393.663,0.6777103
10,436.6318,0.6768956
11,480.0949,0.6769116
12,523.1462,0.6768951
13,566.7087,0.6768595
14,610.2868,0.6768316
15,653.7656,0.6772166
16,696.5043,0.6783972
17,739.8268,0.6778262
18,783.1393,0.6785887
19,826.2843,0.6785831
20,869.1749,0.6847269
21,912.1593,0.6834286
22,954.9605,0.6834523
23,998.023,0.6833228
24,1040.455,0.6834731
25,1083.537,0.6835877
26,1126.735,0.6835822
27,1170.327,0.6834688
28,1213.859,0.6846435
29,1256.785,0.684672
30,1300.092,0.6846522
31,1343.311,0.6844511
32,1386.717,0.6846552
33,1430.186,0.6833497
34,1473.639,0.6833223
35,1516.623,0.6830543
36,1559.788,0.6832804
37,1603.257,0.6831035
38,1646.663,0.6832863
39,1690.101,0.6831679
40,1733.382,0.6845813
41,1776.413,0.6845828
42,1819.767,0.6845345
43,1862.767,0.6847145
44,1905.751,0.6842891
45,1948.564,0.6843971
46,1991.943,0.684401
47,2035.443,0.6843882
48,2078.531,0.6843834
49,2121.582,0.6844257
50,2164.55,0.684408
51,2207.539,0.6843937
52,2251.461,0.6842566
53,2294.632,0.6842496
54,2338.08,0.684463
55,2381.658,0.6844795
56,2425.194,0.6845984
57,2468.6,0.6843854
58,2512.459,0.6844041
59,2555.725,0.6843613
60,2599.036,0.6845829
61,2642.515,0.6848591
62,2685.687,0.6848277
63,2729.031,0.6847771
64,2772.999,0.6849067
65,2816.238,0.6850442
66,2859.754,0.6850917
67,2903.607,0.6850236
68,2946.857,0.6851581
69,2990.021,0.6848954
70,3033.286,0.6846812
71,3076.639,0.6847578
72,3119.987,0.6846684
73,3163.316,0.6846348
74,3207.039,0.6846766
75,3250.461,0.6846892
76,3294.018,0.6846495
77,3337.271,0.684612
78,3380.577,0.6850111
79,3424.077,0.6848855
80,3468.187,0.6849741
81,3511.749,0.6852326
82,3554.843,0.6857147
83,3597.988,0.6880304
84,3641.44,0.6877272
85,3684.393,0.6883709
86,3727.877,0.6887044
87,3771.179,0.6890901
88,3814.517,0.6892997
89,3858.001,0.6893826
90,3901.579,0.6900451
91,3945.314,0.6910186
92,3988.787,0.6910427
93,4032.052,0.6912259
94,4075.365,0.691246
95,4118.74,0.6913162
96,4162.677,0.691534
97,4206.234,0.6915959
98,4250.004,0.691772
99,4293.987,0.6918406
100,4336.596,0.6919591
101,4380.157,0.6919439
102,4423.688,0.6920674
103,4467.813,0.6920779
104,4511.051,0.6919346
105,4554.092,0.6919326
106,4598.076,0.6920699
107,4641.94,0.6920458
108,4685.679,0.6921756
109,4728.741,0.6922188
110,4772.126,0.6921902
111,4815.454,0.6922551
112,4859.298,0.6921218
113,4902.533,0.6920124
114,4945.787,0.6916012
115,4989.24,0.6917375
116,5032.365,0.6927331
117,5075.802,0.6953753
118,5118.912,0.6970601
119,5162.5,0.6997614
120,5206.172,0.6992129
121,5249.437,0.6995804
122,5293.114,0.6992636
123,5336.483,0.6995666
124,5380.07,0.6995393
125,5423.945,0.6996947
126,5467.189,0.6995514
127,5510.491,0.6996292
128,5553.641,0.6997252
129,5597.177,0.6994301
130,5640.411,0.6995897
131,5683.755,0.6992645
132,5727.077,0.6991874
133,5770.109,0.6990115
134,5813.347,0.6989942
135,5856.498,0.7014346
136,5899.877,0.7014451
137,5943.397,0.7015149
138,5986.97,0.7011959
139,6030.412,0.7014412
140,6073.912,0.7011638
141,6117.234,0.7015699
142,6160.875,0.7020271
143,6204.176,0.7020905
144,6247.186,0.7018904
145,6290.175,0.7020907
146,6333.179,0.7019995
147,6376.783,0.7020335
148,6420.172,0.7027346
149,6463.427,0.7028163
150,6506.755,0.7028858
151,6550.691,0.7025636
152,6594.357,0.7031074
153,6637.857,0.7028191
154,6681.092,0.7024734
155,6724.201,0.7026545
156,6767.846,0.7025221
157,6811.454,0.7029025
158,6854.954,0.7033277
159,6898.578,0.7032822
160,6941.989,0.7036438
161,6985.722,0.7035591
162,7028.831,0.7038411
163,7072.382,0.7036964
164,7116.132,0.7040295
165,7159.648,0.7038205
166,7203.069,0.7037336
167,7246.501,0.7035859
168,7290.141,0.7037337
169,7333.813,0.7036069
170,7377.422,0.7033243
171,7420.63,0.7034406
172,7464.021,0.7033856
173,7507.765,0.7034735
174,7551.379,0.703532
175,7595.061,0.7036445
176,7638.342,0.7039643
177,7681.659,0.7039678
178,7724.882,0.7037919
179,7768.782,0.7041487
180,7812.271,0.7040154
181,7856.068,0.7040759
182,7899.531,0.7044558
183,7943.692,0.7045009
184,7987.239,0.7044828
185,8030.827,0.7044188
186,8074.362,0.7043546
187,8117.148,0.7043814
188,8161.475,0.7049853
189,8204.975,0.7050065
190,8248.616,0.7051502
191,8292.313,0.7051063
192,8335.427,0.705332
193,8379.452,0.7054648
194,8422.754,0.7058425
195,8466.847,0.7061179
196,8510.426,0.706291
197,8553.957,0.7066475
198,8597.529,0.7066366
199,8641.111,0.7068658
200,8685.111,0.7072162
201,8729.048,0.7071095
202,8772.798,0.70714
203,8816.797,0.7072144
204,8860.864,0.7071514
205,8904.817,0.7075152
206,8948.737,0.7075531
207,8992.519,0.707971
208,9035.924,0.708037
209,9079.741,0.7084992
210,9123.282,0.7086011
211,9166.829,0.7088976
212,9211.124,0.7089801
213,9254.629,0.7092701
214,9298.857,0.7094978
215,9342.514,0.7094785
216,9386.315,0.7096627
217,9429.862,0.7095939
218,9473.706,0.7097038
219,9517.159,0.709759
220,9560.954,0.7096744
221,9604.537,0.7097134
222,9648.381,0.7098362
223,9692.16,0.7098794
224,9736.004,0.7099559
225,9779.786,0.7103465
226,9823.082,0.71047
227,9867.332,0.71061
228,9911.382,0.7108392
229,9955.679,0.7107716
230,9999.336,0.7109064
231,10042.83,0.7109693
232,10086.52,0.7109412
233,10130.29,0.7111037
234,10174.15,0.7111869
235,10218.31,0.7113098
236,10262.16,0.7112465
237,10306.08,0.7114114
238,10349.94,0.7115358
239,10393.59,0.7114321
240,10437.56,0.7113625
241,10481.31,0.7112898
242,10525.47,0.7115039
243,10569.96,0.711612
244,10613.55,0.7116533
245,10657.22,0.7117559
246,10700.68,0.7117359
247,10744.33,0.7118452
248,10788.22,0.7119582
249,10831.76,0.7120545
250,10875.33,0.7121425
251,10919.06,0.7121294
252,10962.96,0.7121982
253,11006.46,0.712218
254,11050.47,0.7122939
255,11093.82,0.7125565
256,11137.58,0.7125924
257,11181.14,0.7125293
258,11225.62,0.7125772
259,11269.65,0.7127196
260,11313.77,0.7128521
261,11357.78,0.7127665
262,11401.76,0.7128966
263,11445.63,0.7131225
264,11489.62,0.7134092
265,11533.53,0.7135438
266,11577.25,0.713595
267,11621.05,0.7135539
268,11665.08,0.7135937
269,11708.79,0.7136163
270,11752.6,0.7135217
271,11797.16,0.7138258
272,11840.6,0.7139923
273,11883.82,0.7140219
274,11927.5,0.7139375
275,11971.28,0.7142317
276,12014.12,0.714649
277,12058.15,0.7146889
278,12101.91,0.7149792
279,12145.74,0.7147868
280,12189.8,0.7150562
281,12233.82,0.7152827
282,12277.94,0.7154778
283,12322.02,0.7156519
284,12365.58,0.7157294
285,12409.32,0.7156727
286,12453.19,0.7158643
287,12496.67,0.7158269
288,12540.53,0.7157781
289,12584.19,0.7159224
290,12628.03,0.716142
291,12671.09,0.7160254
292,12715.19,0.7162076
293,12758.66,0.7162403
294,12802.15,0.7164096
295,12846.14,0.7162844
296,12890.51,0.7164278
297,12934.17,0.7167021
298,12977.76,0.7167159
299,13021.22,0.7167904
300,13065.05,0.7167946
301,13108.83,0.7167136
302,13152.85,0.7168061
303,13196.55,0.7167906
304,13240.37,0.7168157
305,13283.79,0.7168499
306,13327.99,0.7167159
307,13371.66,0.716666
308,13415.52,0.7165122
309,13459.15,0.7165093
310,13503.07,0.7163618
311,13547.05,0.716119
312,13590.83,0.7160222
313,13634.02,0.715939
314,13677.76,0.7158042
315,13721.46,0.7157877
316,13765.44,0.7159478
317,13809.26,0.7157556
318,13852.52,0.71587
319,13896.54,0.7156209
320,13940.33,0.7156677
321,13984.05,0.7156072
322,14027.55,0.7156287
323,14070.87,0.7157034
324,14114,0.7156884
325,14157.56,0.7156247
326,14202,0.7155787
327,14245.49,0.7154636
328,14289.52,0.7154493
329,14333.78,0.7153876
330,14377.3,0.7153518
331,14421.02,0.7154983
332,14463.91,0.7154554
333,14507.44,0.7154708
334,14550.83,0.7154132
335,14593.83,0.7152934
336,14637.37,0.7153031
337,14681.09,0.7152745
338,14724.2,0.7152971
339,14767.47,0.7152923
340,14810.58,0.7152395
341,14853.61,0.715191
342,14896.51,0.71519
343,14939.46,0.7150729
344,14983.3,0.7151666
345,15026.56,0.7151969
346,15069.9,0.7152048
347,15113.59,0.7154341
348,15157.27,0.7155906
349,15200.64,0.715742
350,15244.13,0.715736
351,15287.22,0.7157602
352,15330.67,0.7157656
353,15373.79,0.7158479
354,15417.31,0.7159401
355,15460.71,0.7158242
356,15503.68,0.7158931
357,15546.89,0.7159137
358,15589.69,0.7158578
359,15632.97,0.716
360,15676.18,0.7159958
361,15719.79,0.7160538
362,15763.08,0.7161373
363,15806.42,0.7163197
364,15849.48,0.7163497
365,15892.6,0.7163328
366,15935.65,0.7163995
367,15978.77,0.7163601
368,16021.37,0.7163331
369,16065.3,0.7163397
370,16108.74,0.7164294
371,16151.77,0.7164327
372,16195.63,0.7164386
373,16238.99,0.7163211
374,16282.28,0.7163089
375,16325.39,0.7162894
376,16368.72,0.7162567
377,16412,0.7163923
378,16455.46,0.7163339
379,16498.75,0.7165013
380,16541.95,0.716403
381,16584.93,0.716363
382,16628.21,0.7164126
383,16672.25,0.7164499
384,16715.6,0.7164271
385,16758.61,0.7165746
386,16801.96,0.7165305
387,16845.6,0.7165472
388,16888.88,0.7165488
389,16932.05,0.7165616
390,16975.5,0.7165874
391,17019,0.7164547
392,17062.05,0.7165163
393,17105.36,0.7164352
394,17148.01,0.7165444
395,17191.34,0.7166261
396,17234.56,0.7165273
397,17277.61,0.7166329
398,17321.55,0.7163804
399,17365.09,0.7163789
400,17408.49,0.7165318
