Iteration,Time,AUC
1,4.310648,0.596864
2,6.533756,0.596864
3,8.768099,0.596864
4,10.95001,0.596864
5,13.07939,0.5987707
6,15.17314,0.5987707
7,17.27688,0.5987708
8,19.39063,0.5987708
9,21.5469,0.5996855
10,23.80687,0.5997182
11,25.99877,0.5997181
12,28.12379,0.5997181
13,30.17061,0.5997182
14,32.28,0.5997182
15,34.56559,0.5996928
16,36.6069,0.5996928
17,38.68502,0.6008519
18,40.77878,0.6008519
19,42.93501,0.6008507
20,45.16934,0.6009088
21,47.24751,0.6013684
22,49.3569,0.601382
23,51.5444,0.601382
24,53.75186,0.6013821
25,55.84,0.6013821
26,58.00062,0.6013672
27,60.17246,0.6013686
28,62.39149,0.6027375
29,64.51061,0.6027368
30,66.64,0.6027368
31,68.77934,0.6027791
32,70.79502,0.6027791
33,72.87314,0.6027792
34,74.99808,0.6027828
35,77.24814,0.6027824
36,79.33066,0.6027825
37,81.42431,0.6027845
38,83.56378,0.602783
39,85.65751,0.6027845
40,87.75128,0.6027844
41,89.8606,0.6028067
42,92.08934,0.6028056
43,94.18316,0.6028052
44,96.24564,0.6032525
45,98.60502,0.6032807
46,100.7613,0.6032805
47,102.8906,0.6032917
48,104.9531,0.6032919
49,107.0413,0.6032728
50,109.0725,0.603269
51,111.28,0.6032641
52,113.4363,0.6032665
53,115.6581,0.6032712
54,117.7207,0.6032725
55,119.8457,0.6032739
56,121.9381,0.603274
57,124.1356,0.6032717
58,126.2762,0.6032743
59,128.3731,0.6042455
60,130.5181,0.6042455
61,132.6531,0.6042444
62,134.7469,0.6042457
63,136.9813,0.6042457
64,139.1575,0.6042459
65,141.2344,0.6042461
66,143.3438,0.6042582
67,145.5781,0.6042582
68,147.7288,0.6042582
69,149.905,0.6042495
70,151.9362,0.6042572
71,154.1594,0.6042572
72,156.3144,0.6042572
73,158.3925,0.6042574
74,160.4963,0.6042579
75,162.5119,0.6042578
76,164.61,0.6042588
77,165.7538,0.6042589
78,167.9569,0.6050105
79,170.1232,0.6050103
80,172.3888,0.6050249
81,174.4399,0.6050247
82,176.5638,0.6050337
83,178.6419,0.6050337
84,180.72,0.6050339
85,182.8438,0.605642
86,184.875,0.6056421
87,187.0456,0.6056612
88,189.2531,0.6056616
89,191.3157,0.6056624
90,193.425,0.6056626
91,195.5188,0.605662
92,197.5969,0.6056626
93,199.675,0.6056634
94,201.7788,0.6056634
95,203.955,0.6056645
96,206.09,0.6056643
97,208.1413,0.6056643
98,210.245,0.6056652
99,212.6431,0.6056642
100,214.7781,0.6056651
101,216.8719,0.6056655
102,218.9813,0.6056657
103,221.1844,0.6056664
104,223.325,0.605666
105,225.5481,0.6056663
106,227.7144,0.6056663
107,229.8125,0.605666
108,232.0468,0.6056663
109,234.1094,0.6056664
110,236.2188,0.6056677
111,238.3225,0.6056677
112,240.4163,0.6056687
113,242.5881,0.6056689
114,244.6819,0.605681
115,246.7288,0.6056813
116,248.78,0.6056858
117,250.9406,0.6056862
118,253.0813,0.6056866
119,255.1693,0.6056862
120,257.2787,0.605687
121,259.3725,0.6066377
122,261.5444,0.6066385
123,263.6425,0.6066374
124,265.7363,0.6109456
125,267.8925,0.6109462
126,270.0175,0.610946
127,272.1369,0.6109511
128,274.2223,0.6109482
129,276.4325,0.6109479
130,278.5263,0.6109489
131,280.6981,0.6109481
132,282.7963,0.6109485
133,284.91,0.610949
134,286.9825,0.6109488
135,289.0338,0.6109536
136,291.1119,0.6109539
137,293.3706,0.6112371
138,295.48,0.6112374
139,297.605,0.6112351
140,299.7143,0.611235
141,301.8906,0.611233
142,304.0099,0.6112331
143,306.1818,0.6112379
144,308.2913,0.6116746
145,310.4475,0.6116743
146,312.5613,0.6116748
147,314.8581,0.6116753
148,317.0132,0.6116759
149,319.1225,0.6116778
150,321.2475,0.6116778
151,323.3412,0.6116778
152,325.4707,0.6116792
153,327.5487,0.6111101
154,329.6256,0.6111172
155,331.8388,0.611118
156,333.9324,0.6111119
157,336.0619,0.6111114
158,338.0931,0.6111287
159,340.1556,0.6111288
160,342.2494,0.6111358
161,344.4213,0.6111358
162,346.6444,0.611136
163,348.7013,0.6111362
164,350.9556,0.6111377
165,353.0282,0.6111387
166,355.1375,0.6556688
167,357.2044,0.6556688
168,359.3081,0.655666
169,361.4019,0.6556669
170,363.4956,0.6556786
171,365.8068,0.6556804
172,367.9206,0.6555882
173,370.05,0.6556037
174,372.1437,0.6556045
175,374.3313,0.6556105
176,376.3781,0.6556126
177,378.5287,0.6556219
178,380.6382,0.6556176
179,382.8412,0.655605
180,384.9707,0.655782
181,387.0957,0.655784
182,389.1581,0.6557836
183,391.4338,0.6557838
184,393.5319,0.6557839
185,394.66,0.6558238
186,396.8787,0.6558243
187,398.9981,0.6558241
188,401.1588,0.6558239
189,403.3306,0.6555524
190,405.5312,0.6645798
191,407.6406,0.6722969
192,409.7032,0.6722962
193,411.8438,0.6736194
194,413.9475,0.67795
195,416.0768,0.6784601
196,418.175,0.6789028
197,420.3312,0.6786751
198,422.4507,0.6786056
199,424.59,0.679863
200,426.7307,0.6801916
201,428.8088,0.6805665
202,431.0006,0.6805953
203,433.1088,0.6805761
204,435.3163,0.6806757
205,437.4357,0.6807159
206,439.6388,0.6805844
207,441.7794,0.6806978
208,443.8931,0.6804685
209,446.0794,0.6806036
210,448.1675,0.6807836
211,450.2969,0.680924
212,452.4532,0.6809671
213,454.6819,0.6809015
214,456.7444,0.6815199
215,458.8381,0.6818688
216,460.9944,0.6818261
217,463.155,0.6818114
218,465.3314,0.6813831
219,467.4406,0.6816235
220,469.5956,0.6824363
221,471.8144,0.6821049
222,473.9694,0.6820964
223,476.0731,0.6822833
224,478.1668,0.6821862
225,480.39,0.6827745
226,482.4725,0.6828414
227,484.67,0.6827324
228,486.8307,0.682645
229,488.9088,0.6818108
230,490.9713,0.6823038
231,493.22,0.6816991
232,495.2669,0.6816633
233,497.3606,0.6815317
234,499.4643,0.6818448
235,501.5625,0.6822163
236,503.6563,0.6822554
237,505.7756,0.6824024
238,507.8538,0.6821239
239,510.0769,0.6825351
240,512.1862,0.6823315
241,514.2331,0.6826796
242,516.3569,0.6826718
243,518.4707,0.6838322
244,520.6425,0.6840885
245,522.8244,0.6839069
246,525.0431,0.6846279
247,527.235,0.6842745
248,529.4224,0.6845695
249,531.5006,0.6846919
250,533.6881,0.6847876
251,535.8132,0.6852157
252,538.1087,0.6852327
253,540.2025,0.6859806
254,542.3275,0.6854957
255,544.5619,0.6854865
256,546.6856,0.6853359
257,548.8731,0.6854695
258,550.9669,0.6857881
259,553.0807,0.6858737
260,555.2838,0.6856298
261,557.3775,0.6856262
262,559.4713,0.6859298
263,561.6688,0.6858586
264,563.7781,0.685917
265,565.9188,0.6860102
266,568.0425,0.6858397
267,570.3438,0.6858919
268,572.4363,0.6857273
269,574.5188,0.6857938
270,576.6537,0.6859359
271,578.83,0.6864026
272,580.9182,0.6867472
273,583.2294,0.6851959
274,585.3543,0.6854239
275,587.4638,0.6856869
276,588.6287,0.6857606
277,590.6915,0.6859873
278,592.8007,0.6860374
279,594.91,0.6860155
280,596.9724,0.686206
281,599.2224,0.6898422
282,601.3632,0.6897127
283,603.545,0.6894899
284,605.6275,0.6894998
285,607.7938,0.6923987
286,609.8562,0.6915936
287,611.9187,0.691711
288,614.1106,0.6932448
289,616.1888,0.6932769
290,618.4163,0.6925885
291,620.4944,0.6930987
292,622.6194,0.6930746
293,624.6663,0.6936363
294,626.8069,0.6936696
295,628.9363,0.693669
296,631.1125,0.6945089
297,633.2788,0.6940048
298,635.3413,0.6938925
299,637.4506,0.6943407
300,639.5756,0.6943219
301,641.6693,0.6944743
302,643.7944,0.694476
303,645.8768,0.6946977
304,648.0575,0.6938904
305,650.3163,0.6943751
306,652.42,0.6941743
307,654.5606,0.6946074
308,656.7169,0.6947521
309,658.9031,0.6947512
310,661.0282,0.6947411
311,663.1687,0.6950989
312,665.2937,0.6949905
313,667.48,0.6952407
314,669.7031,0.6953393
315,671.9531,0.6954382
316,674.135,0.695481
317,676.2444,0.6954387
318,678.3382,0.695259
319,680.4831,0.6953171
320,682.6069,0.6956412
321,684.7475,0.6960226
322,686.8569,0.6960203
323,689.08,0.6960173
324,691.2832,0.6963126
325,693.3769,0.6959934
326,695.4394,0.6960366
327,697.58,0.6959068
328,699.7931,0.6956762
329,702.1244,0.6960832
330,704.3275,0.6960658
331,706.3944,0.695978
332,708.6443,0.6958293
333,710.785,0.6959579
334,712.9713,0.6963591
335,715.0594,0.6963854
336,717.2356,0.6963166
337,719.3607,0.6963242
338,721.4857,0.6962894
339,723.8138,0.6964304
340,725.9332,0.696405
341,728.0469,0.696351
342,730.1706,0.6963315
343,732.2643,0.6966662
344,734.4362,0.6966405
345,736.5813,0.6966468
346,738.6594,0.6965561
347,740.925,0.6966025
348,742.9875,0.6963545
349,745.0972,0.6962946
350,747.175,0.6963162
351,749.3469,0.6963461
352,751.435,0.6962914
353,753.5957,0.696369
354,755.7363,0.697445
355,757.8869,0.6975158
356,760.0275,0.6974804
357,762.2619,0.6973169
358,764.3913,0.6977268
359,766.5263,0.6976004
360,768.6356,0.6976515
361,770.8075,0.6976283
362,772.9013,0.697726
363,775.0306,0.6977156
364,777.14,0.6978109
365,779.5606,0.6980412
366,781.7169,0.6982314
367,783.8887,0.6982734
368,785.9981,0.6981758
369,788.1588,0.698116
370,790.2525,0.6981395
371,792.4188,0.6981669
372,794.605,0.6982501
373,796.73,0.6981021
374,799.0113,0.6980078
375,801.1249,0.698051
376,803.3281,0.6980076
377,805.4219,0.6979727
378,807.5725,0.6980998
379,809.6663,0.6981237
380,811.76,0.6981182
381,814.05,0.6991068
382,816.2162,0.6990672
383,818.4038,0.6990513
384,820.5131,0.6988729
385,822.6425,0.6988719
386,824.7931,0.6998472
387,826.9069,0.6998241
388,829.0631,0.6998835
389,831.3387,0.699898
390,833.4481,0.6999827
391,835.5618,0.7000282
392,836.7069,0.6998169
393,838.8944,0.6998364
394,840.9413,0.699951
395,843.0662,0.7000639
396,845.1388,0.7000235
397,847.3562,0.700153
398,849.5169,0.7001372
399,851.72,0.7001474
400,853.8763,0.7001527
401,855.9488,0.7002295
402,858.0938,0.7001629
403,860.2175,0.7017369
404,862.3269,0.7019473
405,864.5288,0.7020571
406,866.6994,0.7020942
407,868.965,0.7020189
408,871.0743,0.7020388
409,873.1513,0.7019158
410,875.2606,0.70197
411,877.3231,0.701997
412,879.37,0.7019852
413,881.515,0.702004
414,883.785,0.7020131
415,885.95,0.7020269
416,888.1731,0.7019382
417,890.2513,0.7018609
418,892.3907,0.7018656
419,894.5569,0.7019187
420,896.6237,0.7019232
421,898.7219,0.7028492
422,900.81,0.7028328
423,902.9975,0.7028023
424,905.0913,0.7026903
425,907.2788,0.702701
426,909.4237,0.7027898
427,911.58,0.702769
428,913.6603,0.7027593
429,915.8288,0.7027141
430,917.9382,0.7027182
431,920.1256,0.7026398
432,922.2294,0.7026386
433,924.2919,0.7026514
434,926.37,0.7026356
435,928.5262,0.7025412
436,930.6356,0.7024985
437,932.7337,0.702485
438,934.7806,0.7025546
439,936.8744,0.7025808
440,938.9725,0.7026189
441,941.2324,0.7026579
442,943.4044,0.7026134
443,945.4981,0.7026582
444,947.6231,0.7026318
445,949.7013,0.7027242
446,951.9044,0.7026924
447,954.0806,0.7026931
448,956.1843,0.7026133
449,958.4388,0.7025693
450,960.5325,0.7026105
451,962.6888,0.7025672
452,964.7513,0.7025222
453,966.9531,0.7025125
454,969.1563,0.7024948
455,971.3437,0.7024306
456,973.625,0.7024883
457,975.8225,0.7023797
458,978.0569,0.7024968
459,980.2019,0.7025159
460,982.3738,0.7025259
461,984.4988,0.7025375
462,986.6237,0.7025144
463,988.7019,0.7024729
464,990.78,0.7025084
465,993.06,0.7025735
466,995.1581,0.7025498
467,997.2831,0.7026189
468,999.4637,0.7025949
469,1001.629,0.7025439
470,1003.764,0.7025044
471,1005.987,0.7025647
472,1008.096,0.7025455
473,1010.393,0.7025745
474,1012.549,0.7025887
475,1014.669,0.7024841
476,1016.763,0.702405
477,1018.981,0.702435
478,1021.075,0.7024527
479,1023.137,0.702424
480,1025.309,0.7025401
481,1027.433,0.7025153
482,1029.511,0.7025246
483,1031.776,0.702484
484,1033.936,0.7025596
485,1036.108,0.702488
486,1038.233,0.7024124
487,1040.409,0.7023666
