Iteration,Time,AUC
1,7.195629,0.6058132
2,11.63751,0.6082254
3,16.23117,0.6090817
4,20.96,0.6090544
5,25.41747,0.6090495
6,30.04248,0.6090279
7,33.70308,0.609028
8,38.29687,0.6090338
9,42.96876,0.6104627
10,47.56249,0.6104307
11,52.03116,0.6104286
12,56.49998,0.6104314
13,60.93185,0.610441
14,65.4206,0.6104509
15,69.96619,0.6104494
16,74.5131,0.6104452
17,79.11686,0.61017
18,83.74189,0.6106519
19,88.26495,0.6106286
20,92.81063,0.6106234
21,97.45994,0.6106097
22,102.1519,0.652131
23,106.6363,0.6521877
24,111.1362,0.6534462
25,115.7456,0.6521868
26,120.3081,0.6521947
27,124.9787,0.6523725
28,129.6394,0.6535568
29,134.2743,0.6535551
30,138.8256,0.6535175
31,143.4137,0.6634265
32,148.0882,0.6636765
33,152.6,0.6636775
34,157.1313,0.6636823
35,161.8231,0.6636791
36,166.4837,0.6636804
37,171.1643,0.6636301
38,175.7581,0.6635708
39,180.325,0.6636269
40,185.0737,0.6674599
41,189.5412,0.6672223
42,194.2912,0.6779501
43,198.8894,0.6782684
44,203.6706,0.6766341
45,208.2275,0.6806932
46,212.8356,0.6806777
47,217.465,0.6823195
48,222.1369,0.6826484
49,226.6525,0.6826954
50,231.3656,0.682442
51,236.1556,0.6810224
52,240.65,0.6813627
53,245.2125,0.6813593
54,249.8374,0.6808079
55,254.3574,0.6815087
56,258.9669,0.6812551
57,263.5449,0.6827675
58,268.2269,0.6827942
59,272.8518,0.683766
60,277.4131,0.6837858
61,282.1037,0.683801
62,286.7175,0.6851944
63,291.4675,0.6856123
64,296.185,0.6893397
65,300.7787,0.6895235
66,305.2944,0.6901143
67,310.0287,0.6904797
68,314.5856,0.6905637
69,319.3575,0.6918107
70,323.9656,0.6915383
71,328.6375,0.6910305
72,333.1631,0.6917545
73,337.8506,0.6922286
74,341.5,0.693263
75,346.125,0.6937024
76,350.6038,0.6940238
77,355.3893,0.6937416
78,360.0456,0.6940189
79,364.7431,0.695275
80,369.2743,0.6951637
81,373.8569,0.6949194
82,378.3824,0.6960811
83,382.945,0.6960819
84,387.7306,0.6959235
85,392.34,0.6972184
86,397.0431,0.6974037
87,401.7306,0.6975175
88,406.225,0.6979906
89,410.87,0.6975081
90,415.4994,0.697654
91,420.1187,0.6979352
92,424.6856,0.6980997
93,429.4143,0.6974487
94,433.9656,0.6970033
95,438.5125,0.6967541
96,443.2625,0.6965209
97,447.9444,0.6981812
98,452.6006,0.6977426
99,457.23,0.697731
100,461.7456,0.6971275
101,466.4956,0.6987914
102,471.1093,0.699724
103,475.8112,0.6990898
104,480.6225,0.699021
105,485.4137,0.7022224
106,490.0431,0.7043737
107,494.6056,0.7040151
108,499.1781,0.7039867
109,503.9594,0.7037102
110,508.6624,0.7036517
111,513.2875,0.7037406
112,517.9481,0.7037826
113,522.6188,0.704379
114,527.1687,0.704697
115,531.9219,0.7050616
116,536.5256,0.7067895
117,541.28,0.7070279
118,545.8112,0.7066285
119,550.5913,0.7066037
120,555.1694,0.7072649
121,559.8356,0.7066669
122,564.3556,0.7065141
123,568.9962,0.7056755
124,573.6056,0.7066789
125,578.4481,0.7061742
126,583.1956,0.7069144
127,587.8037,0.70743
128,592.4801,0.7066405
129,597.0269,0.7072275
130,601.8381,0.7073659
131,606.4631,0.7077247
132,611.06,0.7082702
133,615.6325,0.7085683
134,620.3869,0.7086982
135,625.0531,0.7080929
136,629.6513,0.7085573
137,634.2649,0.7087966
138,638.92,0.7090628
139,643.575,0.7096255
140,648.3038,0.7094319
141,653.0894,0.7101068
142,656.75,0.7107295
143,661.5144,0.7104736
144,666.2175,0.7104256
145,670.7644,0.7104195
146,675.4931,0.7107133
147,680.0713,0.7107126
148,684.6481,0.7101015
149,689.3656,0.7105786
150,693.9906,0.7102685
151,698.5419,0.7099969
152,703.17,0.7100769
153,707.8519,0.7101035
154,712.5225,0.7101339
155,717.2456,0.7102027
156,721.7925,0.709918
157,726.5144,0.7098997
158,731.2019,0.7104948
159,735.8569,0.710317
160,740.5431,0.7105376
161,745.1625,0.7104566
162,749.7249,0.7109331
163,754.2562,0.7108724
164,758.9,0.7110588
165,763.4312,0.711607
166,768.0594,0.7125777
167,772.6788,0.7123111
168,777.3974,0.7125613
169,781.8862,0.7126016
170,786.7812,0.7128782
171,791.5313,0.7133456
172,796.125,0.7135052
173,800.6975,0.7138135
174,805.5087,0.7139193
175,810.2419,0.7137632
176,814.8968,0.7143743
177,819.6356,0.7144714
178,824.2338,0.7144175
179,828.9369,0.7143597
180,833.6031,0.7148248
181,838.1656,0.7148309
182,842.7906,0.7154286
183,847.4625,0.7152989
184,852.025,0.7154068
185,856.6656,0.7154257
186,861.3106,0.7154258
187,865.93,0.7152622
188,870.4925,0.7156069
189,875.1644,0.715782
190,879.8506,0.715895
191,884.51,0.7161
192,889.1506,0.7159788
193,893.8056,0.7164095
194,898.4149,0.7166962
195,903.195,0.7169311
196,907.8187,0.7168574
197,912.3656,0.7170632
198,916.8856,0.7168356
199,921.5262,0.7171278
200,926.1869,0.7170996
201,930.7906,0.716836
202,935.4825,0.7169299
203,940.1487,0.7167507
204,944.805,0.7163067
205,949.3362,0.7161102
206,953.8675,0.7160472
207,958.4444,0.7159939
208,963.105,0.7159325
209,966.7343,0.7161311
210,971.3593,0.7160726
211,975.9944,0.7162131
212,980.7799,0.7161122
213,985.655,0.716152
214,990.2019,0.7163882
215,994.8894,0.7162889
216,999.4819,0.7163788
217,1004.076,0.7165374
218,1008.726,0.7167883
219,1013.479,0.7173629
220,1018.229,0.717499
221,1022.874,0.7174914
222,1027.421,0.7174948
223,1032.041,0.7174144
224,1036.669,0.7178848
225,1041.231,0.717732
226,1045.888,0.717814
227,1050.574,0.7179524
228,1055.151,0.7179545
229,1059.918,0.7177096
230,1064.444,0.7178381
231,1069.1,0.7178066
232,1073.968,0.7182274
233,1078.653,0.7183702
234,1083.226,0.7186011
235,1087.823,0.7190924
236,1092.436,0.718933
237,1097.218,0.7194617
238,1101.749,0.7194241
239,1106.389,0.7194898
240,1110.999,0.7190727
241,1115.743,0.7188317
242,1120.357,0.7188916
243,1124.998,0.7188778
244,1129.56,0.7186902
245,1134.449,0.7187187
246,1139.074,0.7185605
247,1143.725,0.7188574
248,1148.288,0.7189544
249,1153.124,0.7188324
250,1157.712,0.7194729
251,1162.357,0.7194552
252,1167.319,0.7196637
253,1172.057,0.7199861
254,1176.79,0.7200823
255,1181.388,0.7199582
256,1185.966,0.7195413
257,1190.776,0.719366
258,1195.374,0.7191945
259,1199.89,0.7191222
260,1204.541,0.7197062
261,1209.181,0.7195921
262,1213.951,0.7195124
263,1218.664,0.719555
264,1223.352,0.7198583
265,1227.977,0.7196002
266,1232.663,0.7194473
267,1236.327,0.7191001
268,1240.853,0.7188649
269,1245.716,0.7186065
270,1250.341,0.7190268
271,1255.023,0.7188923
272,1259.527,0.7188794
273,1264.147,0.7189823
274,1268.678,0.7188216
275,1273.256,0.7185342
276,1277.772,0.7188045
277,1282.334,0.7188563
278,1286.906,0.7186675
279,1291.65,0.7188951
280,1296.264,0.718976
281,1300.95,0.7188698
282,1305.466,0.7190337
283,1310.116,0.7190559
284,1314.694,0.7192456
285,1319.351,0.7192378
286,1323.851,0.7193689
287,1328.48,0.7193913
288,1333.141,0.7192008
289,1337.719,0.7191175
290,1342.343,0.7190887
291,1346.983,0.7192451
292,1351.624,0.7191498
293,1356.227,0.7191909
294,1360.915,0.7188918
295,1365.431,0.7191044
296,1370.138,0.7192135
297,1374.856,0.7189587
298,1379.6,0.7192658
299,1384.209,0.7189913
300,1389.056,0.7191973
301,1393.592,0.7192963
302,1398.117,0.7193202
303,1402.683,0.7192726
304,1407.183,0.7194234
305,1412.016,0.7191911
306,1416.603,0.7193037
307,1421.185,0.71921
308,1425.841,0.7192084
309,1430.591,0.719327
310,1435.117,0.7193021
311,1439.975,0.719178
312,1444.589,0.7190514
313,1449.214,0.7192017
314,1453.796,0.7191663
315,1458.588,0.7190603
316,1463.15,0.7188183
317,1467.727,0.7185951
318,1472.414,0.7185793
319,1477.086,0.7182711
320,1481.809,0.7182768
321,1486.684,0.718439
322,1491.434,0.7184486
323,1496.116,0.7183842
324,1500.835,0.7185591
325,1505.636,0.7186544
326,1510.23,0.7185736
327,1514.906,0.7183192
328,1519.764,0.7183714
329,1524.576,0.718416
330,1529.211,0.7182291
331,1533.836,0.7180353
332,1538.537,0.7182459
333,1543.203,0.7181458
334,1547.853,0.7181887
335,1552.467,0.7183205
336,1557.305,0.7183397
337,1561.944,0.7182233
338,1565.874,0.7183527
339,1570.556,0.7187921
340,1575.212,0.7185114
341,1579.727,0.7188298
342,1584.32,0.7190061
343,1589.012,0.7190708
344,1593.616,0.7190979
345,1598.35,0.7189049
346,1603.386,0.7188237
347,1607.901,0.718822
348,1612.526,0.7186449
349,1617.275,0.7182832
350,1621.826,0.7182684
351,1626.493,0.718404
352,1631.117,0.7182743
353,1635.772,0.718576
354,1640.464,0.7185627
355,1645.089,0.7184846
356,1649.855,0.7187213
357,1654.531,0.7187868
358,1659.436,0.7187671
359,1664.009,0.7188251
360,1668.681,0.7187249
361,1673.398,0.7185806
362,1677.867,0.7184564
363,1682.586,0.7182384
364,1687.273,0.718225
365,1691.871,0.7181219
366,1696.434,0.7181199
367,1701.184,0.7183356
368,1705.793,0.7180365
369,1710.381,0.7180241
370,1714.964,0.7179788
371,1719.857,0.7180989
372,1724.498,0.7178237
373,1729.076,0.7179687
374,1733.7,0.7180712
375,1738.366,0.7181432
376,1743,0.7180627
377,1747.572,0.7178833
378,1752.296,0.7176962
379,1756.915,0.7177294
380,1761.648,0.7178253
381,1766.371,0.7183432
382,1771.022,0.7184527
383,1775.776,0.7185147
384,1780.406,0.7186492
385,1784.937,0.7182964
386,1789.711,0.7183755
387,1794.413,0.7185786
388,1799.069,0.7186393
389,1803.757,0.7185464
390,1808.46,0.718899
391,1813.042,0.718805
392,1817.667,0.7190035
393,1822.401,0.7189948
394,1827.046,0.7188968
395,1831.841,0.7189173
396,1836.419,0.7190338
397,1841.132,0.7191828
398,1845.793,0.7193665
399,1850.573,0.7193398
400,1855.124,0.7191688
401,1859.656,0.7193208
402,1864.322,0.7193142
403,1869.088,0.7190465
404,1873.822,0.7190384
405,1878.572,0.7187988
406,1883.248,0.7189747
407,1887.774,0.7186077
408,1892.492,0.7185627
409,1897.164,0.7180898
410,1901.825,0.7180415
411,1906.538,0.7177694
412,1911.241,0.7178333
413,1916.074,0.7179182
414,1920.73,0.7179138
415,1925.527,0.7178684
416,1929.291,0.7180046
417,1933.889,0.7184083
418,1938.493,0.7182576
419,1943.076,0.7181329
420,1947.902,0.7184178
421,1952.465,0.7184808
422,1957.147,0.7182323
423,1961.866,0.7181813
424,1966.491,0.717835
425,1971.131,0.7176318
426,1975.803,0.7178636
427,1980.366,0.7178493
428,1984.964,0.7177282
429,1989.792,0.7176746
430,1994.484,0.7176909
431,1999.275,0.7174444
432,2004.072,0.717483
433,2008.731,0.717128
434,2013.319,0.7172266
435,2018.057,0.7172374
436,2022.557,0.7171214
437,2027.171,0.7170557
438,2031.806,0.7170615
439,2036.419,0.7169561
440,2041.132,0.717084
441,2045.824,0.7171958
442,2050.418,0.7170166
