Iteration,Time,AUC
1,23.78986,0.740527
2,43.38299,0.7499339
3,61.96864,0.7586307
4,80.03612,0.7653881
5,99.11485,0.7712138
6,118.208,0.7751647
7,137.473,0.7805137
8,156.9411,0.7837495
9,175.9586,0.7865165
10,195.3661,0.7895846
11,213.6255,0.7914658
12,231.693,0.7926105
13,250.7805,0.7943595
14,269.753,0.7956448
15,288.5693,0.7966541
16,306.9774,0.797792
17,326.1768,0.798475
18,344.2661,0.7990916
19,363.5155,0.7998356
20,382.5318,0.8005948
21,401.3293,0.8014058
22,420.1255,0.8019372
23,439.2524,0.8028282
24,457.9874,0.8034114
25,476.468,0.8040367
26,495.1886,0.8044061
27,512.5955,0.805233
28,530.958,0.8058655
29,549.7849,0.8062112
30,568.7667,0.8066254
31,587.7036,0.8069381
32,606.3149,0.8073747
33,624.5968,0.8078037
34,643.1568,0.8082631
35,662.2737,0.8085282
36,680.7386,0.8088532
37,698.7205,0.8094277
38,716.4555,0.8097865
39,734.033,0.8099505
40,752.9124,0.8100474
41,771.2024,0.8107133
42,790.3812,0.8109162
43,809.0649,0.8109869
44,827.8511,0.811323
45,846.5061,0.8116163
46,865.2724,0.8118758
47,884.1768,0.8123152
48,903.1474,0.8125263
49,922.0792,0.8125714
50,939.3655,0.8127885
51,957.8274,0.8130828
52,976.3993,0.8133493
53,994.1624,0.8135229
54,1013.256,0.8136437
55,1031.832,0.8142533
56,1049.694,0.8145107
57,1068.852,0.8146011
58,1087.281,0.8146381
59,1106.312,0.8149595
60,1124.127,0.8152385
61,1143.148,0.815433
62,1162.579,0.8155465
63,1181.819,0.8156594
64,1201.055,0.8158428
65,1220.174,0.8160323
66,1238.459,0.8161847
67,1257.724,0.8165866
68,1276.064,0.8167798
69,1294.125,0.8169838
70,1312.909,0.8170795
71,1332.05,0.8173456
72,1351.258,0.8174067
73,1370.665,0.8174767
74,1390.192,0.817541
75,1408.923,0.8176542
76,1427.912,0.8178032
77,1446.929,0.8179937
78,1464.722,0.8182129
79,1483.547,0.8182938
80,1502.28,0.8184361
81,1521.271,0.8187166
82,1539.287,0.818976
83,1558.657,0.8190631
84,1577.585,0.8192007
85,1596.502,0.8192265
86,1615.594,0.819457
87,1634.314,0.8196751
88,1652.319,0.8198944
89,1671.484,0.8200138
90,1690.409,0.8201092
91,1709.038,0.8202276
92,1727.595,0.8203069
93,1746.752,0.820317
94,1766.132,0.8203686
95,1784.097,0.8204873
96,1802.836,0.8207383
97,1821.693,0.8208858
98,1840.32,0.8210026
99,1859.064,0.8211257
100,1877.955,0.8212169
101,1895.737,0.8212332
102,1914.242,0.8212748
103,1933.675,0.8214179
104,1952.532,0.8215516
105,1970.594,0.8216449
