Iteration,Time,AUC
1,39.89679,0.7768435
2,72.14738,0.7856839
3,103.3643,0.7910662
4,134.9736,0.7953568
5,166.7387,0.7982511
6,198.3905,0.8013689
7,229.8018,0.8035928
8,260.9043,0.806379
9,291.2705,0.8087307
10,323.6012,0.8107934
11,354.3787,0.8126061
12,386.0305,0.8136114
13,417.4124,0.8149205
14,448.658,0.81594
15,480.9374,0.8168977
16,511.7368,0.8178318
17,544.3805,0.8183426
18,574.7099,0.8192372
19,606.6455,0.8200015
20,638.7974,0.8207223
21,672.1624,0.8213707
22,705.3311,0.8220743
23,736.048,0.8227238
24,766.5918,0.8231766
25,798.1611,0.8235279
26,830.283,0.8240135
27,862.4105,0.8243571
28,894.3437,0.8246708
29,926.3261,0.8251891
30,957.773,0.825422
31,989.1293,0.8258895
32,1020.397,0.8261055
33,1051.911,0.8265099
34,1083.532,0.8267848
35,1114.913,0.8273525
36,1147.786,0.8274834
37,1179.144,0.8279858
38,1210.085,0.8281859
39,1241.834,0.8285231
40,1272.344,0.8287841
41,1303.082,0.8289425
42,1334.912,0.829006
43,1366.659,0.8291301
44,1399.709,0.8295448
45,1431.329,0.8298706
46,1463.036,0.830137
47,1495.563,0.8303124
48,1527.833,0.8305953
49,1559.987,0.8306713
50,1592.781,0.8308607
51,1625.123,0.8310975
52,1656.549,0.831147
53,1688.453,0.8312455
54,1721.867,0.8314754
55,1752.689,0.8317248
56,1785.127,0.8320712
57,1817.522,0.832127
58,1849.454,0.8322235
59,1882.897,0.8324238
60,1913.454,0.8327298
61,1944.474,0.8327598
62,1977.327,0.8328792
63,2007.909,0.832936
64,2040.554,0.8332183
65,2072.643,0.8335895
66,2105.516,0.8337381
67,2138.83,0.83381
68,2171.858,0.834136
69,2202.44,0.8342106
70,2234.411,0.8342212
71,2266.421,0.8343688
72,2298.424,0.834419
73,2332.701,0.8347791
74,2365.609,0.8351204
75,2397.847,0.8352198
76,2428.756,0.8353068
77,2459.97,0.8353528
78,2492.827,0.8355083
79,2524.452,0.835637
80,2555.202,0.8356427
81,2587.967,0.8358658
82,2620.882,0.836126
83,2653.545,0.8363016
84,2684.941,0.8364161
85,2715.967,0.8365825
86,2748.61,0.836606
87,2780.162,0.8366995
88,2812.726,0.8368071
89,2844.756,0.8369602
90,2874.832,0.8370464
91,2905.749,0.837198
92,2936.164,0.8372518
93,2968.007,0.837319
94,2999.631,0.8373928
95,3031.116,0.8374642
96,3063.585,0.8376457
97,3095.393,0.8377062
98,3127.344,0.8377478
99,3158.157,0.837812
100,3188.267,0.8378272
101,3220.412,0.837881
102,3253.517,0.8379303
103,3283.799,0.8379301
104,3313.865,0.8379533
105,3344.299,0.8379617
106,3374.987,0.8379977
107,3407.083,0.8383952
108,3438.719,0.8384168
109,3471.19,0.8386583
110,3501.827,0.8387227
111,3533.017,0.8387324
112,3565.206,0.8388484
113,3594.631,0.8388503
114,3625.662,0.8388646
115,3656.156,0.8389681
116,3687.645,0.8392294
117,3720.377,0.8393328
118,3751.062,0.8393942
119,3782.251,0.8394746
120,3814.894,0.839637
121,3845.781,0.8396618
122,3876.691,0.8399533
123,3909.394,0.8400593
124,3940.791,0.840181
125,3973.327,0.8402617
126,4004.717,0.8403563
127,4036.238,0.8403951
128,4068.707,0.8405066
129,4100.844,0.8405555
130,4131.801,0.8405565
131,4161.71,0.8405663
132,4194.749,0.84064
133,4226.164,0.8406482
134,4256.612,0.840649
135,4286.175,0.8406535
136,4319.879,0.8406612
137,4351.654,0.840672
138,4386.094,0.8407174
139,4418.023,0.8407153
140,4447.844,0.8407188
141,4481.676,0.8407158
142,4511.582,0.8407256
143,4544.142,0.8407227
144,4576.375,0.8407187
145,4610.36,0.8407346
146,4641.429,0.8407378
147,4676.803,0.8409118
148,4710.787,0.841046
149,4744.677,0.8411744
150,4779.755,0.8412541
151,4814.455,0.8412747
152,4849.301,0.8413135
153,4883.317,0.8413893
154,4918.109,0.8413938
155,4952.814,0.841513
156,4987.58,0.8415885
157,5023.536,0.8416646
158,5057.284,0.8416675
159,5090.335,0.8416696
160,5123.987,0.8417986
161,5158.422,0.8419567
162,5192.848,0.8420045
163,5225.956,0.8420623
164,5258.014,0.8421167
165,5292.114,0.8422482
166,5326.421,0.8422881
167,5358.673,0.8423195
168,5392.251,0.842318
169,5425.131,0.8424522
170,5458.735,0.8425037
171,5491.437,0.8425276
172,5524.611,0.8425772
173,5558.177,0.8426529
174,5592.616,0.8426744
175,5626.675,0.8426966
176,5659.03,0.8426917
177,5692.046,0.842706
178,5723.662,0.8426988
179,5756.363,0.8427999
180,5788.864,0.8427951
181,5820.875,0.8428367
182,5852.936,0.8428476
183,5885.016,0.8429913
184,5916.896,0.8430131
185,5950.316,0.8430838
186,5982.782,0.8431183
187,6013.576,0.8431419
188,6044.147,0.8431527
189,6073.671,0.843173
190,6102.535,0.8431758
191,6132.642,0.8431696
192,6163.654,0.8432018
193,6193.922,0.8432182
194,6224.752,0.8432849
195,6256.546,0.8433123
196,6287.423,0.843324
197,6315.347,0.8433219
198,6344.127,0.843365
199,6375.517,0.8434086
200,6405.655,0.8435155
