Iteration,Time,AUC
1,21.51988,0.7402674
2,38.81617,0.7493173
3,56.66238,0.7585095
4,73.43554,0.7652821
5,91.12244,0.7710355
6,108.2055,0.7758646
7,124.4686,0.7801204
8,140.7793,0.7831078
9,157.7855,0.7867189
10,175.2867,0.7890313
11,192.0755,0.7912001
12,209.0649,0.7928153
13,226.1305,0.7943277
14,243.4511,0.7956934
15,260.628,0.7969716
16,277.8418,0.7976462
17,295.7005,0.7985607
18,312.818,0.7994834
19,330.7387,0.8002821
20,348.3118,0.8010474
21,365.4655,0.8014987
22,383.2037,0.8026714
23,401.318,0.8033417
24,419.2687,0.8038248
25,436.388,0.8046314
26,452.9699,0.8051277
27,471.1937,0.8055627
28,488.563,0.8059795
29,505.7024,0.8065037
30,523.5012,0.8068619
31,541.3143,0.8075186
32,559.3293,0.8079232
33,577.2075,0.808025
34,594.9549,0.8082573
35,612.4074,0.8086241
36,629.7317,0.8095005
37,646.3943,0.8096121
38,663.9392,0.809785
39,680.9255,0.8100708
40,698.5218,0.810314
41,715.5811,0.8106659
42,733.7324,0.8110408
43,750.7218,0.8112285
44,767.0818,0.811376
45,784.7349,0.8115746
46,802.2543,0.8119581
47,820.0437,0.8121861
48,837.3793,0.8123713
49,855.1743,0.812541
50,871.8499,0.8126707
51,889.7031,0.8129274
52,907.0205,0.8131683
53,924.8925,0.8134414
54,943.2868,0.8136182
55,961.0299,0.8136229
56,978.7705,0.8138754
57,996.4586,0.8139533
58,1013.716,0.814178
59,1030.566,0.8142448
60,1048.078,0.8143806
61,1065.688,0.8144808
62,1082.186,0.8147417
63,1099.987,0.8150417
64,1117.452,0.8154295
65,1134.927,0.8157481
66,1152.701,0.8158287
67,1169.083,0.8161986
68,1187.044,0.816376
69,1204.194,0.8165522
70,1221.706,0.8168148
71,1239.392,0.816953
72,1257.358,0.8170241
73,1274.958,0.8170558
74,1292.809,0.8171927
75,1310.784,0.8173732
76,1328.269,0.8175119
77,1345.284,0.8178604
78,1361.675,0.8180006
79,1379.861,0.8181405
80,1397.951,0.8182973
81,1415.334,0.8183295
82,1432.92,0.8183619
83,1450.489,0.8184364
84,1467.986,0.8186397
85,1485.504,0.8189127
86,1503.202,0.8189449
87,1520.028,0.8191197
88,1538.437,0.8192215
89,1556.672,0.8193689
90,1574.878,0.8195059
91,1592.454,0.8198123
92,1610.952,0.8198676
93,1628.437,0.8199161
94,1645.376,0.8199403
95,1663.361,0.8202271
96,1680.827,0.820421
97,1699.342,0.8206015
98,1716.6,0.8207316
99,1734.059,0.8208684
100,1751.723,0.8208748
101,1768.927,0.821094
102,1786.035,0.8211388
103,1804.003,0.8211811
104,1820.974,0.8212259
105,1838.663,0.8212836
106,1856.657,0.8213615
107,1874.424,0.8214087
108,1891.612,0.8214423
109,1909.317,0.8214486
110,1927.155,0.8215834
111,1945.037,0.8216192
112,1962.997,0.8217044
113,1981.051,0.8218943
114,1998.177,0.8220019
115,2015.986,0.8221567
116,2033.487,0.8223885
117,2050.911,0.8225551
118,2068.747,0.8226106
119,2086.497,0.8226621
120,2103.747,0.8226984
121,2121.596,0.8227777
122,2139.552,0.8228193
123,2156.379,0.8229251
124,2173.157,0.8231043
125,2190.764,0.823126
126,2208.85,0.8232004
127,2226.17,0.8232341
128,2244.02,0.8233587
129,2261.844,0.8234889
130,2280.034,0.8235238
131,2297.107,0.8236454
132,2314.912,0.8238367
133,2332.486,0.8238962
134,2349.264,0.8238961
135,2366.866,0.8239588
136,2384.784,0.8240339
137,2402.078,0.824087
138,2419.614,0.8242327
139,2436.723,0.8243511
140,2454.694,0.8244088
141,2472.122,0.8244213
142,2488.779,0.8244552
143,2506.561,0.8244963
144,2524.021,0.824499
145,2541.737,0.8246558
146,2558.919,0.8246782
147,2576.909,0.824786
148,2594.609,0.8248835
149,2612.238,0.8249614
150,2629.262,0.8250741
151,2646.862,0.8251568
152,2663.437,0.8252967
153,2680.686,0.8253525
154,2698.861,0.8253593
155,2716.002,0.8254227
156,2733.612,0.8254942
157,2751.396,0.8255933
158,2769.325,0.8256348
159,2786.702,0.8256803
160,2803.404,0.8257834
161,2820.473,0.8258766
162,2837.999,0.825902
163,2854.829,0.8260376
164,2873.142,0.8260871
165,2890.985,0.8261428
166,2908.987,0.826282
167,2926.537,0.8263186
168,2943.872,0.8264493
169,2961.669,0.8264965
170,2978.457,0.8266158
171,2995.872,0.8267288
172,3013.317,0.8267638
173,3030.437,0.8267829
174,3048.216,0.8268216
175,3065.772,0.8268989
176,3083.315,0.8269174
