Iteration,Time,AUC
1,90.25127,0.5007025
2,161.6663,0.5005582
3,230.6282,0.5031113
4,300.4851,0.5034734
5,368.5751,0.5044433
6,435.1094,0.5040394
7,497.4551,0.5068403
8,562.4795,0.5079143
9,629.0338,0.5080163
10,693.8907,0.5093773
11,754.2007,0.509583
12,816.9057,0.5104988
13,878.0751,0.5111831
14,928.172,0.5122294
15,978.1069,0.5136753
16,1027.84,0.5144025
17,1076.526,0.5164156
18,1126.812,0.5185593
19,1175.801,0.5191917
20,1225.67,0.5194807
21,1275.047,0.5209408
22,1325.074,0.5216571
23,1374.066,0.5235114
24,1423.172,0.5242501
25,1474.716,0.5250834
26,1525.248,0.5268375
27,1575.608,0.52755
28,1626.809,0.5264468
29,1675.798,0.5270283
30,1725.863,0.5304191
31,1775.152,0.5305952
32,1823.169,0.5305968
33,1873.824,0.5324743
34,1926.019,0.5343164
35,1976.5,0.5365106
36,2025.838,0.5371925
37,2075.201,0.5369776
38,2125.515,0.537287
39,2173.904,0.5378502
40,2224.546,0.5387573
41,2274.512,0.5392018
42,2323.904,0.540404
43,2373.214,0.5402012
44,2423.251,0.5402092
45,2473.998,0.540842
46,2524.964,0.5416408
47,2575.624,0.5414837
48,2624.347,0.5418828
49,2674.844,0.5438485
50,2726.839,0.5438836
51,2777.703,0.545413
52,2829.214,0.5457454
53,2879.168,0.5460558
54,2931.716,0.5462836
55,2985.636,0.5464521
56,3036.278,0.5468857
57,3090.404,0.5479695
58,3144.251,0.5477952
59,3195.988,0.5480746
60,3251.575,0.5484899
61,3305.55,0.549232
62,3358.094,0.5494851
63,3413.389,0.5498783
64,3468.862,0.5500285
65,3522.543,0.5504008
66,3576.281,0.5513127
67,3631.666,0.5517825
68,3686.596,0.551847
69,3741.404,0.5547747
70,3796.923,0.5559751
71,3852.753,0.5567147
72,3908.136,0.5574215
73,3962.062,0.557951
74,4017.044,0.5586142
75,4071.2,0.5590459
76,4125.609,0.5596756
77,4178.859,0.5597391
78,4230.533,0.5605324
79,4283.301,0.5610034
80,4337.764,0.5611929
81,4391.26,0.5615397
82,4444.982,0.5614678
83,4495.486,0.5619784
84,4547.765,0.5619915
85,4599.906,0.5625166
86,4652.932,0.5625402
87,4703.903,0.5628451
88,4754.136,0.5630067
89,4804.187,0.5635
90,4854.547,0.5644281
91,4903.888,0.5647709
92,4957.188,0.5651337
93,5007.669,0.5706954
94,5060.47,0.5711361
95,5114,0.5712571
96,5166.236,0.5713081
97,5219.667,0.5723106
98,5272.171,0.5724728
99,5323.186,0.5724778
100,5374.939,0.573097
101,5428.358,0.5730646
102,5480.658,0.5734585
103,5534.782,0.5736763
104,5587.578,0.5746787
105,5641.314,0.5750041
106,5695.002,0.5752629
107,5747.453,0.5757583
108,5796.501,0.5759681
109,5851.199,0.5766546
110,5905.326,0.5772563
111,5958.596,0.5773352
112,6015.059,0.5775437
113,6070.846,0.578198
114,6124.824,0.5783463
115,6179.169,0.5788505
116,6234.469,0.5789933
117,6288.843,0.5792798
118,6345.106,0.5799495
119,6399.139,0.5804694
120,6454.607,0.5805714
121,6503.951,0.5807075
122,6557.157,0.5808508
123,6611.294,0.5809811
124,6666.095,0.5827765
125,6721.432,0.5828486
126,6775.222,0.5843556
127,6828.673,0.5848351
128,6882.346,0.5853408
129,6936.153,0.5855184
130,6989.952,0.5855797
131,7042.703,0.5859262
132,7095.595,0.5860384
133,7149.67,0.5865013
134,7215.824,0.5868917
135,7281.794,0.587407
136,7347.448,0.5878704
137,7417.309,0.5881442
138,7485.294,0.5883938
139,7551.049,0.5886737
140,7614.638,0.5890436
141,7681.111,0.5896046
142,7750.143,0.5907755
143,7812.843,0.5911589
144,7875.419,0.5918067
145,7933.502,0.5921801
146,7986.188,0.5925047
147,8036.535,0.5930032
148,8086.701,0.5934115
149,8137.156,0.5933283
150,8187.998,0.5935591
151,8237.84,0.5938328
152,8288.953,0.5941951
153,8337.842,0.5941105
154,8387.622,0.5943396
155,8436.405,0.5946216
156,8487.106,0.5943982
157,8536.176,0.5947643
158,8585.456,0.5950711
159,8636.011,0.5949679
160,8686.75,0.5952668
161,8739.593,0.5955555
162,8789.965,0.5957275
163,8842.573,0.5961146
164,8895.468,0.5964121
165,8947.814,0.5966402
166,8997.168,0.5969964
167,9048.307,0.5973944
168,9100.236,0.5973649
169,9151.479,0.5974761
170,9201.894,0.5976182
171,9251.356,0.5980063
172,9302.078,0.5983162
173,9352.309,0.5990738
174,9401.873,0.599116
175,9453.283,0.5997314
176,9502.763,0.6000318
177,9549.955,0.6004629
178,9598.973,0.6005168
179,9648.987,0.6006842
180,9697.855,0.6010031
181,9748.494,0.6011522
182,9798.738,0.6009665
183,9848.624,0.6018075
184,9896.019,0.6018074
185,9945.809,0.6018011
186,9994.061,0.6022363
187,10041.79,0.6027855
188,10090.6,0.6029732
189,10140.28,0.6035095
190,10190.11,0.6035249
191,10239.65,0.6041952
192,10289.25,0.6042055
193,10337.77,0.6043838
194,10384.78,0.6045694
195,10434.66,0.604729
