Iteration,Time,AUC
1,65.2751,0.501156
2,105.5451,0.5028534
3,147.6332,0.5030537
4,189.5582,0.5017889
5,232.5726,0.5023792
6,273.8601,0.5034914
7,314.9782,0.5054199
8,356.5582,0.5066101
9,398.7432,0.5063478
10,441.8513,0.5071279
11,484.3857,0.5097374
12,526.0126,0.5108082
13,567.7032,0.5149377
14,609.4476,0.5145473
15,652.032,0.5161264
16,694.2951,0.5165412
17,736.517,0.5177865
18,778.6169,0.5180972
19,820.8989,0.5193648
20,862.7045,0.5212982
21,903.9789,0.5225853
22,946.2776,0.5261311
23,988.4482,0.5280999
24,1030.758,0.5286979
25,1071.594,0.5294147
26,1113.367,0.5294103
27,1154.276,0.5297735
28,1196.588,0.5299446
29,1240.539,0.5321126
30,1282.828,0.5323148
31,1325.259,0.5356733
32,1366.919,0.5359832
33,1410.464,0.5366757
34,1451.669,0.536685
35,1492.611,0.5367812
36,1534.671,0.5371269
37,1576.501,0.5382914
38,1618.494,0.5380072
39,1659.829,0.5383108
40,1701.139,0.5389555
41,1743.431,0.5387629
42,1786.622,0.5387169
43,1827.041,0.5394032
44,1868.773,0.5405643
45,1910.512,0.5409296
46,1952.761,0.5415631
47,1995.25,0.5414224
48,2038.391,0.5425366
49,2080.407,0.5429519
50,2123.92,0.5445734
51,2167.496,0.5462471
52,2210.215,0.5464214
53,2252.218,0.5470662
54,2294.559,0.5474763
55,2338.234,0.5475212
56,2382.556,0.5483948
57,2424.996,0.5490298
58,2467.999,0.5501901
59,2510.604,0.5502455
60,2552.898,0.5509747
61,2598.031,0.5515654
62,2643.029,0.5514248
63,2687.636,0.5519533
64,2729.889,0.5527499
65,2771.962,0.5533922
66,2814.526,0.5540798
67,2855.994,0.5543043
68,2897.258,0.5548356
69,2938.854,0.55523
70,2980.138,0.5554208
71,3022.134,0.5559818
72,3064.419,0.5561549
73,3104.546,0.5559636
74,3145.157,0.5579917
75,3186.399,0.5584591
76,3225.511,0.5587169
77,3265.263,0.5590339
78,3302.999,0.559128
79,3340.501,0.5593471
80,3377.324,0.5591262
81,3413.279,0.5593241
82,3449.918,0.5610477
83,3484.399,0.5665165
84,3517.188,0.5672619
85,3550.483,0.5674502
86,3583.236,0.5678837
87,3616.246,0.567988
88,3648.026,0.5686694
89,3680.196,0.568459
90,3711.636,0.5689689
91,3742.434,0.5694563
92,3775.312,0.5694063
93,3807.606,0.5696761
94,3840.374,0.5703719
95,3872.751,0.5704867
96,3905.016,0.5706241
97,3936.343,0.5711614
98,3969.059,0.5717525
99,4000.923,0.5719535
100,4033.868,0.5725407
101,4065.699,0.5728265
102,4096.736,0.5730881
103,4128.246,0.5732043
104,4161.437,0.5738503
105,4194.446,0.5746074
106,4227.526,0.5747265
107,4260.107,0.5754811
108,4292.356,0.5758801
109,4324.985,0.5762418
110,4358.47,0.5765641
111,4391.291,0.5770242
112,4424.341,0.5771587
113,4458.937,0.5774307
114,4493.074,0.5777295
115,4525.436,0.5777792
116,4559.561,0.5788295
117,4592.906,0.5788211
118,4627.419,0.5793461
119,4660.751,0.5797059
120,4694.559,0.580042
121,4728.76,0.5807743
122,4762.655,0.5811613
123,4797.229,0.5813553
124,4830.419,0.5816949
125,4864.204,0.5816214
126,4897.219,0.5820041
127,4930.766,0.582176
128,4963.059,0.5824091
129,4995.962,0.5827725
130,5027.887,0.5844123
131,5059.136,0.5848632
132,5091.218,0.5850928
133,5123.048,0.5852369
134,5156.42,0.5857137
135,5188.901,0.5863089
136,5222.766,0.5866266
137,5255.843,0.5869448
138,5289.679,0.5870647
139,5322.843,0.5870049
140,5355.921,0.5873055
141,5388.199,0.5871249
142,5419.508,0.5872265
143,5449.777,0.5874904
144,5481.406,0.5876973
145,5513.009,0.5877268
146,5543.949,0.5878247
147,5574.104,0.5880174
148,5605.783,0.5880949
149,5636.838,0.5885713
150,5666.873,0.5890706
151,5697.573,0.5891562
152,5728.342,0.589908
153,5759.25,0.5900717
154,5790.242,0.5904112
155,5819.95,0.5906174
156,5850.795,0.5908259
157,5881.294,0.5910484
158,5912.821,0.5910655
159,5944.781,0.5910082
160,5975.633,0.5911663
161,6004.496,0.5920196
162,6034.618,0.5929621
163,6066.087,0.5932153
164,6098.637,0.5932707
165,6130.251,0.5934583
166,6159.921,0.5937253
167,6189.909,0.5938456
168,6219.651,0.5941649
169,6249.28,0.5944862
170,6280.091,0.5945172
171,6309.217,0.5949232
172,6339.361,0.5949161
173,6369.922,0.5952541
174,6400.853,0.5952609
175,6431.699,0.5953241
176,6463.009,0.5954564
177,6493.586,0.5954836
178,6523.854,0.5956005
179,6554.985,0.5956365
180,6585.149,0.5956879
181,6614.964,0.5959768
182,6645.171,0.5961746
183,6676.232,0.5963912
184,6706.715,0.5965048
185,6738.078,0.5966425
186,6769.774,0.596732
187,6801.499,0.5969559
188,6832.563,0.5972033
189,6863.341,0.5974258
190,6894.344,0.5974972
191,6925.729,0.5973917
192,6957.289,0.5973343
193,6988.229,0.5973391
194,7019.563,0.5974889
195,7049.589,0.5974319
196,7080.119,0.5974607
197,7111.328,0.597286
198,7140.682,0.5974553
199,7171.637,0.5975846
200,7202.889,0.5976459
201,7234.751,0.5980988
202,7265.539,0.5982037
203,7296.016,0.5984677
204,7326.001,0.5987133
205,7356.228,0.5989796
206,7386.9,0.5992331
207,7418.296,0.5994003
208,7449.544,0.5995748
209,7480.531,0.5995803
210,7511.696,0.5996889
211,7542.76,0.599784
212,7573.617,0.6011226
213,7605.356,0.6011891
214,7636.884,0.6015611
215,7666.892,0.6016681
216,7697.807,0.6019194
217,7729.617,0.6018518
218,7760.59,0.6020025
219,7791.921,0.6019291
220,7822.997,0.6020918
221,7853.264,0.6020982
222,7885.324,0.6018505
223,7916.649,0.6019155
224,7948.434,0.601861
225,7980.111,0.601823
226,8011.057,0.6018375
227,8040.887,0.6019687
