Iteration,Time,AUC
1,57.28248,0.5007766
2,96.60686,0.5010806
3,136.3888,0.5036728
4,174.5125,0.5038978
5,213.7981,0.5056281
6,253.185,0.5051372
7,292.4937,0.5078178
8,331.6419,0.5091072
9,367.8912,0.5099306
10,403.9856,0.5105455
11,439.4619,0.5106106
12,475.3568,0.5131903
13,511.4625,0.5144434
14,546.6406,0.5150349
15,582.7444,0.5151647
16,618.7819,0.5159121
17,653.9344,0.5168987
18,690.3694,0.517948
19,726.03,0.5183695
20,762.06,0.5192372
21,798.0631,0.5190999
22,833.6868,0.5210846
23,869.4188,0.5213846
24,905.6494,0.5219353
25,940.4807,0.5230823
26,975.2994,0.523184
27,1010.636,0.524736
28,1045.547,0.5281913
29,1081.138,0.5289916
30,1116.042,0.52926
31,1151.127,0.5298525
32,1185.915,0.5310246
33,1219.954,0.53202
34,1254.922,0.5318823
35,1289.704,0.5317413
36,1324.854,0.5319149
37,1359.219,0.533908
38,1394.091,0.5344685
39,1428.533,0.5350748
40,1463.096,0.5352661
41,1497.809,0.5369163
42,1532.228,0.5368807
43,1567.642,0.5374005
44,1602.855,0.5375908
45,1637.966,0.5384228
46,1673.981,0.5383921
47,1709.859,0.5383795
48,1749.306,0.5399291
49,1789.794,0.5404137
50,1832.009,0.5410667
51,1870.981,0.541036
52,1910.306,0.543845
53,1950.139,0.5440074
54,1991.422,0.544827
55,2031.634,0.5456616
56,2067.361,0.5459161
57,2105.86,0.5461215
58,2146.747,0.5468454
59,2187.746,0.5473628
60,2228.452,0.5493502
61,2269.012,0.5494857
62,2308.26,0.5499497
63,2347.329,0.5518428
64,2386.623,0.5522489
65,2424.718,0.5532236
66,2465.556,0.5533694
67,2505.407,0.5542773
68,2545.83,0.5546735
69,2586.252,0.5552843
70,2627.227,0.5555165
71,2668.121,0.5559662
72,2706.337,0.5576936
73,2745.388,0.5581364
74,2786.078,0.5588541
75,2826.478,0.5593346
76,2856.954,0.559874
77,2887.031,0.5605754
78,2915.971,0.561653
79,2945.376,0.5619926
80,2974.872,0.5621219
81,3004.198,0.5625888
82,3033.174,0.5629805
83,3061.572,0.562935
84,3089.888,0.5632703
85,3118.214,0.5641771
86,3145.984,0.5647615
87,3173.482,0.5652519
88,3201.129,0.5652723
89,3228.999,0.5660172
90,3256.513,0.566436
91,3284.016,0.5668501
92,3311.681,0.5672867
93,3339.198,0.5676139
94,3366.746,0.5681272
95,3394.197,0.5682136
96,3421.058,0.5746779
97,3449.135,0.5753453
98,3477.404,0.5755637
99,3505.705,0.5761203
100,3534.423,0.5762756
101,3563.482,0.5766588
102,3592.596,0.5768441
103,3622.687,0.5769865
104,3652.806,0.5773306
105,3683.109,0.5780264
106,3713.384,0.5791546
107,3744.059,0.5793869
108,3775.205,0.5799733
109,3806.67,0.5803518
110,3838.183,0.5805749
111,3869.869,0.5806623
112,3901.346,0.5813658
113,3932.667,0.5817032
114,3964.389,0.5818092
115,3996.032,0.5833872
116,4027.811,0.5834956
117,4059.627,0.5838221
118,4091.215,0.5838789
119,4122.951,0.5842416
120,4154.762,0.5844721
121,4186.759,0.5850184
122,4217.81,0.5855555
123,4248.652,0.5859023
124,4279.406,0.5864908
125,4310.19,0.586618
126,4341.074,0.5869533
127,4372.009,0.58757
128,4402.466,0.5881694
129,4432.564,0.5885251
130,4464.543,0.5889802
131,4496.292,0.5892679
132,4528.181,0.5892746
133,4561.076,0.5911957
134,4598.625,0.5912956
135,4639.728,0.5914405
136,4683.463,0.5918505
137,4727.416,0.5924118
138,4771.497,0.5928317
139,4814.342,0.59329
140,4849.511,0.5935164
141,4883.518,0.593961
142,4920.016,0.5941181
143,4958.768,0.5944179
144,4999.119,0.5948015
145,5039.496,0.5949085
146,5079.993,0.5950509
147,5115.509,0.5952774
148,5149.949,0.5954519
149,5184.763,0.5967991
150,5217.955,0.5970665
151,5255.532,0.597222
152,5295.607,0.5972761
153,5334.873,0.597523
154,5374.767,0.597547
155,5414.571,0.59807
156,5454.281,0.598236
157,5493.673,0.5982896
158,5532.962,0.5986236
159,5571.561,0.5989557
160,5608.672,0.5992404
161,5642.233,0.5994942
162,5676.449,0.5994439
163,5719.729,0.5996692
164,5762.562,0.6000116
165,5799.26,0.6003733
166,5837.433,0.6003837
167,5876.639,0.6004228
168,5915.528,0.6005812
169,5957.245,0.6012275
170,5998.189,0.6019759
171,6039.28,0.6021432
172,6078.076,0.6032985
173,6116.094,0.6032009
174,6156.669,0.6033986
175,6197.251,0.6034047
176,6239.353,0.6039082
177,6278.622,0.6042624
178,6319.639,0.6045804
179,6356.042,0.604687
180,6393.654,0.6046211
181,6432.362,0.6047618
182,6467.251,0.6051235
183,6500.935,0.6051511
184,6533.745,0.6052592
185,6565.768,0.6056199
186,6602.142,0.6055831
187,6638.531,0.6056988
188,6675.071,0.6058424
189,6710.938,0.6058329
190,6743.714,0.6059974
191,6780.154,0.6062017
192,6814.307,0.6064663
193,6851.059,0.6068546
194,6888.201,0.606967
195,6922.797,0.6070264
196,6959.044,0.607061
197,6995.854,0.6072618
198,7032.042,0.6075562
199,7066.557,0.6078431
200,7104.216,0.6079814
201,7140.744,0.6081034
202,7177.815,0.6083479
203,7215.497,0.6083748
204,7253.259,0.6085545
205,7292.167,0.6086176
206,7331.03,0.6090971
207,7365.512,0.6092199
208,7396.259,0.6092792
209,7425.252,0.6093586
210,7455.653,0.6094782
211,7486.448,0.6093791
212,7517.373,0.6096421
213,7549.072,0.6099032
214,7579.684,0.6099533
215,7610.384,0.6102999
216,7641.606,0.6103429
217,7672.775,0.6104027
218,7703.7,0.6105934
219,7734.246,0.6106249
220,7765.327,0.6109917
221,7796.703,0.6111254
222,7827.971,0.6110416
223,7859.252,0.6113005
224,7890.312,0.6114701
225,7920.668,0.6116312
226,7951.931,0.6118173
227,7983.204,0.611955
228,8014.667,0.6118768
229,8046.091,0.6116875
230,8077.541,0.611898
231,8108.954,0.6120391
232,8140.393,0.61228
233,8170.875,0.6125303
234,8201.104,0.6126364
235,8231.311,0.6126901
236,8260.955,0.6130438
237,8290.907,0.6139496
238,8320.04,0.6141771
239,8349.356,0.6143055
240,8378.009,0.6143576
241,8405.605,0.614604
242,8434.138,0.6146634
243,8462.353,0.6149483
244,8490.361,0.614972
245,8517.889,0.614973
246,8545.58,0.6152078
247,8573.292,0.6152496
248,8600.997,0.6152655
249,8628.672,0.615396
250,8656.118,0.6155663
251,8683.906,0.6155207
252,8711.72,0.6159185
253,8739.578,0.6159248
254,8767.611,0.6163462
255,8794.69,0.6166652
256,8823.251,0.6167264
257,8851.886,0.6169936
258,8881.376,0.6171623
259,8910.575,0.6173645
260,8939.984,0.6173275
261,8969.624,0.6177244
262,8999.389,0.6180515
263,9029.259,0.618013
264,9059.606,0.618431
265,9090.201,0.6186423
266,9120.798,0.6187984
267,9151.719,0.6187879
268,9183.342,0.6187479
269,9215.173,0.618902
270,9246.674,0.6189429
271,9278.652,0.6190536
272,9310.213,0.6191073
273,9348.087,0.6195479
274,9384.356,0.6195991
275,9418.94,0.6197872
276,9453.97,0.6200067
277,9491.984,0.6201793
278,9530.872,0.6203337
279,9570.137,0.6204464
280,9603.501,0.6207465
281,9638.016,0.6208014
282,9676.935,0.6210068
283,9715.999,0.6213076
284,9754.591,0.6214142
285,9793.078,0.6213669
286,9831.932,0.62143
287,9870.064,0.6214387
288,9903.495,0.6214789
289,9939.061,0.6216831
290,9979.323,0.621797
291,10018.51,0.6218402
292,10057.83,0.6218789
293,10098.76,0.6219594
294,10138.61,0.6218293
295,10176.23,0.6222399
296,10216.37,0.6224148
297,10256.94,0.6225326
298,10297.42,0.6226856
299,10339.27,0.6226945
300,10376.81,0.6226719
301,10413.78,0.6227572
302,10454.5,0.6230608
303,10492.02,0.623133
