Iteration,Time,AUC
1,58.12551,0.7765541
2,71.91988,0.7853711
3,85.64489,0.7907268
4,98.79863,0.7947626
5,112.1142,0.798117
6,125.6543,0.8009472
7,138.5524,0.8034004
8,152.2243,0.8055968
9,166.5455,0.8077545
10,179.5855,0.8097803
11,191.9593,0.8112194
12,205.5449,0.8129088
13,215.0649,0.8138018
14,227.268,0.8148948
15,239.7824,0.8159908
16,251.9374,0.8170238
17,264.1393,0.8179874
18,275.4249,0.8188528
19,285.4405,0.8195101
20,294.003,0.8201017
21,301.8467,0.8205739
22,313.3824,0.8213608
23,324.0374,0.8218943
24,332.4905,0.8222987
25,339.9268,0.8226196
26,349.2649,0.823059
27,362.3899,0.8239905
28,374.238,0.8244598
29,379.3318,0.824595
30,390.143,0.8249574
31,402.4386,0.8254736
32,406.3336,0.825563
33,417.9105,0.8260444
34,430.4049,0.8266092
35,435.023,0.8267226
36,442.8299,0.8269512
37,448.9224,0.8270933
38,460.0461,0.8276191
39,473.6386,0.8281923
40,480.3461,0.8283709
41,485.4555,0.8285202
42,495.5211,0.8287908
43,503.8905,0.8289955
44,514.8268,0.8293652
45,521.8936,0.8295307
46,531.1737,0.8299504
47,540.0374,0.830162
48,550.1724,0.8304063
49,557.7974,0.830578
50,566.2236,0.8307732
51,571.2024,0.8307964
52,578.4668,0.8309615
53,589.2568,0.8311852
54,598.3505,0.8313552
55,607.9286,0.8315677
56,616.2256,0.8316922
57,624.5636,0.8319518
58,631.7699,0.8321186
59,643.1918,0.8323836
60,649.5456,0.8324917
61,658.3893,0.8326317
62,666.8042,0.8327868
63,672.1324,0.8328395
64,676.908,0.8328654
65,684.1424,0.8329844
66,694.6155,0.8332331
67,704.363,0.8334804
68,709.1755,0.8335493
69,720.3505,0.8337257
70,729.6786,0.8338539
71,742.2043,0.8341621
72,747.6261,0.834194
73,758.6617,0.8342758
74,764.0199,0.8343287
75,772.4518,0.8345078
76,780.2686,0.8346829
77,784.1749,0.8347237
78,790.7574,0.8347965
79,803.2036,0.8350072
80,809.708,0.8351225
81,820.7236,0.8353522
82,828.9524,0.8354571
83,840.5605,0.8356407
84,851.2793,0.835834
85,856.1855,0.8358724
86,860.7412,0.8358931
87,872.1105,0.8361527
88,882.193,0.8363093
89,890.6718,0.8364148
90,900.7842,0.8365747
91,909.023,0.8366822
92,920.553,0.8368902
93,925.1299,0.8369274
94,934.4993,0.8370554
95,943.6118,0.837149
96,952.393,0.8372439
97,961.8349,0.8374014
98,974.598,0.8376164
99,983.0667,0.8377541
100,991.8424,0.8378524
101,997.0298,0.8378891
102,1005.644,0.8379945
103,1015.846,0.8381467
104,1023.016,0.8381951
105,1031.297,0.8382746
106,1039.438,0.8383516
107,1047.332,0.8384301
108,1054.097,0.8384875
109,1060.217,0.8385131
110,1070.829,0.8385904
111,1084.318,0.8389252
112,1093.561,0.8390646
113,1106.924,0.8393712
114,1112.725,0.8393905
115,1123.647,0.8395516
116,1134.272,0.8396654
117,1139.506,0.839702
118,1150.661,0.839844
119,1160.769,0.8399875
120,1170.268,0.8400933
121,1178.819,0.8401488
122,1186.361,0.8402128
123,1194.626,0.8402742
124,1199.302,0.8402857
125,1207.156,0.840368
126,1214.551,0.8404104
127,1223.811,0.8404761
128,1233.253,0.8405442
129,1241.586,0.840582
130,1246.789,0.8406188
131,1258.392,0.8407749
132,1269.782,0.8409026
133,1274.876,0.8409372
134,1281.364,0.8409774
135,1291.457,0.8410883
136,1298.545,0.8411324
137,1307.904,0.8411922
138,1312.732,0.841207
139,1324.565,0.8413354
140,1333.485,0.8414273
141,1343.552,0.8414828
142,1353.156,0.8416093
143,1364.906,0.841736
144,1371.909,0.8417785
145,1379.094,0.8418456
146,1390.719,0.8419559
147,1399.843,0.8420673
148,1411.592,0.8421287
149,1418.065,0.8421466
150,1430.377,0.842344
151,1439.581,0.8424003
152,1446.096,0.8424264
153,1454.784,0.8425034
154,1467.284,0.8426642
155,1475.612,0.8427123
156,1483.674,0.8427938
157,1492.502,0.8428893
158,1504.72,0.8430012
159,1515.517,0.8430891
160,1522.251,0.8431201
161,1534.172,0.8431677
162,1544.405,0.8432334
163,1555.546,0.8433085
164,1559.925,0.8433107
165,1567.206,0.843314
166,1571.664,0.8433246
167,1577.412,0.8433413
168,1589.42,0.8434487
169,1602.74,0.8435741
170,1612.896,0.8436363
171,1625.006,0.8437482
172,1630.99,0.8437723
173,1641.959,0.8438439
174,1651.974,0.8438822
175,1660.484,0.8439254
176,1664.687,0.8439298
177,1670.562,0.8439286
178,1678.719,0.8439591
179,1684.5,0.8439654
180,1691.844,0.8439974
181,1703.534,0.8440866
182,1714.986,0.8441764
183,1724.084,0.8442241
184,1731.786,0.8443002
185,1737.989,0.8443158
186,1748.342,0.8443944
187,1757.835,0.8444354
188,1767.111,0.8444948
189,1776.02,0.8445408
190,1788.05,0.8446299
191,1793.737,0.8446496
192,1801.611,0.8446597
193,1814.642,0.844759
194,1823.596,0.8447845
195,1833.891,0.8448489
196,1844.734,0.844917
197,1851.41,0.844917
198,1859.66,0.8449837
199,1867.518,0.8450094
200,1875.271,0.8450181
