Iteration,Time,AUC
1,48.3155,0.7142254
2,52.75299,0.7261567
3,57.08113,0.736401
4,61.48176,0.7435905
5,65.7005,0.7529456
6,70.1068,0.7591758
7,74.20492,0.7646524
8,78.58992,0.7675009
9,82.85991,0.7716862
10,86.81304,0.7743926
11,91.24493,0.7769042
12,95.27615,0.7785085
13,99.33866,0.7802982
14,103.6668,0.7824313
15,107.6512,0.7842631
16,112.1087,0.785483
17,116.5762,0.787165
18,120.6074,0.7882165
19,124.873,0.7893264
20,129.1699,0.7901732
21,133.6386,0.7911438
22,137.5961,0.7919216
23,141.3618,0.7923869
24,145.4868,0.7933095
25,148.9868,0.7941168
26,153.143,0.7948721
27,157.4087,0.7957178
28,161.4243,0.7963344
29,164.5649,0.7966647
30,168.9087,0.7971279
31,172.9699,0.7975855
32,176.8293,0.7980619
33,180.0011,0.7986337
34,183.7668,0.7992175
35,187.2199,0.7995758
36,191.1205,0.8000651
37,195.0424,0.800415
38,199.3862,0.8009388
39,203.308,0.8013369
40,206.7612,0.8015875
41,210.1249,0.8017698
42,213.6093,0.8020916
43,216.9999,0.8024382
44,220.9999,0.8027527
45,224.713,0.8030601
46,228.1506,0.8032821
47,230.9162,0.8034166
48,234.9787,0.8037315
49,237.5299,0.8040198
50,241.3424,0.8043036
51,244.8424,0.8044882
52,248.4831,0.8046658
53,251.9518,0.8048923
54,255.1862,0.8052225
55,258.9987,0.805553
56,261.7643,0.8057316
57,265.2174,0.8059436
58,267.4986,0.8060441
59,271.2955,0.8062424
60,274.5611,0.8064445
61,277.8893,0.8065929
62,279.7374,0.8067389
63,282.0967,0.8068187
64,285.5187,0.8069843
65,288.8936,0.80724
66,291.3312,0.8074029
67,294.4093,0.8074666
68,298.2687,0.8077304
69,300.6124,0.8078266
70,303.4249,0.8080492
71,306.0968,0.8081704
72,309.2787,0.808462
73,311.4037,0.8085599
74,314.2206,0.8087167
75,316.8399,0.8087778
76,319.4806,0.8088593
77,322.3243,0.8089621
78,324.4024,0.80901
79,326.6523,0.8090883
80,329.1992,0.8091566
81,332.6212,0.8093241
82,335.5786,0.8095134
83,339.1255,0.8097439
84,341.698,0.809839
85,344.6511,0.8099424
86,346.7492,0.8100452
87,349.4836,0.8101483
88,351.6968,0.8102175
89,354.5561,0.8102898
90,357.0249,0.8103334
91,360.228,0.8104808
92,362.3374,0.8105288
93,364.9624,0.8106218
94,367.6812,0.8107322
95,370.6855,0.8108725
96,374.123,0.8110725
97,376.2793,0.8111769
98,378.6855,0.8112402
99,381.018,0.8113656
100,382.893,0.81147
101,385.0336,0.8115263
102,387.653,0.8116009
103,391.028,0.8116823
104,394.4811,0.8117905
105,396.6218,0.8118514
106,399.7311,0.8119364
107,402.028,0.81203
108,404.903,0.8120867
109,407.8874,0.8122615
110,409.7468,0.8122943
111,412.7624,0.8123458
112,415.8405,0.8124747
113,418.3762,0.8125102
114,420.7981,0.8125541
115,423.1261,0.8126626
116,425.8448,0.8127885
117,429.2043,0.8130063
118,431.7924,0.8130965
119,434.0155,0.8131353
120,436.2911,0.8131899
121,438.2406,0.8132304
122,440.4162,0.81332
123,444.0255,0.813481
124,445.6818,0.8135182
125,448.6973,0.81357
126,450.8536,0.8136215
127,453.0411,0.8136581
128,454.9318,0.81368
129,457.338,0.8137428
130,459.6193,0.8137777
131,462.1349,0.8138295
132,464.1974,0.8138961
133,465.6974,0.8139176
134,467.9831,0.8141078
135,470.9987,0.8141768
136,473.0456,0.8142283
137,475.1861,0.8142599
138,477.4517,0.8143692
139,480.2955,0.8144554
140,481.9986,0.8145149
141,484.4987,0.8145801
142,486.8624,0.8146424
143,489.2998,0.8147142
144,492.5342,0.8149699
145,494.8155,0.8150949
146,497.0498,0.815126
147,499.9874,0.8152761
148,502.0655,0.8153145
149,505.3324,0.8154552
150,507.5812,0.8155417
151,509.4249,0.8155668
152,511.2843,0.8155778
153,514.1124,0.8156478
154,517.9093,0.815805
155,521.8724,0.816029
156,524.8724,0.81615
157,527.9817,0.8162316
158,531.4505,0.8163243
159,534.0018,0.8164455
160,536.7517,0.816527
161,538.4649,0.8165521
162,540.0943,0.8165715
163,542.0317,0.8165815
164,544.9012,0.8167335
165,546.8699,0.8167963
166,548.6355,0.8168229
167,550.9012,0.816839
168,552.7605,0.8168486
169,554.9792,0.8168975
170,556.9168,0.816959
171,558.4793,0.8169766
172,560.2605,0.8169895
173,563.7962,0.8171082
174,566.2023,0.8171489
175,569.0149,0.8172218
176,571.1868,0.8173015
177,572.9836,0.8173349
178,574.8899,0.8173625
179,577.8743,0.817451
180,579.5609,0.8174892
181,581.2336,0.8175014
182,584.1868,0.8176079
183,586.0305,0.8176194
184,587.9993,0.8176743
185,590.3899,0.8177497
186,593.0305,0.8177893
187,595.1555,0.817815
188,596.7023,0.8178386
189,598.5774,0.8178725
190,600.3743,0.8179188
191,602.7593,0.8180109
192,604.5918,0.8180812
193,607.5605,0.8181744
194,609.2011,0.8181942
195,611.1587,0.8182176
196,612.9868,0.8182713
197,615.143,0.8182799
198,617.8719,0.8183352
199,619.7468,0.8183467
200,621.8562,0.8183619
201,623.4812,0.8183991
202,625.8248,0.8184887
203,628.2312,0.8185569
204,630.8093,0.8186043
205,633.6261,0.8187236
206,636.7355,0.8188381
207,639.3705,0.8188876
208,641.4955,0.8189235
209,643.0893,0.8189413
210,645.578,0.818969
211,647.5311,0.8189755
212,649.1562,0.8189968
213,650.9219,0.8190222
214,652.7499,0.8190285
215,654.4843,0.8190455
216,656.7655,0.8190618
217,659.8437,0.8190829
218,661.4374,0.8190964
219,663.7811,0.8191371
220,666.4999,0.8191996
221,670.1661,0.8193181
222,673.0567,0.8193735
223,675.6192,0.8194281
224,678.5099,0.8194749
225,680.9943,0.8195415
226,682.9161,0.8195615
227,686.0568,0.819626
228,688.2912,0.8196584
229,690.8227,0.8196731
230,692.4318,0.8197123
231,695.088,0.8197853
232,697.2443,0.8198239
233,699.213,0.8198685
234,701.4317,0.8198894
235,703.2755,0.819907
236,705.7598,0.8199444
237,708.4473,0.8200384
238,711.4942,0.8201462
239,714.483,0.8202102
240,717.2174,0.8202774
241,719.0299,0.8202936
242,720.9205,0.8203166
243,722.7487,0.8203543
244,724.6861,0.8203862
