Iteration,Time,AUC
1,21.06616,0.6558141
2,23.04554,0.6557904
3,25.12553,0.6763428
4,26.23741,0.6761088
5,28.48429,0.6763542
6,30.7849,0.6763567
7,33.06554,0.6763636
8,35.21678,0.6763644
9,37.54428,0.6763599
10,39.85616,0.6763546
11,41.15804,0.6771609
12,43.33865,0.6763383
13,45.70179,0.6771606
14,47.98115,0.6763397
15,50.39428,0.6771045
16,52.59803,0.6770172
17,54.75177,0.6771079
18,57.01366,0.6772937
19,58.41803,0.6773929
20,60.71553,0.6773845
21,63.06429,0.6762798
22,65.62553,0.6772773
23,68.09247,0.6772936
24,70.62611,0.6776425
25,72.10991,0.6785262
26,74.73866,0.6782004
27,77.43866,0.6780573
28,80.86055,0.6829427
29,83.71803,0.6829564
30,86.45055,0.6829714
31,89.1874,0.6828901
32,92.13741,0.6866181
33,94.20424,0.6865736
34,97.073,0.687554
35,100.3099,0.6887225
36,103.4037,0.6888221
37,105.7018,0.6887902
38,108.8937,0.6888526
39,112.3312,0.6888085
40,115.8462,0.6887257
41,118.4643,0.6891992
42,121.893,0.6897711
43,125.5024,0.6897794
44,129.3237,0.6900158
45,132.0793,0.6898427
46,135.8737,0.6897831
47,139.7174,0.6897162
48,142.6756,0.6894792
49,146.6393,0.6894346
50,150.5893,0.6897222
51,154.5605,0.6897927
52,157.6205,0.6899408
53,162.3893,0.6905275
54,165.9656,0.6904488
55,170.2624,0.6909345
56,175.1374,0.6912898
57,178.628,0.6912077
58,183.2068,0.6911681
59,186.7074,0.6911144
60,191.1518,0.6910436
61,196.4724,0.6908885
62,200.3562,0.6911853
63,204.8743,0.6913749
64,209.8905,0.6913729
65,216.8606,0.6917207
66,222.1593,0.6916324
67,227.5005,0.693414
68,231.4524,0.6937601
69,237.158,0.6940688
70,242.748,0.6940878
71,247.4568,0.6940267
72,253.1561,0.6939835
73,257.8261,0.6940778
74,263.933,0.6944554
75,268.8099,0.695223
76,274.8074,0.699806
77,281.323,0.6998026
78,286.8762,0.6985803
79,292.6749,0.6987396
80,299.5193,0.6989024
81,305.5199,0.6993011
82,313.0649,0.6993603
83,318.8743,0.6992336
84,326.6287,0.6994305
85,333.1699,0.6993215
86,340.1068,0.6995508
87,348.0037,0.6997577
88,355.3468,0.6992444
89,363.2512,0.699646
90,371.7137,0.6991234
91,381.1412,0.6995859
92,389.2837,0.7001197
93,397.233,0.6999834
94,425.4086,0.7002919
95,434.2974,0.6997579
96,443.2512,0.6994811
97,451.8105,0.6996728
98,461.0043,0.7016037
99,470.2662,0.7021201
100,478.9418,0.701757
101,488.5486,0.7023325
102,498.7349,0.7040923
103,508.4212,0.7024004
104,519.0337,0.70172
105,528.9555,0.7019237
106,538.5149,0.7031975
107,548.8118,0.7030096
108,558.6574,0.7025913
109,569.2343,0.7024852
110,580.2837,0.7021305
111,590.2787,0.7031417
112,601.4343,0.7025617
113,611.578,0.701689
114,621.7992,0.7020775
115,632.0318,0.7023051
116,642.1239,0.7018324
117,652.8137,0.7015491
118,663.8755,0.7009347
119,675.628,0.7041818
120,686.683,0.7034506
121,697.9186,0.7030914
122,709.4418,0.7026401
123,720.793,0.7028544
124,732.8862,0.7023871
125,744.4693,0.7043704
126,756.6199,0.703556
127,768.6049,0.7028942
128,780.5043,0.7022618
129,792.2374,0.7020394
130,804.4843,0.7014439
131,816.4687,0.7008578
132,827.7649,0.7011311
133,839.9418,0.7015157
134,852.0318,0.701608
135,864.8899,0.7016113
136,877.9562,0.7008237
137,889.7805,0.7009179
138,902.6049,0.7006266
139,915.3074,0.7007746
140,927.8299,0.7003335
141,941.1199,0.6994883
142,954.0737,0.699097
143,966.1712,0.6985248
144,978.9999,0.6983825
145,992.223,0.6975874
146,1005.235,0.6980962
147,1018.501,0.6980976
148,1030.498,0.6974968
149,1043.72,0.6977957
150,1056.549,0.6972833
151,1069.645,0.6975
152,1082.7,0.6980137
153,1095.454,0.6985258
154,1107.391,0.6979104
155,1119.859,0.6976454
156,1132.84,0.6975639
157,1145.799,0.6972256
158,1158.282,0.6972454
159,1170.33,0.697179
160,1183.027,0.6971736
161,1195.627,0.6966108
162,1209.011,0.6956558
163,1221.605,0.6947418
164,1233.249,0.6942282
165,1246.217,0.6935451
166,1258.887,0.6925401
167,1271.504,0.693065
168,1283.637,0.6933727
169,1296.049,0.6936985
170,1308.497,0.6932836
171,1321.016,0.6935357
172,1333.466,0.6948679
173,1346.105,0.6948165
174,1358.876,0.6949372
175,1371.421,0.6952364
176,1384.047,0.6959141
177,1396.894,0.6956953
178,1409.159,0.6955101
179,1421.455,0.6958449
180,1433.844,0.6961224
181,1446.122,0.695612
182,1457.389,0.6949644
183,1469.879,0.6945739
184,1482.314,0.695119
185,1494.574,0.6944144
186,1506.842,0.6946965
187,1519.151,0.6955358
188,1530.722,0.6954522
189,1542.653,0.6955698
190,1554.683,0.6956219
191,1566.529,0.6950545
192,1578.567,0.6949873
193,1590.469,0.6955711
194,1602.254,0.6956333
195,1614.441,0.6958721
196,1625.766,0.6959807
197,1637.281,0.6959983
198,1649.032,0.6959495
199,1661.014,0.6960425
200,1672.388,0.6950936
