Iteration,Time,AUC
1,27.35867,0.7407583
2,30.82618,0.7509087
3,34.23117,0.7581935
4,37.34055,0.7653135
5,40.67305,0.7703794
6,43.89181,0.7753189
7,47.19868,0.7788831
8,50.53118,0.7830973
9,53.6593,0.7858271
10,56.95618,0.7887795
11,60.18929,0.7906138
12,63.43367,0.7920099
13,66.32869,0.7931537
14,69.31305,0.7944489
15,72.56306,0.7959514
16,75.85868,0.7974601
17,78.71681,0.7983365
18,81.90306,0.7992341
19,84.49555,0.7999769
20,87.51118,0.8008143
21,90.47303,0.801612
22,93.37369,0.8021073
23,96.16931,0.802601
24,99.04618,0.8031363
25,102.0662,0.8037091
26,105.2768,0.8043507
27,107.7299,0.8049018
28,110.3949,0.8051364
29,113.3424,0.8055294
30,116.0299,0.8059258
31,119.1437,0.8063827
32,122.1749,0.8069246
33,124.8937,0.8072964
34,127.8756,0.8076085
35,130.3018,0.8077821
36,133.4524,0.8081755
37,135.9055,0.8084107
38,138.5462,0.8088536
39,141.2693,0.809069
40,143.4355,0.8092145
41,146.3293,0.8095416
42,148.3918,0.8096901
43,150.7387,0.8099349
44,152.8156,0.8100055
45,155.5943,0.8103174
46,157.1612,0.8106833
47,159.5774,0.8108602
48,162.7325,0.8111888
49,164.9356,0.8113211
50,167.9199,0.8116579
51,170.5651,0.811847
52,173.1106,0.8119752
53,175.9843,0.8121648
54,179.1449,0.8125159
55,181.8949,0.812666
56,184.7843,0.8128998
57,186.6537,0.8129605
58,188.8456,0.8130282
59,192.0318,0.8134191
60,194.9425,0.8136874
61,197.5762,0.8138343
62,200.4556,0.814278
63,203.3237,0.8144508
64,205.8324,0.8146298
65,208.6449,0.8148482
66,211.0981,0.8150913
67,213.3781,0.8152381
68,216.3256,0.8154735
69,218.8456,0.8156929
70,221.4024,0.8158618
71,224.4493,0.8163009
72,226.6612,0.8163798
73,228.8274,0.816484
74,231.785,0.8166683
75,233.6856,0.8167419
76,236.4355,0.8169868
77,239.0281,0.8171467
78,241.4074,0.8172101
79,243.7824,0.8173175
80,246.4174,0.8174322
81,249.4374,0.8176826
82,252.0156,0.8177858
83,254.5781,0.8179247
84,257.4676,0.8182095
85,260.5499,0.8183928
86,262.3937,0.8184304
87,265.2474,0.8186274
88,267.8568,0.8187443
89,270.0956,0.8188723
90,273.0787,0.8190759
91,276.3486,0.8192927
92,279.0362,0.8193892
93,281.7549,0.8195557
94,284.8274,0.819667
95,288.0349,0.8199825
96,290.8888,0.8201875
97,293.7168,0.8202683
98,295.8149,0.8202926
99,298.2681,0.820376
100,300.6687,0.8204631
101,303.7668,0.8207345
102,306.0893,0.8208224
103,308.2231,0.8208575
104,311.4718,0.8210719
105,313.8312,0.8211328
106,315.9505,0.8211752
107,317.9706,0.8212145
108,320.1769,0.8213555
109,323.0831,0.8215067
110,325.2181,0.8215366
111,327.6712,0.8215897
112,329.8162,0.8216953
113,332.7168,0.8218176
114,335.7156,0.8219862
115,337.9486,0.8220924
116,340.4262,0.8221481
117,343.3099,0.8222678
118,346.4506,0.8225231
119,348.7618,0.8225535
120,351.9356,0.822732
121,354.6899,0.8228074
122,357.1999,0.8228915
123,359.6687,0.822964
124,362.4074,0.8230972
125,365.1262,0.8231727
126,368.0324,0.8234472
127,370.2612,0.8234937
128,373.2187,0.8236072
129,375.7812,0.8236808
130,377.9518,0.8237371
131,380.9518,0.823848
132,383.128,0.8238834
133,386.3868,0.8240203
134,388.5619,0.8240166
135,391.4356,0.8240702
136,394.1275,0.8241659
137,396.7512,0.8242001
138,399.4718,0.8242912
139,401.4718,0.8243369
140,404.0756,0.8244156
141,406.6068,0.8244881
142,408.793,0.8245918
143,411.8912,0.8247133
144,413.9112,0.8247526
145,416.7168,0.8248208
146,419.7937,0.8249517
147,421.8606,0.824983
148,423.9955,0.8250068
149,427.0781,0.8251845
150,430.2218,0.8252787
151,433.0599,0.8254372
152,435.5599,0.8255531
153,438.5956,0.8256568
154,440.5006,0.8256635
155,441.7962,0.8256869
156,444.42,0.8257358
157,447.3306,0.8258652
158,450.4243,0.8260153
159,453.1743,0.8260572
160,455.6899,0.8261288
161,457.7837,0.8261482
162,460.6674,0.8261774
163,462.6406,0.8262353
164,465.5468,0.8263017
165,467.453,0.8263148
166,470.3481,0.8264037
167,473.2231,0.8265581
168,476.2531,0.8266479
169,479.0018,0.8267329
170,481.3131,0.8267542
171,483.6211,0.8267817
172,486.343,0.8268294
173,488.613,0.8268828
174,491.1531,0.8269958
175,493.2512,0.8269995
176,496.0793,0.8270802
177,499.1106,0.8271441
178,502.0112,0.8272512
179,505.2143,0.8273361
180,508.0112,0.8273762
181,510.1874,0.8273952
182,513.0824,0.8274502
183,515.2387,0.8274789
184,518.5812,0.8276349
185,521.7987,0.8277224
186,524.7518,0.8278454
187,527.5018,0.8279211
188,530.5274,0.8280068
189,532.8443,0.8280264
190,535.6768,0.8281145
191,538.7237,0.8282151
192,541.9681,0.8283206
193,544.4368,0.8283694
194,547.403,0.828456
195,550.4843,0.8285132
196,552.5199,0.82855
197,555.108,0.8285893
198,557.7787,0.8286506
199,560.5131,0.8287087
200,562.8399,0.8287242
201,565.7663,0.8287562
202,569.1456,0.8288456
203,571.1768,0.8288498
204,573.1712,0.8288563
205,575.5306,0.8288741
206,578.6912,0.8289689
207,581.6699,0.8290099
208,584.7481,0.8290965
209,587.4555,0.8291625
210,590.0493,0.829176
211,592.19,0.8292097
212,595.3306,0.8292675
213,598.0805,0.8293067
214,600.903,0.8293766
215,603.4487,0.8294361
216,605.5893,0.829459
217,608.395,0.8295303
218,611.2699,0.8296125
219,613.4987,0.829662
220,616.0187,0.8296903
221,618.4093,0.8297322
222,621.293,0.8297675
223,623.7306,0.8297818
224,626.3087,0.8298037
225,628.9806,0.829863
226,631.3956,0.8299557
227,634.0606,0.829982
228,636.3305,0.8299957
229,639.2055,0.830098
230,641.7356,0.8301386
231,644.7612,0.8302609
232,647.7612,0.8303318
233,650.0424,0.8303689
234,652.3949,0.8303845
235,654.9562,0.8304286
236,657.8937,0.8304768
237,659.9818,0.8305078
238,662.7162,0.8305536
239,665.7049,0.8306173
240,668.8924,0.8307087
241,671.7518,0.8307619
242,674.8118,0.8308203
243,677.4514,0.8308641
244,680.6699,0.8309395
245,682.8262,0.8309848
246,685.4668,0.8310332
247,688.4824,0.8310874
248,690.7324,0.8311047
249,693.4855,0.8311591
250,696.558,0.8312398
251,699.5455,0.8312799
252,702.8612,0.831353
253,705.0956,0.8313631
254,707.84,0.8314039
255,710.5899,0.8314439
256,713.7493,0.8314943
257,717.0462,0.8315762
258,719.3474,0.8316133
259,722.4399,0.8317533
260,724.6218,0.831771
261,726.9856,0.831769
262,729.2231,0.8318183
263,731.7062,0.8318475
264,734.5587,0.8319068
265,737.3799,0.8319513
266,740.2806,0.8319678
267,742.5349,0.8319929
268,745.3774,0.8320245
269,748.1999,0.832058
270,750.8124,0.8320741
271,753.6137,0.8321158
272,755.9362,0.8321451
273,758.7218,0.8322234
274,760.7362,0.8322362
275,763.043,0.8322744
276,764.8643,0.8322951
277,768.1755,0.8323841
