Iteration,Time,AUC
1,15.28499,0.6067377
2,15.92439,0.6067858
3,15.56687,0.6067869
4,16.14386,0.6068035
5,16.6612,0.6068051
6,17.15437,0.6068202
7,17.64314,0.6068284
8,18.23087,0.6077573
9,18.735,0.607759
10,19.36183,0.6077508
11,19.84935,0.6077481
12,20.28683,0.6077456
13,20.81873,0.6077465
14,21.29624,0.607746
15,21.84748,0.6091505
16,22.29937,0.6091513
17,22.83121,0.6100993
18,23.26312,0.6101004
19,23.72499,0.6101018
20,24.30507,0.6100893
21,24.78375,0.6100931
22,24.26688,0.6100954
23,24.84809,0.6508812
24,25.30122,0.6508846
25,25.92813,0.6508868
26,26.54938,0.6522692
27,27.12812,0.6522713
28,27.85001,0.6612378
29,28.39562,0.6610637
30,28.98249,0.6723334
31,29.55375,0.6723299
32,30.11064,0.6723367
33,30.72315,0.6723218
34,31.36564,0.672323
35,32.10167,0.6723161
36,32.75437,0.672292
37,33.35688,0.672201
38,34.01374,0.672204
39,33.69183,0.67222
40,34.27875,0.6722102
41,34.88123,0.6723185
42,35.68874,0.6728507
43,36.30124,0.672813
44,36.91062,0.6775885
45,37.68937,0.6801068
46,38.34876,0.6800892
47,39.08374,0.6802352
48,39.71753,0.6815611
49,40.34684,0.6815342
50,41.0362,0.6835608
51,41.67562,0.6826703
52,42.35938,0.6841028
53,43.12375,0.6841145
54,43.78729,0.6844473
55,44.47246,0.6844667
56,44.11626,0.6844769
57,44.88062,0.6843191
58,45.51997,0.6845233
59,46.18933,0.6844688
60,46.87432,0.6844537
61,47.53813,0.6844607
62,48.1875,0.685649
63,48.95187,0.6849716
64,49.61126,0.6872229
65,50.25063,0.6901356
66,50.87996,0.6906935
67,51.54936,0.6904101
68,52.20999,0.6893824
69,52.88937,0.689867
70,53.56437,0.6898184
71,54.40437,0.6898453
72,55.11371,0.6900307
73,55.83433,0.6907903
74,56.51938,0.6912062
75,56.22001,0.6907017
76,56.92501,0.6906954
77,57.64,0.6910415
78,58.48563,0.6917343
79,59.20183,0.6928817
80,59.97063,0.6962938
81,60.65856,0.6964455
82,61.34749,0.6961447
83,62.07811,0.6964656
84,62.77,0.6981567
85,63.43934,0.6986344
86,64.18684,0.6987034
87,65.0025,0.6990572
88,65.7261,0.6991911
89,66.44062,0.7001622
90,67.24938,0.7053711
91,67.09938,0.7066085
92,67.81249,0.7070565
93,68.67249,0.7062974
94,69.33313,0.7064999
95,70.31374,0.7066537
96,71.07558,0.7069953
97,71.91124,0.7070962
98,72.75249,0.7075996
99,73.59937,0.7073223
100,74.28559,0.7076737
101,75.03188,0.7078493
102,75.77932,0.7082063
103,76.47562,0.7083987
104,77.23874,0.7084766
105,78.06001,0.7084969
106,78.80061,0.7091616
107,78.57813,0.7092115
108,79.26874,0.7094586
109,80.01748,0.7103832
110,80.67247,0.7102904
111,81.5537,0.7107126
112,82.25711,0.711057
113,83.26939,0.7114412
114,84.00247,0.7119474
115,84.7956,0.7127551
116,85.51747,0.7134575
117,86.24934,0.7139519
118,87.02247,0.7136469
119,87.78122,0.7134058
120,88.705,0.7134886
121,89.42126,0.713435
122,89.39062,0.7130391
123,90.10687,0.7133838
124,90.93687,0.7138335
125,91.67,0.7136556
126,92.3775,0.7135296
127,93.14188,0.7132652
128,93.88809,0.7130918
129,94.76375,0.7130739
130,95.53813,0.713747
131,96.31696,0.7139232
132,97.11439,0.7140629
133,97.87746,0.7140205
134,98.61496,0.713522
135,99.3481,0.7136548
136,100.1868,0.7155156
137,101.0775,0.7156899
138,101.7994,0.7164685
139,101.5056,0.7167464
140,102.2687,0.7168088
141,103.1869,0.7171356
142,103.9756,0.7172139
143,104.7331,0.717212
144,105.4206,0.7168566
145,106.1125,0.7175942
146,106.7531,0.7176316
147,107.6613,0.7174715
148,108.3318,0.7188022
149,109.0837,0.7189464
150,109.8156,0.7188276
151,110.4862,0.7187955
152,111.255,0.7187599
153,111.9993,0.7181231
154,112.7544,0.7174535
155,113.6537,0.7177258
156,114.4525,0.7175487
157,114.1631,0.7176019
158,114.9731,0.7175757
159,115.6894,0.7175868
160,116.36,0.7172337
161,117.0194,0.7172483
162,117.97,0.717477
163,118.7331,0.7174105
164,119.5688,0.7181917
165,120.2394,0.7183947
166,120.9669,0.718811
167,121.5181,0.7188418
168,122.2656,0.718858
169,122.8781,0.7187906
170,123.4562,0.7184098
171,124.1625,0.7182925
172,124.8444,0.7185977
173,125.6162,0.7184051
174,126.2969,0.7183751
175,127.06,0.7183762
176,127.7225,0.7183029
177,127.46,0.7185859
178,128.0981,0.7185615
179,128.83,0.7183793
180,129.5137,0.7181827
181,130.1006,0.7180587
182,130.722,0.7182714
183,131.4749,0.7183548
184,132.0207,0.7182242
185,132.5294,0.718291
186,133.2544,0.7181695
187,133.6862,0.718107
188,134.2206,0.7181961
189,134.9681,0.7180062
190,135.5316,0.7182342
191,136.1306,0.7184073
192,136.81,0.7181549
193,137.3656,0.7180145
194,137.89,0.7177934
195,138.3575,0.7180236
196,138.0925,0.7182432
197,138.6594,0.7182137
198,139.0913,0.7181168
199,139.5175,0.7180891
200,140.1143,0.7180552
201,140.7369,0.7185175
202,141.2244,0.7186357
203,141.8456,0.7187237
204,142.5306,0.7189129
205,143.17,0.7195343
206,143.8338,0.7195106
207,144.2968,0.7197639
208,144.8894,0.7196167
209,145.4437,0.7195772
210,145.9368,0.7195612
211,146.3588,0.719426
212,146.8775,0.719366
213,147.5325,0.7193275
214,148.1462,0.7193436
215,148.5898,0.7193407
216,149.0612,0.7193089
217,149.735,0.7197152
218,150.3475,0.7198127
219,151.0293,0.7198224
220,150.5212,0.7200031
221,151.0925,0.7200263
222,151.6725,0.7200173
223,152.0831,0.7199787
224,152.5138,0.7197893
225,153.0694,0.7200071
226,153.4588,0.7200308
227,153.9375,0.7200855
228,154.5443,0.7203688
229,155.1769,0.7204807
230,155.7256,0.7203997
231,156.3325,0.7203577
232,156.7644,0.7203361
233,157.1594,0.7202909
234,157.8644,0.7201063
235,158.3475,0.7198405
236,158.8463,0.7198804
237,159.3125,0.7199423
238,159.8013,0.7199797
239,160.3581,0.7201517
240,160.8413,0.7201283
241,161.2519,0.7202987
242,161.6581,0.7203524
243,162.2025,0.7202859
244,161.9587,0.7201285
245,162.5769,0.7203382
246,163.2563,0.7205215
247,163.7694,0.7205359
248,164.2794,0.7204526
249,164.7869,0.7203164
250,165.2813,0.7204548
251,165.7844,0.7204755
252,166.2944,0.720533
253,166.7719,0.7206476
254,167.1569,0.7206333
255,167.735,0.7208326
256,168.3118,0.7208934
257,168.8575,0.7209731
258,169.3037,0.7208482
259,169.6692,0.7208798
260,170.0638,0.720939
261,170.4388,0.7207982
262,170.8493,0.7207375
263,171.4575,0.7208252
264,171.9094,0.7209559
265,172.3156,0.7207859
266,172.8144,0.7208075
267,173.3813,0.7208081
268,173.8275,0.7208486
269,174.295,0.7208178
270,174.9275,0.7208784
271,175.5044,0.7210412
272,175.8638,0.7209064
273,176.5356,0.7209479
274,177.1725,0.7212123
275,177.67,0.7211936
276,177.2413,0.7212321
277,177.7981,0.7211292
278,178.2856,0.7211796
279,178.8781,0.7212207
280,179.4237,0.7211865
281,180.0162,0.7209891
282,180.5606,0.7209184
283,181.0537,0.7207629
284,181.5669,0.7208127
285,182.0644,0.7207171
286,182.64,0.7207231
287,183.0194,0.7205591
288,183.7868,0.7206199
289,184.2107,0.7205843
290,184.7556,0.7206997
291,185.25,0.720725
292,185.7248,0.7206684
293,186.2063,0.7208864
294,186.7663,0.7206703
295,187.3462,0.7206161
296,188.0068,0.7203496
297,188.6419,0.7207088
298,189.0212,0.7206274
299,189.4531,0.7209014
300,190.0512,0.720795
301,190.5756,0.7208391
302,190.9707,0.7206316
303,191.5631,0.7205658
304,192.1075,0.7205209
305,192.6431,0.7205134
306,192.2513,0.7205521
307,192.8637,0.7203615
308,193.2388,0.7203342
309,193.8625,0.7204106
310,194.35,0.7203254
311,194.8288,0.7208445
312,195.3019,0.7208495
313,195.7494,0.7208917
314,196.295,0.720885
315,196.8575,0.7209979
316,197.3762,0.7209757
317,197.7783,0.7210228
318,198.2856,0.7209369
319,198.8188,0.7208432
