Iteration,Time,AUC
1,19.74989,0.7616624
2,23.22737,0.7717226
3,26.85619,0.7776631
4,30.33991,0.7830827
5,33.78182,0.7869037
6,37.21553,0.7899266
7,40.76428,0.792942
8,43.45563,0.7957753
9,46.54432,0.7987387
10,49.8149,0.8008448
11,53.26177,0.8028997
12,56.62053,0.804238
13,59.99932,0.8055068
14,63.11185,0.8066426
15,66.0099,0.8077268
16,69.03306,0.8088456
17,71.14178,0.809727
18,74.23619,0.8105131
19,76.1899,0.8110711
20,79.32119,0.8117699
21,82.78245,0.8128548
22,85.45178,0.8133444
23,88.21806,0.8139692
24,90.77995,0.8145741
25,93.92245,0.8151998
26,96.05931,0.8159002
27,97.62618,0.8161013
28,100.3737,0.8164777
29,102.6031,0.8167856
30,105.2656,0.8170998
31,108.0243,0.8174916
32,110.5318,0.8177363
33,112.6074,0.8179433
34,115.0924,0.8183249
35,118.2012,0.8189818
36,120.983,0.8194609
37,123.5118,0.8198113
38,125.4524,0.8199351
39,126.423,0.8200767
40,129.5731,0.8204594
41,132.0325,0.8207106
42,135.0912,0.8210164
43,136.5943,0.8210526
44,139.8081,0.8215004
45,142.0781,0.8217918
46,145.1068,0.8221044
47,147.5124,0.8223387
48,150.3442,0.8226112
49,152.7168,0.8228175
50,154.3568,0.8231086
51,156.7337,0.8232632
52,159.2937,0.8234434
53,162.543,0.8237665
54,164.2993,0.8238447
55,166.9349,0.8240918
56,168.8724,0.8241991
57,170.8149,0.8242519
58,172.5399,0.824354
59,174.6669,0.8245319
60,176.7981,0.8248485
61,178.8593,0.8251466
62,180.8556,0.8253337
63,183.5943,0.8255521
64,185.4668,0.8255954
65,187.5948,0.8257163
66,189.6493,0.8258627
67,192.1993,0.8261775
68,195.6105,0.8264453
69,198.6806,0.8266867
70,200.8912,0.8268141
71,203.1412,0.8269536
72,205.4556,0.8270777
73,208.1818,0.8272282
74,209.9238,0.8272835
75,210.6062,0.8273094
76,212.213,0.8273871
77,215.6699,0.8277196
78,218.6068,0.827923
79,221.1887,0.8280559
80,223.8212,0.8281964
81,226.5136,0.8283277
82,228.6843,0.8284077
83,231.3368,0.8285295
84,233.9337,0.8286299
85,237.1074,0.8289294
86,237.8081,0.8289807
87,240.0456,0.8290324
88,242.12,0.8290944
89,244.2199,0.8291698
90,247.7331,0.8293821
91,250.7762,0.8296502
92,252.933,0.8297263
93,255.5955,0.8297852
94,258.6856,0.8300097
95,261.8099,0.8301924
96,265.1712,0.8304065
97,266.0412,0.8304565
98,268.6581,0.83054
99,270.5437,0.8305885
100,273.0738,0.8306737
101,275.7774,0.8308543
102,278.7286,0.8309985
103,281.2212,0.8310799
104,283.6106,0.8311611
105,285.6806,0.8312482
106,287.4524,0.8312798
107,289.0781,0.8314201
108,291.0799,0.8315128
109,292.7037,0.8315451
110,294.9312,0.8316139
111,296.9174,0.8316464
112,300.54,0.832
113,302.765,0.8320873
114,304.6656,0.8321715
115,306.8138,0.832231
116,309.0555,0.8323601
117,311.995,0.8325553
118,314.7312,0.8326951
119,317.1574,0.8327921
120,320.3243,0.8330085
121,321.9781,0.8330237
122,323.8749,0.8331197
123,326.9806,0.8333119
124,329.1656,0.8333414
125,330.8437,0.8333468
126,333.9949,0.8335112
127,336.0312,0.8335542
128,339.0243,0.8336184
129,341.59,0.833668
130,344.7025,0.8338517
131,347.4087,0.8339456
132,350.8568,0.8341775
133,352.2656,0.834306
134,355.0874,0.8343888
135,357.9943,0.8345038
136,360.3687,0.8345441
137,362.9687,0.8346297
138,365.2137,0.8346718
139,367.8081,0.834759
140,369.8056,0.8347761
141,371.373,0.8348106
142,372.9687,0.8348778
143,375.3143,0.8349379
144,376.8918,0.834984
145,379.2349,0.8350192
146,380.8562,0.8350472
147,383.6268,0.8351223
148,386.4556,0.8351886
149,389.2599,0.8352818
150,391.2774,0.8353358
151,392.9312,0.8353551
152,394.2993,0.8353922
153,395.76,0.8354023
154,397.438,0.8354184
155,398.9087,0.8354184
156,402.0911,0.8356245
157,405.5793,0.8357276
158,408.6506,0.8359036
159,411.5887,0.8359791
160,413.9155,0.8360107
161,416.298,0.8360509
162,419.1349,0.8361549
163,422.1968,0.8362352
164,424.2955,0.8363434
165,427.6825,0.836441
166,429.8874,0.8364851
167,432.6081,0.836546
168,435.0956,0.8366014
169,438.0092,0.8366899
170,439.8249,0.8367416
171,442.8424,0.8368204
172,445.1668,0.8368677
173,447.0593,0.8369078
174,449.8099,0.837012
175,452.9549,0.837106
176,454.5412,0.8371938
177,457.2362,0.8373523
178,459.8418,0.8373695
179,462.5443,0.8374297
180,464.8218,0.8374785
181,467.0593,0.8375078
182,469.9549,0.8376063
183,472.8449,0.8376586
184,475.418,0.8376772
185,475.9867,0.83767
186,479.2431,0.8378099
187,481.438,0.8378622
188,482.8305,0.8378667
189,484.2661,0.8378899
190,486.2312,0.8378987
191,489.5868,0.8380464
192,491.9837,0.8380934
193,493.6731,0.8381106
194,495.9206,0.838163
195,498.5562,0.8382368
196,500.4843,0.8383072
197,503.4649,0.8383843
198,506.5649,0.838503
199,510.0156,0.8386131
200,512.5956,0.8386938
201,514.4468,0.8387021
202,517.5599,0.8387598
203,518.8755,0.8387665
204,521.2294,0.8388019
205,523.8405,0.8388626
206,526.4943,0.8389266
207,528.1268,0.8389469
208,529.4368,0.8389454
209,530.9486,0.8389724
210,534.5931,0.8391193
211,537.415,0.8391447
212,540.8887,0.8392157
213,544.2362,0.8392934
214,546.9518,0.8393335
215,549.6825,0.8393834
216,552.2431,0.8394717
217,555.7143,0.8395879
218,557.8737,0.839646
219,560.2762,0.8396798
220,562.0024,0.8396936
221,565.1986,0.8397948
222,568.3231,0.8398551
223,571.1899,0.8399224
224,574.0112,0.8400386
225,576.9706,0.8400648
226,579.6874,0.8401692
227,582.8256,0.8402775
228,585.4537,0.8403402
229,587.9812,0.8403808
230,590.2162,0.8404223
231,592.8274,0.8404784
232,594.8924,0.8404859
233,597.9056,0.8405374
234,599.8918,0.840582
235,601.888,0.8406098
236,604.0731,0.8406487
237,605.7337,0.8406654
238,607.0268,0.8406941
