Iteration,Time,AUC
1,277.7306,0.5006945
2,289.8049,0.500517
3,301.1037,0.5008812
4,312.4169,0.5024012
5,323.1956,0.5038148
6,334.4618,0.5040784
7,346.4644,0.5068296
8,357.5374,0.5072431
9,368.3818,0.5077176
10,379.7324,0.5088124
11,391.3363,0.5087796
12,402.2175,0.5117785
13,412.8068,0.5119067
14,423.3244,0.5135931
15,435.0094,0.5141454
16,446.4593,0.5159734
17,458.0282,0.5178573
18,468.1544,0.518152
19,478.92,0.5192584
20,491.1343,0.5200592
21,502.0768,0.522365
22,511.9524,0.5227484
23,522.4962,0.5265782
24,534.7749,0.5302414
25,544.1937,0.5308787
26,555.8906,0.5312351
27,566.163,0.5316807
28,576.4831,0.5320133
29,587.9987,0.5331005
30,600.3557,0.534491
31,611.258,0.533577
32,622.4281,0.5339365
33,632.6794,0.5343485
34,645.0594,0.5359203
35,655.9794,0.5362644
36,667.6212,0.5366574
37,677.5625,0.5370772
38,688.1562,0.5375444
39,698.7562,0.5377776
40,710.3531,0.5383042
41,721.7093,0.5382244
42,732.9475,0.5386025
43,744.0599,0.5389912
44,756.1837,0.5391654
45,766.8107,0.5399403
46,778.4362,0.5401966
47,789.1794,0.540513
48,799.6537,0.5413065
49,811.0712,0.5428157
50,822.9512,0.5428738
51,833.87,0.5436081
52,844.5219,0.5439038
53,855.8825,0.5437963
54,866.553,0.5442666
55,876.9831,0.5461416
56,888.4775,0.5461713
57,899.3,0.5468139
58,910.6087,0.5486623
59,922.3419,0.5490227
60,932.6656,0.5493523
61,943.0706,0.5498189
62,954.3543,0.549914
63,965.0712,0.5504817
64,976.3099,0.551088
65,986.5469,0.5518975
66,998.03,0.5535029
67,1009.291,0.5547739
68,1020.227,0.556663
69,1030.262,0.5570759
70,1041.107,0.5579901
71,1052.369,0.5582766
72,1063.681,0.5586779
73,1073.821,0.5594917
74,1084.444,0.5601956
75,1095.355,0.5605058
76,1106.836,0.5605988
77,1117.584,0.5609747
78,1128.634,0.5614053
79,1138.797,0.5614467
80,1148.947,0.561752
81,1160.624,0.5622794
82,1171.464,0.5633888
83,1182.701,0.5635091
84,1193.495,0.5638699
85,1204.229,0.5641262
86,1215.944,0.5648676
87,1226.445,0.5650054
88,1236.717,0.5713452
89,1248.151,0.5721149
90,1258.475,0.5721174
91,1270.511,0.5723657
92,1282.216,0.5728017
93,1293.149,0.5732736
94,1303.53,0.5737028
95,1315.076,0.5738544
96,1325.733,0.574005
97,1336.404,0.5738947
98,1347.869,0.5739207
99,1358.778,0.5741469
100,1369.871,0.5752558
101,1381.013,0.5756038
102,1392,0.5764062
103,1403.976,0.5768064
104,1414.369,0.5771527
105,1426.168,0.5774175
106,1436.577,0.577626
107,1447.194,0.5777556
108,1459.323,0.5780911
109,1470.917,0.5788095
110,1481.555,0.5790606
111,1492.546,0.5799087
112,1504.026,0.5804415
113,1514.699,0.5809962
114,1524.697,0.5814884
115,1535.922,0.5826624
116,1546.809,0.5830127
117,1558.059,0.5834378
118,1567.687,0.5838684
119,1578.264,0.5843422
120,1589.182,0.5845337
121,1599.399,0.5865609
122,1610.852,0.5867816
123,1621.634,0.5871242
124,1632.217,0.5876258
125,1644.452,0.5879052
126,1655.278,0.5880319
127,1666.871,0.5881285
128,1677.679,0.5884568
129,1688.602,0.5887726
130,1698.851,0.5891007
131,1709.038,0.5891083
132,1720.086,0.58907
133,1731.277,0.5897274
134,1741.922,0.5901226
135,1753.995,0.5909009
136,1764.339,0.5912061
137,1774.763,0.5919758
138,1785.584,0.5924131
139,1795.277,0.5922978
140,1806.929,0.5926821
141,1817.448,0.5931603
142,1828,0.5936044
143,1838.949,0.5937998
144,1850.166,0.5944239
145,1860.991,0.5944827
146,1871.413,0.5946171
147,1883.087,0.5947735
148,1892.946,0.5950849
149,1902.713,0.5953221
150,1914.311,0.5958267
151,1925.669,0.596402
152,1935.936,0.5964656
153,1947.234,0.5967341
154,1958.124,0.5975011
155,1969.155,0.5974964
156,1979.919,0.597587
157,1990.858,0.5980688
158,2001.038,0.5981581
159,2010.994,0.5988087
160,2021.46,0.5988017
161,2031.278,0.5989128
162,2040.812,0.5991509
163,2053.008,0.5995474
164,2063.355,0.5997676
165,2074.323,0.5997943
166,2085.625,0.6001697
167,2096.429,0.6004174
168,2106.592,0.6008956
169,2117.559,0.6021581
170,2127.666,0.6024897
171,2138.684,0.6024703
172,2149.764,0.6026065
173,2159.296,0.6027897
174,2170.699,0.6029732
175,2180.946,0.6033312
176,2191.107,0.6034122
177,2202.527,0.6036913
178,2214.357,0.6037895
179,2225.746,0.6037121
180,2235.867,0.6037935
181,2246.669,0.6042221
182,2257.075,0.6043721
183,2267.632,0.6044282
184,2277.937,0.6044035
185,2288.554,0.6045709
186,2298.64,0.604835
187,2309.341,0.6050262
188,2319.406,0.6052754
189,2330.529,0.6053762
190,2342.586,0.6056936
191,2352.64,0.6058262
192,2363.384,0.60585
193,2373.931,0.6059647
194,2384.601,0.6061275
195,2395.542,0.6069695
196,2405.429,0.607033
197,2415.463,0.6070684
198,2426.874,0.6073627
199,2438.669,0.607439
200,2448.906,0.6078671
201,2459.244,0.6078005
202,2469.336,0.6079861
203,2479.781,0.6082015
204,2490.715,0.6083961
205,2502.575,0.6086709
206,2513.117,0.6087235
207,2523.273,0.6088326
208,2533.711,0.6090195
209,2545.009,0.6090729
210,2555.686,0.6093256
211,2566.353,0.6094541
212,2576.75,0.6096728
213,2587.291,0.6101536
214,2599.086,0.6103666
215,2608.932,0.6105079
216,2619.936,0.6105482
217,2630.869,0.6108075
218,2641.792,0.6108826
219,2651.779,0.6112067
220,2662.466,0.6115895
221,2673.219,0.6121942
222,2684.026,0.6125742
223,2694.493,0.6126783
224,2705.621,0.6131251
225,2713.654,0.6131469
226,2724.935,0.6135019
227,2735.952,0.6138023
228,2747.296,0.6138331
229,2756.321,0.6139621
230,2767.663,0.6140399
231,2778.694,0.6142431
232,2789.241,0.6145076
233,2799.764,0.6146891
234,2809.078,0.6145716
235,2820.073,0.6151732
236,2831.819,0.6153123
237,2842.46,0.615867
238,2852.748,0.6159295
239,2862.352,0.6160467
240,2873.344,0.6161663
241,2885.104,0.6163488
242,2896.078,0.6164834
243,2906.937,0.6166226
244,2916.683,0.6167439
245,2926.967,0.61684
246,2938.398,0.6167423
247,2949.294,0.6174249
248,2959.294,0.617861
249,2969.337,0.6177225
250,2980.437,0.6177602
251,2990.919,0.6180543
252,3001.304,0.6180279
253,3012.088,0.6180187
254,3023.243,0.6183192
255,3033.756,0.618582
256,3044.64,0.6188177
257,3054.781,0.6189195
258,3065.827,0.6189981
