Iteration,Time,AUC
1,11.3856,0.6067377
2,11.88307,0.6067454
3,12.48184,0.6067875
4,13.29249,0.6067871
5,13.9156,0.6067874
6,14.55999,0.6067862
7,14.2738,0.6068045
8,14.85935,0.6068046
9,15.60061,0.6068055
10,16.29059,0.6068192
11,17.05747,0.6068273
12,17.82372,0.6068272
13,17.52507,0.6068282
14,18.19623,0.6077574
15,18.79747,0.6077576
16,19.44749,0.6077562
17,20.08873,0.6077553
18,20.75748,0.6077515
19,21.29185,0.6077467
20,21.94998,0.6077437
21,22.5287,0.607745
22,22.21872,0.6077433
23,22.71748,0.6077423
24,23.42183,0.6077432
25,23.97619,0.6077422
26,24.57494,0.6077421
27,25.27497,0.6077423
28,25.99307,0.6091477
29,26.49619,0.6091473
30,26.03935,0.6091473
31,26.60808,0.6091469
32,27.18685,0.6100982
33,27.7956,0.6100989
34,28.35434,0.6100987
35,29.13373,0.610102
36,29.70246,0.6101026
37,30.32122,0.6101033
38,29.85435,0.6100881
39,30.50745,0.6100898
40,31.18125,0.6100888
41,31.76,0.6100904
42,32.53502,0.6100914
43,33.09434,0.6100915
44,33.83929,0.6100916
45,33.54372,0.6100943
46,34.23061,0.6508818
47,34.90305,0.6508827
48,35.50868,0.6508837
49,36.24119,0.6508844
50,36.96934,0.6508845
51,37.70125,0.6522689
52,38.32685,0.6522698
53,37.99247,0.6522546
54,38.83498,0.6528659
55,39.77248,0.6528594
56,40.51494,0.6528599
57,41.20183,0.6528593
58,41.02557,0.6633401
59,41.65373,0.6723149
60,42.26623,0.6707618
61,43.06929,0.6707701
62,43.83747,0.6707571
63,44.46559,0.6723223
64,45.2331,0.6707568
65,46.05685,0.6723212
66,45.78932,0.6723178
67,46.46622,0.6723205
68,47.14873,0.6723161
69,47.99934,0.6722772
70,48.75685,0.6722773
71,49.45059,0.6722793
72,50.35373,0.6722792
73,50.97622,0.6722817
74,50.80559,0.6722818
75,51.58936,0.6721901
76,52.39119,0.6721945
77,53.18058,0.6721923
78,53.94559,0.6720468
79,54.66809,0.6719841
80,54.33619,0.6716737
81,55.02432,0.6716125
82,55.86748,0.6717215
83,56.58997,0.6716815
84,57.24809,0.6716836
85,58.13245,0.6716882
86,58.99623,0.6717726
87,58.74999,0.6728411
88,59.46936,0.6770093
89,60.1231,0.6771036
90,60.79685,0.6771013
91,61.71247,0.6771741
92,62.43183,0.677174
93,63.42185,0.6796966
94,63.29559,0.6796899
95,64.03934,0.6796906
96,64.80871,0.6800868
97,65.60746,0.6799745
98,66.36996,0.6799507
99,67.1506,0.6801392
100,67.80432,0.6801379
101,67.48371,0.6826892
102,68.16746,0.6826913
103,69.13621,0.6836432
104,69.88559,0.6837897
105,70.65059,0.6837766
106,71.75005,0.6843014
107,72.51184,0.6843067
108,72.43806,0.6842965
109,73.10312,0.6842606
110,73.87369,0.6841819
111,74.69871,0.6841219
112,75.49877,0.6841215
113,76.28943,0.6841313
114,76.25935,0.6841204
115,77.00872,0.6843476
116,77.87371,0.684171
117,78.67877,0.6841908
118,79.58747,0.6841986
119,80.27683,0.684197
120,80.21746,0.6844668
121,80.95122,0.6844728
122,81.68185,0.6847345
123,82.44559,0.6847423
124,83.31123,0.6847413
125,83.96496,0.6853338
126,84.62435,0.6853164
127,85.57001,0.6869095
128,85.27371,0.6886706
129,85.98312,0.6886263
130,86.68984,0.6884574
131,87.46871,0.6883972
132,88.21934,0.6892825
133,89.07664,0.6892593
134,89.7431,0.6880857
135,90.73436,0.6879967
136,91.42125,0.6879244
137,91.24994,0.6878858
138,92.13619,0.6888319
139,93.06185,0.688797
140,93.82247,0.6890958
141,94.59184,0.6890671
142,95.24122,0.6892987
143,96.01184,0.6892343
144,95.91935,0.6891891
145,96.92185,0.6894849
146,97.7181,0.6895273
147,98.56997,0.6898615
148,99.62248,0.690675
149,99.36875,0.6908982
150,100.125,0.691007
151,100.9,0.6910428
152,101.8275,0.6916627
153,102.6394,0.6917922
154,103.5606,0.6917348
155,104.3069,0.6923314
156,104.2181,0.6924141
157,104.9943,0.6930737
158,105.7337,0.6944342
159,106.4756,0.6960159
160,107.36,0.6967934
161,108.3543,0.6967854
162,109.2006,0.6968017
163,109.0725,0.6968956
164,109.8999,0.6966142
165,110.7397,0.6965891
166,111.6631,0.6969388
167,112.6718,0.6970828
168,112.4993,0.6968958
169,113.6075,0.6983677
170,114.525,0.6983816
171,115.3668,0.6984369
172,116.1699,0.6988898
173,116.0787,0.6989739
174,116.8706,0.6991662
175,117.7419,0.6995484
176,118.6206,0.7047373
177,119.67,0.7050218
178,120.64,0.7047554
179,121.4362,0.7049656
180,121.3218,0.7049671
181,122.3556,0.7050213
182,123.2956,0.7069933
183,124.2299,0.7067343
184,125.0856,0.7069798
185,125.9968,0.7069935
186,125.9056,0.7070286
187,126.8362,0.7070751
188,127.7919,0.7073324
189,128.8387,0.706736
190,129.7968,0.7076518
191,130.7143,0.7071175
192,131.6056,0.7076336
193,131.4956,0.7075791
194,132.4687,0.7075184
195,133.3362,0.7078631
196,134.4181,0.7078366
197,135.3437,0.7077662
198,135.3831,0.7078358
199,136.3675,0.7077908
200,137.2896,0.7084992
201,138.2593,0.7085154
202,138.2818,0.7088477
203,139.3419,0.7088197
204,140.2605,0.7086003
205,141.1025,0.7086618
206,141.9812,0.7089442
207,141.9012,0.7092627
208,142.8681,0.7091903
209,143.6703,0.7094535
210,144.5906,0.7106483
211,145.5732,0.7108329
212,145.555,0.7108816
213,146.3112,0.7107656
214,147.1856,0.7102511
215,148.0144,0.7106755
216,148.8831,0.7103038
217,149.9006,0.7106664
218,150.6837,0.7108648
219,151.5875,0.7109528
220,152.4181,0.7109588
221,152.2143,0.7108484
222,153.1631,0.7108674
223,154.3394,0.7116138
224,155.3237,0.7115779
225,155.1956,0.7117524
226,156.0474,0.7117639
227,156.9506,0.7122726
228,157.8237,0.712973
229,158.8419,0.712562
230,159.7956,0.7125062
231,159.6331,0.7126529
232,160.6794,0.712532
233,161.6081,0.7127683
234,162.4069,0.7129935
235,163.2012,0.7132226
236,164.0912,0.7130663
237,164.9344,0.7129917
238,165.8538,0.7131505
239,165.8368,0.713007
240,166.8194,0.7128334
241,167.6537,0.7124866
242,168.4625,0.7127803
243,169.6025,0.7126997
244,169.655,0.7129125
245,170.6006,0.7130259
246,171.5925,0.7130943
247,172.4799,0.7134615
248,172.3287,0.7132535
249,173.2418,0.7131582
