Iteration,Time,AUC
1,11.06304,0.649441
2,11.50241,0.6514947
3,11.92188,0.6697975
4,12.455,0.6697975
5,12.81433,0.6700665
6,12.23804,0.6710251
7,12.62745,0.6706571
8,13.14064,0.6706792
9,13.55002,0.6716315
10,13.98376,0.6706435
11,14.43743,0.6716746
12,14.81118,0.6716102
13,15.17366,0.6716885
14,15.63004,0.6707097
15,16.03501,0.6716909
16,16.4214,0.671218
17,16.79505,0.6722267
18,17.31816,0.67223
19,17.70747,0.672225
20,18.06121,0.6722329
21,18.54496,0.6715163
22,18.95439,0.6725294
23,19.31366,0.672518
24,18.98808,0.6725109
25,19.46753,0.6725198
26,19.90814,0.6725129
27,20.55938,0.6725231
28,21.03127,0.6725159
29,21.47182,0.6725206
30,21.92814,0.6725218
31,22.52413,0.6725485
32,23.08439,0.6720203
33,23.6762,0.6714029
34,24.10808,0.6715009
35,24.54871,0.6714608
36,24.1844,0.6715662
37,24.66066,0.671414
38,25.14682,0.6713492
39,25.72312,0.6712191
40,26.23501,0.6709774
41,26.83252,0.6748997
42,27.26441,0.6747584
43,27.84746,0.6748705
44,28.5343,0.6748616
45,28.08185,0.674914
46,28.62939,0.6749188
47,29.15939,0.6751048
48,29.77808,0.675114
49,30.31689,0.6750781
50,30.86565,0.6756339
51,31.40993,0.6755127
52,32.09251,0.6756172
53,32.64681,0.6757116
54,33.17121,0.6756685
55,33.74993,0.6756869
56,34.29564,0.6763247
57,33.93867,0.6763808
58,34.43619,0.6762596
59,35.14,0.6762397
60,35.70743,0.6763272
61,36.39557,0.6826967
62,36.99997,0.6826461
63,37.84065,0.6826828
64,38.49877,0.6826856
65,38.15685,0.6830432
66,38.75251,0.6830831
67,39.48318,0.6830354
68,40.34189,0.6827391
69,41.00305,0.6828333
70,41.70247,0.6827562
71,42.31805,0.6829333
72,42.87501,0.6828527
73,43.42058,0.6829936
74,44.0618,0.6829984
75,44.81566,0.6827909
76,44.56378,0.682761
77,45.09242,0.6826112
78,45.69377,0.6843882
79,46.44308,0.6842553
80,47.0512,0.6838087
81,47.7596,0.6836529
82,48.46742,0.6836135
83,49.1219,0.6835612
84,48.98379,0.6841685
85,49.88127,0.6841015
86,50.60752,0.6840665
87,51.38129,0.6841422
88,52.34688,0.6864041
89,53.15994,0.6869961
90,54.0187,0.6871108
91,53.89627,0.6872817
92,54.74929,0.6872007
93,55.53246,0.6872773
94,56.5494,0.6871578
95,57.47125,0.6885192
96,58.34817,0.6886579
97,58.17684,0.6890693
98,59.1068,0.688946
99,59.98559,0.6890953
100,60.98376,0.6893377
101,61.84377,0.6896988
102,62.76808,0.6896542
103,63.61246,0.6897509
104,63.56245,0.6899322
105,64.46683,0.6897518
106,65.49752,0.6900273
107,66.47309,0.6906434
108,67.48432,0.6888831
109,67.66063,0.6891714
110,68.72064,0.6892075
111,69.59503,0.6892919
112,70.5287,0.6894044
113,71.49992,0.6896167
