Iteration,Time,AUC
1,261.5188,0.5007214
2,277.4957,0.5006027
3,293.8695,0.5009318
4,308.9238,0.5023489
5,323.9363,0.5035102
6,340.3276,0.5050033
7,355.5613,0.5073791
8,373.0801,0.5074132
9,389.065,0.5077988
10,406.1232,0.5091031
11,422.7669,0.5102588
12,438.9225,0.5097322
13,454.3387,0.5111304
14,470.8406,0.5123085
15,486.2757,0.5132499
16,499.9337,0.5142146
17,518.1826,0.5144545
18,535.1556,0.5160209
19,551.547,0.5166808
20,567.2026,0.5176561
21,582.125,0.5189433
22,596.9663,0.5198669
23,612.575,0.5212891
24,628.0751,0.5222229
25,644.605,0.5232312
26,661.2781,0.5240257
27,675.9545,0.5272756
28,693.1126,0.5271563
29,707.7513,0.5280084
30,723.222,0.5280815
31,737.8419,0.5305415
32,755.1895,0.5308988
33,770.9338,0.5304305
34,787.3156,0.5323105
35,803.97,0.5321423
36,818.5781,0.5335166
37,835.0745,0.5338028
38,851.6282,0.5338739
39,867.1087,0.5351992
40,882.1687,0.5355062
41,897.7494,0.5356713
42,912.9344,0.5357038
43,929.6881,0.5356789
44,945.2375,0.5358125
45,961.3001,0.5371258
46,977.0731,0.5375634
47,991.8776,0.5380217
48,1007.291,0.538652
49,1022.651,0.540185
50,1038.844,0.5411326
51,1056.046,0.5419694
52,1072.627,0.5419155
53,1088.744,0.5435189
54,1105.936,0.544135
55,1123.073,0.5444194
56,1141.854,0.5450183
57,1155.87,0.5468891
58,1173.184,0.5486307
59,1187.656,0.5492901
60,1203.466,0.5501039
61,1219.515,0.5501532
62,1236.282,0.550869
63,1252.986,0.5542877
64,1268.624,0.554516
65,1283.057,0.5546998
66,1299.359,0.5549217
67,1313.185,0.555157
68,1327.826,0.5554836
69,1343.619,0.5559111
70,1359.079,0.5563305
71,1373.825,0.5577005
72,1389.28,0.5580892
73,1405.341,0.5582313
74,1420.791,0.5583005
75,1435.402,0.5596254
76,1451.314,0.560227
77,1466.956,0.560813
78,1484.609,0.561213
79,1500.297,0.5625233
80,1515.502,0.56257
81,1529.549,0.5630109
82,1545.328,0.5629197
83,1561.746,0.5693009
84,1577.264,0.5693934
85,1594.294,0.5702484
86,1610.002,0.570431
87,1627.347,0.570261
88,1642.799,0.5701688
89,1659.323,0.5706138
90,1676.201,0.570765
91,1692.621,0.5707818
92,1706.828,0.5706717
93,1722.139,0.5713188
94,1736.264,0.5712941
95,1752.625,0.5719549
96,1768.466,0.5725176
97,1783.699,0.5737111
98,1800.744,0.5740407
