Iteration,Time,AUC
1,248.0232,0.5010747
2,259.2975,0.5017133
3,270.7826,0.5033717
4,282.1757,0.5039286
5,293.4088,0.5066702
6,303.862,0.5073472
7,315.2095,0.5093845
8,326.4995,0.5091698
9,338.4125,0.5103575
10,349.8794,0.5123049
11,360.4138,0.5144426
12,372.045,0.515412
13,383.5143,0.5163531
14,393.74,0.5175724
15,405.3487,0.5189729
16,416.3131,0.521526
17,427.9894,0.5262299
18,438.8332,0.5273019
19,450.6,0.5279742
20,461.1326,0.52795
21,472.5526,0.5303615
22,484.2176,0.5302429
23,495.8976,0.531562
24,506.4751,0.5325733
25,518.0038,0.5349188
26,529.5513,0.5377473
27,540.2563,0.5390948
28,551.7513,0.540187
29,563.452,0.5408757
30,574.9406,0.5419412
31,585.5975,0.542805
32,597.1076,0.5444606
33,608.6913,0.5474996
34,619.4425,0.5478008
35,631.2651,0.5478584
36,642.0531,0.5484658
37,653.4707,0.5498462
38,665.0813,0.5506639
39,676.5825,0.5512583
40,687.2025,0.5535748
41,698.8038,0.5558702
42,710.1869,0.5563541
43,721.2395,0.5580778
44,731.9738,0.5583854
45,743.5607,0.5588666
46,755.2057,0.5606468
47,766.9088,0.561485
48,778.0176,0.5622273
49,789.3957,0.5639002
50,799.9375,0.564544
51,811.3963,0.5659899
52,823.0644,0.5660202
53,834.5625,0.5658528
54,845.1483,0.5669252
55,856.7019,0.5732602
56,868.3506,0.5734801
57,878.9126,0.5739595
58,890.397,0.5743212
59,901.6795,0.5750593
60,913.1545,0.5755035
61,924.1075,0.5753394
62,935.9844,0.5770881
63,947.2732,0.5771615
64,958.0988,0.5783696
65,969.4375,0.5791439
66,981.0657,0.579432
67,992.3788,0.5807816
68,1003.858,0.5817725
69,1015.405,0.5823439
70,1025.879,0.5829031
71,1037.318,0.5839623
72,1048.549,0.585034
73,1059.959,0.585384
74,1071.691,0.5861055
75,1083.033,0.5866682
76,1094.439,0.5867149
77,1105.894,0.5874013
78,1116.661,0.5876796
79,1128.516,0.5878218
80,1139.157,0.5882702
81,1150.706,0.5895426
82,1162.457,0.5904034
83,1173.131,0.5908867
84,1184.819,0.5929522
85,1196.533,0.5935396
86,1207.14,0.5939642
87,1218.691,0.5942475
88,1230.257,0.5949647
89,1241.733,0.59568
90,1252.344,0.5961768
91,1264.077,0.5966857
92,1275.723,0.5975761
93,1286.224,0.5982567
94,1297.592,0.5988155
95,1309.304,0.5991908
96,1320.178,0.5994839
97,1332.014,0.5999694
98,1342.439,0.6005361
99,1353.889,0.6018728
100,1365.47,0.6020795
101,1376.833,0.6028243
102,1388.144,0.6034904
103,1399.566,0.603405
104,1410.084,0.6042405
105,1421.655,0.6046875
106,1433.053,0.6047719
107,1443.845,0.6050364
108,1455.125,0.6054476
109,1466.693,0.6058885
110,1477.015,0.6060916
111,1488.264,0.6063019
112,1499.738,0.6062722
113,1511.161,0.6062915
114,1522.733,0.6067128
115,1533.344,0.6069899
116,1544.534,0.607095
117,1555.874,0.6079835
118,1567.351,0.6081905
119,1578.829,0.6090125
120,1589.424,0.6091492
121,1600.663,0.6096675
122,1612.563,0.6103079
123,1623.438,0.6115428
124,1634.07,0.6121469
125,1645.612,0.6127891
126,1657.209,0.6128195
127,1668.045,0.613121
128,1679.814,0.6132724
129,1690.256,0.6134515
130,1701.771,0.6140714
131,1713.054,0.6143584
132,1724.529,0.6143077
133,1735.139,0.6142773
134,1746.586,0.6148506
135,1757.298,0.6152283
136,1769.002,0.6155325
137,1780.297,0.6156539
138,1791.156,0.6158889
139,1802.597,0.6161903
140,1813.081,0.616894
141,1824.346,0.6171343
142,1835.5,0.6174837
143,1846.522,0.6179154
144,1857.835,0.6180104
145,1869.717,0.6182476
146,1880.157,0.618586
147,1891.535,0.6187199
148,1903.021,0.6188967
149,1914.155,0.619144
150,1924.833,0.6193933
151,1936.223,0.6193443
152,1947.659,0.6194837
153,1959.253,0.6196407
154,1969.753,0.6197775
155,1981.264,0.6198334
156,1992.851,0.6200363
157,2003.703,0.6200717
158,2015.158,0.6198895
159,2025.942,0.6199636
160,2037.35,0.6198541
161,2048.831,0.6198972
162,2059.173,0.6201772
163,2070.626,0.6201696
164,2081.8,0.6204937
165,2092.927,0.6205263
166,2104.189,0.6205158
167,2115.644,0.6209472
168,2126.003,0.6211503
169,2137.457,0.6213693
170,2147.99,0.6216342
171,2159.679,0.6216883
172,2169.944,0.6215858
173,2181.318,0.6218151
174,2192.453,0.6217736
175,2203.848,0.6217935
176,2214.348,0.6220316
177,2224.82,0.6221169
178,2236.485,0.6223925
179,2247.035,0.6229049
180,2258.487,0.6229362
181,2269.957,0.6228819
182,2280.985,0.6230534
183,2292.316,0.6230457
184,2302.737,0.6230796
185,2313.944,0.6231919
186,2324.475,0.6233153
187,2336.131,0.6233303
188,2347.406,0.6231417
189,2357.991,0.6234741
190,2369.878,0.6235393
191,2381.348,0.6235613
192,2391.894,0.6236583
193,2403.529,0.6237549
194,2413.976,0.6237979
195,2425.52,0.6239044
196,2435.849,0.6238514
197,2447.258,0.623848
198,2457.817,0.624012
199,2469.345,0.6239686
200,2479.844,0.6241236
201,2491.021,0.6242043
202,2502.616,0.6242052
203,2512.803,0.6245072
204,2524.456,0.6245158
205,2535.048,0.6243689
206,2546.312,0.624684
207,2557.563,0.6247897
208,2567.726,0.6250185
209,2579.285,0.6251337
210,2589.773,0.6251231
211,2601.333,0.6250164
212,2612.053,0.6250409
213,2623.769,0.624929
214,2635.269,0.624746
215,2646.054,0.6250285
216,2657.316,0.6250152
217,2667.906,0.6250626
218,2679.422,0.6250067
219,2690.717,0.6250501
220,2701.771,0.6251009
221,2713.139,0.6253894
222,2723.78,0.625696
223,2734.349,0.6259111
224,2745.724,0.6259531
225,2757.014,0.6259972
226,2767.39,0.6259213
227,2778.798,0.6258724
228,2789.974,0.6255741
229,2800.502,0.6257656
230,2812.035,0.6257312
231,2822.703,0.6256365
232,2834.095,0.6256485
233,2845.299,0.625762
234,2855.892,0.6257726
235,2867.551,0.6259666
236,2877.889,0.6259052
237,2889.192,0.6262267
238,2900.648,0.6261575
239,2910.813,0.6262743
240,2922.131,0.6263775
241,2933.678,0.6263263
242,2944.718,0.6264557
243,2954.955,0.6265362
244,2966.436,0.6266241
245,2978.124,0.6267326
246,2989.436,0.6267786
247,3000.174,0.6268175
248,3010.818,0.6267823
249,3022.066,0.6267689
250,3033.014,0.626854
251,3044.233,0.6269708
252,3055.562,0.6272988
253,3066.863,0.627295
254,3077.226,0.6273418
255,3088.507,0.6272427
256,3099.551,0.6271835
257,3110.983,0.627224
258,3121.677,0.6272203
259,3133.581,0.6273546
260,3144.879,0.6274558
261,3155.316,0.627473
262,3166.709,0.627469
263,3178.42,0.6275261
264,3188.601,0.6275444
265,3199.829,0.6275667
266,3211.454,0.6276357
267,3222.741,0.6276267
268,3233.858,0.6276687
269,3244.032,0.6276134
270,3255.362,0.6276849
271,3266.694,0.6281427
272,3277.111,0.628064
273,3288.579,0.6280188
274,3299.289,0.6279696
275,3310.688,0.6280112
276,3321.97,0.6280304
277,3332.233,0.628118
278,3343.601,0.6280505
279,3355.223,0.6280111
280,3365.425,0.6281363
281,3377.144,0.6281936
282,3387.458,0.6281378
283,3398.992,0.6281084
284,3409.443,0.628116
285,3420.594,0.6280885
286,3431.897,0.6280326
287,3443.191,0.6280961
288,3454.866,0.6280227
289,3465.504,0.628067
290,3476.984,0.6280671
291,3487.455,0.628196
292,3498.766,0.6282864
293,3510.55,0.6282385
294,3520.739,0.6282568
295,3532.33,0.6281846
296,3542.769,0.6282098
297,3553.976,0.6280849
298,3565.377,0.6279989
299,3576.391,0.6279477
300,3586.611,0.6278355
301,3598.067,0.6278371
302,3608.316,0.6279809
303,3619.741,0.6278502
304,3630.488,0.6279308
305,3642.039,0.6280449
306,3653.188,0.6280081
307,3663.736,0.6282243
308,3675.014,0.6283235
309,3685.456,0.6283537
310,3696.926,0.6283787
311,3708.221,0.6282955
312,3718.563,0.6283798
313,3729.802,0.6282783
314,3741.094,0.6282249
315,3751.629,0.6283277
316,3763.068,0.6283971
317,3774.687,0.6283912
318,3785.113,0.6283973
319,3796.613,0.6282872
