Iteration,Time,AUC
1,302.2655,0.501097
2,318.2118,0.5027208
3,333.0474,0.5029223
4,346.8293,0.5016994
5,361.4393,0.5022467
6,377.5949,0.503359
7,394.528,0.5053017
8,409.0136,0.5062632
9,421.5111,0.5059493
10,435.5611,0.5067169
11,450.4793,0.5092516
12,464.8411,0.5111448
13,479.6411,0.5127827
14,496.9824,0.5134502
15,510.4936,0.5154589
16,526.3211,0.516182
17,542.778,0.5173162
18,559.243,0.5171222
19,573.4518,0.518556
20,587.9618,0.5200341
21,603.4655,0.5214267
22,619.4086,0.5230792
23,633.3218,0.523653
24,648.6805,0.5241108
25,663.9549,0.5247471
26,678.358,0.5247149
27,696.3392,0.5263642
28,711.5874,0.5263773
29,727.3617,0.5279876
30,743.3067,0.5278413
31,758.7005,0.5299697
32,774.2199,0.5315042
33,787.9192,0.5325218
34,802.5624,0.5327704
35,816.4843,0.5329198
36,831.4636,0.5365474
37,846.8261,0.5375761
38,861.4386,0.5375822
39,877.6574,0.5378896
40,893.3118,0.5382633
41,908.2899,0.5384933
42,923.528,0.5390546
43,937.593,0.5394976
44,952.9011,0.5405289
45,967.6186,0.5406744
46,982.0761,0.540947
47,997.1886,0.5408709
48,1011.732,0.5410762
49,1024.807,0.5418828
50,1039.936,0.543529
51,1054.624,0.5448715
52,1070.987,0.5464001
53,1086.408,0.5468906
54,1100.823,0.5467924
55,1116.403,0.5468193
56,1132.404,0.5473991
57,1147.416,0.5496187
58,1161.923,0.5497335
59,1176.041,0.5498144
60,1189.857,0.5502912
61,1204.619,0.5505738
62,1218.292,0.5509426
63,1232.033,0.5510613
64,1246.495,0.5510514
65,1262.23,0.5516769
66,1277.557,0.5524179
67,1292.609,0.5528069
68,1306.824,0.5530949
69,1321.259,0.5533669
70,1335.665,0.5533973
71,1350.547,0.5536391
72,1365.484,0.5540149
73,1380.95,0.5542051
74,1395.026,0.5546796
75,1408.246,0.5551928
76,1424.134,0.5552296
77,1438.721,0.5562272
78,1452.424,0.5564291
79,1466.759,0.5565981
80,1480.625,0.5568598
81,1495.45,0.5568971
82,1511.356,0.5582494
83,1526.562,0.5638068
84,1541.624,0.5638659
85,1554.574,0.5641884
86,1568.763,0.564451
87,1583.072,0.5649156
88,1597.75,0.5650461
89,1609.924,0.5652724
90,1624.407,0.5652534
91,1639.956,0.5657085
92,1653.939,0.5657648
93,1669.307,0.5665508
94,1683.327,0.5676352
95,1697.669,0.5680557
96,1713.385,0.568197
97,1728.479,0.5684534
98,1744.404,0.5690813
99,1758.62,0.5691806
100,1773.243,0.5691831
101,1788.221,0.5695617
102,1803.854,0.5703599
103,1818.919,0.5703842
104,1832.172,0.571015
105,1845.587,0.5714554
106,1860.468,0.5717521
107,1872.377,0.5720456
108,1887.328,0.5723212
109,1903.249,0.5726689
110,1918.555,0.573781
111,1933.189,0.5740091
112,1948.073,0.5747601
113,1962.452,0.5760405
114,1977.611,0.5762001
115,1989.297,0.576384
116,2002.674,0.5775292
117,2017.454,0.5778524
118,2032.372,0.5782508
119,2049.34,0.5786522
120,2064.204,0.5786131
121,2079.216,0.5794681
122,2095.31,0.5794989
123,2109.291,0.5797201
124,2122.681,0.580109
125,2136.712,0.5803226
126,2150.596,0.580701
127,2166.281,0.5805635
128,2181.797,0.5809159
129,2196.814,0.5816653
130,2211.766,0.5832608
131,2226.51,0.5832341
132,2242.698,0.583579
133,2252.73,0.5840402
134,2267.588,0.5842037
135,2282.105,0.5847107
136,2296.556,0.584968
137,2310.338,0.5851073
138,2325.151,0.5850504
139,2338.044,0.5852706
140,2352.419,0.5851556
141,2367.127,0.585357
142,2381.407,0.5854408
143,2396.452,0.5857132
144,2409.68,0.586031
145,2423.869,0.5860622
146,2437.407,0.5861978
147,2452.124,0.5863894
148,2466.527,0.5866408
149,2481.124,0.5877293
150,2496.275,0.5881044
151,2510.393,0.5880439
152,2524.248,0.5884777
153,2537.22,0.5887867
154,2552.659,0.589205
155,2567.729,0.5895453
156,2580.292,0.5897504
157,2593.652,0.5899925
158,2607.7,0.5898935
159,2622.072,0.5899951
160,2636.306,0.590276
161,2650.622,0.5909813
162,2663.796,0.59128
163,2677.669,0.5913506
164,2693.159,0.5914898
165,2706.261,0.5916226
166,2720.446,0.5920431
167,2735.588,0.592556
168,2750.924,0.5927368
169,2766.432,0.5930518
170,2777.954,0.5935513
171,2791.872,0.5938951
172,2806.184,0.5938848
173,2821.33,0.5945235
174,2835.12,0.5955702
175,2850.453,0.5958603
176,2864.986,0.5958064
177,2879.248,0.5957456
178,2893.073,0.5959021
179,2909.259,0.5960436
180,2922.357,0.596277
181,2934.76,0.5966277
182,2948.292,0.5968525
183,2963.077,0.5972162
184,2975.909,0.5975208
185,2990.529,0.5975987
186,3003.667,0.5976468
187,3017.513,0.5979109
188,3032.249,0.597903
189,3046.486,0.5982845
190,3061.479,0.5986233
191,3076.854,0.5986558
192,3088.361,0.5986514
193,3102.86,0.5987464
194,3117.062,0.5986815
195,3128.088,0.5987382
196,3143.111,0.5989352
197,3159.187,0.598797
198,3173.435,0.5987633
199,3187.481,0.5989626
200,3201.264,0.5992669
201,3215.45,0.5994813
202,3231.796,0.59975
203,3242.025,0.5997891
204,3255.322,0.5999072
205,3269.574,0.6001018
206,3284.888,0.6002026
207,3299.58,0.6003963
208,3314.205,0.6009143
209,3327.125,0.6008474
210,3341.127,0.6009122
211,3354.517,0.6008182
212,3368.765,0.6009555
213,3385.28,0.6010338
214,3399.549,0.6012313
215,3414.528,0.6015076
216,3428.451,0.6017674
217,3439.497,0.6018613
218,3452.609,0.6019702
219,3463.95,0.6020229
220,3475.433,0.6021669
221,3489.72,0.602243
222,3503.28,0.6020746
223,3517.183,0.6020835
224,3531.186,0.6022105
225,3544.171,0.602279
226,3559.234,0.6024884
227,3572.439,0.6027427
228,3587.174,0.6046057
229,3600.641,0.6047154
230,3615.315,0.6053808
231,3628.044,0.6056592
232,3641.123,0.6056688
233,3654.152,0.6061319
234,3667.778,0.606418
235,3679.702,0.606611
236,3695.353,0.6068728
237,3707.127,0.6067733
238,3721.767,0.6068455
239,3736.12,0.6069354
240,3749.891,0.6068669
241,3763.322,0.607096
242,3779.184,0.6082178
243,3792.36,0.608344
244,3805.541,0.6082927
245,3818.047,0.6082213
246,3831.001,0.6086437
247,3840.782,0.6086149
248,3855.51,0.6084599
249,3868.829,0.6085497
250,3885,0.6090644
251,3898.999,0.6090668
252,3912.827,0.6090132
253,3928.072,0.609279
254,3939.087,0.6093704
