Iteration,Time,AUC
1,0.2505891,0.6394698
2,0.9424683,0.6394642
3,1.475591,0.6402076
4,1.968741,0.6521175
5,2.50445,0.6521178
6,2.972025,0.6521358
7,3.481432,0.6524123
8,3.978927,0.6524167
9,4.48426,0.6524199
10,5.0253,0.6540591
11,5.506391,0.6522193
12,5.956818,0.6510085
13,6.522039,0.6525748
14,7.128284,0.652572
15,7.690063,0.6531097
16,8.216466,0.6533949
17,7.789587,0.6539549
18,8.259069,0.6539701
19,8.768692,0.6539813
20,9.223746,0.6535137
21,9.784517,0.6545451
22,10.2946,0.654539
23,10.85109,0.655214
24,11.42784,0.6545504
25,11.92724,0.6645438
26,12.41063,0.6654585
27,12.95303,0.6645494
28,13.49737,0.6636399
29,13.96689,0.6644353
30,14.50194,0.6642223
31,15.02187,0.6643564
32,14.64522,0.6643453
33,15.16603,0.6643574
34,15.66131,0.6643117
35,16.16198,0.6634221
36,16.64778,0.6643463
37,17.124,0.6670854
38,17.6447,0.6661825
39,18.15782,0.6663616
40,18.65719,0.6665516
41,19.16557,0.6665517
42,19.66431,0.6665685
43,20.14505,0.6676571
44,20.62592,0.6670238
45,21.13583,0.6676836
46,21.73027,0.6677067
47,22.24713,0.6669203
48,22.79326,0.6669099
49,23.31147,0.6660292
50,23.80158,0.6677541
51,24.32734,0.6678832
52,24.81047,0.6676724
53,24.45172,0.6658536
54,25.03048,0.6657379
55,25.60256,0.6667431
56,26.14298,0.6667482
57,26.63844,0.6667007
58,27.14418,0.6669892
59,27.68751,0.6668434
60,28.16397,0.6667886
61,28.66017,0.6683544
62,29.21118,0.6683601
63,29.67188,0.6683302
64,30.18815,0.6682526
65,30.86862,0.6674748
66,31.40056,0.6684047
67,31.96165,0.6684764
68,32.45283,0.6675531
69,33.03393,0.6683943
70,33.55888,0.6682974
71,33.08447,0.6691345
72,33.66162,0.6697499
73,34.16918,0.6691174
74,34.68591,0.6698869
75,35.20029,0.6698677
76,35.75824,0.6699435
77,36.28707,0.6699169
78,36.97457,0.6699152
