Iteration,Time,AUC
1,7.857307,0.6573449
2,8.268371,0.6640163
3,9.531145,0.6627797
4,10.65424,0.6620857
5,11.91111,0.6650223
6,12.32854,0.6619223
7,13.64519,0.6633096
8,14.81572,0.66482
9,16.06064,0.6650664
10,16.35603,0.6653732
11,17.52214,0.6658037
12,18.81252,0.6657396
13,20.12683,0.666604
14,20.24638,0.6666021
15,21.6081,0.6669081
16,22.67655,0.6669619
17,23.88242,0.668084
18,24.19187,0.668399
19,25.39097,0.6687488
20,26.57549,0.6687421
21,27.83051,0.6690908
22,27.99839,0.6699864
23,29.16835,0.6697277
24,30.4244,0.6695265
25,31.6429,0.670317
26,31.73744,0.6698047
27,32.88637,0.6705329
28,34.16761,0.6704734
29,35.43959,0.6704823
30,35.72541,0.6715298
31,37.12958,0.6716738
32,38.42961,0.6717444
33,38.78291,0.6717404
34,40.04339,0.6720231
35,41.31036,0.6724948
36,42.57219,0.6720333
37,42.94676,0.672076
38,44.3023,0.6721379
39,45.52754,0.673845
40,46.65227,0.6734895
41,47.08626,0.6734849
42,48.43251,0.6734709
43,49.82308,0.6734226
44,51.0167,0.673449
45,51.26044,0.6737228
46,52.7183,0.6785489
47,53.9459,0.6786284
48,55.30517,0.6789992
49,55.66322,0.6792096
50,57.09367,0.679127
51,58.38847,0.6790622
52,58.74983,0.679451
53,60.09093,0.6790674
54,61.40127,0.6794317
55,62.72369,0.6792483
56,63.24546,0.6840526
57,64.58235,0.6850312
58,66.10186,0.6869634
59,66.60674,0.6872684
60,67.92219,0.6874183
61,69.28897,0.6874965
62,70.58451,0.6877148
63,70.90495,0.6874567
64,72.15414,0.688327
65,73.38984,0.6889867
66,74.66168,0.6903771
67,75.04193,0.6908649
68,76.25145,0.6908444
69,77.68687,0.6908965
70,78.93043,0.6910076
71,80.38416,0.6915684
72,80.68965,0.6915997
73,82.18582,0.6914785
74,83.62399,0.6915049
75,83.94826,0.6911895
76,85.44285,0.6914773
77,86.94827,0.6916627
78,87.41429,0.6911193
79,88.82023,0.6912794
80,90.3795,0.6910664
81,90.96764,0.6912503
82,92.4875,0.6911191
83,93.03626,0.6933739
84,94.45729,0.6935796
85,95.94621,0.6936085
86,97.40205,0.6942164
87,97.81112,0.6941242
88,99.14903,0.694074
89,100.6308,0.6935127
