Iteration,Time,AUC
1,5.873077,0.777942
2,10.85439,0.7873332
3,16.66433,0.7923584
4,22.74808,0.796726
5,27.49965,0.7998919
6,33.45058,0.802674
7,38.22034,0.8053511
8,44.28845,0.8073464
9,48.89051,0.8093133
10,54.21729,0.8112848
11,58.23474,0.8128408
12,63.86442,0.8143612
13,68.00628,0.8155371
14,72.66174,0.8165376
15,77.86281,0.8175154
16,82.16455,0.8186056
17,86.30689,0.8192443
18,89.76661,0.8199667
19,94.24975,0.8206656
20,99.60926,0.8213186
21,102.9054,0.8220174
22,106.5976,0.8223499
23,110.9701,0.822882
24,114.6365,0.8235499
25,119.5455,0.8241078
26,123.0631,0.8245141
27,126.9868,0.8250944
28,130.6055,0.8254562
29,132.8962,0.8256365
30,136.317,0.8257957
31,140.2595,0.8262058
32,143.6081,0.8266267
33,148.5662,0.8272073
34,151.3499,0.8273667
35,154.9893,0.827924
36,158.6425,0.828126
37,162.0086,0.8283031
38,165.3068,0.8285915
39,169.7334,0.8289395
40,172.5657,0.8290185
41,175.2877,0.829353
42,179.6143,0.8296525
43,182.7755,0.8298738
44,186.3297,0.8302695
45,190.0049,0.8304824
46,193.5035,0.8306179
47,195.0688,0.8307061
48,199.7753,0.830988
49,202.89,0.8311051
50,205.4501,0.8312407
51,209.4521,0.8315276
52,212.4864,0.8316419
53,215.4605,0.8317455
54,217.3852,0.8318152
55,221.2401,0.8320424
56,224.7652,0.8321978
57,226.548,0.8322812
58,230.3147,0.8324362
59,234.9972,0.8326773
60,237.4308,0.8328012
61,243.0505,0.833158
62,245.9779,0.8332421
63,248.4691,0.8333566
64,251.9654,0.8334993
65,255.7612,0.8336805
66,259.2988,0.8339322
67,264.3026,0.8342752
68,267.6927,0.834387
69,270.3762,0.8344916
70,274.1561,0.8346793
71,278.2091,0.8348579
72,282.5044,0.8350937
73,286.9482,0.8353138
74,290.0512,0.8353748
75,294.758,0.8356484
76,296.5546,0.8357026
77,300.0461,0.8358438
78,304.3741,0.8359967
79,306.4117,0.8360766
80,309.9352,0.8361614
81,314.318,0.8363781
82,316.8398,0.8363917
83,318.4006,0.836422
84,322.1643,0.836499
85,326.2305,0.8366472
86,329.5082,0.8366849
87,332.2178,0.8367321
88,334.4305,0.8368074
89,339.4241,0.8370286
90,342.4963,0.8370961
91,345.5472,0.8372242
92,348.1993,0.8372639
93,359.4393,0.8373276
94,361.4449,0.8373982
95,364.3,0.8374274
96,367.4259,0.8374734
97,369.808,0.8375223
98,373.3286,0.8376334
99,377.258,0.8377829
100,381.3053,0.8378876
101,385.4008,0.8380064
102,389.2837,0.8381022
103,393.3463,0.8382538
104,396.0254,0.8383442
105,398.7121,0.8383886
106,402.0361,0.8384268
107,404.6712,0.838455
108,408.7431,0.8386659
109,412.6746,0.8387671
110,415.6129,0.8388131
111,417.9383,0.8388373
112,420.65,0.8390406
113,425.0545,0.8391755
114,429.7462,0.8394901
115,434.6973,0.8397453
116,438.2376,0.8398431
117,442.3841,0.8399816
118,445.5226,0.8400292
119,449.8027,0.8402016
120,453.3517,0.8403225
121,457.5867,0.8404167
122,461.3349,0.8405207
123,464.3624,0.8406336
124,467.617,0.8406843
125,469.9068,0.8406951
126,474.518,0.8407879
127,478.6206,0.8408972
128,483.9757,0.8410561
129,487.1359,0.8411178
130,488.5074,0.8411348
131,491.5877,0.841157
132,496.6397,0.8412784
133,499.7279,0.8413832
134,504.637,0.8414969
135,507.4387,0.8415293
136,510.2398,0.8416276
137,514.3509,0.8417292
138,517.7303,0.8417687
139,520.5117,0.8418016
140,524.0412,0.8419493
141,528.0616,0.8420054
142,530.8359,0.8420205
143,534.3938,0.8421091
144,538.7105,0.842266
145,541.4795,0.8422823
146,545.543,0.8424139
147,549.2821,0.8424629
148,552.9551,0.8425173
149,555.7879,0.8426162
150,559.8586,0.8426662
151,563.845,0.8427326
152,567.6135,0.8427983
153,572.7436,0.8429089
154,576.0587,0.8429526
155,578.4451,0.8429594
156,581.3382,0.8429738
157,584.1481,0.8430114
158,587.2579,0.8430823
159,590.7168,0.8431267
160,593.8422,0.8431487
161,596.3502,0.8431698
162,598.4317,0.8432138
163,601.6418,0.8432317
164,604.8346,0.8432474
165,607.6569,0.8432939
166,610.9245,0.8433324
167,614.5925,0.843358
168,619.1109,0.8434642
169,621.5097,0.8435366
170,626.7623,0.843607
171,629.2657,0.8436263
172,631.712,0.843667
173,634.3004,0.8436885
174,638.5251,0.8437531
175,642.0128,0.8437923
176,645.2575,0.8438039
177,649.1623,0.8438571
178,651.7789,0.8438717
179,654.2021,0.843873
180,657.2257,0.8439033
181,659.7824,0.8439122
182,661.6526,0.8439337
