Iteration,Time,AUC
1,1.575911,0.6588119
2,2.852715,0.664939
3,3.868839,0.6646011
4,4.831108,0.6674941
5,5.853346,0.6674961
6,6.740105,0.6663527
7,7.876685,0.6670252
8,8.854088,0.6647111
9,9.780082,0.6648804
10,10.8023,0.6652613
11,10.86399,0.6655552
12,11.75648,0.6659864
13,12.68643,0.6668403
14,13.57137,0.6673988
15,14.6381,0.6669098
16,15.59857,0.6675353
17,16.53616,0.6692421
18,17.52428,0.6688831
19,18.53713,0.6686763
20,18.48175,0.6694557
21,19.62241,0.6687207
22,20.53797,0.6693105
23,21.46108,0.669902
24,22.41218,0.6692478
25,23.45755,0.6691471
26,24.37129,0.669146
27,25.37228,0.6693424
28,26.33803,0.6691949
29,27.27071,0.6684594
30,28.25127,0.6715554
31,28.15574,0.6706906
32,29.05706,0.6706553
33,30.0008,0.6705588
34,30.96936,0.6698377
35,31.94973,0.6708109
36,32.93287,0.6711393
37,34.00578,0.6721747
38,34.93596,0.672182
39,35.99639,0.6730202
40,36.96882,0.6731177
41,36.95515,0.6738557
42,37.93217,0.6732051
43,38.9462,0.6734148
44,39.95468,0.6741537
45,40.89277,0.6786463
46,41.96651,0.6786864
47,43.16189,0.6786219
48,44.11322,0.6795099
49,44.36075,0.6794458
50,45.36257,0.6794168
51,46.30756,0.67966
52,47.30685,0.6799579
53,48.30193,0.6791119
54,49.42969,0.679867
55,50.47342,0.6792104
56,51.54884,0.6852746
57,52.66684,0.6851672
58,53.83442,0.6868702
59,53.94068,0.687931
60,54.99599,0.6878146
61,56.07474,0.6891174
62,57.24162,0.6880981
63,58.30037,0.6877128
64,59.39906,0.6888279
65,60.47243,0.6886334
66,61.58007,0.6887143
67,62.66876,0.6887745
68,62.79361,0.6892513
69,63.96481,0.6900406
70,65.16815,0.6885504
71,66.2869,0.6886149
72,67.45391,0.688579
73,68.71237,0.6894807
74,68.86755,0.6892862
75,69.94465,0.6894523
76,71.04054,0.6894534
77,72.18843,0.6894896
78,73.3762,0.6896412
79,74.4949,0.6896029
80,75.69283,0.6899801
81,76.89587,0.6899869
82,77.04902,0.6906175
83,78.16464,0.6904375
84,79.40598,0.6930365
85,80.68297,0.6925642
86,81.76,0.6934706
87,82.93879,0.6932579
88,84.28509,0.6935077
89,85.43964,0.6934553
90,86.67116,0.6935901
91,86.97626,0.6941467
92,88.25917,0.6934494
93,89.53571,0.6936043
94,90.83174,0.6938076
95,92.05846,0.6936908
96,93.26456,0.693382
97,93.45891,0.6928689
98,94.67944,0.6932289
99,96.05239,0.6934995
100,97.3292,0.6933709
101,98.82327,0.6937301
102,100.1306,0.6941837
103,101.3113,0.6948736
104,102.6024,0.694582
105,102.9106,0.6945192
106,104.2044,0.6946062
107,105.4442,0.6952215
108,106.7673,0.6948461
109,108.018,0.6953031
110,109.4411,0.6954775
111,110.7418,0.695058
112,111.0657,0.6954258
113,112.347,0.6951809
114,113.6496,0.6951969
115,115.128,0.6955924
116,116.4163,0.6958119
117,117.7,0.6955897
118,118.1156,0.6954611
119,119.3784,0.6960458
120,120.6253,0.6957419
121,121.8321,0.6959411
122,123.3869,0.6957661
123,124.8376,0.6955935
124,126.2236,0.6967145
125,126.6246,0.6965253
126,128.0143,0.6967511
127,129.4046,0.6964496
128,130.7333,0.6965811
129,132.0784,0.6973315
130,132.4576,0.6971537
131,133.8527,0.6973542
132,135.2281,0.6975317
133,136.604,0.6976695
134,138.1276,0.6980664
135,139.5787,0.6981661
136,139.9746,0.6983391
137,141.3958,0.6979458
138,142.7968,0.6985429
139,144.2477,0.6989796
140,145.7608,0.6989053
141,146.2245,0.6995005
142,147.594,0.6995392
143,149.0291,0.6998435
144,150.2783,0.6998822
145,151.8659,0.699713
146,153.2216,0.6996954
147,153.7948,0.6992824
148,155.3712,0.6999563
149,156.9331,0.7003172
150,158.5342,0.7009579
151,160.1026,0.7005645
152,160.7834,0.7005084
153,162.2659,0.7009908
154,163.8097,0.7013028
155,165.3561,0.7017971
156,165.8911,0.7019081
157,167.5027,0.7019735
158,169.1024,0.7030247
159,170.483,0.7026697
160,171.9656,0.7027714
161,173.3955,0.7030817
162,173.8744,0.7041035
163,175.4079,0.7039514
164,177.1061,0.70467
165,178.6945,0.7040532
166,179.2829,0.7041862
167,180.9224,0.704392
168,182.6551,0.7046283
169,184.2109,0.7044312
170,185.8336,0.7043551
171,186.4781,0.7040821
172,188.068,0.7043375
173,189.6894,0.7043267
174,191.5118,0.7044846
175,193.0587,0.70448
176,193.7031,0.7044389
177,195.2812,0.7043332
178,196.8851,0.7043171
179,198.5072,0.7043812
180,199.176,0.7045405
181,200.978,0.7044746
182,202.7088,0.7048593
183,204.2827,0.7048563
184,205.8565,0.7049145
185,206.424,0.7047061
186,207.9803,0.704836
187,209.652,0.7049827
188,211.2151,0.7048191
189,212.8202,0.7045278
190,214.2333,0.7044
191,214.981,0.7043644
192,216.6781,0.704165
193,218.3869,0.7042529
194,220.1307,0.7040523
195,221.861,0.7037317
196,222.5277,0.7035651
197,224.1929,0.7035048
198,225.8782,0.7029854
199,227.7429,0.7033843
200,229.4478,0.7033536
201,230.4232,0.7037219
202,232.0478,0.7033698
203,233.7556,0.7031521
204,235.3007,0.7034338
205,237.0381,0.7030426
206,237.9513,0.7034706
207,239.6898,0.7034738
208,241.4288,0.7042474
209,243.0816,0.7041584
210,243.7466,0.704369
211,245.4295,0.7042832
212,247.1129,0.7043949
213,248.9387,0.7044556
214,250.4798,0.7044593
215,252.0426,0.7045902
216,252.7157,0.7045914
217,254.392,0.7048004
218,255.9694,0.7050711
219,257.6182,0.7051313
220,259.2513,0.7053568
221,260.8589,0.7051803
222,261.6311,0.7053414
223,263.4595,0.7051898
224,265.1914,0.7051769
225,266.9144,0.705601
226,268.6275,0.7057883
227,269.3777,0.7058498
228,271.1621,0.705999
229,273.1404,0.7066799
230,275.0152,0.7067871
231,276.7139,0.7066623
232,277.3577,0.7068099
233,279.1136,0.7073266
234,280.723,0.7073692
235,282.555,0.7079133
236,284.3875,0.7080008
237,286.1568,0.707922
238,286.9418,0.7082493
239,288.6823,0.708551
240,290.5293,0.7086883
241,292.459,0.7085071
242,294.219,0.708889
243,295.0999,0.7087258
244,296.9554,0.7086113
245,298.6734,0.70882
246,300.4738,0.708598
247,302.1491,0.7086313
248,302.993,0.7086694
249,304.7278,0.7086225
250,306.548,0.7086916
251,308.241,0.7089965
252,309.9789,0.7088209
253,311.0834,0.7088282
254,312.7829,0.7086893
255,314.6347,0.7086864
256,316.3066,0.7085133
257,317.9126,0.7084841
258,319.4958,0.708237
259,320.6181,0.7082009
260,322.4283,0.7083675
261,324.2307,0.7086515
262,325.8492,0.7085896
263,327.3977,0.7087472
264,329.1908,0.708963
265,329.862,0.7089437
266,331.5598,0.7090755
267,333.4666,0.7092823
268,335.2037,0.7092238
269,336.9396,0.7090619
270,338.6674,0.7090682
271,339.4104,0.7093838
272,341.1858,0.7093987
273,342.8654,0.7094055
274,344.5215,0.7095759
275,345.8762,0.7093827
276,347.4218,0.7093821
277,348.9678,0.7104677
278,349.7347,0.7112878
279,351.458,0.7111705
280,353.2855,0.7111149
281,354.9999,0.711205
282,356.4984,0.7111722
283,357.9545,0.7110139
284,358.7672,0.7110927
285,360.3369,0.7108223
286,361.933,0.710824
287,363.4167,0.7108289
288,364.963,0.7105354
289,366.4325,0.7106952
290,368.1154,0.7106376
291,369.5678,0.7105436
292,370.0309,0.7108355
293,371.4254,0.7106312
294,372.7272,0.7105996
295,374.1804,0.7104885
296,375.5587,0.7106178
297,376.9842,0.7104557
298,378.5761,0.7101887
299,380.2008,0.709804
300,380.7076,0.7101147
301,382.7622,0.7102441
302,384.1701,0.7104164
303,385.9252,0.7104591
304,387.7321,0.7106376
305,389.5423,0.7104621
306,391.1117,0.7102993
307,391.9322,0.7100898
308,393.5417,0.7100196
309,394.9216,0.7100254
310,396.411,0.7099967
311,398.0554,0.7100174
312,399.8504,0.7104181
313,401.1122,0.7102636
314,402.4713,0.7103634
315,403.8705,0.7102688
316,404.3362,0.7103512
317,405.7654,0.7103424
318,407.0133,0.7100234
319,408.3545,0.7098758
320,409.8928,0.7101596
321,411.314,0.7101561
322,413.0172,0.7100522
323,414.3303,0.7099195
324,415.4116,0.7098706
325,415.534,0.7097706
326,416.8955,0.7097355
327,418.5307,0.7098489
328,419.5884,0.7097718
329,421.0182,0.7098487
330,422.3202,0.7097201
331,423.4545,0.7098674
332,424.7042,0.7098621
333,426.277,0.7100683
334,427.8479,0.7101406
335,429.0764,0.7102371
336,430.4321,0.7100959
337,431.7138,0.7101064
338,431.9164,0.7098637
339,433.3564,0.7099664
340,434.4707,0.7098734
341,435.8252,0.710062
342,437.116,0.7099265
343,438.4106,0.7099954
344,439.3743,0.7097161
345,440.4667,0.7097678
346,441.5655,0.7096766
347,442.6112,0.7094015
348,444.1083,0.7093014
349,445.0618,0.7090514
350,445.6182,0.7092413
351,446.7272,0.7092225
352,447.6747,0.709091
353,449.0309,0.7091375
354,450.0932,0.7088379
355,451.3596,0.7088013
356,452.7333,0.7088745
357,453.7821,0.7089246
358,454.8008,0.7087624
359,455.7922,0.7088478
360,457.0518,0.7088908
361,458.0732,0.7086594
362,459.073,0.7085874
363,460.2304,0.7086928
364,460.4275,0.7086087
365,461.8621,0.7085816
366,463.291,0.7087603
367,464.1804,0.7085349
368,465.7809,0.7089249
369,466.8746,0.7090365
370,467.6982,0.7090739
371,468.7243,0.7089539
372,470.4265,0.7093635
373,471.2853,0.7093098
374,472.1458,0.7092149
375,472.539,0.7090837
376,473.7275,0.7091416
377,474.6043,0.709722
378,475.5053,0.7097207
379,476.4839,0.7101178
380,477.5491,0.7101104
381,478.3893,0.7098925
382,479.5551,0.7099829
383,480.5858,0.7099221
384,481.5547,0.7100724
385,482.496,0.7101703
386,483.7799,0.7100063
387,484.9025,0.7106112
388,484.994,0.7105139
389,485.8437,0.7106065
390,487.2212,0.7105016
391,488.0597,0.710494
392,489.5211,0.7104569
393,491.0558,0.7105671
394,492.2374,0.7105712
395,493.1388,0.7105862
396,494.1383,0.7107735
397,495.0453,0.7106798
398,496.0527,0.7105399
399,496.3272,0.710417
400,497.3358,0.7105084
