Iteration,Time,AUC
1,1.218633,0.6394698
2,2.386923,0.6394642
3,3.269992,0.6402076
4,4.218531,0.6521176
5,5.137703,0.6521178
6,6.069416,0.6521358
7,6.066063,0.6524123
8,7.004403,0.6524167
9,7.967528,0.6524199
10,8.874878,0.6501971
11,9.772769,0.6521816
12,10.74214,0.6549104
13,11.7059,0.652568
14,12.78373,0.652572
15,13.68436,0.6531097
16,14.64354,0.6533949
17,15.52505,0.6539549
18,16.4324,0.6539701
19,17.36137,0.6539813
20,18.3111,0.6548532
21,19.2149,0.654545
22,20.29426,0.6545387
23,21.20487,0.6539123
24,22.17012,0.6545502
25,23.04512,0.6645361
26,23.99202,0.6636216
27,24.94035,0.6645498
28,25.81299,0.6654687
29,26.85624,0.6644353
30,27.84247,0.6641648
31,28.72962,0.6643564
32,29.71397,0.6643541
33,30.61196,0.6643568
34,31.53841,0.6643115
35,32.62625,0.6651371
36,33.58121,0.6643458
37,34.51521,0.6663358
38,35.41788,0.6666247
39,36.38396,0.6662653
40,37.35042,0.6665511
41,38.26738,0.6665577
42,39.24157,0.6665762
43,40.17985,0.6676547
44,41.16084,0.66691
45,42.0936,0.6663782
46,43.1673,0.6664045
47,44.12106,0.6669202
48,45.08489,0.6669043
49,46.02676,0.6674463
50,47.09357,0.6669724
51,47.9999,0.6663597
52,48.92239,0.6662545
53,49.89813,0.6672715
54,50.86175,0.6672703
55,51.80121,0.66674
56,52.77238,0.6667482
57,53.69201,0.6666996
58,54.64023,0.6669312
59,55.65073,0.6668029
60,56.74208,0.6669031
61,56.74082,0.6684175
62,57.75462,0.6684154
63,58.70284,0.6683395
64,59.72804,0.6689464
65,60.80457,0.6681989
66,61.76965,0.6684108
67,62.7759,0.668315
68,63.74656,0.6682639
69,64.77795,0.6683943
70,65.8481,0.6682975
71,66.90291,0.6682547
72,67.88166,0.6697889
73,68.85479,0.6697282
74,69.82355,0.6697734
75,70.85354,0.6698752
76,71.85313,0.6699436
77,72.87314,0.6699168
78,73.94828,0.6699152
79,74.94016,0.6706715
80,75.97295,0.6705624
81,77.04774,0.6706706
82,78.11672,0.6706418
83,79.15974,0.671078
84,80.2854,0.6711552
85,81.4523,0.6712221
86,82.51353,0.6712163
87,83.60869,0.6713341
88,84.6762,0.6712702
89,85.75718,0.6712661
90,86.82627,0.671289
91,87.91495,0.6713245
92,89.00358,0.6717011
93,90.0815,0.6719114
94,91.09923,0.6708937
95,92.16796,0.6719565
96,93.2282,0.6723487
97,94.27688,0.6718662
98,95.30759,0.6717279
99,96.53837,0.6715483
100,97.58877,0.6717235
101,98.60521,0.6717101
102,99.75095,0.6719101
103,100.7877,0.6719073
104,101.8755,0.6718364
105,103.113,0.6715887
106,104.3576,0.6722035
107,105.5289,0.6721653
108,106.7806,0.6723122
109,107.9064,0.6726642
110,109.0748,0.6727767
111,110.2554,0.6730085
112,111.3662,0.6731642
113,112.5831,0.6727707
114,113.7288,0.6720503
115,113.8689,0.6718783
116,115.0145,0.6725327
117,116.306,0.6728379
118,117.4407,0.6730876
119,118.5696,0.6731361
120,119.7205,0.6744848
121,120.9348,0.6740046
122,122.1007,0.674502
123,123.3049,0.6747867
124,124.5262,0.6748006
125,125.7232,0.6751271
126,126.9479,0.675211
127,128.2868,0.6758646
128,129.4362,0.6760301
129,130.6339,0.6761565
130,131.7948,0.6762912
131,133.0194,0.6763418
132,134.2164,0.676362
133,135.6034,0.6762681
134,136.8169,0.6770276
135,138.0721,0.6770254
136,139.3773,0.6770669
137,140.6402,0.6769325
138,141.8963,0.678039
139,143.162,0.6770075
140,144.3793,0.6791282
141,145.5776,0.6791702
142,146.8014,0.6792099
143,147.9281,0.6792003
144,149.1816,0.6792385
145,150.3482,0.6791482
146,151.5764,0.6845516
147,152.9579,0.6846788
148,154.1243,0.6846105
149,155.4003,0.6845479
150,156.6898,0.6854736
151,157.9525,0.6856964
152,159.1583,0.6863518
153,160.4638,0.6868078
154,161.7138,0.6871864
155,163.0046,0.6873143
156,164.5264,0.6877458
157,165.8389,0.6877313
158,167.0359,0.6876759
159,168.3104,0.6877489
160,169.4911,0.6871234
161,170.776,0.6875228
162,172.0278,0.6878704
163,173.2407,0.6876553
164,174.4995,0.6883599
165,175.7166,0.6876967
166,176.9744,0.688513
167,178.3116,0.6880358
168,179.6478,0.6885478
169,180.9069,0.689252
170,182.2105,0.6891363
171,183.5525,0.6898814
172,184.857,0.6885811
173,185.1218,0.6889517
174,186.3425,0.6891743
175,187.6721,0.6886881
176,188.9449,0.6906479
177,190.1957,0.6906751
178,191.3771,0.6917985
179,192.7021,0.6916415
180,193.9639,0.6928896
181,195.2215,0.6926529
182,196.4955,0.6929333
183,197.7275,0.6930559
184,199.021,0.6927678
185,200.5386,0.6930359
186,201.9431,0.6931906
187,203.2208,0.6932203
188,204.6002,0.6947625
189,205.9285,0.6948746
190,207.2442,0.6956754
191,208.5582,0.6953365
192,209.9432,0.6952403
193,211.2253,0.695288
194,212.5352,0.6951109
195,213.8421,0.6957352
196,215.1699,0.6954103
197,216.5696,0.6954694
198,217.8777,0.6957031
199,219.3315,0.695607
200,220.668,0.6954602
201,222.0817,0.6955235
202,223.4444,0.6955085
203,224.7724,0.6962143
204,226.3549,0.6961514
205,227.7004,0.6962835
206,229.1898,0.6961952
207,230.5856,0.6963117
208,232.0028,0.6952559
209,233.5659,0.695712
210,235.0643,0.6959757
211,236.3991,0.6957827
212,237.8223,0.695671
213,239.2097,0.6960786
214,240.6823,0.6961211
215,242.0945,0.6959338
216,243.4598,0.6963489
217,244.8719,0.6963281
218,246.2855,0.6966116
219,247.7156,0.6962956
220,249.1974,0.6962072
221,250.5334,0.6962853
222,251.9478,0.6967232
223,253.2789,0.6967218
224,254.5431,0.6970869
225,255.893,0.6969538
226,257.3869,0.6975205
227,258.7553,0.6972614
228,260.1632,0.6977599
229,261.5298,0.698315
230,262.9507,0.6984727
231,263.4,0.6988978
232,264.8514,0.6990227
233,266.2363,0.6988552
234,267.7157,0.6986125
235,269.2668,0.6993866
236,270.7444,0.6991439
237,272.0107,0.699164
238,273.371,0.6993794
239,274.8568,0.6991
240,276.3268,0.6995251
241,277.8424,0.6999881
242,279.3629,0.7004262
243,280.8372,0.7007228
244,282.1328,0.7005992
245,283.5501,0.7009613
246,285.006,0.7007875
247,286.4341,0.7005742
248,287.9255,0.7008398
249,289.3116,0.7008364
250,290.6659,0.7012528
251,292.1989,0.7016145
252,293.5809,0.7014346
253,295.0957,0.7015314
254,296.3819,0.7014798
255,297.7999,0.7016199
256,299.091,0.701877
257,300.3961,0.7016622
258,301.7918,0.7016679
259,303.1349,0.7016756
260,304.4703,0.7018976
261,305.8678,0.7015727
262,307.1733,0.7017412
