Iteration,Time,AUC
1,7.002636,0.656548
2,9.346135,0.6632599
3,11.36885,0.6620234
4,13.68233,0.6615742
5,15.59243,0.6641383
6,17.55398,0.6615001
7,19.67732,0.6633632
8,21.54192,0.6643869
9,23.50487,0.6648548
10,25.53942,0.6654949
11,27.48606,0.6659471
12,29.41686,0.6658707
13,31.65056,0.6670994
14,33.67921,0.6671094
15,35.57586,0.667197
16,37.43867,0.6681849
17,39.70717,0.6686145
18,41.74792,0.6700042
19,43.57895,0.6699051
20,45.61145,0.6699561
21,47.58126,0.6699196
22,49.32814,0.6698218
23,51.17128,0.6696398
24,53.10378,0.6694248
25,55.08731,0.6694063
26,56.15736,0.6696915
27,58.00951,0.6696993
28,59.95432,0.6700551
29,62.00249,0.6701094
30,63.72125,0.6722028
31,65.71526,0.6722287
32,67.69212,0.6722133
33,69.75294,0.6716703
34,71.7419,0.6717366
35,73.53664,0.6723679
36,75.68531,0.6726402
37,77.79324,0.6728773
38,79.87544,0.6729572
39,81.79287,0.6729388
40,83.68141,0.6739004
41,85.59074,0.6738613
42,87.78772,0.6737247
43,89.88415,0.6737986
44,91.86056,0.6738029
45,93.7797,0.6741355
46,95.89752,0.6787885
47,97.98437,0.6790183
48,100.0857,0.6793388
49,101.8919,0.684018
50,103.8579,0.6841858
51,105.946,0.6842011
52,107.7339,0.6842016
53,109.7435,0.6840925
54,111.8117,0.6843519
55,113.83,0.6849428
56,115.9461,0.6850787
57,117.8746,0.685329
58,120.0274,0.6869784
59,122.1254,0.6871487
60,124.0923,0.6876323
61,126.1804,0.6876494
62,128.3688,0.6878467
63,130.427,0.688674
64,132.8436,0.6892467
65,134.8703,0.6893048
66,137.038,0.6903022
67,139.254,0.6911083
68,141.4152,0.6912836
69,143.478,0.6923867
70,145.5486,0.6928679
71,147.6567,0.6928789
72,149.7716,0.6931838
73,150.9354,0.6931185
74,153.1578,0.6927549
75,155.266,0.6926036
76,157.3895,0.6925019
77,159.6022,0.6925681
78,161.7806,0.6926214
79,163.9252,0.6926091
80,166.3707,0.6926271
81,168.7228,0.6923638
82,171.0982,0.6930568
83,173.433,0.6934814
84,175.7327,0.6949766
85,177.9524,0.6949653
86,180.3895,0.696059
87,182.7619,0.6960079
88,185.1067,0.6961376
89,187.5046,0.6962742
90,190.0147,0.6968563
91,192.5142,0.6968031
92,195.0173,0.6968416
93,197.3434,0.6968689
94,199.6733,0.6967095
95,202.144,0.6966354
96,204.7889,0.6966479
97,207.293,0.6964447
98,209.8349,0.6961946
99,212.2258,0.6962139
100,214.7916,0.6963366
101,217.7389,0.6960393
102,220.1679,0.6960422
103,222.7195,0.6968098
104,225.0591,0.6969469
105,227.5784,0.6971602
106,228.9936,0.6972394
107,231.5034,0.6976339
108,234.027,0.6977364
109,236.8077,0.6981892
110,239.3313,0.6983002
111,242.0687,0.6983829
112,244.8418,0.6989135
113,247.3644,0.6991152
114,250.0245,0.6988819
115,252.8755,0.6989142
116,255.4314,0.6990707
117,257.8957,0.6991192
118,260.5773,0.6988828
119,263.0229,0.6988649
120,265.7826,0.6989274
121,268.3902,0.6989327
122,271.0825,0.69916
123,273.8299,0.6993486
124,276.465,0.6995172
125,279.5091,0.6998521
126,282.4192,0.6998509
127,285.2343,0.6999136
128,287.9154,0.6995592
129,290.6689,0.6994665
130,293.4178,0.6996424
131,296.4225,0.7002677
132,299.2199,0.7004493
133,301.9831,0.7008228
134,304.7924,0.7004244
135,307.6999,0.7007403
136,310.6026,0.7006922
137,313.4652,0.7006578
138,316.2889,0.7010454
139,318.196,0.7013529
140,320.9896,0.7014092
141,324.0188,0.7015832
142,326.971,0.7013961
143,330.0877,0.7016185
144,333.0815,0.7016614
145,335.8067,0.7024317
146,338.6571,0.7024143
147,341.6393,0.7025846
148,344.6415,0.7027125
149,347.8232,0.7032022
150,350.9039,0.7032644
151,353.9902,0.7035483
152,357.0797,0.7039898
153,360.2874,0.7043319
154,363.3779,0.7043946
155,366.4822,0.704611
156,369.6251,0.7048788
157,372.7815,0.705293
158,376.1526,0.7063849
159,379.1573,0.707206
160,382.2563,0.7073722
161,385.2618,0.7074817
162,388.3665,0.707616
163,391.3894,0.7082312
164,394.5694,0.7083495
165,397.6142,0.7079845
166,400.8814,0.7077713
167,403.8892,0.7074827
168,407.1758,0.7074456
169,410.2859,0.7073478
170,412.6226,0.7073472
171,415.8844,0.7071834
172,419.1462,0.7070804
173,422.6021,0.7071767
174,426.1235,0.7073165
175,429.4075,0.7075223
176,432.8216,0.7075133
177,436.0114,0.7084191
178,439.3474,0.7088183
179,442.5545,0.7087341
180,445.934,0.7084767
181,449.2143,0.7084751
182,452.4966,0.7085017
183,455.9066,0.7084893
184,459.3684,0.7081372
185,462.7346,0.7083143
186,466.2854,0.7078403
187,469.8554,0.7077026
188,473.2321,0.7077987
189,476.7382,0.7077937
190,480.2231,0.7075667
191,484,0.7077699
192,487.711,0.7083352
193,491.3434,0.7088157
194,494.7657,0.7086499
195,498.4386,0.7089615
196,502.2125,0.7089186
197,505.7202,0.7096318
198,508.5325,0.7094859
199,512.1147,0.7094722
200,515.9269,0.7094105
201,519.7998,0.7088708
202,523.7109,0.7096664
203,527.3763,0.709078
204,531.066,0.7091075
205,534.8602,0.7084533
206,538.3335,0.7083693
207,542.2115,0.7079404
208,546.0736,0.7080887
209,549.6347,0.7083082
210,553.3809,0.7083316
211,557.6967,0.7087219
212,561.9825,0.7095852
213,565.8888,0.7091958
214,569.6765,0.7097363
215,573.8412,0.7101347
216,577.9615,0.7098989
217,582.1417,0.7094924
218,586.2461,0.7095118
219,589.9312,0.709538
220,593.621,0.7095673
221,597.547,0.7095811
