Iteration,Time,AUC
1,19.19592,0.7981521
2,39.04057,0.8064452
3,57.80397,0.8112047
4,77.52714,0.8144342
5,96.07906,0.8172043
6,115.4361,0.8195232
7,134.8226,0.8214822
8,153.5057,0.8231328
9,172.8906,0.8247959
10,190.7848,0.8265406
11,209.9264,0.8278265
12,228.0888,0.8293925
13,247.097,0.830476
14,265.3663,0.8318652
15,282.5387,0.8326904
16,300.2712,0.8336566
17,318.5411,0.8344794
18,335.2329,0.8352158
19,352.1693,0.8358203
20,369.3826,0.836442
21,386.615,0.8370342
22,404.3528,0.8378094
23,421.5038,0.8385599
24,438.2085,0.8389163
25,454.8853,0.8394956
26,470.6993,0.8398296
27,486.826,0.8402012
28,503.0293,0.8405492
29,520.019,0.8411004
30,535.8533,0.8413219
31,551.5508,0.8416164
32,567.2331,0.841875
33,582.9459,0.8421864
34,598.7367,0.8424553
35,612.7556,0.8426565
36,627.4829,0.8428196
37,641.862,0.8430038
38,656.2269,0.8431879
39,667.7432,0.8432609
40,682.7316,0.843421
41,697.5825,0.8436945
42,712.0492,0.8438342
43,727.6367,0.8440781
44,736.384,0.8440974
45,745.7831,0.844094
46,758.2221,0.8441293
47,770.9751,0.8442568
48,781.741,0.8443479
49,790.3378,0.8443813
50,803.7947,0.8444465
51,812.6993,0.844425
52,820.7696,0.8443816
53,828.7692,0.8443897
54,837.7978,0.8443855
55,845.7484,0.8443868
56,853.6386,0.844379
57,861.9667,0.8443668
58,873.5831,0.8444202
59,883.1092,0.8444236
60,892.4922,0.8444327
61,903.876,0.8444507
62,917.1444,0.8445197
63,925.7331,0.8445032
64,933.392,0.8445029
65,941.8416,0.844515
66,950.1301,0.8444956
67,959.4542,0.8444848
68,969.2643,0.8445145
69,979.8799,0.8445531
70,989.2892,0.8445759
71,996.7071,0.8445806
72,1005.281,0.8445402
73,1017.776,0.8446596
74,1025.572,0.8446505
75,1039.007,0.8446498
76,1046.981,0.8446343
77,1055.644,0.8446363
78,1063.563,0.8446253
79,1078.314,0.8448692
80,1087.018,0.8448336
81,1093.974,0.8448096
82,1103.264,0.8448049
83,1115.29,0.844827
