Iteration,Time,AUC
1,2.30171,0.744055
2,4.690501,0.7528131
3,6.709351,0.7617502
4,9.078938,0.768328
5,11.24964,0.7730982
6,13.62103,0.7785883
7,15.69262,0.7820326
8,16.9802,0.7859504
9,18.99846,0.7884041
10,21.04168,0.790503
11,23.19327,0.7926558
12,25.07681,0.7943594
13,27.23046,0.7958207
14,29.48042,0.7972014
15,31.54918,0.798139
16,33.68113,0.7994692
17,35.63517,0.8003042
18,37.59604,0.8010368
19,39.64136,0.8017091
20,41.74272,0.8024834
21,43.69164,0.8030687
22,45.63155,0.803714
23,46.61527,0.8043067
24,48.6322,0.8048688
25,50.54914,0.8052147
26,52.49812,0.8055945
27,54.75936,0.8066877
28,56.81958,0.8072824
29,58.71447,0.807609
30,60.63243,0.8078828
31,62.34366,0.8081526
32,64.52502,0.8089243
33,66.48775,0.8092862
34,68.32652,0.8094918
35,70.51918,0.8102495
36,72.2979,0.810502
37,74.24906,0.8107674
38,76.35139,0.811262
39,77.98174,0.8114152
40,78.92666,0.811673
41,80.89299,0.8119341
42,82.75076,0.812047
43,84.59699,0.8122184
44,86.81936,0.8127231
45,88.81069,0.812945
46,90.823,0.8134499
47,92.82487,0.8136827
48,94.65921,0.8138025
49,96.17465,0.8138605
50,98.18053,0.8140189
51,100.0956,0.8141963
52,102.2735,0.8147242
53,104.3291,0.8150232
54,106.3532,0.8153511
55,108.083,0.8154643
56,109.8242,0.8156751
57,110.546,0.8158868
58,112.3838,0.8160009
59,114.5356,0.8163839
60,116.368,0.816514
61,118.207,0.8167054
62,120.0934,0.8168605
63,122.0649,0.8170079
64,123.9432,0.817151
65,125.6216,0.817229
66,127.6206,0.8174831
67,129.6799,0.8177802
68,131.4419,0.8180902
69,133.6246,0.8185249
70,135.9477,0.8187348
71,137.8026,0.8188596
72,139.8002,0.8190354
73,140.5376,0.8191347
74,142.5472,0.8193731
75,144.5974,0.8195267
76,146.4905,0.8196409
77,148.0694,0.8196847
78,149.7449,0.8197132
79,151.2525,0.8197914
80,152.9621,0.8198642
81,154.7627,0.819979
82,156.6558,0.8201513
83,158.6539,0.8204744
84,160.6971,0.8206098
85,162.8057,0.8207884
86,164.8318,0.8210324
87,166.4855,0.8210872
88,168.0928,0.8211303
89,169.8233,0.8211879
90,170.9759,0.8214537
91,172.8449,0.8215893
92,174.3577,0.8216492
93,176.0846,0.8217076
94,177.6755,0.8217657
95,179.4064,0.8218928
96,181.1221,0.8219401
97,182.8453,0.8219994
98,184.6955,0.8221028
99,186.6169,0.8221859
100,188.5101,0.8223813
101,190.6361,0.822569
102,192.4323,0.822642
103,194.1116,0.822681
104,196.5235,0.8228769
105,198.4365,0.8231
106,199.3843,0.8231985
107,201.3457,0.8234013
108,203.3501,0.8235528
109,205.0743,0.8236733
110,207.043,0.8239153
111,208.8259,0.8240374
112,210.8052,0.8241776
113,212.9337,0.8243573
114,214.9406,0.8243937
115,216.4952,0.8244196
116,218.4781,0.8244594
117,220.0042,0.824491
118,221.6638,0.8245254
119,223.3407,0.8245634
120,224.8738,0.8246085
121,226.5986,0.8246508
122,228.4836,0.8246878
123,230.3006,0.8248163
124,231.9735,0.8248555
125,233.9499,0.824984
126,235.6642,0.825035
127,237.6895,0.825123
128,238.8417,0.8253822
129,240.8035,0.8254488
130,242.6581,0.8255281
131,244.2183,0.8255532
132,246.0973,0.8256235
133,247.5742,0.8256357
134,249.1918,0.8256754
135,250.9723,0.8257184
136,253.005,0.8258015
137,254.6451,0.8258384
138,256.5189,0.8259808
139,258.4977,0.826088
140,260.1992,0.8261121
141,262.1529,0.826195
142,263.5945,0.8262098
143,265.2964,0.826237
144,267.4419,0.8263444
145,269.2691,0.8263707
146,271.461,0.8265016
147,272.3505,0.8265523
148,274.2716,0.8266871
149,275.895,0.8267269
150,278.1494,0.8268831
151,280.2235,0.8269752
152,281.9503,0.8270189
153,283.6074,0.8270706
154,285.4299,0.827173
155,287.3529,0.827283
156,289.5488,0.827389
157,291.3542,0.8274623
158,293.1642,0.8275009
159,294.8497,0.8275325
160,296.6922,0.8275892
161,298.5509,0.8276142
162,300.3129,0.8276381
163,302.5598,0.8277975
164,304.444,0.8278265
165,306.5119,0.8279553
166,307.4212,0.8280177
167,308.8962,0.8280296
168,310.8774,0.8280886
169,312.7683,0.8281603
170,314.5134,0.8282071
171,316.4889,0.8282963
172,317.8804,0.8283133
173,319.3391,0.8283333
174,321.0955,0.8283449
175,322.6557,0.8283557
176,324.3786,0.8283791
177,325.9056,0.8283877
178,327.5034,0.8284035
179,329.2798,0.8284364
180,330.6702,0.8285262
181,332.9594,0.8285997
182,334.9775,0.8287222
183,336.6567,0.8287543
184,338.3281,0.8287778
185,339.9952,0.8287925
186,341.6466,0.8288002
187,343.526,0.8288468
188,345.1497,0.828866
189,346.8889,0.8289135
190,348.601,0.8289434
191,350.4279,0.828979
192,352.299,0.8290358
193,354.4375,0.8291309
194,356.3896,0.8292315
195,358.4076,0.8293856
196,360.2174,0.8294284
197,361.0451,0.8294951
198,362.9146,0.8295682
199,364.5985,0.829616
200,366.3518,0.8296916
201,367.9589,0.8297366
202,369.7423,0.8297847
203,371.6875,0.8298373
204,373.3036,0.8298703
205,374.865,0.8298808
206,376.6667,0.8299361
207,378.0904,0.8299437
208,379.7782,0.8299632
209,381.8948,0.830092
210,383.8298,0.8301635
211,386.0071,0.8302337
212,387.8014,0.8302717
213,389.8602,0.8303407
214,391.6908,0.8303923
215,393.1586,0.8304021
216,394.0021,0.8304255
217,396.0646,0.8305418
218,398.0205,0.8306315
219,399.6776,0.8306836
220,401.5329,0.8307441
221,403.3767,0.8307912
222,405.2199,0.8308557
223,407.3659,0.8309303
224,409.3434,0.8310138
225,410.991,0.8310303
226,413.1416,0.8310929
227,414.9085,0.8311251
228,416.8706,0.831172
229,418.471,0.8311836
230,420.5074,0.8312283
231,422.3903,0.8313015
232,423.4227,0.8313705
233,424.9124,0.8313767
234,426.7037,0.8314019
235,428.6277,0.8314568
236,430.757,0.8315675
237,432.5981,0.831633
238,434.33,0.8316773
239,436.6555,0.8317475
240,438.483,0.8317725
241,440.3676,0.8318301
242,442.1293,0.8318748
243,443.6452,0.8318868
244,445.3822,0.8319073
245,447.4466,0.8319388
246,449.2766,0.8319731
247,450.9694,0.8320234
248,452.6014,0.8320408
249,454.3154,0.8320623
250,455.1685,0.8320885
251,457.3402,0.8321329
252,459.5941,0.8322286
253,461.3814,0.8322811
254,463.2354,0.8323267
255,465.1713,0.8323787
256,467.0278,0.8324023
257,468.9232,0.8324425
258,470.7727,0.8324802
259,472.8579,0.8325277
260,474.8142,0.8326051
261,476.6905,0.8326517
262,478.418,0.8326742
263,479.9867,0.8326865
264,482.1801,0.8327341
265,483.9383,0.8327546
266,485.8347,0.8327799
267,487.5543,0.8327941
268,488.1718,0.8328221
269,489.7374,0.8328375
270,491.7437,0.8329068
271,493.5945,0.8329299
272,495.7883,0.8330327
273,497.4708,0.8330648
274,499.3482,0.8330995
275,501.2904,0.8331538
276,503.2075,0.8331826
277,504.8262,0.8331932
278,506.5438,0.8332024
279,508.1449,0.8332238
280,509.8974,0.8332309
281,511.6645,0.8332727
282,513.3998,0.8332957
283,515.2469,0.8333377
284,516.8724,0.8333432
285,518.3858,0.8333633
286,520.3606,0.8333944
287,522.1543,0.8334177
288,523.7383,0.8334267
289,525.5414,0.8334588
290,526.4735,0.8335039
291,528.5849,0.83355
292,530.3755,0.8335973
293,532.2532,0.8336537
294,534.3179,0.8336826
295,536.2782,0.8337376
296,538.2931,0.8337632
297,540.1198,0.8337936
298,542.2337,0.8338268
299,543.7977,0.8338424
300,545.8688,0.8338825
301,547.5326,0.8338894
302,549.3622,0.8339278
303,551.3669,0.8339733
304,553.3181,0.8340185
305,554.2709,0.8340594
306,556.1539,0.8340889
307,558.1324,0.8341232
308,560.1914,0.8341917
309,562.1546,0.8342267
310,564.1646,0.8342595
311,565.6708,0.8342673
312,567.416,0.834286
313,569.3722,0.8343331
314,571.0916,0.8343359
315,572.831,0.834343
316,574.7235,0.8344069
317,576.5923,0.8344452
318,578.5007,0.8344786
319,579.0595,0.8344894
320,580.5765,0.8345008
321,582.1031,0.8345093
322,584.1985,0.834578
323,586.0313,0.8346085
324,587.7756,0.8346192
325,589.4706,0.8346409
326,591.1975,0.8346632
327,592.8112,0.8346649
328,594.7678,0.8346952
329,596.8235,0.8348109
330,598.8187,0.8348829
331,600.5359,0.8348956
332,602.4678,0.8349204
333,604.4681,0.8349452
334,606.7667,0.8350362
335,607.7425,0.8350698
336,609.7952,0.8351053
337,611.4449,0.8351158
338,613.1558,0.8351303
339,615.3822,0.8351478
340,617.2122,0.8351899
341,619.1883,0.8352346
342,621.0092,0.8352765
343,622.9368,0.8352935
344,624.4374,0.8352912
345,626.138,0.8353043
346,628.3794,0.8353854
347,629.3914,0.8354142
348,631.092,0.8354367
349,633.2931,0.8354658
350,634.9981,0.8354757
351,636.8763,0.8355082
352,638.8382,0.8355443
353,640.9236,0.8355935
354,642.6235,0.835627
355,644.5698,0.8356778
356,646.4362,0.8357082
357,648.0961,0.8357243
358,650.2002,0.8357522
359,651.8083,0.8357616
360,653.8018,0.83579
361,655.3828,0.8358035
362,657.2927,0.8358187
363,658.9995,0.8358259
364,659.7333,0.8358357
365,661.4745,0.835856
366,663.3214,0.8358716
367,665.246,0.8358889
368,667.2158,0.8359124
369,669.1306,0.8359553
370,671.0016,0.8359839
371,672.6184,0.8360098
372,674.5856,0.8360617
373,676.3162,0.8360789
374,678.2836,0.8361207
375,680.203,0.836135
376,682.1107,0.83615
377,684.1603,0.8361896
378,685.8566,0.8361973
379,687.6211,0.8362154
380,689.4568,0.8362449
381,691.5138,0.8362723
382,693.096,0.8362765
383,694.7082,0.8362836
384,696.3857,0.8362935
385,696.8806,0.8362985
386,698.5303,0.8363015
387,699.9597,0.8362994
388,701.7905,0.8363202
389,703.7393,0.8363439
390,705.472,0.8363587
391,707.2943,0.8363848
392,709.0026,0.8364074
393,710.8451,0.8364328
394,712.3743,0.8364424
395,714.0669,0.8364491
396,715.5356,0.8364549
397,717.201,0.8364591
398,718.9642,0.8364727
399,720.5679,0.8364777
400,722.4191,0.8364909
401,724.0909,0.8365169
402,725.0139,0.8365395
403,726.8704,0.8365609
404,728.7791,0.836575
405,730.4458,0.8365901
406,732.2965,0.8366086
407,734.217,0.8366397
408,736.2241,0.8366507
409,738.1098,0.8366973
410,740.0381,0.8367238
411,741.6761,0.8367363
412,743.2307,0.8367442
413,745.2213,0.8368267
414,747.3054,0.8368413
415,749.0213,0.8368576
416,750.9339,0.8368868
417,752.7282,0.8369283
418,754.6757,0.8369666
419,756.5068,0.8369817
420,757.5712,0.8370061
421,759.5099,0.8370471
422,761.3595,0.8370702
423,763.3197,0.8370932
424,765.4196,0.8371265
425,767.3267,0.8371465
426,769.3038,0.8371776
427,770.9107,0.8371902
428,772.6739,0.8371996
429,774.6011,0.8372077
430,776.3925,0.8372217
431,778.3113,0.837245
432,780.069,0.8372594
433,781.9857,0.8372709
434,782.475,0.8372765
435,784.2323,0.8372929
436,786.1153,0.8373414
437,788.1163,0.8373764
438,790.2848,0.8374269
439,792.2777,0.837446
440,794.2551,0.8374559
441,796.4329,0.8375031
442,798.5456,0.8375331
443,800.2076,0.837538
444,801.9451,0.8375449
445,803.7999,0.8375738
446,805.5457,0.8375926
447,807.5991,0.8376169
448,809.1555,0.8376225
449,810.8115,0.8376392
450,811.7774,0.8376757
451,813.5157,0.8376967
452,815.3304,0.8377148
453,817.2466,0.8377238
454,818.9884,0.8377443
455,820.5526,0.8377487
456,822.2199,0.8377517
457,823.8205,0.8377575
458,825.6266,0.8377659
459,827.3068,0.837787
460,828.8948,0.837795
461,830.8768,0.8378334
462,832.8895,0.837865
463,834.8502,0.8378788
464,836.5562,0.8378834
465,838.3307,0.8378922
466,840.1867,0.8378997
467,842.2129,0.8379292
468,843.1432,0.8379499
469,845.078,0.8379818
470,847.0139,0.8379989
471,848.9315,0.8380149
472,850.9136,0.8380222
473,852.6589,0.8380348
474,854.3546,0.8380386
475,856.5792,0.8380696
476,858.4937,0.8380931
477,860.1086,0.8381231
478,861.7622,0.8381293
479,863.4065,0.8381338
480,864.9735,0.8381463
481,866.8247,0.8381565
482,868.6267,0.8381706
483,870.5369,0.8381858
484,872.5103,0.8382024
485,873.2696,0.8382243
486,875.3995,0.8382466
487,876.8332,0.8382466
488,878.4339,0.8382606
489,880.2228,0.8382661
490,881.7775,0.8382661
491,883.4165,0.8382671
492,885.1651,0.8382743
493,886.5424,0.8382764
494,888.1469,0.8382749
495,890.0281,0.8382949
496,891.8765,0.8383121
497,893.4931,0.8383163
498,895.3682,0.8383346
499,897.4359,0.8383426
500,899.0179,0.8383457
501,900.1738,0.8383588
502,901.9728,0.8383668
503,903.4717,0.838367
504,905.3725,0.8383734
505,907.1332,0.838378
506,909.0912,0.8384085
507,910.7319,0.8384142
508,912.8983,0.8384405
509,914.3924,0.8384479
510,916.1987,0.8384591
511,918.1293,0.8384807
512,919.8337,0.8384865
513,921.6287,0.8385078
514,922.234,0.8385116
515,924.1602,0.8385261
516,925.7374,0.8385285
517,927.4807,0.8385352
518,928.967,0.8385373
519,930.7978,0.838556
520,932.2523,0.8385583
521,933.8884,0.8385596
522,935.5622,0.8385696
523,937.0641,0.8385827
524,938.7041,0.8385891
525,940.1304,0.8385911
526,941.7291,0.8386044
527,943.4145,0.8386092
528,944.8058,0.83861
529,946.051,0.8386101
530,947.1559,0.8386101
531,948.2924,0.8386101
532,949.4531,0.8386101
533,950.6504,0.8386101
534,951.8485,0.8386101
535,953.0361,0.8386101
536,954.2431,0.8386101
537,955.3237,0.8386101
538,955.4659,0.8386101
539,956.6114,0.8386101
540,957.8618,0.8386101
541,959.0878,0.8386101
542,960.3349,0.8386101
543,961.4186,0.8386101
544,962.7386,0.8386101
545,963.9889,0.8386101
546,965.1785,0.8386101
547,966.3624,0.8386101
548,967.4949,0.8386101
549,968.7903,0.8386101
550,969.9285,0.8386101
551,971.159,0.8386101
552,972.3965,0.8386101
553,973.4689,0.8386101
554,974.6015,0.8386101
555,975.7473,0.8386101
556,976.8573,0.8386101
557,977.9931,0.8386101
558,979.3518,0.8386101
559,980.6462,0.8386101
560,981.859,0.8386101
561,982.9606,0.8386101
562,984.0885,0.8386101
563,985.3054,0.8386101
564,986.4777,0.8386101
565,987.5823,0.8386101
566,988.8288,0.8386101
567,988.9429,0.8386101
568,990.1165,0.8386101
569,991.3936,0.8386101
570,992.6319,0.8386101
571,993.7821,0.8386101
572,994.9059,0.8386101
573,995.9828,0.8386101
574,997.1842,0.8386101
575,998.3392,0.8386101
576,999.5579,0.8386101
577,1000.629,0.8386101
578,1001.804,0.8386101
579,1003.032,0.8386101
580,1004.145,0.8386101
581,1005.335,0.8386101
582,1006.449,0.8386101
583,1007.536,0.8386101
584,1008.658,0.8386101
585,1009.814,0.8386101
586,1010.98,0.8386101
587,1012.108,0.8386101
588,1013.458,0.8386101
589,1014.618,0.8386101
590,1015.846,0.8386101
591,1016.991,0.8386101
592,1018.116,0.8386101
593,1019.252,0.8386101
594,1020.429,0.8386101
595,1021.588,0.8386101
596,1022.806,0.8386101
597,1023.975,0.8386101
598,1025.344,0.8386101
599,1026.596,0.8386101
600,1027.838,0.8386101
601,1029.098,0.8386101
602,1029.268,0.8386101
603,1030.483,0.8386101
604,1031.734,0.8386101
605,1032.976,0.8386101
