Iteration,Time,AUC
1,1.334484,0.6404959
2,2.212608,0.6538554
3,2.857297,0.6534574
4,3.491522,0.6544507
5,4.085268,0.6639691
6,4.757757,0.6685318
7,5.394269,0.6695
8,6.066702,0.6692719
9,6.740466,0.6686628
10,6.390921,0.6672025
11,7.060278,0.6666811
12,7.670732,0.6667374
13,8.306938,0.6697242
14,8.935135,0.6689353
15,9.539828,0.6723438
16,10.20922,0.6724861
17,10.86497,0.6723923
18,11.39623,0.6728387
19,12.05295,0.6731277
20,12.79232,0.6726103
21,13.40606,0.6728635
22,14.0631,0.673719
23,14.68685,0.6731861
24,15.37852,0.6733334
25,16.0555,0.6729263
26,16.76471,0.6727861
27,17.38674,0.6726918
28,18.06185,0.6748638
29,18.86186,0.6753535
30,19.54534,0.676675
31,20.15946,0.6768084
32,20.81327,0.6772902
33,21.48826,0.6774252
34,21.22167,0.6774241
35,21.90676,0.6774638
36,22.55737,0.6772065
37,23.21442,0.6772219
38,23.91721,0.6774437
39,24.60833,0.6767244
40,25.27313,0.676228
41,25.92563,0.6764017
42,26.6105,0.6767891
43,27.33199,0.6767495
44,28.02368,0.6765988
45,28.78553,0.6771644
46,29.56011,0.6766853
47,30.26759,0.676607
48,30.95384,0.6762847
49,31.60206,0.6771864
50,32.38381,0.6770463
51,33.09002,0.6769204
52,33.82047,0.676339
53,33.56977,0.6764238
54,34.23602,0.6767843
55,34.88966,0.6789249
56,35.57901,0.6786391
57,36.35647,0.6797831
58,37.19787,0.6795923
59,37.91736,0.6796624
60,38.66611,0.6795646
61,39.40031,0.6795157
62,40.17539,0.6819445
63,41.00974,0.6817805
64,41.73491,0.6814438
65,42.51006,0.6822381
66,43.2447,0.6827829
67,43.97783,0.6823645
68,44.73482,0.6837801
69,45.48358,0.6838774
70,46.24266,0.6843806
71,47.01822,0.6846252
72,47.77773,0.6839452
73,48.53211,0.6843535
74,49.30343,0.6854417
75,50.21084,0.6857988
76,50.03135,0.684541
77,50.91157,0.6888405
78,51.75407,0.6874271
79,52.50872,0.6879644
80,53.27315,0.6916798
81,54.09878,0.6923752
82,54.91515,0.6935938
83,55.70879,0.6937991
84,56.49034,0.6949558
85,57.43272,0.6948686
86,58.24291,0.6968605
87,59.07054,0.6965929
88,59.87179,0.6963527
89,60.65825,0.6962236
90,61.51831,0.695419
91,62.27479,0.6960773
92,63.08042,0.6957895
93,63.79423,0.6959357
94,64.48843,0.6955732
95,65.21119,0.6963115
96,66.09436,0.6964215
97,66.89352,0.696306
98,66.69324,0.6965756
99,67.57899,0.6974884
100,68.47894,0.6972976
101,69.28711,0.6975687
102,70.15464,0.6988679
103,70.97613,0.6981212
104,71.80904,0.6989805
105,72.64114,0.6980138
106,73.47033,0.6975951
107,74.36455,0.6978863
108,75.19214,0.6983594
109,76.07029,0.6983286
110,76.87239,0.6988386
111,77.63322,0.6988694
112,78.46639,0.6989642
113,79.39217,0.6989307
114,80.26088,0.6991368
115,81.19028,0.7009024
116,82.04448,0.7007992
117,82.87288,0.7005939
118,83.632,0.7011003
119,84.52407,0.7012137
120,85.46528,0.701474
121,85.3855,0.7019358
122,86.33268,0.7024061
123,87.18208,0.7027796
124,88.12321,0.7035168
125,89.08409,0.7031071
126,89.86456,0.7048087
127,90.77457,0.704607
128,91.58787,0.7040741
129,92.32675,0.704926
130,93.17295,0.7049035
131,94.04254,0.7050228
132,94.82167,0.7047423
133,95.58065,0.7044573
134,96.41792,0.7042282
135,97.29204,0.7040963
136,98.06324,0.7044976
137,98.75032,0.7047156
138,99.63697,0.7046517
139,100.402,0.705009
140,101.2558,0.7042896
141,102.1828,0.7037871
142,103.0501,0.7046648
143,103.8351,0.7044805
144,104.7278,0.7047096
145,105.6657,0.7041887
146,106.4827,0.7041214
147,106.2654,0.704307
148,107.1034,0.7036766
149,107.9367,0.7041882
150,108.7579,0.703613
151,109.5036,0.703419
152,110.2956,0.7033687
153,111.0455,0.7035576
154,111.8362,0.7032918
155,112.6116,0.7030623
156,113.4366,0.7036389
157,114.1853,0.703162
158,115.002,0.702996
159,115.7596,0.702595
160,116.4793,0.702844
161,117.2791,0.7032499
162,118.0608,0.7031083
163,118.8396,0.70333
164,119.6652,0.704049
165,120.424,0.7038344
166,121.1079,0.703572
167,121.8889,0.7034352
168,122.6993,0.7041436
169,123.4837,0.7037572
170,124.0484,0.7041929
171,124.8548,0.7044185
172,125.4336,0.7043401
173,126.3371,0.703957
174,127.3294,0.7039431
175,128.1645,0.7040228
176,128.087,0.7040854
177,128.7732,0.7038688
178,129.4515,0.7040178
179,130.2627,0.7038138
180,131.1026,0.7038221
181,131.712,0.7034783
182,132.6557,0.7041849
183,133.413,0.7040337
184,134.1626,0.7042545
185,134.8199,0.7041074
186,135.5099,0.7039533
187,136.4148,0.7040976
188,137.1779,0.7039488
189,138.0918,0.7049119
190,138.7466,0.705084
191,139.5004,0.7051636
192,140.2276,0.7052631
193,140.9858,0.7054397
194,141.7893,0.7054951
195,142.4516,0.7054328
196,143.0617,0.7060476
197,143.9276,0.7054944
198,144.7204,0.7053364
199,144.4635,0.7057466
200,145.1585,0.705955
201,145.9566,0.7062457
202,146.6104,0.7062198
203,147.3456,0.70608
204,147.8998,0.7063654
205,148.5292,0.7064104
206,149.3737,0.7068999
207,150.0208,0.7067676
208,150.6702,0.706969
209,151.3383,0.7071086
210,152.1868,0.7065203
211,152.7793,0.7064851
212,153.4499,0.7067179
213,154.3581,0.7066361
214,155.1393,0.7067155
215,155.9649,0.7065002
216,156.5418,0.7065625
217,157.2005,0.7070179
218,157.8598,0.7068659
219,158.4891,0.7068203
220,159.2484,0.7066919
221,160.0209,0.7068922
222,160.662,0.7067791
223,161.2787,0.706739
224,161.8568,0.706524
225,162.6032,0.7066585
226,163.413,0.7073088
227,164.0068,0.7074094
228,164.7217,0.7072217
229,165.4264,0.7073234
230,166.0714,0.7073706
231,166.7864,0.7072919
232,167.7015,0.7075103
233,168.2718,0.707253
234,168.1731,0.7081278
235,168.9784,0.7084826
236,169.7022,0.7085922
237,170.3135,0.7086898
238,171.061,0.7086022
239,171.6492,0.7086228
240,172.3609,0.7087981
241,173.016,0.7088418
242,173.6331,0.7091887
243,174.3275,0.7090341
244,175.0897,0.7090614
245,175.7951,0.7093047
246,176.4481,0.709334
247,177.2372,0.7093836
248,177.9716,0.7093956
249,178.604,0.7093509
250,179.2451,0.7090574
251,180.2282,0.7092534
252,181.0233,0.7091594
253,181.6388,0.7092678
254,182.3294,0.7093235
255,183.0132,0.7092537
256,183.6245,0.7090707
257,184.2939,0.7092968
258,185.0131,0.7093633
259,185.8062,0.7091802
260,186.5349,0.7092684
261,186.2441,0.709887
262,187.047,0.7097532
263,187.7501,0.7097357
264,188.4195,0.7097633
265,189.0618,0.7096843
266,189.9159,0.7093778
267,190.4829,0.7095015
268,191.1454,0.7094324
269,191.8347,0.7097759
270,192.524,0.7097364
271,193.4252,0.7098265
272,194.0846,0.709811
273,194.858,0.7102929
274,195.5248,0.7102753
275,196.2821,0.7101971
276,196.9356,0.7100831
277,197.6278,0.7099006
278,198.2472,0.7105089
279,199.1852,0.7108333
280,199.9315,0.7105533
281,200.5503,0.7104725
282,201.3457,0.7104879
283,202.0506,0.7101352
284,202.7442,0.7102615
285,203.5174,0.7105145
286,204.1385,0.7106307
287,204.7923,0.7104635
288,205.506,0.7104894
289,206.1471,0.7101733
290,205.8521,0.7100931
291,206.547,0.7101238
292,207.2978,0.7104657
293,207.9828,0.7101839
294,208.8572,0.7100144
295,209.5391,0.7101997
296,210.3704,0.7099508
297,211.0073,0.7099286
298,211.681,0.710176
299,212.346,0.7102338
300,213.1608,0.7103477
301,213.8171,0.7102486
302,214.549,0.7104499
303,215.2686,0.7099107
304,215.8387,0.7098958
305,216.795,0.710293
306,217.538,0.7107036
307,218.378,0.7108101
308,218.9847,0.7108857
309,219.7491,0.7107458
310,220.3406,0.7106941
311,221.0755,0.7108727
312,221.7573,0.7108966
313,222.4443,0.7109255
314,223.1533,0.7108363
