Iteration,Time,AUC
1,1.255172,0.7108598
2,2.745328,0.7223641
3,4.362304,0.732448
4,5.810558,0.7400834
5,7.284055,0.7451471
6,8.827094,0.7544334
7,10.1901,0.7587681
8,11.7822,0.763882
9,12.51804,0.7678537
10,13.99866,0.7707123
11,15.44825,0.7738217
12,16.8978,0.7748655
13,18.44445,0.7773424
14,19.90574,0.7787698
15,21.40692,0.7799677
16,22.86424,0.7815727
17,24.557,0.7825231
18,26.01432,0.7837147
19,27.55706,0.7843103
20,29.36799,0.7856607
21,30.89301,0.7865436
22,32.41791,0.7871565
23,33.87772,0.7880017
24,35.34857,0.7886476
25,36.91604,0.7894732
26,38.39636,0.7901034
27,39.97896,0.7911019
28,41.3333,0.7915695
29,42.92627,0.7921517
30,44.33924,0.792623
31,45.73994,0.7934495
32,47.3012,0.7939829
33,48.79746,0.7943929
34,50.33944,0.7947886
35,50.89889,0.7952665
36,52.48546,0.7961148
37,53.79321,0.7964527
38,55.32923,0.7967098
39,56.73371,0.7968079
40,58.28924,0.7973033
41,59.86615,0.7975689
42,61.32906,0.7978751
43,62.83431,0.7982909
44,64.2756,0.7984402
45,65.69306,0.7986653
46,67.23369,0.799074
47,68.66191,0.7992258
48,69.98833,0.7993742
49,71.32252,0.7995175
50,72.84919,0.7996675
51,74.26891,0.7997902
52,75.69541,0.7999215
53,77.36082,0.8003692
54,78.84962,0.8008547
55,80.33133,0.8011702
56,81.71976,0.8013923
57,83.06427,0.8015404
58,84.5257,0.8016504
59,85.92703,0.8017843
60,87.29359,0.8018974
61,87.78251,0.8019325
62,89.03179,0.8021431
63,90.40351,0.8022635
64,91.97989,0.8025397
65,93.75193,0.8027385
66,95.05756,0.8028043
67,96.51852,0.8029807
68,97.8395,0.8031396
69,99.2693,0.8032507
70,100.7828,0.8034556
71,102.1015,0.8037615
72,103.6269,0.8041411
73,105.1474,0.8042826
74,106.4233,0.8044157
75,107.6903,0.8044965
76,109.0617,0.8046341
77,110.5957,0.8049533
78,112.0752,0.8050904
79,113.532,0.8052499
80,114.8961,0.8052873
81,116.296,0.805393
82,117.6773,0.8055068
83,119.1806,0.8056172
84,120.6008,0.8057447
85,122.1839,0.8060021
86,122.5669,0.8063303
87,124.0408,0.806593
88,125.5631,0.8068285
89,126.8442,0.8068965
90,128.2359,0.8069211
91,129.7701,0.8069947
92,131.1935,0.8070651
93,132.7474,0.8072233
94,134.3315,0.8073187
95,135.927,0.8076354
96,137.431,0.8078482
97,138.8094,0.8079146
98,140.1461,0.8079422
99,141.5459,0.80809
100,142.8214,0.8081274
101,144.3148,0.8082052
102,145.6768,0.8083695
103,147.2398,0.8084452
104,148.5647,0.808497
105,150.3299,0.8085776
106,150.6549,0.80865
107,151.9612,0.8086842
108,153.1872,0.8087075
109,154.6747,0.8087959
110,156.0578,0.8089106
111,157.476,0.8089434
112,158.7968,0.8090607
113,160.2715,0.8092524
114,161.6064,0.809309
115,162.8205,0.8093223
116,164.1284,0.8094477
117,165.905,0.8096918
118,167.2603,0.8097904
119,168.863,0.8099635
120,170.4446,0.8100759
121,171.8586,0.8102297
122,173.2892,0.8103563
123,174.763,0.810402
124,175.1047,0.8104297
125,176.501,0.8105419
126,178.1147,0.8105802
127,179.431,0.8106195
128,181.038,0.8107721
129,182.6583,0.8108454
130,183.9945,0.8109615
131,185.514,0.8109772
132,186.9894,0.8110246
133,188.4331,0.8110807
134,189.7593,0.8110998
135,191.1682,0.8111266
136,192.7026,0.8112891
137,194.2568,0.8113908
138,195.6848,0.8115515
139,197.0966,0.811678
140,198.5027,0.8117553
141,200.0913,0.8119384
142,201.5157,0.81197
143,202.7346,0.8119928
144,204.2022,0.8120984
145,205.6137,0.8121489
146,206.9891,0.8123342
147,208.5912,0.8124664
148,210.0073,0.8124905
149,210.5311,0.8125426
150,212.094,0.8127404
151,213.4925,0.8128261
152,214.9835,0.8129028
153,216.4101,0.8129267
154,217.837,0.8130535
155,219.2607,0.8130985
156,220.7704,0.8132028
157,222.3235,0.8132847
158,223.794,0.8133629
159,225.0231,0.8134595
160,226.5968,0.8135072
161,228.0367,0.8136452
162,229.4236,0.8136808
163,230.8355,0.813753
164,232.1205,0.8137769
165,233.3388,0.8138061
166,234.7375,0.8138892
167,236.2496,0.8139848
168,237.7803,0.8141145
169,239.2865,0.8142492
170,240.8602,0.8143331
171,242.2424,0.8144348
172,243.8132,0.8146334
173,244.1346,0.8147091
174,245.6047,0.8147419
175,247.1415,0.8148153
176,248.5153,0.8148679
177,249.8314,0.8149431
178,251.4446,0.8149786
179,252.8978,0.815042
180,254.3612,0.8151944
181,255.916,0.8153116
182,257.3077,0.8153722
183,258.7759,0.8155169
184,260.455,0.8156135
185,262.1658,0.8157482
186,263.4983,0.8158387
187,264.9878,0.8158725
188,266.2811,0.8158912
189,267.8172,0.8159606
190,269.1035,0.8160161
191,270.5942,0.8160781
192,272.1017,0.8161305
193,273.5456,0.816159
194,274.8026,0.8161988
195,276.3722,0.8162653
196,277.7187,0.8162846
197,278.2725,0.8163293
198,279.6738,0.8163596
199,281.1376,0.8164055
200,282.6836,0.8165311
201,284.1008,0.8166196
202,285.5145,0.8166954
203,286.9612,0.8167369
204,288.3037,0.8168112
205,289.5286,0.8168429
206,290.9027,0.8168581
207,292.239,0.8168705
208,293.6942,0.816921
209,295.1598,0.8169419
210,296.5618,0.816977
211,298.0313,0.8169898
212,299.5252,0.8170253
213,300.9217,0.8170349
214,302.2961,0.8170459
215,303.8908,0.817086
216,305.2957,0.8171655
217,306.6765,0.8171843
218,306.9546,0.8171932
219,308.3935,0.8172002
220,309.9892,0.8172126
221,311.3725,0.8172304
222,312.7829,0.8172804
223,314.1517,0.8173453
224,315.476,0.8173834
225,316.8585,0.8174782
226,318.3604,0.8175306
