Iteration,Time,AUC
1,4.619507,0.6398509
2,6.928275,0.6573694
3,9.938118,0.6575263
4,11.87384,0.6600782
5,13.67582,0.6632329
6,15.44521,0.6630742
7,17.33772,0.6631855
8,20.26314,0.6642355
9,22.0997,0.6639131
10,24.07526,0.6643401
11,25.86076,0.6651537
12,27.6071,0.6653251
13,30.34492,0.6660905
14,32.26821,0.6667613
15,34.10512,0.6666688
16,35.97272,0.6678985
17,37.70441,0.6683358
18,39.50899,0.6697255
19,42.16314,0.669675
20,44.11256,0.6697117
21,45.90305,0.6696637
22,47.60259,0.6695986
23,49.24668,0.6693672
24,52.06516,0.6692124
25,53.91713,0.6692047
26,55.58081,0.6695607
27,57.34427,0.6695919
28,60.0608,0.6702913
29,62.02095,0.6696611
30,63.63449,0.6718796
31,65.3166,0.6718375
32,68.08018,0.6719985
33,69.81794,0.6710474
34,71.44086,0.671599
35,73.33535,0.6704706
36,76.04715,0.6715593
37,78.0411,0.6712488
38,79.76103,0.671034
39,81.37532,0.6721717
40,84.08307,0.6724732
41,85.78368,0.6736326
42,87.40108,0.6729897
43,89.17469,0.6743006
44,91.89793,0.6741876
45,93.70851,0.6742552
46,95.24426,0.6791706
47,97.74658,0.679213
48,99.48305,0.679824
49,101.2888,0.6841922
50,103.1484,0.684876
51,105.8483,0.6849413
52,107.8662,0.6850006
53,109.6143,0.6849464
54,111.5241,0.6849459
55,114.5161,0.6862934
56,116.7986,0.6863344
57,118.7849,0.6864542
58,120.8956,0.6882841
59,123.0502,0.6884248
60,125.1473,0.6882693
61,127.05,0.6884013
62,130.1187,0.6886173
63,132.2787,0.6888625
64,134.3978,0.6902099
65,136.1076,0.6907048
66,138.1183,0.6915283
67,140.5974,0.6917709
68,142.537,0.6917942
69,145.4957,0.6928848
70,147.4547,0.693103
71,149.5841,0.6931644
72,151.3645,0.6932936
73,154.2519,0.6932496
74,156.1663,0.6930672
75,158.1064,0.693237
76,160.2418,0.6933567
77,163.055,0.6931841
78,165.1401,0.6932898
79,167.4535,0.693347
80,169.6392,0.6936183
81,171.9214,0.6934374
82,174.0762,0.6934297
83,176.3373,0.6935706
84,178.5846,0.6958938
85,181.7215,0.6961614
86,184.0222,0.6962069
87,186.7538,0.6960508
88,189.0795,0.6958238
89,191.4931,0.6960837
90,193.8338,0.695931
91,196.1701,0.6964289
92,198.5883,0.6962436
93,200.9673,0.6967904
94,203.4872,0.6969419
95,206.9483,0.696958
96,209.3487,0.6972532
97,211.7597,0.6977692
98,214.5971,0.6977187
99,217.3398,0.6977027
100,219.6547,0.698025
101,222.6307,0.6980057
102,225.3097,0.6980722
103,228.1742,0.6982691
104,230.1656,0.6985821
105,232.9071,0.6990243
106,235.6321,0.6990494
107,238.4539,0.6995034
108,241.3742,0.6992981
109,244.2318,0.6994246
110,247.0071,0.6995081
111,250.0441,0.6996762
112,253.017,0.7004906
113,255.8025,0.7002287
114,258.8575,0.7001474
115,262.2829,0.6999039
116,265.2829,0.700551
117,268.3394,0.700595
118,270.5748,0.7003988
119,273.7318,0.7001188
120,277.0769,0.7002363
121,280.4444,0.7001752
122,283.7194,0.6998662
123,286.5846,0.7000439
124,290.1549,0.7006539
125,293.7099,0.7014143
126,296.3635,0.7016774
127,300.5408,0.7014984
128,303.468,0.7018739
129,307.3876,0.7023626
130,311.3596,0.7028295
131,314.5648,0.7032272
132,318.0065,0.703289
133,322.3443,0.7034105
134,325.4964,0.7035502
135,330.3439,0.7040866
136,334.1816,0.7042648
137,337.7672,0.7047185
138,342.0744,0.705482
139,346.0957,0.7062526
140,351.6431,0.7066975
141,356.2377,0.7069024
142,361.0082,0.7074394
143,364.9955,0.7078755
144,370.1402,0.7081519
145,374.9665,0.7080824
146,379.8281,0.7082295
147,385.0389,0.7082571
148,389.7681,0.7082129
149,395.1617,0.7078875
150,401.2259,0.7077503
151,406.4359,0.707446
152,411.569,0.7077751
153,417.3562,0.7083781
154,423.321,0.7080466
155,428.7945,0.708378
156,434.3362,0.7087672
157,439.903,0.7086781
158,446.383,0.7087015
159,452.0031,0.7082655
160,458.4528,0.7094711
161,464.7036,0.7101247
162,470.8477,0.7102592
163,477.4985,0.7100503
164,483.9762,0.7100919
165,489.9373,0.7103987
166,496.3573,0.7108313
167,502.4981,0.710608
168,509.7431,0.7102449
169,516.5368,0.7092364
170,523.4873,0.7089883
171,530.6446,0.7079653
172,537.2085,0.7086817
173,544.7172,0.7087308
174,552.4223,0.7087305
175,559.0978,0.7085722
176,566.1388,0.7086372
177,573.9052,0.7087617
178,581.3702,0.7089355
179,589.3805,0.7085874
180,596.8382,0.70911
181,604.2831,0.7093039
182,612.1305,0.7093901
183,619.2486,0.7085968
184,628.0285,0.7088238
185,635.488,0.7085859
186,643.3163,0.7081339
187,651.4234,0.7072955
188,660.0821,0.7066162
189,668.8136,0.7066584
190,676.6492,0.7055756
191,685.4156,0.705589
192,694.1142,0.7056392
193,702.7794,0.705897
194,710.8616,0.7054297
195,720.1194,0.7058485
196,729.5807,0.7057857
197,738.1092,0.7050869
198,747.5031,0.70463
199,756.2618,0.7047952
200,765.1066,0.7044703
201,774.7334,0.7038965
202,784.1065,0.7038153
203,794.0193,0.703419
204,803.1093,0.7035196
205,812.875,0.70294
206,822.2154,0.7035293
207,831.7207,0.7042019
208,841.0437,0.7029313
209,850.8545,0.7022162
210,860.1694,0.7021218
211,870.02,0.701683
212,879.2388,0.701511
213,888.6968,0.701138
214,898.1529,0.7007321
215,907.7501,0.700319
216,917.9657,0.7005206
217,927.6217,0.7004953
218,937.1591,0.700642
219,947.1152,0.7004596
220,956.6809,0.7001003
221,967.4791,0.7001153
222,976.5808,0.6993382
223,988.9479,0.6989732
224,998.6585,0.6985338
225,1009.703,0.6983218
226,1019.28,0.6979151
227,1029.252,0.6982594
228,1040.089,0.6981847
229,1049.651,0.6987195
230,1060.078,0.698704
231,1070.633,0.6981685
232,1081.229,0.6980701
233,1090.89,0.6979663
234,1101.096,0.6983988
235,1110.68,0.6983553
236,1120.698,0.6982579
237,1130.736,0.6987738
238,1141.887,0.6989169
239,1151.658,0.6991061
240,1162.271,0.698764
241,1172.975,0.6989811
242,1182.978,0.6987076
243,1193.862,0.6983983
244,1204.612,0.697327
245,1214.778,0.6967757
246,1225.236,0.6969147
247,1234.952,0.6973783
248,1245.958,0.6975311
249,1255.981,0.6979367
250,1266.608,0.6978068
251,1277.378,0.6983657
252,1287.466,0.6983672
253,1298.559,0.6983039
254,1308.401,0.6979717
255,1319.812,0.697874
256,1329.411,0.6977476
257,1340.088,0.6980339
