Iteration,Time,AUC
1,5.92994,0.6389101
2,10.08747,0.6572236
3,13.6362,0.6580361
4,17.65132,0.6652338
5,21.2619,0.667637
6,23.88561,0.6677555
7,27.67996,0.6677606
8,31.19623,0.6660353
9,33.88561,0.6666574
10,37.37307,0.6672142
11,39.67121,0.6678248
12,42.90118,0.6677472
13,46.24432,0.6678012
14,48.88747,0.6683734
15,51.60746,0.6686296
16,54.80936,0.6684198
17,59.29562,0.6702938
18,62.14869,0.6704772
19,64.82306,0.6710533
20,67.89876,0.6708026
21,70.94807,0.6715428
22,74.20252,0.6717728
23,77.42058,0.6716528
24,80.36938,0.6713273
25,83.84115,0.6711384
26,86.2812,0.6712855
27,89.67993,0.6713633
28,92.27743,0.671541
29,96.15626,0.6715245
30,99.52815,0.6736695
31,102.4037,0.6735333
32,105.955,0.6726706
33,109.1401,0.6729103
34,112.0893,0.6729912
35,115.0593,0.6727536
36,118.4632,0.6733295
37,121.1518,0.673305
38,124.3451,0.6733569
39,127.6687,0.6751848
40,130.7743,0.6751968
41,133.2612,0.675379
42,136.9318,0.6753405
43,140.7175,0.6752966
44,143.7668,0.6753245
45,145.9487,0.6754353
46,149.3537,0.6755781
47,152.1194,0.6758736
48,155.1868,0.6760604
49,158.9687,0.6801765
50,161.4706,0.6806111
51,165.105,0.6805741
52,168.1549,0.6807682
53,171.2937,0.681658
54,175.01,0.6814849
55,178.3069,0.6825503
56,182.7943,0.682557
57,185.6362,0.6826646
58,189.4937,0.6837672
59,192.9687,0.6850041
60,196.6487,0.6908018
61,199.7587,0.6906885
62,203.2494,0.6909253
63,206.9312,0.6911696
64,209.7031,0.6916862
65,213.7306,0.6924632
66,217.2281,0.6929762
67,220.7781,0.6932457
68,225.0437,0.6934329
69,228.4475,0.6935858
70,231.2462,0.6936127
71,235.33,0.6933692
72,238.9,0.6935008
73,242.0631,0.6939102
74,245.6181,0.693864
75,248.9806,0.6940568
76,252.5931,0.695694
77,255.6724,0.6956054
78,259.6176,0.6954234
79,264.4669,0.6956354
80,267.595,0.6954702
81,271.8137,0.6953539
82,275.1725,0.6951318
83,278.6669,0.6947725
84,283.2737,0.6953387
85,286.4549,0.6956859
86,290.2968,0.6960723
87,294.5706,0.6971383
88,298.3431,0.6972359
89,302.8525,0.6968017
90,306.7288,0.6966068
91,310.075,0.6962682
92,315.0468,0.6976941
93,318.6812,0.6978197
94,323.0475,0.6980274
95,327.1737,0.6982185
96,331.4994,0.6982371
97,335.1662,0.6983406
98,339.5394,0.6983935
99,344.0756,0.6982552
100,348.6375,0.6983118
101,354.0087,0.6981625
102,358.0149,0.6981838
103,362.3743,0.6986407
104,366.2969,0.6991573
105,369.8237,0.6992718
106,374.7775,0.7001404
107,379.2737,0.6998047
108,384.0556,0.7000715
109,388.6018,0.7004251
