Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree,Training RAM 1st,Training RAM 25%,Training RAM 50%,Training RAM 75%,Total RAM,gc RAM
'bosch','xgboost-lossguide','leaves',1,12,1029.061,0.7124592,1995,2000,0.02,7,0,1,1,1,2599890944,2599735296,2603126784,2602717184,2601467904,2594115584
'bosch','xgboost-lossguide','leaves',2,12,830.7756,0.7211853,1462,1500,0.02,15,0,1,1,1,3477553152,3483668480,3478126592,3482980352,3485679616,2630807552
'bosch','xgboost-lossguide','leaves',3,12,808.959,0.7237858,426,1000,0.02,31,0,1,1,1,3585773568,3585982464,3581472768,3584352256,3587235840,2704781312
'bosch','xgboost-lossguide','leaves',4,12,1142.328,0.7261027,405,1000,0.02,63,0,1,1,1,3801964544,3807850496,3807993856,3808833536,3794415616,2854551552
'bosch','xgboost-lossguide','leaves',5,12,962.0874,0.7284439,404,500,0.02,127,0,1,1,1,4237045760,4238401536,4238131200,4238942208,4232531968,3141312512
'bosch','xgboost-lossguide','leaves',6,12,1223.958,0.7287067,316,400,0.02,255,0,1,1,1,5092372480,5092409344,5093134336,5093978112,5089931264,3717931008
'bosch','xgboost-lossguide','leaves',7,12,2341.243,0.7275439,343,400,0.02,511,0,1,1,1,6418837504,6808375296,6812700672,6813220864,6832828416,4881346560
'bosch','xgboost-lossguide','leaves',8,12,4005.771,0.7272748,330,400,0.02,1023,0,1,1,1,7580844032,1.03E+10,10267287552,10268803072,10300596224,7199825920
'bosch','xgboost-lossguide','leaves',9,12,6434.953,0.7149108,400,400,0.02,2047,0,1,1,1,9900548096,17150611456,17158180864,17163632640,17236467712,11830267904
'bosch','xgboost-lossguide','leaves',10,12,7619.574,0.7101236,400,400,0.02,4095,0,1,1,1,14529892352,22670159872,27589750784,27611877376,27679772672,17665900544
'bosch','xgboost-lossguide','depth',1,12,1047.759,0.7145333,1920,2000,0.02,7,3,1,1,1,2604339200,2603831296,2606796800,2606186496,2604724224,2597359616
'bosch','xgboost-lossguide','depth',2,12,842.8548,0.7198081,1425,1500,0.02,15,4,1,1,1,3477774336,3483746304,3478253568,3482836992,3485220864,2630471680
'bosch','xgboost-lossguide','depth',3,12,699.0541,0.7214592,977,1000,0.02,31,5,1,1,1,3571994624,3591368704,3590631424,3593379840,3594170368,2702098432
'bosch','xgboost-lossguide','depth',4,12,844.809,0.7223834,723,1000,0.02,63,6,1,1,1,3702894592,3793416192,3793588224,3792920576,3801464832,2840281088
'bosch','xgboost-lossguide','depth',5,12,607.7416,0.7191517,399,500,0.02,127,7,1,1,1,3889696768,3984306176,4131041280,4127432704,4133478400,3041984512
'bosch','xgboost-lossguide','depth',6,12,646.0006,0.7250211,328,400,0.02,255,8,1,1,1,4152229888,4344418304,4528013312,4558336000,4558073856,3271127040
'bosch','xgboost-lossguide','depth',7,12,799.6081,0.7248398,391,400,0.02,511,9,1,1,1,4430102528,4747051008,5045321728,5045534720,5035208704,3533381632
'bosch','xgboost-lossguide','depth',8,12,952.8082,0.7228884,308,400,0.02,1023,10,1,1,1,4772724736,5237518336,5739466752,5740785664,5732315136,3969847296
'bosch','xgboost-lossguide','depth',9,12,1148.369,0.7272562,343,400,0.02,2047,11,1,1,1,5311262720,5835300864,6424268800,6561021952,6565167104,4352163840
'bosch','xgboost-lossguide','depth',10,12,1263.58,0.7256541,338,400,0.02,4095,12,1,1,1,5779156992,6447476736,7257649152,7278784512,7281471488,4703715328
'bosch','xgboost-lossguide','hessian',1,12,984.2926,0.7228884,308,400,0.02,1023,10,1,1,1,2992861184,3456921600,3961864192,3964268544,3976245248,3965923328
'bosch','xgboost-lossguide','hessian',2,12,662.8901,0.7250595,325,400,0.02,1023,10,5,1,1,4995698688,5254127616,5633273856,5677846528,5681246208,3472818176
'bosch','xgboost-lossguide','hessian',3,12,539.1072,0.7181565,308,400,0.02,1023,10,25,1,1,4412608512,4588544000,4828487680,4855291904,4849438720,3130490880
'bosch','xgboost-lossguide','hessian',4,12,408.0794,0.7036303,282,400,0.02,1023,10,125,1,1,4010110976,4176396288,4290752512,4290883584,4295974912,2911481856
'bosch','xgboost-lossguide','sampling',1,12,853.3949,0.7234308,684,1000,0.04,63,6,1,1,1,2751684608,2845773824,2846601216,2848092160,2843176960,2843176960
'bosch','xgboost-lossguide','sampling',2,12,773.5519,0.7216269,445,1000,0.04,63,6,1,0.8,1,3801178112,3931402240,3929935872,3930140672,3911823360,2833510400
'bosch','xgboost-lossguide','sampling',3,12,738.925,0.7219472,552,1000,0.04,63,6,1,0.6,1,3772829696,3898929152,3908911104,3913732096,3922448384,2846150656
'bosch','xgboost-lossguide','sampling',4,12,656.6505,0.7132093,234,1000,0.04,63,6,1,0.4,1,3762905088,3889934336,3889221632,3904126976,3890176000,2811064320
'bosch','xgboost-depthwise','depth',1,12,1049.863,0.7134534,1999,2000,0.02,7,3,1,1,1,2595270656,2599149568,2602606592,2602323968,2601017344,2593660928
'bosch','xgboost-depthwise','depth',2,12,811.3281,0.7199073,1402,1500,0.02,15,4,1,1,1,3478409216,3484377088,3478683648,3483402240,3485278208,2631020544
'bosch','xgboost-depthwise','depth',3,12,693.3928,0.7198976,955,1000,0.02,31,5,1,1,1,3572674560,3592187904,3591454720,3587497984,3593932800,2703339520
'bosch','xgboost-depthwise','depth',4,12,832.1386,0.7223834,723,1000,0.02,63,6,1,1,1,3703255040,3797782528,3794259968,3799666688,3797315584,2842398720
'bosch','xgboost-depthwise','depth',5,12,596.9411,0.7191517,399,500,0.02,127,7,1,1,1,3889094656,3983523840,4130414592,4127588352,4133629952,3040968704
'bosch','xgboost-depthwise','depth',6,12,626.4181,0.7250211,328,400,0.02,255,8,1,1,1,4151513088,4343709696,4527169536,4557139968,4556906496,3270348800
'bosch','xgboost-depthwise','depth',7,12,790.7819,0.7248398,391,400,0.02,511,9,1,1,1,4429783040,4746690560,5044396032,5045506048,5035225088,3532701696
'bosch','xgboost-depthwise','depth',8,12,896.0611,0.7228884,308,400,0.02,1023,10,1,1,1,4772659200,5237362688,5739347968,5741228032,5732409344,3983400960
'bosch','xgboost-depthwise','depth',9,12,1134.21,0.7272562,343,400,0.02,2047,11,1,1,1,5311098880,5835202560,6424248320,6560849920,6564909056,4353282048
'bosch','xgboost-depthwise','depth',10,12,1288.129,0.7256541,338,400,0.02,4095,12,1,1,1,5779312640,6447931392,7257657344,7277895680,7280930816,4685713408
'bosch','xgboost-depthwise','hessian',1,12,981.4041,0.7228884,308,400,0.02,1023,10,1,1,1,2995953664,3458883584,3962396672,3964870656,3976785920,3966464000
'bosch','xgboost-depthwise','hessian',2,12,705.195,0.7250595,325,400,0.02,1023,10,5,1,1,4996308992,5254922240,5633884160,5678481408,5681983488,3473248256
'bosch','xgboost-depthwise','hessian',3,12,541.7393,0.7181565,308,400,0.02,1023,10,25,1,1,4412284928,4588474368,4828725248,4855713792,4849803264,3130806272
'bosch','xgboost-depthwise','hessian',4,12,423.4324,0.7036303,282,400,0.02,1023,10,125,1,1,4010070016,4176347136,4290703360,4291223552,4296327168,2911223808
'bosch','xgboost-depthwise','sampling',1,12,845.9987,0.7234308,684,1000,0.04,63,6,1,1,1,2755854336,2849509376,2850254848,2851434496,2845589504,2845597696
'bosch','xgboost-depthwise','sampling',2,12,811.3383,0.7216269,445,1000,0.04,63,6,1,0.8,1,3801186304,3932160000,3931217920,3931492352,3913236480,2833158144
'bosch','xgboost-depthwise','sampling',3,12,752.0461,0.7219472,552,1000,0.04,63,6,1,0.6,1,3771731968,3898290176,3908411392,3913396224,3922243584,2845036544
'bosch','xgboost-depthwise','sampling',4,12,665.3176,0.7132093,234,1000,0.04,63,6,1,0.4,1,3763335168,3890348032,3889905664,3904831488,3890958336,2812719104
'bosch','xgboost-lossguide','leaves',1,6,1200.59,0.7124592,1995,2000,0.02,7,0,1,1,1,2585722880,2585530368,2588987392,2588704768,2587500544,2580135936
'bosch','xgboost-lossguide','leaves',2,6,981.4053,0.7211853,1462,1500,0.02,15,0,1,1,1,3443245056,3449868288,3444490240,3449597952,3452510208,2616754176
'bosch','xgboost-lossguide','leaves',3,6,856.5242,0.7237858,426,1000,0.02,31,0,1,1,1,3552452608,3552980992,3548319744,3551330304,3554738176,2689892352
'bosch','xgboost-lossguide','leaves',4,6,1181.563,0.7261027,405,1000,0.02,63,0,1,1,1,3768311808,3774521344,3775094784,3777241088,3763937280,2840145920
'bosch','xgboost-lossguide','leaves',5,6,884.5235,0.7284439,404,500,0.02,127,0,1,1,1,4202332160,4204195840,4204781568,4206632960,4201500672,3124453376
'bosch','xgboost-lossguide','leaves',6,6,1107.757,0.7287067,316,400,0.02,255,0,1,1,1,5063282688,5063299072,5065936896,5067087872,5062897664,3702693888
'bosch','xgboost-lossguide','leaves',7,6,1859.418,0.7275439,343,400,0.02,511,0,1,1,1,6385041408,6776889344,6784368640,6785089536,6804717568,4865314816
'bosch','xgboost-lossguide','leaves',8,6,3088.865,0.7272748,330,400,0.02,1023,0,1,1,1,7553097728,10234548224,10241953792,10243436544,10272026624,7185858560
'bosch','xgboost-lossguide','leaves',9,6,4988.764,0.7149108,400,400,0.02,2047,0,1,1,1,9872642048,17124720640,17132126208,17134432256,17207472128,11815403520
'bosch','xgboost-lossguide','leaves',10,6,5939.749,0.7101236,400,400,0.02,4095,0,1,1,1,14502174720,22643376128,27560579072,27582750720,27650461696,17652125696
'bosch','xgboost-lossguide','depth',1,6,1215.27,0.7145333,1920,2000,0.02,7,3,1,1,1,2585706496,2585522176,2588946432,2588663808,2587488256,2580123648
'bosch','xgboost-lossguide','depth',2,6,972.7696,0.7198081,1425,1500,0.02,15,4,1,1,1,3443351552,3449929728,3444510720,3449430016,3451957248,2616258560
'bosch','xgboost-lossguide','depth',3,6,768.4309,0.7214592,977,1000,0.02,31,5,1,1,1,3539120128,3558899712,3557945344,3560693760,3561615360,2688610304
'bosch','xgboost-lossguide','depth',4,6,871.795,0.7223834,723,1000,0.02,63,6,1,1,1,3668332544,3759382528,3759853568,3760230400,3769163776,2825928704
'bosch','xgboost-lossguide','depth',5,6,593.8957,0.7191517,399,500,0.02,127,7,1,1,1,3854848000,3950170112,4097552384,4094664704,4101246976,3026784256
