Iteration,Time,AUC
1,48.21357,0.607209
2,96.41019,0.6071983
3,144.6386,0.6072464
4,192.5802,0.6072463
5,240.8091,0.6072463
6,288.5077,0.6072456
7,337.088,0.6072635
8,384.7207,0.6072631
9,433.3229,0.6082101
10,481.5994,0.6082178
11,529.5752,0.608219
12,577.5585,0.6082189
13,625.6296,0.6082202
14,674.1567,0.6082161
15,722.2462,0.6082178
16,771.0148,0.6082292
17,819.4776,0.6082294
18,867.688,0.6082398
19,915.6274,0.6082424
20,964.0217,0.6082454
21,1011.917,0.6082481
22,1060.206,0.608251
23,1108.618,0.6082511
24,1156.739,0.6082532
25,1204.773,0.6082553
26,1253.32,0.6082539
27,1301.619,0.6082545
28,1350.351,0.6082543
29,1398.764,0.6082545
30,1447.163,0.609205
31,1495.896,0.6092077
32,1544.045,0.6092066
33,1592.613,0.6092059
34,1640.835,0.6092045
35,1689.471,0.6092051
36,1737.101,0.6092076
37,1785.76,0.6092098
38,1834.275,0.609211
39,1882.972,0.6092113
40,1931.191,0.6092103
41,1978.732,0.6092114
42,2026.322,0.6091965
43,2074.222,0.6091965
44,2122.711,0.6092001
45,2170.799,0.6091983
46,2218.762,0.6091995
47,2267.12,0.6096619
48,2315.275,0.6507279
49,2363.171,0.6507286
50,2411.26,0.6507272
51,2459.223,0.650728
52,2507.063,0.6507196
53,2556.716,0.6521134
54,2606.206,0.6521129
55,2655.788,0.6521112
56,2704.966,0.6521121
57,2753.399,0.6521122
58,2802.844,0.660367
59,2851.972,0.6604927
60,2901.821,0.6604826
61,2949.769,0.660484
62,2996.965,0.6607479
63,3044.787,0.6607482
64,3092.684,0.6723538
65,3140.549,0.6723533
66,3188.198,0.6723448
67,3237.037,0.6723434
68,3285.039,0.6723449
69,3333.309,0.6722216
70,3381.468,0.6722216
71,3429.52,0.6722204
72,3477.957,0.67216
73,3527.242,0.6721547
74,3575.036,0.6721551
75,3622.602,0.6721162
76,3670.705,0.6721352
77,3718.562,0.6721354
78,3764.951,0.6721407
79,3813.242,0.6721368
80,3862.061,0.6721372
81,3910.425,0.6721375
82,3958.922,0.6719698
83,4007.845,0.6719689
84,4055.973,0.6723798
85,4104.097,0.6723804
86,4152.253,0.672594
87,4200.077,0.6725945
88,4247.985,0.6725545
89,4296.314,0.6727026
90,4344.159,0.6729614
91,4392.883,0.6731041
92,4441.064,0.6731026
93,4488.1,0.6731029
94,4535.526,0.6731046
95,4583.018,0.6731057
96,4630.815,0.6773207
97,4678.907,0.6773235
98,4727.45,0.6798411
99,4775.818,0.6798441
100,4823.884,0.6799103
101,4871.725,0.6799074
102,4919.686,0.6799875
103,4968.209,0.6799729
104,5016.807,0.6812153
105,5065.286,0.6813653
106,5113.419,0.6813657
107,5161.353,0.6812866
108,5209.506,0.6812901
109,5257.928,0.6812896
110,5306.514,0.6812904
111,5355.509,0.6813099
112,5404.13,0.6812909
113,5452.662,0.6812883
114,5501.327,0.6812846
115,5550.502,0.6813241
116,5599.262,0.6813673
117,5647.949,0.6813716
118,5695.912,0.6811857
119,5744.356,0.6814309
120,5792.7,0.6814303
121,5841.181,0.6814301
122,5890.417,0.6813772
123,5939.19,0.6811944
