Iteration,Time,AUC
1,18.29415,0.6572857
2,36.93973,0.6572745
3,55.54521,0.6572723
4,73.62001,0.663523
5,92.37364,0.675387
6,111.2333,0.6753869
7,129.5392,0.6766709
8,148.2355,0.6769096
9,166.188,0.6777103
10,184.8709,0.6768956
11,203.5518,0.6769116
12,220.8271,0.6768951
13,239.1258,0.6768595
14,257.9708,0.6768316
15,276.8722,0.6772166
16,294.8772,0.6783972
17,313.3994,0.6778262
18,331.5955,0.6785887
19,349.9175,0.6785831
20,368.1588,0.6847269
21,386.5779,0.6834286
22,405.0695,0.6834523
23,423.68,0.6833228
24,441.6688,0.6834731
25,459.8051,0.6835877
26,477.9402,0.6835822
27,496.6717,0.6834688
28,514.9123,0.6846435
29,532.9212,0.684672
30,551.6884,0.6846522
31,570.6798,0.6844511
32,589.1089,0.6846552
33,607.6167,0.6833497
34,625.7696,0.6833223
35,644.2985,0.6830543
36,663.1886,0.6832804
37,682.0264,0.6831035
38,701.0176,0.6832863
39,719.477,0.6831679
40,737.7654,0.6845813
41,756.0824,0.6845828
42,774.4106,0.6845345
43,792.6112,0.6847145
44,811.0422,0.6842891
45,829.8106,0.6843971
46,848.356,0.684401
47,866.4469,0.6843882
48,884.0693,0.6843834
49,902.3466,0.6844257
50,920.2253,0.684408
51,938.3599,0.6843937
52,956.7497,0.6842566
53,974.9712,0.6842496
54,993.2976,0.684463
55,1011.783,0.6844795
56,1030.246,0.6845984
57,1048.495,0.6843854
58,1066.548,0.6844041
59,1084.943,0.6843613
60,1103.253,0.6845829
61,1121.347,0.6848591
62,1139.904,0.6848277
63,1158.712,0.6847771
64,1177.415,0.6849067
65,1195.755,0.6850442
66,1214.316,0.6850917
67,1233.174,0.6850236
68,1252.084,0.6851581
69,1270.449,0.6848954
70,1288.685,0.6846812
71,1306.937,0.6847578
72,1325.4,0.6846684
73,1343.472,0.6846348
74,1361.83,0.6846766
75,1380.499,0.6846892
76,1398.983,0.6846495
77,1416.219,0.684612
78,1434.705,0.6850111
79,1454.056,0.6848855
80,1472.426,0.6849741
81,1491.004,0.6852326
82,1509.364,0.6857147
83,1527.453,0.6880304
84,1545.833,0.6877272
85,1564.427,0.6883709
86,1582.897,0.6887044
87,1601.605,0.6890901
88,1619.993,0.6892997
89,1638.467,0.6893826
90,1657.121,0.6900451
91,1675.755,0.6910186
92,1694.145,0.6910427
93,1712.5,0.6912259
94,1731.195,0.691246
95,1749.914,0.6913162
96,1768.292,0.691534
97,1786.714,0.6915959
98,1804.922,0.691772
99,1823.575,0.6918406
100,1842.065,0.6919591
101,1860.468,0.6919439
102,1879.649,0.6920674
103,1898.17,0.6920779
104,1916.509,0.6919346
105,1934.784,0.6919326
106,1953.186,0.6920699
107,1971.84,0.6920458
108,1989.575,0.6921756
109,2007.945,0.6922188
110,2026.54,0.6921902
111,2044.933,0.6922551
112,2063.243,0.6921218
113,2082.023,0.6920124
114,2101.195,0.6916012
115,2119.826,0.6917375
116,2138.16,0.6927331
117,2156.75,0.6953753
118,2175.166,0.6970601
119,2194.212,0.6997614
120,2213.322,0.6992129
121,2231.711,0.6995804
122,2249.842,0.6992636
123,2268.549,0.6995666
124,2287.04,0.6995393
125,2305.69,0.6996947
126,2324.737,0.6995514
127,2344.154,0.6996292
128,2362.901,0.6997252
129,2381.882,0.6994301
130,2400.103,0.6995897
131,2419.044,0.6992645
132,2438.361,0.6991874
133,2455.776,0.6990115
134,2474.106,0.6989942
135,2492.702,0.7014346
136,2511.257,0.7014451
137,2529.887,0.7015149
138,2548.443,0.7011959
139,2566.991,0.7014412
140,2585.517,0.7011638
141,2604.452,0.7015699
142,2623.118,0.7020271
143,2641.443,0.7020905
144,2659.972,0.7018904
145,2678.692,0.7020907
146,2697.208,0.7019995
147,2715.829,0.7020335
148,2734.047,0.7027346
149,2752.548,0.7028163
150,2771.604,0.7028858
151,2791.103,0.7025636
152,2810.262,0.7031074
153,2828.785,0.7028191
154,2848.046,0.7024734
155,2867.095,0.7026545
156,2885.793,0.7025221
157,2904.341,0.7029025
158,2922.849,0.7033277
159,2942.358,0.7032822
160,2961.07,0.7036438
161,2980.132,0.7035591
162,2999.864,0.7038411
163,3018.638,0.7036964
164,3037.356,0.7040295
165,3056.387,0.7038205
166,3075.234,0.7037336
167,3094.422,0.7035859
168,3112.558,0.7037337
169,3131.241,0.7036069
170,3149.22,0.7033243
171,3168.62,0.7034406
172,3188.462,0.7033856
173,3207.657,0.7034735
174,3226.348,0.703532
175,3245.022,0.7036445
176,3264.332,0.7039643
177,3283.225,0.7039678
178,3302.011,0.7037919
179,3321.122,0.7041487
180,3339.361,0.7040154
181,3358.778,0.7040759
182,3376.897,0.7044558
183,3396.114,0.7045009
184,3415.078,0.7044828
185,3434.052,0.7044188
186,3452.746,0.7043546
187,3471.828,0.7043814
188,3490.693,0.7049853
189,3509.265,0.7050065
190,3528.187,0.7051502
191,3545.691,0.7051063
192,3564.941,0.705332
193,3583.978,0.7054648
194,3603.069,0.7058425
195,3621.919,0.7061179
196,3640.841,0.706291
197,3660.12,0.7066475
198,3679.662,0.7066366
199,3698.382,0.7068658
200,3717.186,0.7072162
201,3736.427,0.7071095
202,3755.974,0.70714
203,3775.141,0.7072144
204,3794.468,0.7071514
205,3814.115,0.7075152
206,3834.138,0.7075531
207,3853.343,0.707971
208,3872.652,0.708037
209,3892.072,0.7084992
210,3910.812,0.7086011
211,3930.2,0.7088976
212,3947.764,0.7089801
213,3966.61,0.7092701
214,3986.355,0.7094978
215,4006.098,0.7094785
216,4025.289,0.7096627
217,4044.042,0.7095939
218,4062.876,0.7097038
219,4081.815,0.709759
220,4100.666,0.7096744
221,4119.998,0.7097134
222,4139.227,0.7098362
223,4158.677,0.7098794
224,4177.93,0.7099559
225,4196.987,0.7103465
226,4215.994,0.71047
227,4235.803,0.71061
228,4254.666,0.7108392
229,4273.749,0.7107716
230,4292.831,0.7109064
231,4312.083,0.7109693
232,4331.036,0.7109412
233,4349.936,0.7111037
234,4368.858,0.7111869
235,4386.837,0.7113098
236,4405.441,0.7112465
237,4425.384,0.7114114
238,4444.311,0.7115358
239,4463.039,0.7114321
240,4482.091,0.7113625
241,4501.645,0.7112898
242,4521.386,0.7115039
243,4540.717,0.711612
244,4560.529,0.7116533
245,4580.13,0.7117559
246,4599.465,0.7117359
247,4618.743,0.7118452
248,4637.96,0.7119582
249,4657.415,0.7120545
250,4676.654,0.7121425
251,4695.782,0.7121294
252,4714.54,0.7121982
253,4733.198,0.712218
254,4752.304,0.7122939
255,4771.168,0.7125565
256,4790.418,0.7125924
257,4809.83,0.7125293
258,4829.401,0.7125772
259,4846.875,0.7127196
260,4865.74,0.7128521
261,4885.07,0.7127665
262,4904.145,0.7128966
263,4923.002,0.7131225
264,4941.763,0.7134092
265,4960.789,0.7135438
266,4979.707,0.713595
267,4998.176,0.7135539
268,5016.655,0.7135937
269,5035.717,0.7136163
270,5054.603,0.7135217
271,5074.074,0.7138258
272,5092.924,0.7139923
273,5111.1,0.7140219
274,5130.148,0.7139375
275,5149.549,0.7142317
276,5168.794,0.714649
277,5187.958,0.7146889
278,5206.127,0.7149792
279,5225.093,0.7147868
280,5244.016,0.7150562
281,5263.469,0.7152827
282,5282.804,0.7154778
283,5301.339,0.7156519
284,5320.674,0.7157294
285,5338.946,0.7156727
286,5357.994,0.7158643
287,5377.185,0.7158269
288,5396.468,0.7157781
289,5415.388,0.7159224
290,5433.62,0.716142
291,5452.86,0.7160254
292,5471.449,0.7162076
293,5490.279,0.7162403
294,5508.962,0.7164096
295,5527.869,0.7162844
296,5546.541,0.7164278
297,5565.509,0.7167021
298,5583.943,0.7167159
299,5601.308,0.7167904
300,5620.135,0.7167946
301,5638.622,0.7167136
302,5656.774,0.7168061
303,5675.604,0.7167906
304,5694.269,0.7168157
305,5713.074,0.7168499
306,5731.951,0.7167159
307,5750.709,0.716666
308,5769.039,0.7165122
309,5787.587,0.7165093
310,5806.76,0.7163618
311,5825.72,0.716119
312,5844.84,0.7160222
313,5863.825,0.715939
314,5882.684,0.7158042
315,5901.365,0.7157877
316,5920.071,0.7159478
317,5938.464,0.7157556
318,5957.454,0.71587
319,5976.143,0.7156209
320,5995.221,0.7156677
321,6013.092,0.7156072
322,6031.981,0.7156287
323,6050.966,0.7157034
324,6069.358,0.7156884
325,6087.972,0.7156247
326,6106.574,0.7155787
327,6125.141,0.7154636
328,6143.82,0.7154493
329,6162.184,0.7153876
330,6181.184,0.7153518
331,6200.01,0.7154983
332,6218.486,0.7154554
333,6237.074,0.7154708
334,6255.333,0.7154132
335,6274.45,0.7152934
336,6292.521,0.7153031
337,6311.213,0.7152745
338,6329.657,0.7152971
339,6348.394,0.7152923
340,6367.125,0.7152395
341,6385.591,0.715191
342,6404.291,0.71519
343,6422.676,0.7150729
344,6441.309,0.7151666
345,6458.658,0.7151969
346,6476.699,0.7152048
347,6496.81,0.7154341
348,6515.457,0.7155906
349,6534.104,0.715742
350,6552.323,0.715736
351,6570.615,0.7157602
352,6590.05,0.7157656
353,6608.234,0.7158479
354,6626.813,0.7159401
355,6645.332,0.7158242
356,6664.067,0.7158931
357,6682.394,0.7159137
358,6701.211,0.7158578
359,6720.051,0.716
360,6738.377,0.7159958
361,6757.163,0.7160538
362,6775.283,0.7161373
363,6794.095,0.7163197
364,6812.629,0.7163497
365,6830.861,0.7163328
366,6848.593,0.7163995
367,6866.877,0.7163601
368,6885.187,0.7163331
369,6903.435,0.7163397
370,6921.928,0.7164294
371,6940.644,0.7164327
