Iteration,Time,AUC
1,8.149571,0.6058132
2,16.57739,0.6082122
3,24.56326,0.6082189
4,32.80991,0.608226
5,40.9722,0.6091711
6,49.09907,0.6096634
7,57.20593,0.6096781
8,65.18765,0.6100888
9,73.15102,0.6100816
10,81.295,0.6100786
11,89.37164,0.6100813
12,96.38232,0.6100876
13,104.4152,0.6100905
14,112.3627,0.6100917
15,120.4508,0.610096
16,128.6288,0.6100953
17,136.6937,0.6100974
18,144.8466,0.6101005
19,152.8671,0.6100881
20,161.1165,0.6100901
21,169.3361,0.6105116
22,177.5472,0.6560054
23,185.6009,0.6560003
24,193.6296,0.6560016
25,200.9433,0.6560037
26,209.001,0.6558153
27,217.0919,0.6580772
28,225.1974,0.6580797
29,233.2036,0.6580814
30,241.3641,0.659503
31,249.4782,0.6597845
32,257.5803,0.65945
33,265.551,0.6597483
34,273.7337,0.6597115
35,281.9145,0.6694583
36,290.0609,0.6692408
37,298.4087,0.6785119
38,306.3261,0.6784527
39,313.3949,0.6770418
40,321.5745,0.6760119
41,329.5869,0.6759814
42,337.8809,0.6759082
43,346.0532,0.6768908
44,354.1166,0.6772676
45,362.1341,0.6764154
46,370.3747,0.6762651
47,378.6235,0.6778346
48,386.7902,0.6779642
49,394.93,0.6779779
50,402.0938,0.6778587
51,410.1697,0.678572
52,418.3788,0.6794603
53,426.4224,0.6815006
54,434.4057,0.6873666
55,442.8091,0.6873506
56,450.9351,0.6873703
57,459.1935,0.6874568
58,467.194,0.6868406
59,475.333,0.6874653
60,482.5359,0.6878376
61,490.6887,0.6883914
62,498.8536,0.6886
63,506.9994,0.6903895
64,515.0458,0.6912403
65,523.0906,0.6911709
66,531.3311,0.6910686
67,539.6082,0.6921508
68,547.9473,0.6918783
69,556.1243,0.6918375
70,564.2252,0.6933052
71,571.5319,0.693248
72,579.6546,0.6932158
73,587.7001,0.6937184
74,596.5689,0.6938021
75,604.7709,0.6936688
76,613.0456,0.6932481
77,621.0476,0.6935804
78,629.1825,0.6943677
79,637.2568,0.6942937
80,645.5232,0.6940123
81,653.6841,0.6946673
82,661.9002,0.6944848
