Iteration,Time,AUC
1,18.41369,0.6505862
2,21.33074,0.6505904
3,23.81573,0.6505697
4,26.48588,0.6505716
5,29.06474,0.6614103
6,31.60921,0.6614127
7,34.40435,0.6614119
8,37.09119,0.6630899
9,39.35117,0.6634065
10,42.11095,0.6633976
11,44.80538,0.663399
12,47.26913,0.6634001
13,50.02465,0.6633984
14,52.88018,0.6633812
15,55.79727,0.6633842
16,58.49145,0.6637988
17,61.52859,0.6637725
18,64.27367,0.6637716
19,67.16905,0.6637875
20,69.87448,0.6637626
21,72.99467,0.6641034
22,75.79112,0.6723883
23,78.46796,0.6723946
24,81.3588,0.6723975
25,84.27495,0.6737341
26,87.226,0.6737374
27,90.12219,0.6738514
28,93.126,0.6745738
29,95.87542,0.6747243
30,98.75628,0.6746841
31,101.7417,0.6746852
32,104.6059,0.6763645
33,107.6908,0.6776249
34,110.6879,0.6783734
35,113.6342,0.678559
36,116.7171,0.6786899
37,119.743,0.6784048
38,122.7286,0.6785034
39,125.7856,0.6782173
40,128.8281,0.6781878
41,131.9684,0.6782409
42,135.0151,0.6809416
43,138.1262,0.6817741
44,141.1954,0.6817205
45,144.3898,0.6819227
46,147.4407,0.6818694
47,150.6404,0.6818597
48,153.9319,0.6818784
49,156.923,0.6817917
50,160.0189,0.6818108
51,163.4151,0.6828536
52,166.4076,0.6827444
53,169.6153,0.6825756
54,172.7949,0.6823803
55,175.9779,0.6821972
56,179.1865,0.6825874
57,182.3904,0.6825415
58,185.5733,0.6829439
59,188.7402,0.6861462
60,192.2133,0.6871565
61,195.5196,0.6871443
62,198.645,0.6871582
63,202.0529,0.6875091
64,205.4239,0.6877913
65,208.8471,0.6878794
66,212.2287,0.6878601
67,215.7231,0.687788
68,219.1776,0.6887062
69,222.5288,0.6882856
70,225.9389,0.6882604
71,229.4877,0.6882386
72,232.8547,0.6884525
73,236.2837,0.6885931
74,239.7144,0.6885705
75,243.2547,0.6886107
76,246.6153,0.688611
77,249.8563,0.6886403
78,252.2724,0.6886232
79,255.7308,0.6886203
80,259.1726,0.6885833
81,262.5705,0.6884105
82,265.8546,0.6883938
83,269.3696,0.6883659
84,272.7996,0.6884938
85,276.2479,0.6884568
86,279.8398,0.687899
87,283.3054,0.6881796
88,286.8665,0.68818
89,290.2534,0.6882613
90,293.6757,0.6882439
91,297.073,0.6882467
92,300.4215,0.688407
93,303.8305,0.6883982
94,307.3273,0.6882871
95,310.6611,0.6882772
96,314.1648,0.6881775
97,317.7405,0.6881754
98,321.2417,0.6883023
99,324.6648,0.6887504
100,328.1579,0.6890614
101,331.8502,0.6895707
102,335.3153,0.6897268
103,338.901,0.6899705
104,342.5798,0.6901187
105,345.9933,0.690202
106,349.5733,0.6903422
107,353.0822,0.6903137
108,356.8358,0.690431
109,360.4597,0.6905504
110,364.1703,0.690644
111,367.7803,0.6906386
112,372.2384,0.6909174
113,375.8725,0.6913041
114,379.4384,0.6913021
115,383.1415,0.6962979
116,386.9867,0.6967106
117,390.6937,0.6965587
118,394.3207,0.6991982
119,397.9996,0.6994245
120,401.9786,0.6996638
121,405.7729,0.6994682
122,409.4052,0.6997727
123,413.0966,0.699732
124,416.9303,0.6986271
125,420.4841,0.6989358
126,423.3716,0.6990699
127,427.1819,0.6991833
128,430.8135,0.7000738
129,434.7421,0.7003767
130,438.5646,0.7004956
131,442.2656,0.7012353
132,446.1561,0.7017729
133,449.9537,0.7017439
134,453.7204,0.7019844
135,457.7039,0.7023742
136,461.5363,0.7026072
137,465.3672,0.7027998
138,469.399,0.7028643
139,473.0815,0.7028486
140,477.4088,0.7047813
141,481.504,0.7051092
142,485.5531,0.7054035
143,490.0319,0.7055287
144,494.2112,0.7057943
145,498.5289,0.7058501
146,502.887,0.7069729
147,507.1884,0.7077949
