Iteration,Time,AUC
1,18.07293,0.6505862
2,21.04755,0.6505904
3,23.58388,0.6505697
4,26.25253,0.6505716
5,28.90917,0.6614103
6,31.53285,0.6614127
7,34.30599,0.6614119
8,37.00329,0.6630899
9,40.10371,0.6634065
10,42.95818,0.6633976
11,45.74599,0.663399
12,48.19089,0.6634001
13,50.96156,0.6633984
14,53.76583,0.6633812
15,56.62203,0.6633842
16,59.3512,0.6637988
17,62.38436,0.6637725
18,65.04513,0.6637716
19,67.88042,0.6637875
20,70.62268,0.6637626
21,73.42951,0.6641034
22,76.24862,0.6723883
23,79.05227,0.6723946
24,81.74847,0.6723975
25,84.67186,0.6737341
26,87.57656,0.6737374
27,90.4459,0.6738514
28,93.4674,0.6745738
29,96.16552,0.6747243
30,99.12601,0.6746841
31,102.0008,0.6746852
32,104.951,0.6763645
33,107.9668,0.6776249
34,110.9075,0.6783734
35,113.8777,0.678559
36,116.966,0.6786899
37,119.9429,0.6784048
38,122.8381,0.6785034
39,125.9625,0.6782173
40,129.029,0.6781878
41,132.1947,0.6782409
42,135.2021,0.6809416
43,138.1999,0.6817741
44,141.3718,0.6817205
45,144.6612,0.6819227
46,146.6835,0.6818694
47,149.7735,0.6818597
48,152.8602,0.6818784
49,155.9035,0.6817917
50,158.9523,0.6818108
51,162.1387,0.6828536
52,165.1824,0.6827444
53,168.4465,0.6825756
54,171.4861,0.6823803
55,174.7069,0.6821972
56,177.9192,0.6825874
57,181.1609,0.6825415
58,184.5077,0.6829439
59,187.7342,0.6861462
60,190.9812,0.6871565
61,194.3788,0.6871443
62,197.6518,0.6871582
63,200.9984,0.6875091
64,204.376,0.6877913
65,207.7483,0.6878794
66,211.0971,0.6878601
67,214.4514,0.687788
68,217.7642,0.6887062
69,221.1773,0.6882856
70,224.5471,0.6882604
71,227.9534,0.6882386
72,231.3402,0.6884525
73,234.7131,0.6885931
74,238.2778,0.6885705
75,241.8684,0.6886107
76,245.1658,0.688611
77,248.5883,0.6886403
78,251.9544,0.6886232
79,255.2792,0.6886203
80,258.6869,0.6885833
81,262.1435,0.6884105
82,265.6703,0.6883938
83,269.1223,0.6883659
84,272.6335,0.6884938
85,276.128,0.6884568
86,279.7863,0.687899
87,283.2001,0.6881796
88,286.6051,0.68818
89,290.108,0.6882613
90,293.438,0.6882439
91,296.9596,0.6882467
92,300.3055,0.688407
93,303.7876,0.6883982
94,307.3889,0.6882871
95,310.8786,0.6882772
96,314.3244,0.6881775
97,317.8314,0.6881754
98,321.1953,0.6883023
99,324.753,0.6887504
100,328.2236,0.6890614
101,332.0019,0.6895707
102,335.4672,0.6897268
103,339.0825,0.6899705
104,342.8336,0.6901187
105,346.4729,0.690202
106,350.0352,0.6903422
107,353.5332,0.6903137
108,357.3864,0.690431
109,360.1853,0.6905504
110,363.8818,0.690644
111,367.5179,0.6906386
112,371.8209,0.6909174
113,375.4503,0.6913041
114,379.1736,0.6913021
115,383.0235,0.6962979
116,386.96,0.6967106
117,390.5816,0.6965587
118,394.3301,0.6991982
119,397.9873,0.6994245
120,401.82,0.6996638
121,405.454,0.6994682
