Iteration,Time,AUC
1,9.909539,0.6509658
2,11.7488,0.6509693
3,13.5126,0.6509729
4,14.23387,0.6634312
5,15.88071,0.6634297
6,17.49751,0.6634118
7,19.23036,0.6634124
8,20.82255,0.6634115
9,22.61185,0.663405
10,24.49366,0.6634058
11,26.20636,0.6651545
12,28.02943,0.6651608
13,28.99457,0.6651614
14,30.75211,0.6651631
15,32.82403,0.6716812
16,34.71949,0.6721079
17,36.64043,0.67546
18,38.39493,0.6754514
19,39.23524,0.6754359
20,41.14509,0.675543
21,43.21332,0.676942
22,45.10583,0.6767607
23,47.01885,0.676841
24,48.84204,0.676146
25,50.73339,0.6763177
26,51.84794,0.676612
27,53.72891,0.677583
28,55.61548,0.6789281
29,57.57103,0.6789075
30,60.17992,0.6788598
31,62.48542,0.6787695
32,64.48482,0.6794509
33,66.50457,0.6787459
34,67.80252,0.6785564
35,70.04682,0.6797776
36,71.97529,0.6789335
37,74.10537,0.6788463
38,76.195,0.6796647
39,78.31399,0.6795131
40,79.37402,0.6797627
41,81.60876,0.6797136
42,83.77412,0.6824476
43,85.88519,0.6825099
44,88.18276,0.6825694
45,89.3951,0.6827227
46,91.845,0.6827546
47,94.05789,0.6828212
48,96.34179,0.6828557
49,98.59997,0.6828059
50,100.6887,0.6830954
51,102.0052,0.6836745
52,104.3254,0.6837525
53,106.5945,0.6838104
54,109.1157,0.6837859
55,110.3623,0.6837061
56,112.6988,0.6835873
57,115.0466,0.6835674
58,117.5147,0.6863387
59,119.7772,0.6863458
60,121.2842,0.6871263
61,123.8163,0.6868002
62,126.2656,0.6873017
63,128.9504,0.6878811
64,130.4207,0.6876763
65,132.873,0.6894389
66,135.0541,0.6891911
67,137.474,0.6894151
68,139.7823,0.6894127
69,141.2643,0.6897152
70,143.8798,0.6896448
71,146.1482,0.6896653
72,148.3902,0.689376
73,150.6979,0.689218
74,153.1027,0.6892399
75,155.5036,0.689225
76,156.8805,0.6890512
77,159.4124,0.6888555
78,162.079,0.6885711
79,164.6332,0.6885398
80,166.8555,0.6885087
81,169.4705,0.6885132
82,171.8921,0.6884732
83,174.6533,0.6886792
84,176.2949,0.688673
85,179.0526,0.6887142
86,181.44,0.68873
87,183.9746,0.688795
88,185.5671,0.6888118
89,188.2587,0.6888649
90,190.6439,0.6888135
91,193.1066,0.6888674
92,194.4921,0.6888594
93,197.1737,0.6888769
94,199.7417,0.6889039
95,202.4065,0.6889713
96,205.0014,0.6889399
97,206.4699,0.6889339
98,209.0996,0.6890994
99,211.7333,0.6891646
100,214.646,0.6891962
101,216.4495,0.6891961
102,219.0437,0.6884841
103,221.7284,0.6885502
104,224.5552,0.6885264
105,226.3863,0.6883348
106,229.0372,0.6882822
107,231.6541,0.6883964
108,234.5567,0.6885077
109,236.5395,0.6891265
110,239.31,0.689294
111,242.4387,0.6899109
112,244.1965,0.6899905
113,247.1209,0.6957271
114,250.1767,0.698619
115,253.223,0.6987878
116,255.0434,0.6987407
117,258.2721,0.698619
118,261.1811,0.6976081
119,263.1783,0.6975322
120,265.9129,0.6974583
121,268.601,0.6984517
122,271.3633,0.6988548
123,273.2232,0.6991923
124,276.1151,0.6992196
125,279.0588,0.6993319
126,282.0985,0.699753
127,284.1789,0.7001778
128,287.0436,0.7006813
129,289.7285,0.7007724
130,291.624,0.7007787
131,294.3214,0.7012574
132,297.359,0.7013235
133,300.243,0.7015207
134,302.4828,0.7023063
135,305.6983,0.702657
136,308.468,0.7028155
137,310.4433,0.7029223
138,313.4909,0.7036062
139,316.4484,0.7035704
140,319.4759,0.7053457
141,321.6836,0.7059558
142,324.984,0.705861
143,328.2616,0.7060456
144,330.6249,0.7073153
145,333.9244,0.7077421
146,337.4146,0.708491
147,340.1872,0.7111983
148,343.7224,0.7123314
149,347.2452,0.7126961
150,349.9558,0.7128307
151,353.4754,0.7127934
152,357.1119,0.7130041
153,359.4532,0.7134173
154,363.0693,0.7137264
155,366.732,0.7141009
156,369.4434,0.7140304
157,373.3575,0.7140895
158,376.9229,0.714075
159,379.6511,0.7145136
160,383.3671,0.7142777
161,385.9446,0.7143564
162,389.5106,0.7141389
163,393.4253,0.7141174
164,396.4232,0.7141837
165,400.1679,0.7141932
166,403.8286,0.7138128
167,406.537,0.713905
168,410.4304,0.7138366
169,413.1712,0.7135512
170,417.1424,0.7132283
171,421.0126,0.7131733
172,423.6431,0.7135171
173,427.1282,0.7132383
174,430.8294,0.713493
175,433.6223,0.714185
176,437.2864,0.7147033
177,440.9944,0.7152384
178,444.1575,0.7153558
179,447.9693,0.7155505
180,450.8658,0.7161123
181,454.8975,0.7159898
182,457.9526,0.7160753
