Iteration,Time,AUC
1,17.0493,0.5934537
2,18.17628,0.5992069
3,17.99316,0.5992106
4,18.95939,0.5992069
5,19.80064,0.5992069
6,20.60832,0.5992106
7,21.40179,0.5992106
8,22.24186,0.5992107
9,23.06134,0.5992107
10,23.9227,0.6003734
11,24.76085,0.6003734
12,25.58139,0.6008846
13,26.3823,0.6008884
14,27.19247,0.600902
15,28.00263,0.6009019
16,28.81508,0.6008986
17,29.67246,0.6008986
18,30.51776,0.6008986
19,31.45179,0.6008988
20,32.27191,0.6008988
21,33.12212,0.6008982
22,33.91899,0.6008987
23,34.72902,0.6008981
24,35.5234,0.6008842
25,36.35916,0.6008981
26,37.138,0.6008842
27,37.96618,0.6008842
28,38.77556,0.6022863
29,39.57019,0.6022863
30,40.38071,0.6022863
31,41.17534,0.6022866
32,41.97212,0.6022866
33,42.8025,0.60229
34,43.61266,0.6022928
35,44.46289,0.6022901
36,45.28784,0.6022943
37,46.09355,0.6022945
38,46.95021,0.602298
39,47.76468,0.6022982
40,48.57712,0.6022985
41,49.38146,0.6023128
42,50.19599,0.6023236
43,51.13073,0.6023586
44,51.98425,0.6023512
45,52.81304,0.6023512
46,53.65399,0.6023515
47,54.45434,0.6023523
48,55.2811,0.6023531
49,56.13181,0.6023648
50,57.02657,0.6023656
51,57.81917,0.6023677
52,58.65219,0.6023676
53,59.48731,0.6023677
54,60.31608,0.6023677
55,61.14231,0.6023674
56,61.94983,0.6023679
57,62.8248,0.6023679
58,63.72877,0.6023691
59,64.55746,0.6023698
60,65.38189,0.6032666
61,66.24122,0.603267
62,67.05127,0.6032668
63,67.8894,0.6032947
64,68.69963,0.6033053
65,69.74865,0.6033052
66,70.55879,0.6033053
67,71.48029,0.6033041
68,72.27798,0.6033041
69,73.10105,0.6033041
70,73.91148,0.6033042
71,74.71819,0.6033114
72,75.52706,0.6033114
73,76.34036,0.6040456
74,77.19204,0.6046664
75,78.00926,0.6046872
76,78.8212,0.6046862
77,79.65325,0.6046873
78,80.4707,0.6046873
79,81.28509,0.6047096
80,82.12632,0.6047071
81,82.95625,0.6047097
82,83.7631,0.6047098
83,84.59301,0.6061576
84,85.42861,0.6061556
85,86.23891,0.6061555
86,87.05307,0.6061556
87,87.89693,0.6061557
88,88.70128,0.6061596
89,89.58258,0.6061596
90,90.41832,0.6061601
91,91.25952,0.6061588
92,92.07639,0.6061566
93,92.88636,0.6061603
94,93.7106,0.6061603
95,94.5206,0.6061602
96,95.31502,0.6061604
97,96.12753,0.6061605
98,96.94737,0.6061605
99,97.79295,0.6061604
100,98.61847,0.6061604
101,99.41279,0.6061277
102,100.2553,0.6061276
103,101.1124,0.6061277
104,101.9353,0.6061275
105,102.7653,0.6061278
106,103.5754,0.6061279
107,104.3979,0.6061288
108,105.2745,0.6061289
109,106.1102,0.6061284
110,106.9671,0.6061286
111,107.7771,0.6061285
112,108.6027,0.6061286
113,109.3996,0.6061408
114,110.2439,0.6061409
115,111.054,0.6061413
116,111.9177,0.6061414
117,112.7264,0.6061419
118,113.521,0.6061417
119,114.371,0.6104505
120,115.2011,0.6104507
121,116.2457,0.6104558
122,117.0894,0.6104558
123,117.8831,0.610456
124,118.7083,0.6104561
125,119.5341,0.6104567
126,120.3444,0.6107323
127,120.1614,0.6107331
128,121.0494,0.610732
129,121.8851,0.6107317
130,122.6939,0.6107323
131,123.5041,0.6107321
132,124.2985,0.6107326
133,125.111,0.610731
134,125.9255,0.6107315
135,126.7457,0.611642
136,127.5589,0.611642
137,128.3714,0.6116417
138,129.2127,0.611642
139,130.0582,0.6116428
140,130.867,0.6116466
141,131.6617,0.6116478
142,132.4685,0.6116476
143,133.2786,0.6116484
144,134.0929,0.611099
145,134.9032,0.6110992
146,135.7079,0.6110957
147,136.5272,0.6111006
148,137.3598,0.6111009
149,138.2214,0.6111016
150,139.0772,0.6111015
151,139.8818,0.6111012
152,140.6964,0.611102
153,141.5094,0.6111033
154,142.3196,0.6109491
155,143.2067,0.6109492
156,144.0482,0.6109494
157,144.8428,0.6109453
158,145.6653,0.6109458
159,146.4754,0.6109527
160,147.3836,0.6109526
161,148.1939,0.610953
