Iteration,Time,AUC
1,20.35111,0.6509658
2,23.35683,0.6509693
3,26.25979,0.6509729
4,29.12969,0.6634312
5,32.2124,0.6634297
6,35.39128,0.6634118
7,38.43973,0.6634124
8,41.38373,0.6634115
9,44.34789,0.663405
10,47.25934,0.6634058
11,50.26891,0.6651545
12,53.19451,0.6651608
13,56.23584,0.6651614
14,59.21866,0.6651631
15,61.24628,0.6716812
16,64.21684,0.6721079
17,67.37401,0.67546
18,70.32992,0.6754514
19,73.2722,0.6754359
20,76.4861,0.675543
21,79.59008,0.676942
22,82.87523,0.6767607
23,86.20459,0.676841
24,89.40633,0.676146
25,92.58817,0.6763177
26,95.76006,0.676612
27,99.10032,0.677583
28,102.5866,0.6789281
29,105.784,0.6789075
30,108.8679,0.6788598
31,111.9374,0.6787695
32,114.9867,0.6794509
33,118.102,0.6787459
34,121.4044,0.6785564
35,124.7769,0.6797776
36,128.0284,0.6789335
37,131.2214,0.6788463
38,134.5032,0.6796647
39,137.9166,0.6795131
40,141.137,0.6797627
41,144.5899,0.6797136
42,148.1411,0.6824476
43,151.6217,0.6825099
44,155.0592,0.6825694
45,158.5491,0.6827227
46,162.0554,0.6827546
47,165.5624,0.6828212
48,169.1307,0.6828557
49,172.4919,0.6828059
50,176.064,0.6830954
51,179.5262,0.6836745
52,183.0834,0.6837525
53,186.6925,0.6838104
54,190.2869,0.6837859
55,193.7474,0.6837061
56,197.2574,0.6835873
57,201.0327,0.6835674
58,204.5943,0.6863387
59,208.218,0.6863458
60,211.8225,0.6871263
61,215.5858,0.6868002
62,219.4391,0.6873017
63,223.0981,0.6878811
64,226.6608,0.6876763
65,230.4181,0.6894389
66,233.9394,0.6891911
67,237.6982,0.6894151
68,241.4833,0.6894127
69,245.2991,0.6897152
70,248.944,0.6896448
71,252.504,0.6896653
72,256.1032,0.689376
73,259.825,0.689218
74,263.5145,0.6892399
75,267.3499,0.689225
76,270.8971,0.6890512
77,274.6524,0.6888555
78,278.37,0.6885711
