Iteration,Time,AUC
1,38.29689,0.6775686
2,41.49732,0.692581
3,44.71822,0.7255379
4,47.73738,0.7269642
5,49.80035,0.736165
6,52.96728,0.7416359
7,56.0861,0.7469763
8,59.20712,0.7515777
9,62.38263,0.7531798
10,65.29196,0.7551685
11,68.50036,0.7581539
12,71.74507,0.7612255
13,74.93187,0.7632909
14,77.961,0.765246
15,81.09148,0.7675597
16,84.25648,0.7691045
17,87.36478,0.7696587
18,90.44157,0.7710873
19,93.70738,0.7726152
20,96.79521,0.7736667
21,99.81315,0.774709
22,102.6517,0.7754905
23,105.9557,0.7776179
24,108.5739,0.7781622
25,111.9191,0.778592
26,115.0005,0.7796211
27,118.1562,0.780401
28,121.2493,0.7810548
29,124.2463,0.7815271
30,127.1708,0.7820625
31,128.8706,0.7825587
32,132.1081,0.7833127
33,135.2521,0.7835955
34,138.0321,0.7838392
35,141.0018,0.7845237
36,144.1949,0.7850322
37,147.3485,0.7854244
38,150.4637,0.7858957
39,153.433,0.7861557
40,156.8193,0.7868627
41,159.7503,0.7871306
42,162.8011,0.7874766
43,165.7436,0.7877119
44,168.6903,0.7879638
45,171.2974,0.7881888
46,174.2363,0.7884184
47,177.5096,0.7890068
48,180.4471,0.7893109
49,183.3366,0.789484
50,186.5055,0.7898619
51,189.2935,0.7902644
52,192.0481,0.7904191
53,195.095,0.7906984
54,198.4821,0.7909634
55,201.5709,0.791237
56,204.7404,0.7917105
57,207.6408,0.7918961
58,210.8704,0.79229
59,213.675,0.7923995
60,216.7787,0.792614
61,218.415,0.7926283
62,220.9345,0.7926924
63,224.4204,0.7929514
64,227.7221,0.7931436
65,230.2527,0.793242
66,233.1551,0.7933438
67,236.2891,0.7934964
68,238.9133,0.793769
69,241.8653,0.7939274
70,244.8409,0.7940148
71,247.6888,0.7941539
72,250.665,0.7943326
73,253.9279,0.7946587
74,257.015,0.7949759
75,259.6031,0.7951254
76,262.2159,0.7952513
77,265.0254,0.7953819
78,267.8894,0.7955167
79,270.4614,0.7955798
80,273.5124,0.795799
81,276.4814,0.795889
82,279.2463,0.7959616
83,281.9342,0.7961164
84,284.8651,0.7963579
85,287.9378,0.7966147
86,290.7983,0.7966604
87,293.5304,0.7967901
88,296.6815,0.7969719
89,299.6182,0.7972876
90,302.5739,0.7973379
91,305.173,0.7974336
92,308.3544,0.7975433
93,310.1942,0.7976417
94,313.1359,0.7978241
95,316.2371,0.7978855
96,318.7613,0.7979534
97,321.9247,0.7980878
98,324.8611,0.798187
99,327.8483,0.7985139
100,330.9172,0.7988075
101,334.0883,0.798938
102,336.5508,0.7990126
103,339.5333,0.7992187
104,342.6942,0.7994157
105,345.4904,0.7995035
106,348.17,0.799593
107,351.3827,0.7997753
108,354.265,0.7998222
109,357.2353,0.7999044
110,360.0064,0.7999232
111,363.0274,0.7999702
112,365.9263,0.7999998
113,368.6703,0.8000479
114,371.445,0.8001105
115,373.92,0.8001696
116,376.4552,0.8002527
117,379.364,0.8002924
118,382.1561,0.8003505
119,385.1703,0.8006032
120,386.9179,0.8006451
121,389.5896,0.8006885
122,392.5109,0.8007288
123,395.4529,0.800781
124,398.5659,0.8010055
125,401.6797,0.8010721
126,404.9768,0.8012227
127,407.839,0.8012469
128,410.7833,0.8012897
129,413.8177,0.8014467
130,416.276,0.8015182
131,419.0484,0.8015858
132,421.8088,0.8016432
133,424.9488,0.8018132
134,427.509,0.8019001
135,430.4258,0.8019909
136,433.6024,0.8021266
137,436.8453,0.8023084
138,440.0226,0.8024033
139,443.2323,0.8025587
140,446.012,0.8026466
141,448.5516,0.8027021
142,451.4411,0.8028193
143,454.6735,0.8029278
144,457.6329,0.8030024
145,460.5554,0.8031138
146,463.1891,0.8031296
147,464.8585,0.8031877
148,467.4757,0.8032483
149,470.5213,0.8033136
150,473.6078,0.8034167
151,476.651,0.8036047
152,480.0326,0.8037074
153,483.2032,0.8038093
154,486.0245,0.803907
155,488.2785,0.8039256
156,491.1158,0.8040199
157,494.0892,0.8040561
158,503.5594,0.8040724
159,506.2875,0.8041318
160,509.0798,0.8041818
161,511.8796,0.8042173
162,514.3361,0.8042785
163,516.8303,0.8042899
164,519.7694,0.8043143
165,522.7821,0.8044559
166,526.0657,0.8045501
167,528.473,0.8046026
168,531.1633,0.804621
169,533.757,0.8046463
170,536.3722,0.8046732
171,538.9678,0.8047107
172,541.7384,0.8047437
173,544.6518,0.8048176
174,546.6031,0.8048568
175,549.531,0.8049197
176,552.3359,0.8049586
177,555.0475,0.8050156
178,558.0867,0.8051146
179,561.2036,0.8052187
180,564.434,0.8054665
181,567.5774,0.8055916
182,570.5047,0.8056524
183,573.032,0.8057103
184,575.6349,0.8057492
185,578.6,0.8058312
186,581.2644,0.8058451
187,583.7559,0.805878
188,586.6405,0.8059053
189,589.3119,0.8059297
190,592.1459,0.8060348
191,595.3298,0.806109
192,598.3502,0.8061361
193,601.253,0.8061879
194,603.7383,0.8062146
195,606.1437,0.8062254
196,609.3849,0.8062843
197,612.0565,0.8062963
198,614.7429,0.8063132
199,617.222,0.8063625
200,619.8423,0.8064187
201,622.8309,0.8064638
202,625.6495,0.8064902
203,628.3532,0.8065342
204,631.3369,0.8065785
205,634.4004,0.8065991
206,636.7421,0.806684
207,639.7255,0.8067671
208,642.9157,0.8068651
209,646.0534,0.8069118
210,648.8044,0.8069317
211,651.9324,0.8069917
212,655.0653,0.8070664
213,657.779,0.8070847
214,660.6018,0.8071403
215,663.222,0.807181
216,666.223,0.8072755
217,668.8111,0.807317
218,671.7674,0.8073531
219,674.6409,0.8074015
220,677.4362,0.8075042
221,680.1994,0.807541
222,683.2954,0.8075838
223,685.953,0.8076304
224,688.7688,0.807668
225,691.9962,0.8077859
226,694.529,0.8077995
227,697.2375,0.8078215
228,700.2546,0.8079123
229,702.8264,0.80792
230,705.3074,0.8079704
231,707.9163,0.8079908
232,710.8691,0.8080237
233,714.1441,0.8080804
234,717.3405,0.8081567
235,719.1226,0.8081884
236,722.0333,0.8082301
237,724.7818,0.8082492
238,727.7967,0.8083027
239,730.794,0.8083511
240,733.723,0.8084259
241,736.4719,0.8084498
242,738.9889,0.8084829
243,741.5618,0.8084941
244,744.4017,0.8085378
245,747.0228,0.8085613
246,749.8868,0.8085877
247,752.6665,0.8086025
248,755.1811,0.8086108
249,757.5233,0.8086453
250,760.255,0.8086564
251,763.0969,0.8086616
252,765.5855,0.8086762
253,768.545,0.8087449
254,771.4299,0.8087714
255,774.0412,0.8088043
256,776.8537,0.8088452
257,779.603,0.8088741
258,782.3429,0.8089309
259,785.0881,0.8089639
260,787.8419,0.8089809
261,790.4681,0.8089866
262,791.9096,0.8090066
263,794.5597,0.8090137
264,797.6119,0.8090256
265,800.8096,0.8090917
266,803.6753,0.8091054
267,806.8246,0.8091589
268,809.9725,0.8091921
269,812.4,0.8092043
270,815.312,0.8092524
271,818.1863,0.8093373
272,820.9262,0.8093568
273,823.9077,0.8093805
274,826.5614,0.8094054
275,829.2333,0.8094406
276,832.0291,0.8094904
277,834.8193,0.8095058
278,837.7784,0.8095222
279,840.382,0.8095927
280,843.2439,0.8095952
281,845.8769,0.8096022
282,848.7,0.8096169
283,851.22,0.8096356
284,854.275,0.8096597
285,857.126,0.8097203
286,860.1372,0.8098605
287,862.9199,0.8099059
288,865.8611,0.8099327
289,868.528,0.8099682
290,871.6323,0.8100186
291,874.3395,0.8100768
292,877.218,0.8101136
293,879.347,0.8101784
294,882.3993,0.8101877
295,885.5176,0.8102045
296,888.6339,0.8102567
297,891.7039,0.8103056
298,894.7357,0.8103544
299,897.8575,0.8103671
300,900.3777,0.8103923
301,903.1985,0.8104189
302,906.0366,0.8104265
303,909.0902,0.8104517
304,912.0893,0.8104894
305,914.5857,0.810498
306,917.2053,0.8105067
307,919.9807,0.8105189
308,922.4074,0.8105323
309,925.4379,0.8105717
310,928.3388,0.8106435
311,931.2942,0.8106954
312,933.8074,0.8107093
313,936.3619,0.8107182
314,938.9665,0.8107287
315,941.4255,0.8107358
316,943.8904,0.8107437
317,947.0035,0.8107744
318,950.3068,0.8108448
319,952.8837,0.8108717
