Iteration,Time,AUC
1,23.494,0.7782193
2,31.39306,0.7874199
3,38.05693,0.7925709
4,45.97306,0.796775
5,52.65834,0.8000573
6,60.94117,0.802891
7,67.17013,0.805302
8,73.68582,0.8074666
9,80.77452,0.8096073
10,88.16292,0.81163
11,94.21541,0.8130437
12,100.6655,0.8143722
13,107.7433,0.8156929
14,113.7774,0.8167369
15,120.2918,0.8175702
16,126.5488,0.8184699
17,132.597,0.819225
18,138.1571,0.8199112
19,144.1813,0.8206564
20,149.0723,0.8213067
21,156.1829,0.8222044
22,161.2412,0.8226629
23,165.9052,0.8230106
24,172.758,0.8238263
25,175.9523,0.823995
26,182.7847,0.8245279
27,188.7387,0.825101
28,194.831,0.8255251
29,199.1988,0.8258496
30,206.3731,0.8264314
31,210.7808,0.8266259
32,216.4492,0.8271873
33,220.9904,0.8273421
34,226.1041,0.8277637
35,230.109,0.8278993
36,234.5602,0.8280583
37,240.4709,0.8283919
38,245.1251,0.8286204
39,250.8093,0.829146
40,257.4942,0.8295931
41,261.5724,0.8298752
42,267.9611,0.8303452
43,271.399,0.8304773
44,275.9074,0.8305993
45,281.542,0.830902
46,285.525,0.831044
47,289.5128,0.831135
48,294.8439,0.8312927
49,300.0061,0.8316791
50,306.3213,0.8320613
51,309.4015,0.8321171
52,316.2142,0.832355
53,320.8523,0.8325218
54,325.0437,0.8326008
55,328.8339,0.8326878
56,334.4344,0.8328845
57,341.347,0.8331368
58,345.7628,0.8332949
59,352.6836,0.8335542
60,357.5306,0.8336312
61,361.3447,0.8336758
62,364.8262,0.8337583
63,370.0131,0.8338806
64,374.6061,0.8340044
65,380.4602,0.8343296
66,387.6969,0.8347209
67,392.9486,0.8349252
68,398.0594,0.8350929
69,401.8468,0.8351611
70,408.316,0.8354731
71,413.0398,0.8356701
72,418.0531,0.8357528
73,421.5238,0.8357858
74,425.2901,0.8358862
75,430.1024,0.8360178
76,437.7572,0.8362509
77,440.5867,0.8362786
78,448.5829,0.8364871
79,452.3612,0.8365477
80,459.3558,0.8368008
81,463.0607,0.8368644
82,467.4095,0.8369329
83,472.5951,0.8370551
84,478.767,0.8373304
85,484.0488,0.8374466
86,489.1584,0.837558
87,494.2111,0.8376261
88,497.4917,0.8376654
89,501.7478,0.8377063
90,506.5743,0.8377501
91,511.6135,0.8379196
92,517.0637,0.8379978
93,520.7074,0.838018
94,524.1024,0.8381022
95,531.288,0.838223
96,535.4272,0.8382759
97,540.2087,0.8383544
98,544.5748,0.8384124
99,547.436,0.838431
100,555.5947,0.8386756
101,559.1625,0.8387702
102,566.0686,0.8390819
103,572.8732,0.8392629
104,577.0343,0.8393819
105,581.1725,0.8394213
106,585.1119,0.8394443
107,592.0741,0.8396315
108,597.2623,0.8397302
109,600.0603,0.8397782
110,605.9733,0.8399363
111,611.7493,0.8400459
112,617.9386,0.8401678
113,623.9371,0.8403692
114,628.6762,0.8403944
115,634.4353,0.8405024
116,638.7968,0.8405542
117,644.7268,0.8406669
118,650.8685,0.8408199
119,655.8122,0.8408704
120,660.3856,0.8409261
121,664.3312,0.8409736
122,668.3722,0.8409947
123,673.2073,0.8410355
124,678.5746,0.8411274
125,682.6466,0.8411654
126,690.1536,0.8413124
127,692.5518,0.8413213
128,697.2479,0.8413625
129,700.58,0.8413574
130,704.384,0.8413678
131,709.8598,0.8414611
132,716.0393,0.8416639
133,722.5027,0.841752
134,728.7599,0.8418423
135,733.6653,0.8419383
136,739.8819,0.8420129
137,745.3964,0.8421075
138,751.8227,0.8421633
139,758.2618,0.8422532
140,762.4477,0.8423134
141,768.6503,0.8423998
142,774.8513,0.8425947
143,780.0792,0.8426487
144,785.7617,0.8426996
145,791.2311,0.8427406
