Iteration,Time,AUC
1,11.18678,0.7438634
2,12.75172,0.7540119
3,14.97286,0.7618829
4,17.28669,0.7679978
5,19.81226,0.7726635
6,22.1278,0.7771633
7,23.36365,0.7824496
8,25.73269,0.7853312
9,27.87882,0.7880544
10,30.31349,0.7904997
11,32.51217,0.7923432
12,34.60783,0.794137
13,35.86153,0.7955411
14,38.14692,0.796656
15,40.43606,0.7976952
16,42.54834,0.7987385
17,44.68406,0.7995732
18,46.95394,0.8005329
19,49.17426,0.8015129
20,50.58421,0.80251
21,52.70044,0.8030745
22,54.86434,0.8038723
23,57.16414,0.8049223
24,59.35518,0.8056213
25,61.77507,0.8062588
26,63.90199,0.8066982
27,64.83727,0.8070284
28,67.04136,0.8074185
29,69.16832,0.807756
30,71.1259,0.8079582
31,73.43121,0.8086405
32,75.72974,0.809047
33,77.02457,0.8094272
34,79.15725,0.8098266
35,81.21226,0.8101569
36,83.42105,0.8105097
37,85.49916,0.8107392
38,87.73046,0.8110253
39,89.81429,0.8112448
40,92.01299,0.8116136
41,92.99107,0.8117933
42,95.06374,0.8120768
43,97.44875,0.8123155
44,99.71907,0.8126775
45,101.5635,0.8127664
46,103.5922,0.8129312
47,105.6246,0.8131968
48,106.9322,0.813696
49,109.0838,0.8139954
50,111.2161,0.8143048
51,113.1219,0.8144472
52,115.1835,0.8146774
53,117.4141,0.8150294
54,119.5442,0.8153035
55,120.477,0.815406
56,122.6786,0.8156879
57,124.8074,0.8158508
58,127.1776,0.8160362
59,129.235,0.8161742
60,131.3639,0.8163499
61,132.4262,0.8164904
62,134.3756,0.8165379
63,136.6751,0.8168215
64,138.6237,0.8169846
65,140.8517,0.8172312
66,142.8766,0.8173259
67,144.8807,0.8174352
68,147.0815,0.8176465
69,148.2598,0.8178018
70,150.2116,0.8179391
71,152.2313,0.8181277
72,154.1106,0.81822
73,155.9639,0.8182565
74,158.1092,0.8184051
75,159.1411,0.8185036
76,160.9476,0.8186086
77,162.8978,0.8186912
78,164.9729,0.8188253
79,167.012,0.8190058
80,168.9178,0.8190815
81,170.9472,0.8191896
82,172.4191,0.8194789
83,174.4131,0.8196708
84,176.7594,0.8200207
85,178.6635,0.8200363
86,180.9969,0.8201515
87,181.9525,0.8202145
88,183.7621,0.8203318
89,185.935,0.8205433
90,188.1194,0.8206714
91,190.0887,0.8207844
92,192.3501,0.8209513
93,193.3677,0.8210201
94,195.2589,0.8210891
95,197.4133,0.8211436
96,199.8064,0.8213673
97,201.8806,0.8214173
98,203.8515,0.82147
99,205.0187,0.8216469
100,206.9875,0.8216769
101,209.4117,0.8219525
102,211.7988,0.8222027
103,213.6387,0.8222847
104,215.7149,0.8223368
105,217.9461,0.8225526
106,219.0519,0.822621
107,221.1825,0.822683
108,223.4928,0.8229334
109,225.6908,0.8231122
110,227.9671,0.8233734
111,230.3652,0.8235338
112,231.4452,0.8236735
113,233.5197,0.8238039
114,235.6772,0.8239385
115,237.6622,0.8240028
116,240.0386,0.8241633
117,241.9842,0.8242431
118,244.3544,0.8244461
119,245.6428,0.8246171
120,247.5726,0.824646
121,249.7775,0.8247218
122,251.8875,0.8248151
123,253.8498,0.8249572
124,256.1284,0.825062
125,258.1481,0.8250786
126,259.445,0.8251948
127,261.536,0.8252321
128,263.7857,0.8253541
129,265.9221,0.8254844
130,267.9671,0.8255597
131,269.91,0.8256048
132,271.1284,0.8256781
133,273.228,0.8257657
134,275.433,0.8259212
135,277.5297,0.8259694
136,280.003,0.8260992
137,282.0434,0.8261339
138,284.3272,0.8262641
139,286.3033,0.826302
140,287.547,0.826373
141,289.5233,0.8264141
142,291.9131,0.8265115
143,293.6261,0.8265235
144,295.5617,0.826547
145,297.4605,0.8265772
146,299.657,0.8266391
147,300.7965,0.8267032
148,302.7814,0.8267396
149,304.8191,0.8267807
150,306.8577,0.8268364
151,308.9066,0.8269163
152,311.1317,0.8269624
153,313.4877,0.8271055
154,314.4697,0.8271617
155,316.7191,0.827306
156,318.5688,0.8273217
157,320.555,0.8273374
158,322.7361,0.8274663
159,324.9812,0.8275991
160,325.8813,0.8276342
161,328.1056,0.8277338
162,330.0089,0.8277539
163,332.1158,0.827828
164,334.2517,0.827928
165,336.4066,0.828008
166,338.4662,0.8280426
167,339.6263,0.8281303
168,341.7441,0.8281883
169,344.0414,0.828281
170,346.0539,0.8283137
171,348.2036,0.8284071
172,350.3932,0.8284997
173,352.4912,0.8285238
174,354.2861,0.8285379
175,356.6065,0.8286477
176,357.843,0.8287189
177,359.8798,0.8288264
178,361.9285,0.8288686
179,363.9144,0.8289096
180,366.0708,0.8289756
181,368.2271,0.829061
182,369.2818,0.8290685
183,371.4653,0.8291248
184,373.8225,0.8291969
185,376.025,0.8292584
186,377.9944,0.8292966
187,380.2525,0.8293541
188,382.3766,0.8294129
189,383.6452,0.8295229
190,385.6205,0.8295519
191,388.0018,0.8296423
192,390.3533,0.8297281
193,392.454,0.8297958
194,394.3747,0.8298103
195,395.4635,0.829838
196,397.9567,0.8299458
197,400.0611,0.8299742
198,402.2467,0.8300565
199,404.5401,0.8301495
200,405.7758,0.8302416
201,407.9451,0.8302906
202,409.8524,0.8303283
203,412.1078,0.8304096
204,414.2627,0.830447
205,416.4819,0.8305768
206,418.5028,0.8306039
207,420.7454,0.8306911
208,421.757,0.8307134
209,423.7662,0.8307402
210,425.6682,0.830762
211,427.9878,0.8308233
212,430.1621,0.8308918
213,432.149,0.830911
214,434.0507,0.83093
215,436.1581,0.8309631
216,437.4605,0.8310735
217,439.6353,0.8311075
218,441.5962,0.8311221
219,443.895,0.8311638
220,446.1905,0.8312377
221,448.3821,0.8312831
222,449.6523,0.8313423
223,451.9874,0.8314026
224,454.153,0.8314364
225,456.2662,0.8314938
226,458.6052,0.8316015
227,460.9086,0.8316872
228,463.1424,0.8317376
229,464.2656,0.831784
230,466.4981,0.8318169
231,468.3726,0.8318527
232,470.4276,0.8318838
233,472.452,0.8319178
234,474.5985,0.831996
235,476.6488,0.8320265
236,477.7852,0.8320561
237,480.1021,0.8321497
238,482.4604,0.8322447
239,484.84,0.8322962
240,487.105,0.8323285
241,488.2186,0.8323588
242,490.2949,0.8323996
243,492.4253,0.8324086
244,494.4333,0.8324661
245,496.3819,0.832475
246,498.7193,0.832547
247,500.9295,0.8326352
248,502.0693,0.832679
249,504.4512,0.832701
250,506.8258,0.8327627
251,509.288,0.8328605
252,511.4565,0.8328939
253,512.5154,0.8329189
254,514.5348,0.8329419
255,516.7778,0.8329622
256,518.8665,0.8329655
257,521.1791,0.8330459
258,523.5424,0.8331168
259,525.5626,0.833141
260,527.5945,0.8331697
261,528.9202,0.8332131
262,530.9584,0.8332472
263,533.1147,0.8332926
264,534.9833,0.8332974
265,537.054,0.8333202
266,539.1,0.8333573
267,541.2848,0.8333931
268,543.5084,0.8334164
269,545.5957,0.8334394
270,546.8278,0.8334842
271,548.9405,0.8335303
272,551.1773,0.833564
273,553.2081,0.8335842
274,555.411,0.8336265
275,557.321,0.8336482
276,558.2291,0.833677
277,560.2369,0.8336884
278,562.2919,0.8337067
279,564.3565,0.8337439
280,566.744,0.8337757
281,569.056,0.8338235
282,571.1914,0.8338744
283,573.1712,0.8338892
284,574.33,0.8339231
285,576.7928,0.8340073
286,579.0699,0.834028
287,581.4469,0.8340913
288,583.6883,0.8341413
289,585.7529,0.8341666
290,587.2451,0.8342068
291,589.3549,0.8342283
292,591.4629,0.8342622
293,593.4321,0.8342798
294,595.6498,0.8343171
295,597.9935,0.8343427
296,600.1142,0.8343602
297,601.1774,0.8344111
298,603.1391,0.8344159
299,605.2304,0.834438
300,607.5568,0.8344693
301,609.6998,0.8345087
302,611.8022,0.8345538
303,612.9724,0.8345751
304,614.8213,0.8345902
305,617.2379,0.8346346
306,619.4972,0.8346986
307,621.452,0.8347085
308,623.5651,0.8347454
309,625.6615,0.8347714
310,627.7155,0.8347964
311,628.9744,0.834833
312,631.1397,0.8348648
313,633.1546,0.8348775
314,635.2083,0.8348977
315,637.5677,0.8349492
316,640.0034,0.835003
317,640.9327,0.8350134
318,643.2106,0.8350408
319,645.3268,0.8350714
320,647.3967,0.8350949
321,649.4257,0.8351108
322,651.5879,0.8351471
323,652.7917,0.8351788
324,655.1284,0.8352139
325,657.4843,0.8352567
326,659.5668,0.8352647
327,661.808,0.8352842
328,663.8496,0.8353007
329,665.2033,0.8353468
330,667.277,0.8353761
331,669.3561,0.8354042
332,671.8291,0.8354559
333,673.7852,0.8354683
334,675.9607,0.8354814
335,678.1487,0.8355088
336,679.2399,0.8355295
337,681.4043,0.8355531
338,683.4599,0.8355768
339,685.717,0.8356316
340,687.8344,0.8356624
341,689.9518,0.8356763
342,691.1898,0.8357033
343,693.3178,0.8357428
344,695.3154,0.8357533
345,697.2728,0.8357651
346,699.3822,0.8357972
347,701.5634,0.8358236
348,703.7972,0.835849
349,705.9928,0.8358736
350,708.237,0.83593
351,709.3922,0.8359476
352,711.5604,0.8359754
353,713.9838,0.8359914
354,716.109,0.836008
355,718.1384,0.8360103
356,719.316,0.8360557
357,721.42,0.8360857
358,723.4905,0.8360912
359,725.5735,0.8361086
360,727.8658,0.8361214
361,730.0069,0.8361281
362,731.0805,0.8361499
363,733.2668,0.8361654
364,735.4218,0.836184
365,737.5613,0.836204
366,739.7756,0.836246
367,740.9026,0.8362526
368,743.0472,0.836263
369,745.4185,0.8363086
370,747.404,0.836316
371,749.5887,0.8363342
372,751.8156,0.836343
373,754.0356,0.8363686
374,755.1603,0.8363841
375,757.5562,0.8364252
376,759.5555,0.8364422
377,761.5648,0.8364539
378,763.7713,0.8364904
379,765.8178,0.836502
380,767.7084,0.8365032
381,769.7474,0.8365352
382,771.1171,0.8365693
383,773.3646,0.8365905
384,775.2806,0.8365955
385,777.4373,0.8366202
386,779.7315,0.8366468
387,782.0185,0.8366687
388,783.0803,0.8366755
389,785.1364,0.8366866
390,787.2125,0.8366883
391,789.2563,0.836689
392,791.4232,0.8367079
393,792.5763,0.8367201
394,794.8339,0.8367373
395,796.8164,0.8367383
396,799.0451,0.8367648
397,801.1317,0.8367821
398,803.562,0.836802
399,804.6066,0.8368137
400,806.6398,0.8368504
401,808.998,0.8368674
402,810.9201,0.8368777
403,812.988,0.8368829
404,814.9273,0.8368914
405,817.0085,0.8369058
406,819.0102,0.8369114
407,820.9628,0.836912
408,822.1671,0.8369443
409,824.1647,0.8369629
410,826.121,0.8369686
411,828.2248,0.8369697
412,830.3439,0.836989
413,832.6746,0.8370188
