Iteration,Time,AUC
1,5.431252,0.6037687
2,6.433164,0.6090561
3,7.186235,0.6091168
4,7.892475,0.6090515
5,8.624377,0.6090557
6,9.449984,0.609993
7,10.22745,0.6106288
8,11.08998,0.6106333
9,11.9476,0.6106136
10,12.66943,0.6106163
11,13.46811,0.6106203
12,13.49315,0.6114023
13,14.50128,0.6114061
14,15.39253,0.6114059
15,16.31376,0.6114057
16,17.20252,0.6114094
17,18.20002,0.61141
18,19.10565,0.6114066
19,20.0419,0.6114109
20,20.82628,0.6114095
21,20.85256,0.6114108
22,21.74875,0.6114149
23,22.65872,0.6114149
24,23.47,0.6114155
25,24.35684,0.6118704
26,25.21374,0.6118687
27,26.16501,0.6529822
28,26.98064,0.6529847
29,28.04505,0.6530627
30,28.02997,0.6642207
31,29.09191,0.663983
32,30.14128,0.6658352
33,31.12627,0.6689534
34,31.9463,0.6705216
35,32.96811,0.6726616
36,33.87749,0.6725471
37,34.82557,0.678293
38,35.93126,0.6782959
39,35.95446,0.6782904
40,36.8459,0.6782085
41,37.8394,0.678233
42,38.78313,0.679113
43,39.73252,0.6794038
44,40.57374,0.6808415
45,41.6894,0.680203
46,42.65124,0.6803192
47,43.71755,0.6825101
48,44.77938,0.6824215
49,44.76312,0.6821316
50,45.74499,0.68063
51,46.77562,0.6806256
52,47.99393,0.6817662
53,49.00062,0.6816716
54,50.04253,0.6815541
55,51.1825,0.6816702
56,50.99562,0.681673
57,51.93943,0.6815005
58,52.95568,0.6822375
59,54.23624,0.6822299
60,55.24566,0.6822975
61,56.46247,0.6822616
62,57.50878,0.6814631
63,58.42131,0.6822422
64,58.37749,0.6835313
65,59.44625,0.6836497
66,60.54621,0.684046
67,61.43444,0.6840852
68,62.5163,0.6843191
69,63.57504,0.6842581
70,64.73126,0.683987
71,65.71626,0.6848814
72,66.01623,0.6845367
73,67.07247,0.6852918
74,68.04187,0.6862509
75,69.18937,0.6862227
76,70.24562,0.6863193
77,71.28313,0.6870631
78,72.23251,0.6872695
79,72.37128,0.6871461
80,73.30749,0.6876291
81,74.25941,0.6878736
82,75.17315,0.6863319
83,76.06436,0.6862809
84,77.09187,0.688114
85,78.1663,0.6887356
86,79.07566,0.6887597
87,79.99815,0.6886463
88,81.22939,0.6885485
89,81.1831,0.6887485
90,82.37437,0.6885796
91,83.22812,0.6884691
92,84.51623,0.6891542
93,85.74749,0.6888768
94,86.91568,0.6880679
95,88.10503,0.6881721
96,89.18499,0.6874094
97,89.32377,0.6884956
98,90.35686,0.6886167
99,91.52813,0.6882605
100,92.69817,0.6881476
101,93.88753,0.6883757
102,94.99755,0.6881287
103,96.21686,0.6921519
104,97.38937,0.6927285
105,97.52684,0.6938505
106,98.58,0.6940972
107,99.65877,0.6935264
108,100.8113,0.6945183
109,101.9869,0.6942742
110,103.1969,0.6936977
111,104.5275,0.6940465
112,104.7788,0.6947204
113,106.0437,0.6948153
114,107.0644,0.6952829
115,108.1687,0.6952125
116,109.455,0.6952728
117,110.6562,0.6951983
118,110.8462,0.6957265
119,111.9962,0.6965312
120,113.0894,0.6966506
121,114.2988,0.6969534
122,115.3619,0.6976642
123,116.3284,0.6978835
124,117.3435,0.6989335
125,118.5137,0.6991021
126,119.5101,0.6990498
127,120.6088,0.6988536
128,120.5713,0.6998085
129,121.7525,0.6995203
130,122.955,0.6993389
131,124.0794,0.7007354
132,125.2326,0.7005865
133,125.4332,0.7002691
134,126.5756,0.6999377
135,127.5262,0.6998174
136,128.72,0.7004176
137,129.6962,0.7001928
138,130.7838,0.6999933
139,131.9494,0.699891
140,133.23,0.7001049
141,134.2506,0.7005768
142,134.3137,0.7027997
143,135.1879,0.7029304
144,136.215,0.7029699
145,137.3582,0.7029406
146,138.4156,0.7022511
147,139.5487,0.7030028
148,140.5637,0.7037265
149,141.3281,0.7038123
150,141.5494,0.7036632
151,142.4544,0.7042139
152,143.1719,0.7040688
153,143.9963,0.7038609
154,144.9644,0.7036576
155,145.9363,0.7045348
156,146.9381,0.7044614
157,148.03,0.7037089
158,148.9025,0.7040816
159,149.6344,0.7042059
160,150.517,0.7049343
161,151.7438,0.7059505
162,151.8912,0.7064619
163,152.9162,0.7060061
164,154.135,0.7059548
165,155.1056,0.7059892
166,155.7994,0.7062217
167,156.8056,0.7061114
168,157.6813,0.7064091
169,157.5613,0.7065493
170,158.3613,0.7070465
171,159.295,0.7067644
172,160.2944,0.7070203
173,161.2194,0.7063113
174,162.1231,0.7066062
175,162.73,0.706549
176,163.4819,0.7065656
177,164.3531,0.7063046
178,165.58,0.706413
179,165.3775,0.7064871
180,166.2757,0.7061268
181,167.2625,0.7061923
182,168.0413,0.7067941
183,168.8757,0.7070406
184,169.7606,0.7068793
185,170.9775,0.7078667
186,171.6269,0.7080404
187,172.6388,0.7080884
188,173.84,0.70874
189,173.8069,0.7085786
190,174.7432,0.708901
191,175.5563,0.7089717
192,176.4976,0.708939
193,177.5919,0.7094567
194,178.375,0.7091254
195,179.4369,0.7091033
196,180.2525,0.7090013
197,180.9075,0.7090922
198,181.7806,0.7098275
199,181.7812,0.7096624
200,182.7606,0.7097051
201,183.5013,0.7097286
202,184.2144,0.7100879
203,184.9862,0.7104529
204,185.9981,0.7105135
205,187.2681,0.7102466
206,188.1525,0.710553
207,189.0606,0.7105717
208,189.8732,0.7110616
209,189.8869,0.7108894
210,190.5494,0.7111188
211,191.2,0.7110931
212,192.2206,0.7108432
213,193.0744,0.7108171
214,194.1344,0.7108163
215,194.8706,0.7105875
216,196.0025,0.7111482
217,196.6844,0.7112594
218,197.22,0.711404
219,198.4169,0.7111603
220,198.1063,0.7111013
221,199.0926,0.7112404
222,199.9369,0.7112778
223,200.7157,0.7114026
224,201.6413,0.7116428
225,202.6087,0.7118409
226,203.3594,0.7117573
227,204.3094,0.7120312
228,205.1363,0.7121376
229,206.0176,0.711926
230,205.9388,0.7118797
231,206.7507,0.7122673
232,207.6988,0.7124911
233,208.7475,0.7124809
234,210.0256,0.7132093
235,210.7644,0.7131063
236,211.4351,0.7131632
237,212.45,0.7128151
238,213.2762,0.71262
239,213.2456,0.7120827
240,214.1681,0.7118231
241,215.1669,0.7119061
242,215.9513,0.711854
243,216.595,0.7118305
244,217.6969,0.7119689
245,218.7199,0.7118307
246,219.6181,0.7123419
247,220.5431,0.7125821
248,221.6188,0.7121744
249,222.45,0.7120492
250,223.6344,0.7115229
251,223.9463,0.711505
252,224.8219,0.7119146
253,225.9519,0.7119
254,226.6981,0.7114835
255,227.3919,0.711343
256,228.1581,0.711245
257,229.0594,0.7115338
258,229.885,0.7115068
259,230.775,0.711251
260,230.7344,0.7110719
261,231.5926,0.7110805
262,232.3857,0.711217
263,233.2913,0.7114017
264,234.36,0.7108775
265,235.2481,0.7110633
266,236.26,0.7110384
267,237.1232,0.7109573
268,237.8875,0.7109074
269,238.635,0.7112445
270,239.4681,0.7115099
271,239.4032,0.7114291
272,240.1888,0.7113854
273,241.1962,0.711432
274,242.2138,0.7114998
275,243.2801,0.7111516
276,244.4937,0.7114664
277,245.1687,0.711287
278,246.2319,0.7110708
279,246.9226,0.7108936
280,247.4937,0.7107724
281,248.1675,0.7107599
282,248.9194,0.7107855
283,249.065,0.7110271
284,249.9775,0.7110297
285,251.1231,0.7112416
286,252.0475,0.7112686
287,252.6725,0.711251
288,253.8706,0.7118735
289,254.7319,0.711517
290,255.5731,0.7117751
291,256.7275,0.7122542
292,256.5794,0.7123578
293,257.5006,0.7128833
294,258.3263,0.7127293
295,259.1094,0.712937
296,260.1181,0.7128703
297,261.1106,0.7126325
298,261.7162,0.7123703
299,262.5563,0.7123139
300,263.5644,0.7123168
301,263.6588,0.7120968
302,264.4775,0.7118456
303,265.1669,0.7119357
304,266.1094,0.7117857
305,266.9337,0.7116154
306,267.4994,0.7113969
307,268.2456,0.7111743
308,269.0925,0.7113347
309,269.8231,0.7111702
310,270.8419,0.710804
311,271.7151,0.7111028
312,272.4625,0.7113446
313,272.3069,0.7114515
314,272.955,0.7111927
315,273.9035,0.7108786
316,274.575,0.7106075
317,275.3225,0.7110355
318,275.9706,0.7109732
319,276.9,0.7113635
320,277.9363,0.7111029
321,278.7931,0.7110862
322,279.7044,0.7110417
323,280.2456,0.7107774
324,280.4813,0.7109599
325,281.2944,0.7108738
326,282.4007,0.7107962
327,283.2363,0.7107063
328,284.0562,0.7106422
329,284.9019,0.7107442
330,285.83,0.7104763
331,286.3757,0.7102382
332,287.4019,0.7101559
333,288.3681,0.7103412
334,289.3388,0.7102068
335,288.9857,0.7101256
336,289.8387,0.7104593
337,290.7144,0.7104335
338,291.5944,0.7104235
339,292.3588,0.7103515
340,293.2369,0.710779
341,293.7838,0.7110804
342,294.715,0.711117
343,295.8438,0.7108384
344,296.8731,0.7110958
345,297.7169,0.7107438
346,297.2769,0.71061
