Iteration,Time,AUC
1,5.297474,0.649441
2,6.549357,0.6514947
3,7.417486,0.6697975
4,8.438099,0.6697975
5,9.424408,0.6700665
6,10.34129,0.6710251
7,11.43873,0.6706571
8,12.42249,0.6706792
9,12.31495,0.6716315
10,13.21441,0.6706435
11,14.09251,0.6716746
12,15.07501,0.6716102
13,15.93497,0.6716885
14,17.1994,0.6707097
15,18.15873,0.6716909
16,18.20125,0.671218
17,19.06378,0.6722267
18,19.97063,0.67223
19,20.93877,0.672225
20,21.87129,0.6722329
21,22.88878,0.6715163
22,23.98376,0.6725294
23,24.90319,0.672518
24,25.84123,0.6725109
25,25.81063,0.6725198
26,26.70003,0.6725129
27,27.75191,0.6725231
28,28.84372,0.6725159
29,29.89313,0.6725206
30,31.05878,0.6725218
31,32.3581,0.6725485
32,32.46689,0.6720203
33,33.59254,0.6714029
34,34.75247,0.6715009
35,35.95561,0.6714608
36,37.09685,0.6715662
37,38.30251,0.671414
38,38.32748,0.6713492
39,39.58309,0.6712191
40,40.83311,0.6709774
41,42.2306,0.6748997
42,43.46749,0.6747584
43,43.77811,0.6748705
44,44.92066,0.6748616
45,46.255,0.674914
46,47.49873,0.6749188
47,48.74629,0.6751048
48,50,0.675114
49,51.33064,0.6750781
50,52.52748,0.6756339
51,52.9181,0.6755127
52,54.30124,0.6756172
53,55.56501,0.6757116
54,56.92564,0.6756685
55,58.17065,0.6756869
56,58.69875,0.6763247
57,60.04251,0.6763808
58,61.35939,0.6762596
59,62.70436,0.6762397
60,62.88001,0.6763272
61,64.51309,0.6826967
62,65.99875,0.6826461
63,67.89249,0.6826828
64,69.56561,0.6826856
65,70.43376,0.6830432
66,72.14561,0.6830831
67,74.23377,0.6830354
68,75.17685,0.6827391
69,76.75497,0.6828333
70,78.60752,0.6827562
71,80.18874,0.6829333
72,80.71818,0.6828527
73,82.30061,0.6829936
74,83.9256,0.6829984
75,85.22311,0.6827909
76,86.79252,0.682761
77,87.13,0.6826112
78,88.76939,0.6843882
79,90.23811,0.6842553
80,92.12936,0.6838087
81,92.61067,0.6836529
82,94.5512,0.6836135
83,96.0981,0.6835612
84,98.16067,0.6841685
85,99.20378,0.6841015
86,101.325,0.6840665
87,103.4181,0.6841422
88,104.4806,0.6864041
89,106.5587,0.6869961
90,108.8906,0.6871108
91,110,0.6872817
92,112.3888,0.6872007
93,114.515,0.6872773
94,115.8137,0.6871578
95,117.9331,0.6885192
96,120.16,0.6886579
97,121.2525,0.6890693
98,123.4844,0.688946
99,125.7494,0.6890953
100,127.1369,0.6893377
101,129.985,0.6896988
102,132.1112,0.6896542
103,133.5612,0.6897509
104,136.0906,0.6899322
105,137.3281,0.6897518
106,140.345,0.6900273
107,142.8719,0.6906434
108,144.4019,0.6888831
109,146.7925,0.6891714
110,149.1563,0.6892075
111,150.4737,0.6892919
112,153.0644,0.6894044
113,155.6125,0.6896167
