Iteration,Time,AUC
1,15.93274,0.6008132
2,17.71835,0.6008134
3,19.12592,0.6023019
4,20.62597,0.602345
5,22.07216,0.6023477
6,23.49019,0.6023457
7,25.03069,0.602348
8,26.52744,0.6066673
9,27.96975,0.6066881
10,29.45596,0.6066874
11,31.01659,0.6067153
12,32.47485,0.6067125
13,33.92685,0.6067141
14,35.424,0.6067179
15,37.04961,0.6067195
16,38.49149,0.6067213
17,40.05758,0.6067226
18,41.63289,0.6067395
19,43.12658,0.6067354
20,44.56148,0.6067397
21,46.10093,0.6067405
22,47.67643,0.6067412
23,49.12337,0.6067407
24,50.66788,0.6067508
25,52.18208,0.6067517
26,53.62586,0.6067511
27,55.05728,0.606752
28,56.64782,0.6081533
29,58.14199,0.6081547
30,59.66963,0.608153
31,61.10796,0.6081532
32,62.56111,0.6081735
33,64.10796,0.6081773
34,65.59316,0.6081759
35,67.1518,0.6081762
36,68.67668,0.6081761
37,70.0952,0.6081786
38,71.69977,0.6081836
39,73.16514,0.6081816
40,74.62636,0.6081816
41,76.12711,0.6081815
42,77.65352,0.6081895
43,79.0598,0.6081895
44,80.65754,0.6081988
45,82.17368,0.6081986
46,83.65851,0.6082053
47,85.28562,0.6082055
48,86.81687,0.6082055
49,88.41064,0.6082058
50,89.81776,0.608207
51,91.32769,0.608207
52,92.73013,0.608207
53,94.30166,0.6082071
54,95.815,0.6082063
55,97.41723,0.610076
56,98.85109,0.6100765
57,100.3478,0.6100768
58,101.7786,0.6100772
59,103.3219,0.6100766
60,104.7321,0.6100773
61,106.3264,0.6100881
62,107.8045,0.6100939
63,109.4104,0.6100937
64,110.8262,0.6100935
65,112.2901,0.6100953
66,113.7525,0.6100966
67,115.3387,0.6100964
68,116.8475,0.6100969
69,118.3126,0.6100968
70,119.8263,0.6100961
71,121.3396,0.6100973
72,122.8391,0.6100973
73,124.3467,0.6100968
74,125.7848,0.610098
75,127.3201,0.6100971
76,128.8176,0.6100641
77,130.3242,0.6100643
78,131.9442,0.6100663
79,133.3671,0.6100655
80,134.914,0.6100651
81,136.3562,0.6108179
82,137.9671,0.6108177
83,139.5405,0.6114549
84,140.9584,0.611455
85,142.494,0.6114544
86,144.0163,0.6114483
87,145.5644,0.6114549
88,146.9863,0.6114655
89,148.4605,0.6114589
90,149.941,0.6114601
91,151.4965,0.6114605
92,152.916,0.6114669
93,154.5028,0.611467
94,155.9217,0.6114674
95,157.4567,0.6114678
96,158.9174,0.611468
97,160.489,0.6114682
98,162.0482,0.6114681
99,163.6522,0.6114682
100,165.153,0.6114683
101,166.6009,0.6114682
102,168.0975,0.611468
103,169.56,0.611469
104,171.104,0.611469
105,172.693,0.6114687
106,174.1125,0.6114693
107,175.617,0.6114697
108,177.146,0.6114696
109,178.6921,0.6114695
110,180.1984,0.6114698
111,181.7135,0.6114586
112,183.4981,0.6528415
113,185.0426,0.6528413
114,186.8781,0.6528443
115,188.5562,0.6528348
116,190.3986,0.6528364
117,192.2481,0.6525537
118,193.9332,0.6529524
119,195.4332,0.6529528
