Iteration,Time,AUC
1,18.46128,0.6067377
2,20.63132,0.6067858
3,22.51604,0.6067869
4,24.45167,0.6068035
5,26.38514,0.6068051
6,28.28204,0.6068202
7,30.10827,0.6068284
8,32.08715,0.6077573
9,34.06,0.607759
10,36.01135,0.6077508
11,37.97396,0.6077481
12,39.82601,0.6077456
13,41.64519,0.6077465
14,43.55143,0.607746
15,45.54419,0.6091505
16,47.51968,0.6091513
17,48.61823,0.6100993
18,50.55447,0.6101004
19,52.47702,0.6101018
20,54.27392,0.6100893
21,56.18998,0.6100931
22,58.00906,0.6100954
23,60.1787,0.6508812
24,62.2462,0.6508846
25,64.36374,0.6508868
26,66.45616,0.6522692
27,68.38123,0.6522713
28,70.60609,0.6612378
29,72.83391,0.6610637
30,74.9845,0.6723334
31,77.33675,0.6723299
32,79.61314,0.6723367
33,81.82251,0.6723218
34,84.00846,0.672323
35,86.28396,0.6723161
36,88.41947,0.672292
37,90.73024,0.672201
38,92.93899,0.672204
39,95.33228,0.67222
40,97.53212,0.6722102
41,99.74943,0.6723185
42,102.0185,0.6728507
43,104.2984,0.672813
44,106.9205,0.6775885
45,109.2748,0.6801068
46,111.5981,0.6800892
47,113.9909,0.6802352
48,116.3477,0.6815611
49,118.6856,0.6815342
50,121.0681,0.6835608
51,123.49,0.6826703
52,125.9283,0.6841028
53,128.4077,0.6841145
54,130.9484,0.6844473
55,133.3585,0.6844667
56,135.694,0.6844769
57,138.1713,0.6843191
58,140.6622,0.6845233
59,143.0814,0.6844688
60,145.4552,0.6844537
61,147.7858,0.6844607
62,150.2169,0.685649
63,152.6349,0.6849716
64,155.0792,0.6872229
65,157.4834,0.6901356
66,159.8513,0.6906935
67,162.2749,0.6904101
68,164.8474,0.6893824
69,167.3934,0.689867
70,169.7557,0.6898184
71,172.1248,0.6898453
72,174.4934,0.6900307
73,176.9923,0.6907903
74,179.3896,0.6912062
75,181.8235,0.6907017
76,184.2073,0.6906954
77,186.6818,0.6910415
78,189.2369,0.6917343
79,191.7545,0.6928817
80,194.1485,0.6962938
81,196.6641,0.6964455
82,198.9706,0.6961447
83,201.5305,0.6964656
84,204.1037,0.6981567
85,206.5674,0.6986344
86,209.1818,0.6987034
87,211.7071,0.6990572
88,214.3381,0.6991911
89,216.8813,0.7001622
90,219.4989,0.7053711
91,222.3651,0.7066085
92,224.9727,0.7070565
93,227.7281,0.7062974
94,230.2746,0.7064999
95,233.0252,0.7066537
96,235.5623,0.7069953
97,238.418,0.7070962
98,241.3332,0.7075996
99,243.9378,0.7073223
100,246.4112,0.7076737
101,249.0457,0.7078493
102,251.592,0.7082063
103,254.1822,0.7083987
104,257.0011,0.7084766
105,259.6341,0.7084969
106,262.0651,0.7091616
107,264.6452,0.7092115
108,267.1599,0.7094586
109,269.8381,0.7103832
110,272.3933,0.7102904
111,275.237,0.7107126
112,277.7824,0.711057
113,280.5887,0.7114412
114,283.303,0.7119474
115,285.9361,0.7127551
116,288.5439,0.7134575
117,291.0604,0.7139519
118,293.7147,0.7136469
119,296.3608,0.7134058
120,299.18,0.7134886
121,301.6582,0.713435
122,304.4398,0.7130391
123,307.085,0.7133838
124,309.8913,0.7138335
125,312.6012,0.7136556
126,315.1608,0.7135296
127,317.8371,0.7132652
128,319.3339,0.7130918
129,321.8591,0.7130739
130,324.6919,0.713747
131,327.4097,0.7139232
132,330.0029,0.7140629
133,332.7491,0.7140205
134,335.3184,0.713522
135,338.0065,0.7136548
136,340.7734,0.7155156
137,343.3946,0.7156899
138,345.8678,0.7164685
139,348.4099,0.7167464
140,351.1229,0.7168088
141,353.6937,0.7171356
142,356.3882,0.7172139
143,359.0355,0.717212
144,361.6331,0.7168566
145,364.2692,0.7175942
146,366.9834,0.7176316
147,369.628,0.7174715
148,372.1671,0.7188022
149,374.9104,0.7189464
150,377.6351,0.7188276
151,380.1276,0.7187955
152,382.7029,0.7187599
153,385.5066,0.7181231
154,387.8431,0.7174535
155,390.539,0.7177258
156,393.1239,0.7175487
157,395.4909,0.7176019
158,398.099,0.7175757
159,400.5939,0.7175868
160,403.1179,0.7172337
161,405.5443,0.7172483
162,408.4398,0.717477
163,411.1437,0.7174105
164,413.5381,0.7181917
165,415.9547,0.7183947
166,418.5557,0.718811
167,420.8512,0.7188418
168,423.3582,0.718858
169,425.6783,0.7187906
170,428.1557,0.7184098
