Iteration,Time,AUC
1,45.41923,0.7715368
2,55.84522,0.7810987
3,64.62002,0.7863033
4,74.81601,0.7909971
5,85.05892,0.7943262
6,95.26755,0.7978121
7,105.598,0.8004646
8,114.679,0.8030232
9,124.261,0.8054445
10,133.8033,0.8073565
11,143.564,0.8089722
12,153.2264,0.8103866
13,161.3022,0.8115377
14,170.7448,0.8126976
15,179.2312,0.813814
16,188.0324,0.8145027
17,193.9007,0.8151698
18,201.649,0.8159768
19,211.3124,0.8168755
20,218.0911,0.8172776
21,227.0201,0.8180691
22,235.0498,0.818636
23,241.5861,0.819177
24,250.0091,0.8198358
25,256.9756,0.8202967
26,262.8056,0.8206211
27,272.7042,0.8212325
28,278.6787,0.8215954
29,286.7336,0.8220616
30,292.6131,0.8222767
31,302.6367,0.8229292
32,309.5122,0.8232001
33,317.7854,0.8238199
34,321.5603,0.8239263
35,329.7803,0.8242592
36,339.4443,0.8247355
37,345.3718,0.824882
38,351.8926,0.8250971
39,357.3411,0.8252336
40,364.9636,0.825496
41,373.5064,0.8258699
42,379.7239,0.8260269
43,387.2026,0.8262698
44,392.2746,0.8264935
45,398.6916,0.8267118
46,405.5416,0.8268624
47,412.5253,0.8270426
48,420.2667,0.8273838
49,425.9484,0.827615
50,431.0959,0.8277319
51,438.2379,0.82806
52,446.4078,0.8284894
53,453.6772,0.8287058
54,462.1866,0.8290364
55,470.5,0.8293779
56,477.3086,0.8295904
57,484.1588,0.8297419
58,489.5836,0.8298465
59,494.3523,0.8298977
60,503.1473,0.8301954
61,508.7908,0.8302875
62,515.1043,0.8303985
63,521.4779,0.8305718
64,530.7678,0.8308386
65,536.903,0.8309404
66,542.3293,0.830986
67,547.3658,0.8310417
68,552.7123,0.8311549
69,556.9793,0.8312195
70,565.5875,0.8315686
71,577.2954,0.8317884
72,584.5724,0.8319375
73,591.0657,0.8320558
74,595.1139,0.8320798
75,600.7446,0.8321354
76,611.163,0.832408
77,617.487,0.8325123
78,625.741,0.8328249
79,632.052,0.8329456
80,636.4109,0.8329799
81,644.5037,0.8331307
82,649.9196,0.8332059
83,655.0743,0.8332603
84,660.5011,0.8332854
85,667.1353,0.8334123
86,673.8659,0.8335482
87,678.5981,0.8335676
88,686.153,0.8336829
89,692.44,0.8337802
90,700.0743,0.8339985
91,708.988,0.834281
92,717.8743,0.8344681
93,723.3092,0.8345246
94,731.1348,0.8347083
95,738.1256,0.8347958
96,744.067,0.8348475
97,747.1843,0.8348612
98,754.5439,0.834981
99,763.1917,0.8350925
100,770.8603,0.8351674
101,775.8112,0.8352227
102,782.5722,0.8352994
103,787.0146,0.8353356
104,793.6379,0.8353821
105,802.5262,0.8355337
106,809.1131,0.8356158
107,816.7176,0.8357331
108,821.1153,0.8357677
109,831.2778,0.8359532
110,836.9172,0.835994
111,845.3305,0.8361026
112,850.7588,0.8361441
113,856.4959,0.8362372
114,861.5081,0.8362619
115,866.1532,0.8362701
116,871.4569,0.8363051
117,880.0494,0.8364626
118,887.5847,0.8365922
119,895.8825,0.8367509
120,901.0894,0.8367801
121,905.9581,0.8368131
122,913.5165,0.8368895
123,922.4911,0.837032
124,926.9008,0.8370506
125,936.5051,0.8373577
126,944.4165,0.8375496
127,950.0284,0.8376005
128,959.7116,0.8377732
129,965.546,0.8378108
130,972.8377,0.8379525
131,982.0404,0.8380683
132,989.8864,0.838237
133,999.8435,0.838455
134,1006.407,0.8385413
135,1013.098,0.8386005
136,1022.969,0.8388171
137,1029.881,0.8388734
138,1034.723,0.8389139
139,1043.674,0.8389988
140,1049.463,0.8390245
141,1059.06,0.8392401
142,1065.679,0.8392853
143,1075.899,0.8395107
144,1082.244,0.8395779
145,1088.753,0.8396329
146,1094.609,0.8396807
147,1099.834,0.8397048
148,1107.848,0.8397657
149,1115.981,0.8398632
150,1120.681,0.8398769
151,1128.725,0.8399246
152,1132.722,0.8399386
153,1137.325,0.839962
154,1144.619,0.8400275
155,1149.165,0.8400539
156,1153.315,0.8400589
157,1157.471,0.8400682
158,1166.164,0.8402048
159,1172.995,0.8403006
160,1177.075,0.8403004
161,1183.915,0.8403606
162,1192.973,0.8405079
163,1199.132,0.8405438
164,1204.662,0.8405629
165,1213.515,0.8406674
166,1220.101,0.840735
167,1226.853,0.8408095
168,1233.247,0.840847
169,1240.515,0.8408946
170,1247.233,0.8409486
171,1257.713,0.8411195
172,1264.81,0.8411974
173,1271.922,0.8412293
174,1276.936,0.8412468
175,1285.22,0.8412986
176,1290.302,0.8413044
177,1297.121,0.8413329
178,1302.055,0.8413548
179,1307.354,0.8413668
180,1317.406,0.8414875
181,1324.008,0.8415136
182,1329.012,0.8415169
183,1335.443,0.8415503
184,1340.326,0.841564
185,1346.86,0.8416233
186,1352.582,0.8416303
187,1357.769,0.8416489
188,1363.547,0.8416712
189,1369.684,0.841714
190,1375.796,0.841753
191,1383.466,0.8418398
192,1391.274,0.8419007
193,1396.717,0.8419261
194,1404.762,0.8420201
195,1410.6,0.8420565
196,1417.622,0.8421231
197,1423.529,0.842141
198,1428.918,0.8421673
199,1436.166,0.842206
200,1442.568,0.8422291
201,1450.911,0.8423659
202,1457.804,0.8424033
203,1465.499,0.8424872
204,1471.815,0.8425254
205,1480.595,0.842662
206,1488.533,0.8427075
207,1495.293,0.8427555
208,1503.658,0.8428477
209,1510.35,0.8428894
210,1519.507,0.842962
211,1527.249,0.8430129
212,1532.742,0.8430355
213,1541.951,0.8431271
214,1549.785,0.8431616
215,1557.881,0.8432038
216,1567.803,0.8432861
217,1573.735,0.8433165
218,1577.67,0.8433194
219,1586.74,0.8434157
