Iteration,Time,AUC
1,10.60031,0.5946877
2,11.50376,0.6004125
3,12.17226,0.6004872
4,12.77046,0.6004968
5,13.37755,0.6004865
6,13.98126,0.6004968
7,14.65755,0.6004968
8,15.28739,0.6004968
9,15.89151,0.6004973
10,16.45364,0.6004967
11,17.05176,0.6004973
12,17.7549,0.6004969
13,18.44117,0.6009883
14,19.03564,0.6010005
15,19.67845,0.6010005
16,20.27843,0.6010005
17,20.90881,0.6010006
18,21.54401,0.6010007
19,22.22545,0.6009531
20,22.94416,0.6009531
21,23.62045,0.6009542
22,24.27108,0.6009548
23,24.00085,0.6009545
24,24.6478,0.6009553
25,25.23198,0.6009551
26,25.83572,0.6009624
27,26.44811,0.6009627
28,27.17758,0.6023638
29,27.8284,0.6023638
30,28.52969,0.6023637
31,29.13046,0.6023646
32,29.78846,0.6023667
33,30.46977,0.6023661
34,31.07605,0.6023661
35,31.67101,0.6023745
36,32.34326,0.6023758
37,32.95558,0.6023751
38,33.5813,0.6023754
39,34.24195,0.6023624
40,34.96937,0.602365
41,35.61308,0.6023759
42,36.17745,0.6023761
43,36.7995,0.6023761
44,37.42716,0.6023763
45,38.07965,0.6023764
46,38.77466,0.6023766
47,39.40108,0.6023783
48,39.99231,0.6023769
49,40.64294,0.6023836
50,41.26796,0.6023836
51,41.8617,0.6023837
52,42.55359,0.6023838
53,43.1317,0.6023754
54,43.75354,0.602376
55,44.35167,0.6023855
56,44.928,0.6023776
57,45.61794,0.6023786
58,46.24981,0.6023873
59,46.82794,0.6023799
60,47.4703,0.6023883
61,48.09534,0.6033658
62,48.71671,0.6033138
63,49.35407,0.6033134
64,50.07691,0.6033134
65,50.71417,0.6033142
66,51.50023,0.6047457
67,52.1196,0.6047458
68,52.78877,0.6047458
69,53.44451,0.6055037
70,54.10831,0.6055037
71,54.73542,0.6055038
72,55.32379,0.6061372
73,56.00324,0.6061385
74,56.56069,0.6061386
75,57.19898,0.6061384
76,57.82504,0.6061386
77,58.52504,0.6061387
78,59.20711,0.6061387
79,59.97439,0.6061387
80,60.61033,0.6061389
81,61.26261,0.6061412
82,61.89538,0.6061413
83,62.52349,0.6061413
84,63.13007,0.6061412
85,63.81101,0.6061416
86,64.46345,0.610459
87,65.18185,0.6104612
88,65.84707,0.610461
89,66.50975,0.6104681
90,67.24242,0.6104663
91,67.9908,0.6104682
92,68.63909,0.6104682
93,69.43831,0.6104699
94,70.09873,0.6104823
95,70.68945,0.6104869
96,71.31225,0.6104875
97,71.97051,0.6104873
98,72.69403,0.6104879
99,73.33194,0.6104887
100,73.98951,0.6104883
101,74.68578,0.610493
102,75.37125,0.6104931
103,75.00756,0.6104931
104,75.72575,0.6104933
105,76.37614,0.6104936
106,77.1434,0.6114357
107,77.86519,0.6114356
108,78.52437,0.6114363
109,79.18782,0.6114038
110,79.79463,0.6114035
111,80.46476,0.6113714
112,81.15375,0.6113718
113,81.86417,0.6113718
114,82.59218,0.611372
115,83.43001,0.6113721
116,84.08853,0.6113743
117,84.71153,0.611373
118,85.30305,0.611373
119,85.92439,0.6113783
120,86.54092,0.6113765
121,87.23611,0.6113816
122,87.85736,0.6113818
123,88.49689,0.6113824
124,89.1651,0.6113829
125,89.818,0.6113841
126,90.40904,0.6113848
127,91.11275,0.6113848
128,91.7471,0.6113859
129,92.36406,0.6113862
130,93.01819,0.6113868
131,93.82917,0.6113866
132,94.4405,0.6113868
133,95.06101,0.6113879
134,95.63665,0.6112339
135,96.25349,0.611236
136,96.95694,0.6112361
137,97.53154,0.6115112
138,98.21241,0.6115096
139,98.83125,0.611505
140,99.58187,0.6115069
141,100.314,0.6115052
142,101.0373,0.6527363
143,101.6374,0.6521873
144,102.4311,0.6521877
145,103.2054,0.6521887
146,103.9454,0.6521887
147,104.7777,0.6521877
148,105.5977,0.6521876
149,106.3933,0.6521879
150,107.0575,0.6521878
151,107.9472,0.6521878
152,108.7238,0.6616402
153,109.5151,0.6616337
154,110.25,0.6616351
155,110.9658,0.6616364
156,111.8298,0.6616363
157,112.5752,0.6616365
158,113.2735,0.6619567
159,114.0524,0.6668191
160,114.8304,0.6668195
161,115.5794,0.6668099
162,116.49,0.6711273
163,117.2994,0.6717282
164,118.1124,0.6717285
165,118.9111,0.6717288
166,119.7158,0.6717273
167,120.5472,0.6717266
168,121.3878,0.6717276
169,122.1324,0.6717274
170,123.0563,0.6717266
171,122.9449,0.6717337
172,123.778,0.6724471
173,124.5249,0.6724099
174,125.2833,0.6724151
175,126.0765,0.6724035
176,126.8198,0.6724353
177,127.5712,0.6725345
178,128.2781,0.6734433
179,129.0305,0.6739321
180,129.757,0.6739811
181,130.4882,0.6748031
182,131.2966,0.674802
183,131.9949,0.6748218
184,132.7305,0.674805
185,133.4695,0.6748384
186,134.2214,0.6748556
187,134.9351,0.6762665
188,135.7555,0.6806012
189,136.4762,0.6804111
190,137.3604,0.6803447
191,138.0522,0.6803636
192,138.8043,0.6816932
193,139.5196,0.6804372
194,140.2797,0.6819717
195,141.148,0.6817775
196,141.9874,0.681865
197,142.923,0.6822188
198,143.684,0.6822273
199,144.6131,0.6827572
200,145.3258,0.6827569
201,146.1249,0.6827764
202,146.8577,0.681451
203,147.5835,0.6817887
204,148.4669,0.6819814
205,149.3694,0.6822226
206,150.0854,0.68221
207,150.8329,0.682425
208,151.5716,0.6824491
209,152.4594,0.6825333
210,153.1313,0.6825438
211,153.8779,0.6826275
212,154.5814,0.6819394
213,155.3046,0.6833566
214,156.0043,0.6832845
215,156.752,0.6835036
216,157.4975,0.683505
217,158.185,0.6834398
218,158.98,0.6833447
219,159.6462,0.6833377
220,160.5088,0.6834241
221,161.2588,0.6834265
222,161.9776,0.6834544
223,162.7432,0.6833132
224,163.6048,0.6836495
225,164.3861,0.6835791
226,165.17,0.6835899
227,165.9173,0.6839445
228,166.6048,0.6867365
229,167.5262,0.6866321
230,168.3067,0.6835888
231,169.0254,0.6866386
232,169.8383,0.6868423
233,170.63,0.6867434
234,171.3977,0.6894982
235,172.1868,0.6896177
236,172.953,0.6896627
237,173.8334,0.6895978
238,174.6647,0.6894798
239,175.409,0.6893265
240,176.189,0.6894182
241,176.9133,0.689382
242,177.8303,0.6888006
243,178.6091,0.6889096
244,179.3352,0.689009
245,180.0328,0.6889668
246,180.8652,0.6889568
247,181.6863,0.6890053
248,182.3738,0.6889604
249,183.154,0.689119
250,183.8175,0.6891774
251,184.5931,0.6891187
252,185.3145,0.6892523
253,186.1662,0.6894348
254,186.8195,0.6863108
255,187.625,0.690145
256,187.4089,0.6901223
257,188.2787,0.6902026
258,189.1002,0.6903694
259,189.8729,0.6902966
260,190.6088,0.6893892
261,191.4271,0.6893829
262,192.1629,0.689297
263,192.9344,0.6885312
264,193.7954,0.6885469
265,194.513,0.6885806
266,195.2292,0.6885717
267,196.0355,0.6862347
268,196.9304,0.6862761
269,197.631,0.6886766
270,198.6771,0.6887476
271,199.486,0.6864571
272,200.4058,0.6863896
273,201.3705,0.6879506
274,202.1768,0.6861505
275,202.9706,0.6860733
276,203.7468,0.6866938
277,204.4487,0.6862101
278,205.2786,0.6869485
279,206.1099,0.6863597
280,206.855,0.6864065
281,207.6563,0.6864582
282,208.6421,0.6865872
283,209.4229,0.6867007
284,210.2739,0.6868457
285,211.0864,0.687416
286,211.8424,0.6876636
287,212.5844,0.6873212
288,213.3062,0.6873202
289,214.0237,0.688049
290,214.8854,0.6883065
291,215.7123,0.6884324
