Iteration,Time,AUC
1,23.95926,0.7782024
2,31.5447,0.7873675
3,45.33367,0.7924489
4,53.23293,0.7966615
5,60.45471,0.8000423
6,68.23277,0.8027831
7,74.99577,0.8050266
8,82.83973,0.8070643
9,90.69104,0.8092806
10,96.92136,0.8112862
11,103.7763,0.812707
12,111.3575,0.8143426
13,116.0507,0.8152013
14,123.0263,0.8162126
15,130.1947,0.8172455
16,137.494,0.8181738
17,143.6785,0.8191141
18,150.5665,0.8199461
19,155.5944,0.8206158
20,160.5943,0.8211715
21,165.2801,0.8216554
22,171.7541,0.8223952
23,177.2133,0.8228996
24,182.1665,0.8232724
25,187.1334,0.823632
26,191.873,0.8240374
27,199.4086,0.8249272
28,206.0153,0.8254737
29,209.0905,0.8256172
30,215.5513,0.8260036
31,222.4937,0.8264722
32,225.6338,0.82656
33,231.2765,0.8270349
34,238.4005,0.8276264
35,241.863,0.8277299
36,246.0178,0.8279658
37,250.2863,0.8281138
38,256.5072,0.8286877
39,263.9026,0.8292858
40,267.1135,0.8294376
41,270.8197,0.8295809
42,276.8123,0.8298594
43,282.0161,0.830084
44,287.9682,0.8304127
45,292.4627,0.8305744
46,298.3635,0.8309509
47,303.5575,0.8311366
48,309.3292,0.8313948
49,312.9017,0.8315656
50,318.3026,0.8317703
51,322.2282,0.8318211
52,326.6684,0.8319717
53,332.1103,0.8322087
54,337.2446,0.8323626
55,343.0194,0.8325555
56,348.0084,0.8327084
57,353.1918,0.8329365
58,357.0255,0.8331023
59,363.6765,0.8333421
60,368.0428,0.833474
61,373.3599,0.8336008
62,377.7016,0.8337833
63,381.4685,0.8338507
64,385.3027,0.8338842
65,389.9039,0.8340167
66,395.9138,0.834241
67,400.6892,0.8345002
68,404.3331,0.8345757
69,410.9577,0.8347636
70,416.6171,0.8349039
71,423.1604,0.835208
72,427.2736,0.8352617
73,434.4606,0.8353623
74,437.559,0.8354295
75,442.5636,0.835611
76,447.4669,0.8357846
77,450.4413,0.8358171
78,454.4587,0.8358893
79,460.8087,0.8361228
80,465.2668,0.8362268
81,471.8288,0.8364482
82,476.7676,0.836534
83,482.6508,0.8367195
84,488.743,0.8369438
85,492.6031,0.8369832
86,496.1852,0.8370098
